Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,ADANIENSOL.NS,ADANIENSOL.NS,ADANIENSOL.NS,ADANIENSOL.NS,ADANIENSOL.NS,,,,,,
Date,,,,,,,,,,,
2023-08-16,818.0999755859375,822.9000244140625,795.0,795.0,7337822,ADANIENSOL.NS,2023-08-16,2023-33,2023-08,,no change
2023-08-17,822.2000122070312,836.4500122070312,819.0,819.8499755859375,3958662,ADANIENSOL.NS,2023-08-17,2023-33,2023-08,4.10003662109375,up
2023-08-18,871.9000244140625,894.0,824.75,824.9000244140625,7798779,ADANIENSOL.NS,2023-08-18,2023-33,2023-08,49.70001220703125,up
2023-08-21,923.5499877929688,932.0,878.0,879.0,8978809,ADANIENSOL.NS,2023-08-21,2023-34,2023-08,51.64996337890625,up
2023-08-22,960.1500244140625,976.9500122070312,923.8499755859375,945.0999755859375,11493000,ADANIENSOL.NS,2023-08-22,2023-34,2023-08,36.60003662109375,up
2023-08-23,890.4000244140625,969.7000122070312,859.0,965.0,4192309,ADANIENSOL.NS,2023-08-23,2023-34,2023-08,-69.75,down
2023-08-24,895.1500244140625,934.0,892.0499877929688,907.9500122070312,1134578,ADANIENSOL.NS,2023-08-24,2023-34,2023-08,4.75,up
2023-08-25,874.5499877929688,898.8499755859375,865.0,895.1500244140625,983333,ADANIENSOL.NS,2023-08-25,2023-34,2023-08,-20.60003662109375,down
2023-08-28,864.9500122070312,899.0,860.0,895.0,995290,ADANIENSOL.NS,2023-08-28,2023-35,2023-08,-9.5999755859375,down
2023-08-29,857.1500244140625,875.0999755859375,852.5999755859375,869.0999755859375,1218219,ADANIENSOL.NS,2023-08-29,2023-35,2023-08,-7.79998779296875,down
2023-08-30,841.7000122070312,864.8499755859375,840.0,861.8499755859375,857053,ADANIENSOL.NS,2023-08-30,2023-35,2023-08,-15.45001220703125,down
2023-08-31,811.9500122070312,830.75,800.0999755859375,820.0,1636383,ADANIENSOL.NS,2023-08-31,2023-35,2023-08,-29.75,down
2023-09-01,824.9000244140625,835.8499755859375,791.0499877929688,803.8499755859375,1204025,ADANIENSOL.NS,2023-09-01,2023-35,2023-09,12.95001220703125,up
2023-09-04,817.5999755859375,834.9000244140625,815.0,830.0,825805,ADANIENSOL.NS,2023-09-04,2023-36,2023-09,-7.300048828125,down
2023-09-05,813.4500122070312,825.8499755859375,811.5,821.6500244140625,684436,ADANIENSOL.NS,2023-09-05,2023-36,2023-09,-4.14996337890625,down
2023-09-06,855.9500122070312,859.4500122070312,809.0,815.0499877929688,8646350,ADANIENSOL.NS,2023-09-06,2023-36,2023-09,42.5,up
2023-09-07,839.4000244140625,858.9000244140625,833.0999755859375,858.9000244140625,6099751,ADANIENSOL.NS,2023-09-07,2023-36,2023-09,-16.54998779296875,down
2023-09-08,833.0,846.0,831.0,843.7999877929688,937304,ADANIENSOL.NS,2023-09-08,2023-36,2023-09,-6.4000244140625,down
