Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,ALLCARGO.NS,ALLCARGO.NS,ALLCARGO.NS,ALLCARGO.NS,ALLCARGO.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,34.97134017944336,35.07699377515165,34.12611141377705,34.443072200901916,605112,ALLCARGO.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,34.80229187011719,35.319993815797346,34.58570330052694,35.07699184873064,341224,ALLCARGO.NS,2015-08-19,2015-33,2015-08,-0.16904830932617188,down
2015-08-20,33.5503044128418,35.06115305359455,33.08542914810729,35.06115305359455,331048,ALLCARGO.NS,2015-08-20,2015-33,2015-08,-1.2519874572753906,down
2015-08-21,32.86883544921875,33.16994885265132,32.49376323641959,32.49376323641959,352016,ALLCARGO.NS,2015-08-21,2015-33,2015-08,-0.6814689636230469,down
2015-08-24,30.132404327392578,32.21377805846354,29.794311558992337,32.21377805846354,638192,ALLCARGO.NS,2015-08-24,2015-34,2015-08,-2.736431121826172,down
2015-08-25,29.202651977539062,32.24019272606991,27.047319360831175,30.216927098428577,534032,ALLCARGO.NS,2015-08-25,2015-34,2015-08,-0.9297523498535156,down
2015-08-26,30.348989486694336,31.15195730335024,28.52646531386413,29.45621548622913,447936,ALLCARGO.NS,2015-08-26,2015-34,2015-08,1.1463375091552734,up
2015-08-27,31.21535301208496,31.421375568485225,30.174664553839182,30.850846853719943,343656,ALLCARGO.NS,2015-08-27,2015-34,2015-08,0.866363525390625,up
2015-08-28,32.23491287231445,33.44992922962597,31.289311895820475,31.59042529009953,885272,ALLCARGO.NS,2015-08-28,2015-34,2015-08,1.0195598602294922,up
2015-08-31,32.356414794921875,33.27560239881277,31.801733398437502,31.85984158835241,366608,ALLCARGO.NS,2015-08-31,2015-35,2015-08,0.12150192260742188,up
2015-09-01,30.97235107421875,32.573002411431055,30.71878308825405,32.03945304045758,736384,ALLCARGO.NS,2015-09-01,2015-35,2015-09,-1.384063720703125,down
2015-09-02,30.787450790405273,31.865118533929877,30.702929220999547,31.29458987971323,316360,ALLCARGO.NS,2015-09-02,2015-35,2015-09,-0.18490028381347656,down
2015-09-03,31.37911605834961,31.537596442482688,30.111272985284977,30.96178309041583,401872,ALLCARGO.NS,2015-09-03,2015-35,2015-09,0.5916652679443359,up
2015-09-04,30.63425064086914,31.421367718766124,30.11126423548392,31.421367718766124,220984,ALLCARGO.NS,2015-09-04,2015-35,2015-09,-0.7448654174804688,down
2015-09-07,30.074291229248047,30.850845695552604,29.857702677608852,30.73991072506256,236520,ALLCARGO.NS,2015-09-07,2015-36,2015-09,-0.5599594116210938,down
2015-09-08,30.591995239257812,31.47420334747976,29.910531528480057,30.1165540913373,542520,ALLCARGO.NS,2015-09-08,2015-36,2015-09,0.5177040100097656,up
2015-09-09,31.611553192138672,31.8756871485426,31.062153273101917,31.352700625146237,402384,ALLCARGO.NS,2015-09-09,2015-36,2015-09,1.0195579528808594,up
2015-09-10,32.319427490234375,32.541300639452515,30.95649703688178,31.537591691157715,866416,ALLCARGO.NS,2015-09-10,2015-36,2015-09,0.7078742980957031,up
2015-09-11,32.6892204284668,33.59784195642338,32.435652454786094,32.953354406111636,891576,ALLCARGO.NS,2015-09-11,2015-36,2015-09,0.3697929382324219,up
2015-09-14,32.477909088134766,33.243897525233656,32.27716793568435,33.243897525233656,257176,ALLCARGO.NS,2015-09-14,2015-37,2015-09,-0.21131134033203125,down
2015-09-15,31.70663833618164,32.58356171436913,31.505897189591984,32.58356171436913,195624,ALLCARGO.NS,2015-09-15,2015-37,2015-09,-0.771270751953125,down
2015-09-16,31.22591781616211,32.15567136004771,31.062156038329793,32.113410568119214,212488,ALLCARGO.NS,2015-09-16,2015-37,2015-09,-0.48072052001953125,down
