Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,APOLLOTYRE.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,175.72157287597656,177.46139042920404,168.37084636834132,168.7623026630666,2956582,APOLLOTYRE.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,169.84971618652344,179.20123705210668,166.97901410326747,176.1565558400563,4588655,APOLLOTYRE.NS,2015-08-19,2015-33,2015-08,-5.871856689453125,down
2015-08-20,169.1537628173828,172.1549455104275,166.71801553253684,170.41512791750247,2802925,APOLLOTYRE.NS,2015-08-20,2015-33,2015-08,-0.695953369140625,down
2015-08-21,170.19766235351562,171.1545674045427,161.97702631971313,166.06559528784052,2469104,APOLLOTYRE.NS,2015-08-21,2015-33,2015-08,1.0438995361328125,up
2015-08-24,147.7975311279297,163.97784354594512,144.70936485256922,163.3689099116666,5539839,APOLLOTYRE.NS,2015-08-24,2015-34,2015-08,-22.400131225585938,down
2015-08-25,150.58123779296875,153.06047022488974,144.0569209609295,151.8861011593766,4959915,APOLLOTYRE.NS,2015-08-25,2015-34,2015-08,2.7837066650390625,up
2015-08-26,155.8441619873047,158.93234099652778,147.01459264951356,150.49422797849613,3250410,APOLLOTYRE.NS,2015-08-26,2015-34,2015-08,5.2629241943359375,up
2015-08-27,157.67098999023438,161.8030573141164,156.84457918020928,160.58519014921168,4072606,APOLLOTYRE.NS,2015-08-27,2015-34,2015-08,1.8268280029296875,up
2015-08-28,157.67098999023438,162.62946812414148,155.1047613596274,158.49740080025947,1879712,APOLLOTYRE.NS,2015-08-28,2015-34,2015-08,0.0,no change
2015-08-31,156.5835723876953,160.846119882081,155.67016556068296,158.3233898586697,2207090,APOLLOTYRE.NS,2015-08-31,2015-35,2015-08,-1.0874176025390625,down
2015-09-01,147.58004760742188,157.23604223244413,145.70974868013494,155.3657433051572,3221786,APOLLOTYRE.NS,2015-09-01,2015-35,2015-09,-9.003524780273438,down
2015-09-02,151.1901397705078,153.32141350202636,147.1450562159893,147.9714801276274,2117812,APOLLOTYRE.NS,2015-09-02,2015-35,2015-09,3.6100921630859375,up
2015-09-03,149.62432861328125,153.62591480430174,148.58044060328868,152.14705907690967,2011862,APOLLOTYRE.NS,2015-09-03,2015-35,2015-09,-1.5658111572265625,down
2015-09-04,148.05848693847656,150.75520974350778,141.70814953618975,148.4064584505403,3009823,APOLLOTYRE.NS,2015-09-04,2015-35,2015-09,-1.5658416748046875,down
2015-09-07,146.75363159179688,150.23326725857927,146.01421697685961,148.4934494251881,1393563,APOLLOTYRE.NS,2015-09-07,2015-36,2015-09,-1.3048553466796875,down
2015-09-08,154.10433959960938,155.88765530580648,144.97029714098298,147.10158433366644,2188449,APOLLOTYRE.NS,2015-09-08,2015-36,2015-09,7.3507080078125,up
2015-09-09,155.06126403808594,157.9754642116985,154.2348532239106,155.9311729527456,2000066,APOLLOTYRE.NS,2015-09-09,2015-36,2015-09,0.9569244384765625,up
2015-09-10,160.49819946289062,161.28111219954826,150.7552219876454,152.49503986800195,3003995,APOLLOTYRE.NS,2015-09-10,2015-36,2015-09,5.4369354248046875,up
2015-09-11,161.28109741210938,164.0648163844536,159.2368195543791,160.93313917744425,2531572,APOLLOTYRE.NS,2015-09-11,2015-36,2015-09,0.78289794921875,up
2015-09-14,163.58636474609375,165.41316539865394,161.10711917091564,162.15100715434372,1501966,APOLLOTYRE.NS,2015-09-14,2015-37,2015-09,2.305267333984375,up
2015-09-15,161.71603393554688,165.1956689919223,160.93312135736414,164.0213001246482,1484762,APOLLOTYRE.NS,2015-09-15,2015-37,2015-09,-1.870330810546875,down
2015-09-16,160.58517456054688,164.41276808476414,159.84574674907626,163.36888014850084,1587411,APOLLOTYRE.NS,2015-09-16,2015-37,2015-09,-1.130859375,down
2015-09-18,162.28150939941406,166.58755583812876,161.49858341816633,162.71646385329953,2692858,APOLLOTYRE.NS,2015-09-18,2015-37,2015-09,1.6963348388671875,up
2015-09-21,168.24037170410156,169.37125590030928,159.93275253779143,160.7591633171815,2685207,APOLLOTYRE.NS,2015-09-21,2015-38,2015-09,5.9588623046875,up
2015-09-22,159.62826538085938,171.80698862517562,157.36649718312725,169.67571471217127,3707639,APOLLOTYRE.NS,2015-09-22,2015-38,2015-09,-8.612106323242188,down
2015-09-23,161.41160583496094,162.23801666994925,155.71369964568854,155.71369964568854,2040030,APOLLOTYRE.NS,2015-09-23,2015-38,2015-09,1.7833404541015625,up
2015-09-24,162.41197204589844,163.23838276000453,159.62826651081508,159.88924180836304,2464837,APOLLOTYRE.NS,2015-09-24,2015-38,2015-09,1.0003662109375,up
2015-09-28,159.06283569335938,164.06481149159387,158.10593066593407,162.6729520469308,989652,APOLLOTYRE.NS,2015-09-28,2015-39,2015-09,-3.3491363525390625,down
2015-09-29,158.4973907470703,160.93313819614144,154.14784647149892,155.71368506545576,1926079,APOLLOTYRE.NS,2015-09-29,2015-39,2015-09,-0.5654449462890625,down
2015-09-30,156.54013061523438,161.2811322745778,154.7568144111441,160.367738392704,2265916,APOLLOTYRE.NS,2015-09-30,2015-39,2015-09,-1.9572601318359375,down
