Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,ASAHIINDIA.NS,ASAHIINDIA.NS,ASAHIINDIA.NS,ASAHIINDIA.NS,ASAHIINDIA.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,153.5596466064453,158.874801350162,151.7235081388214,155.58907522516077,20990,ASAHIINDIA.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,153.5596466064453,155.2991547444917,152.2067040246138,155.2991547444917,70524,ASAHIINDIA.NS,2015-08-19,2015-33,2015-08,0.0,no change
2015-08-20,149.01760864257812,154.526038806699,147.85794146265295,153.60796957034023,19772,ASAHIINDIA.NS,2015-08-20,2015-33,2015-08,-4.5420379638671875,down
2015-08-21,149.35585021972656,149.7907235647532,143.99237297514983,149.7907235647532,19903,ASAHIINDIA.NS,2015-08-21,2015-33,2015-08,0.3382415771484375,up
2015-08-24,143.1226043701172,149.79070062875275,137.2276096082767,149.79070062875275,77497,ASAHIINDIA.NS,2015-08-24,2015-34,2015-08,-6.233245849609375,down
2015-08-25,139.35369873046875,145.00709682598554,136.30957036886375,141.09320697108694,143976,ASAHIINDIA.NS,2015-08-25,2015-34,2015-08,-3.7689056396484375,down
2015-08-26,139.59527587890625,143.99236099263996,138.2423334189729,139.93351886687302,15470,ASAHIINDIA.NS,2015-08-26,2015-34,2015-08,0.2415771484375,up
2015-08-27,145.055419921875,146.89155850479733,140.030170597304,142.01127680264807,39127,ASAHIINDIA.NS,2015-08-27,2015-34,2015-08,5.46014404296875,up
2015-08-28,146.9398651123047,148.5827280998247,144.9587591217802,147.8579343042158,19052,ASAHIINDIA.NS,2015-08-28,2015-34,2015-08,1.8844451904296875,up
2015-08-31,145.5386199951172,148.7277013359193,144.95877898080616,146.89156270055022,14688,ASAHIINDIA.NS,2015-08-31,2015-35,2015-08,-1.4012451171875,down
2015-09-01,142.63943481445312,147.8579446081169,140.36840819822862,145.10372209448022,23137,ASAHIINDIA.NS,2015-09-01,2015-35,2015-09,-2.8991851806640625,down
2015-09-02,140.7549591064453,144.86212423703603,139.1604185423681,143.1226308020313,35767,ASAHIINDIA.NS,2015-09-02,2015-35,2015-09,-1.8844757080078125,down
2015-09-03,140.32008361816406,142.0595917727382,138.1940246496705,142.0595917727382,22073,ASAHIINDIA.NS,2015-09-03,2015-35,2015-09,-0.43487548828125,down
2015-09-04,138.19400024414062,142.0112441548381,136.26121702394286,141.47972582009055,18812,ASAHIINDIA.NS,2015-09-04,2015-35,2015-09,-2.1260833740234375,down
2015-09-07,130.22128295898438,139.54695706471026,128.09522414558216,137.27594539315433,21923,ASAHIINDIA.NS,2015-09-07,2015-36,2015-09,-7.97271728515625,down
2015-09-08,132.3956756591797,135.24652849972745,123.26327616326938,130.07634125404863,38128,ASAHIINDIA.NS,2015-09-08,2015-36,2015-09,2.1743927001953125,up
2015-09-09,134.85997009277344,136.11628230235146,130.46288473223422,135.24652088988927,24863,ASAHIINDIA.NS,2015-09-09,2015-36,2015-09,2.46429443359375,up
2015-09-10,132.3473358154297,136.26122501505546,129.68975873180273,133.41037254726712,24136,ASAHIINDIA.NS,2015-09-10,2015-36,2015-09,-2.51263427734375,down
2015-09-11,132.202392578125,136.16458985246413,131.525921311381,136.16458985246413,17335,ASAHIINDIA.NS,2015-09-11,2015-36,2015-09,-0.1449432373046875,down
