Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,831.54296875,844.0436046122487,822.8248895744886,836.7092983701743,622790,ASIANPAINT.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,830.0668334960938,832.6960862998285,813.3224786272328,828.9136425632012,618923,ASIANPAINT.NS,2015-08-19,2015-33,2015-08,-1.47613525390625,down
2015-08-20,814.7986450195312,843.4438982259516,811.431304772972,834.910284817595,1404599,ASIANPAINT.NS,2015-08-20,2015-33,2015-08,-15.2681884765625,down
2015-08-21,818.0736694335938,823.8396242505771,797.0855938997745,807.2336743776651,905933,ASIANPAINT.NS,2015-08-21,2015-33,2015-08,3.2750244140625,up
2015-08-24,772.6380004882812,809.2633593551482,761.5673664514343,791.5503336345616,1176140,ASIANPAINT.NS,2015-08-24,2015-34,2015-08,-45.4356689453125,down
2015-08-25,786.1534423828125,798.9307769739713,748.8822843055673,784.169931210018,1329631,ASIANPAINT.NS,2015-08-25,2015-34,2015-08,13.51544189453125,up
2015-08-26,785.9226684570312,800.8679771657975,781.4021376991487,785.0923485029228,1265081,ASIANPAINT.NS,2015-08-26,2015-34,2015-08,-0.23077392578125,down
2015-08-27,788.78271484375,798.0082436723319,784.6312268708882,793.395479258041,1335712,ASIANPAINT.NS,2015-08-27,2015-34,2015-08,2.86004638671875,up
2015-08-28,791.7810668945312,806.4035085836496,784.1700050805144,799.7149997167863,1077558,ASIANPAINT.NS,2015-08-28,2015-34,2015-08,2.99835205078125,up
2015-08-31,782.8781127929688,795.9322545888211,779.6030623289636,790.6275771458936,1260477,ASIANPAINT.NS,2015-08-31,2015-35,2015-08,-8.9029541015625,down
2015-09-01,755.6629638671875,778.7267834981986,740.6253647293989,778.634550742936,1438466,ASIANPAINT.NS,2015-09-01,2015-35,2015-09,-27.21514892578125,down
2015-09-02,743.5775146484375,765.7187805933041,737.258050849934,765.6265478417943,1500676,ASIANPAINT.NS,2015-09-02,2015-35,2015-09,-12.08544921875,down
2015-09-03,762.582275390625,768.4866370218624,744.0389829029195,751.8806832806937,887079,ASIANPAINT.NS,2015-09-03,2015-35,2015-09,19.0047607421875,up
2015-09-04,749.89697265625,760.1834582369643,730.6617705384414,760.1834582369643,1101752,ASIANPAINT.NS,2015-09-04,2015-35,2015-09,-12.685302734375,down
2015-09-07,726.9716186523438,756.4471923707545,724.2500765848441,751.8805446721575,874378,ASIANPAINT.NS,2015-09-07,2015-36,2015-09,-22.92535400390625,down
2015-09-08,730.2005004882812,738.0421988510739,717.7460383826694,729.8314568655952,1489813,ASIANPAINT.NS,2015-09-08,2015-36,2015-09,3.2288818359375,up
2015-09-09,757.5541381835938,759.1686053362523,734.3519162949851,738.0421269296332,1412900,ASIANPAINT.NS,2015-09-09,2015-36,2015-09,27.3536376953125,up
2015-09-10,745.3765258789062,753.7256172316532,738.3189746263646,753.7256172316532,887236,ASIANPAINT.NS,2015-09-10,2015-36,2015-09,-12.1776123046875,down
2015-09-11,752.9414672851562,761.0138040390208,747.7751379777914,751.8805090742444,1034469,ASIANPAINT.NS,2015-09-11,2015-36,2015-09,7.56494140625,up
2015-09-14,775.1749877929688,777.1584988300714,755.5707408538428,758.3383992452489,1115176,ASIANPAINT.NS,2015-09-14,2015-37,2015-09,22.2335205078125,up
2015-09-15,766.7335815429688,782.3247458165837,759.8144357957702,775.036556439607,832597,ASIANPAINT.NS,2015-09-15,2015-37,2015-09,-8.44140625,down
2015-09-16,760.1373901367188,774.9443513017462,754.740422476689,774.9443513017462,665278,ASIANPAINT.NS,2015-09-16,2015-37,2015-09,-6.59619140625,down
2015-09-18,775.9130859375,784.0777126838273,760.1835706463166,762.0286764003125,1139255,ASIANPAINT.NS,2015-09-18,2015-37,2015-09,15.77569580078125,up
2015-09-21,765.4420776367188,773.3760092786077,760.1835153586505,773.3760092786077,688544,ASIANPAINT.NS,2015-09-21,2015-38,2015-09,-10.47100830078125,down
2015-09-22,742.3782958984375,774.3908913242261,739.9796246833755,766.8259466289898,826254,ASIANPAINT.NS,2015-09-22,2015-38,2015-09,-23.06378173828125,down
2015-09-23,732.5991821289062,741.7324776984557,725.21875946524,733.5217349618646,1281278,ASIANPAINT.NS,2015-09-23,2015-38,2015-09,-9.77911376953125,down
