Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,,,,,,
Date,,,,,,,,,,,
2017-07-11,281.67596435546875,285.35055053984087,264.3707189064895,266.6549014700515,28572624,AUBANK.NS,2017-07-11,2017-28,2017-07,,no change
2017-07-12,312.6119384765625,319.14176883603204,285.52437155019993,286.2443955922047,35549156,AUBANK.NS,2017-07-12,2017-28,2017-07,30.93597412109375,up
2017-07-13,343.2002868652344,347.07348075011004,312.88502457654107,323.7597903954873,43750394,AUBANK.NS,2017-07-13,2017-28,2017-07,30.588348388671875,up
2017-07-14,297.34259033203125,360.25727068062866,278.6221168622429,346.5024384331784,67296768,AUBANK.NS,2017-07-14,2017-28,2017-07,-45.857696533203125,down
2017-07-17,296.0018310546875,304.74137690243305,279.24279363269136,292.9728023400804,23021580,AUBANK.NS,2017-07-17,2017-29,2017-07,-1.34075927734375,down
2017-07-18,292.4266357421875,299.42817803070267,288.55341118305654,292.97284417597774,7099796,AUBANK.NS,2017-07-18,2017-29,2017-07,-3.5751953125,down
2017-07-19,291.4583435058594,298.68334606480533,290.04311744701397,293.9411643376533,3583984,AUBANK.NS,2017-07-19,2017-29,2017-07,-0.968292236328125,down
2017-07-20,289.2982482910156,297.41708995285956,286.5671455922894,291.9797067001854,6110080,AUBANK.NS,2017-07-20,2017-29,2017-07,-2.16009521484375,down
2017-07-21,289.7203369140625,295.4556463402706,288.1065035516997,289.9934411138118,2877876,AUBANK.NS,2017-07-21,2017-29,2017-07,0.422088623046875,up
2017-07-24,291.18524169921875,293.4446026133796,286.020962202961,291.2348859931192,2979578,AUBANK.NS,2017-07-24,2017-30,2017-07,1.46490478515625,up
2017-07-25,298.95635986328125,303.8971778855751,292.4513833748232,292.9479473909761,6180740,AUBANK.NS,2017-07-25,2017-30,2017-07,7.7711181640625,up
2017-07-26,295.45562744140625,301.4143963982077,293.9659352022059,299.08053916188726,2126020,AUBANK.NS,2017-07-26,2017-30,2017-07,-3.500732421875,down
2017-07-27,288.92578125,297.1687626898432,288.00714987784573,296.8956585230837,1698416,AUBANK.NS,2017-07-27,2017-30,2017-07,-6.52984619140625,down
2017-07-28,292.2279968261719,297.31777926876873,283.0415602224604,287.01407334838973,4663896,AUBANK.NS,2017-07-28,2017-30,2017-07,3.302215576171875,up
2017-07-31,293.270751953125,295.45564616556385,287.0885530149468,292.9728256095507,2100158,AUBANK.NS,2017-07-31,2017-31,2017-07,1.042755126953125,up
2017-08-01,290.9369201660156,294.2142311237406,289.49687214369754,293.9659490721594,844314,AUBANK.NS,2017-08-01,2017-31,2017-08,-2.333831787109375,down
2017-08-02,289.0002746582031,292.9231427432041,288.0071465665942,289.09959352893685,930916,AUBANK.NS,2017-08-02,2017-31,2017-08,-1.9366455078125,down
2017-08-03,277.3310852050781,290.7383176142762,272.1668057835719,289.0003430427135,1480784,AUBANK.NS,2017-08-03,2017-31,2017-08,-11.669189453125,down
2017-08-04,275.2454833984375,278.27454269033166,269.0136098050894,278.27454269033166,1403112,AUBANK.NS,2017-08-04,2017-31,2017-08,-2.085601806640625,down
2017-08-07,273.8054504394531,288.72719523280364,246.4199288437923,273.11024859261613,14704942,AUBANK.NS,2017-08-07,2017-32,2017-08,-1.440032958984375,down
2017-08-08,282.22216796875,287.16298636764037,272.3902057610882,274.8233817488427,4743356,AUBANK.NS,2017-08-08,2017-32,2017-08,8.416717529296875,up
2017-08-09,273.0606384277344,280.5587449756159,268.64120536603224,280.5587449756159,2774206,AUBANK.NS,2017-08-09,2017-32,2017-08,-9.161529541015625,down
2017-08-10,269.5350036621094,273.45787241167034,249.27519322271368,255.7305269117481,6399422,AUBANK.NS,2017-08-10,2017-32,2017-08,-3.525634765625,down
2017-08-11,268.88946533203125,272.0426353046521,260.7706542637127,264.17210629111844,1678474,AUBANK.NS,2017-08-11,2017-32,2017-08,-0.645538330078125,down
2017-08-14,268.3432312011719,275.5930543825025,266.6549012673943,270.726732636961,1176194,AUBANK.NS,2017-08-14,2017-33,2017-08,-0.546234130859375,down
2017-08-16,270.1805114746094,274.0040610607237,268.29357397861713,270.6770755687056,975976,AUBANK.NS,2017-08-16,2017-33,2017-08,1.8372802734375,up
2017-08-17,269.8825988769531,274.3516759512725,269.18739698668935,271.32264694627014,651746,AUBANK.NS,2017-08-17,2017-33,2017-08,-0.29791259765625,down
2017-08-18,267.02740478515625,272.61375216559884,265.66185320327025,268.8398762806273,573760,AUBANK.NS,2017-08-18,2017-33,2017-08,-2.855194091796875,down
2017-08-21,268.24395751953125,271.37230557529364,266.8287315198236,268.5170617380421,1074978,AUBANK.NS,2017-08-21,2017-34,2017-08,1.216552734375,up
2017-08-22,262.9306945800781,270.2550151561993,262.0368852493115,269.534991139685,943080,AUBANK.NS,2017-08-22,2017-34,2017-08,-5.313262939453125,down
2017-08-23,260.8202819824219,264.66865358711254,259.2064487288419,264.0727706319098,510576,AUBANK.NS,2017-08-23,2017-34,2017-08,-2.11041259765625,down
2017-08-24,264.5941467285156,265.6617715785661,260.22438907066544,261.5651180916069,972048,AUBANK.NS,2017-08-24,2017-34,2017-08,3.77386474609375,up
2017-08-28,267.1266784667969,268.76533402607487,262.18585933629106,264.79282100582805,1001376,AUBANK.NS,2017-08-28,2017-35,2017-08,2.53253173828125,up
2017-08-29,270.5281066894531,277.4800038600008,263.6755283972009,263.6755283972009,1649802,AUBANK.NS,2017-08-29,2017-35,2017-08,3.40142822265625,up
2017-08-30,273.5323181152344,276.9586224751876,272.34058247845667,273.110250759934,712294,AUBANK.NS,2017-08-30,2017-35,2017-08,3.00421142578125,up
2017-08-31,272.8371887207031,276.3131379037296,271.12403627606574,273.0109740567058,580208,AUBANK.NS,2017-08-31,2017-35,2017-08,-0.69512939453125,down
2017-09-01,274.2523498535156,283.0415405967786,271.89367034854246,273.606822576886,1765988,AUBANK.NS,2017-09-01,2017-35,2017-09,1.4151611328125,up
2017-09-04,276.586181640625,280.2110932199435,269.1625428761304,275.96547656512985,1182770,AUBANK.NS,2017-09-04,2017-36,2017-09,2.333831787109375,up
2017-09-05,284.6056823730469,286.26915972968396,274.6744018967352,278.1254976159633,1989224,AUBANK.NS,2017-09-05,2017-36,2017-09,8.019500732421875,up
2017-09-06,281.9739074707031,287.0140451267857,279.863510080065,282.04840420763713,1157354,AUBANK.NS,2017-09-06,2017-36,2017-09,-2.63177490234375,down
2017-09-07,277.4303894042969,286.0209429128484,275.5930960358175,283.6622632620914,815452,AUBANK.NS,2017-09-07,2017-36,2017-09,-4.54351806640625,down
