Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,191.12109375,194.1462409201574,190.5638337934434,194.02681722647026,197940,BAJAJFINSV.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,187.4739990234375,192.35501877186977,186.58337015167265,191.4594094846256,309280,BAJAJFINSV.NS,2015-08-19,2015-33,2015-08,-3.6470947265625,down
2015-08-20,187.01626586914062,191.75797126886508,185.19024488162606,187.08593095828826,2315400,BAJAJFINSV.NS,2015-08-20,2015-33,2015-08,-0.457733154296875,down
2015-08-21,186.8819580078125,188.57364465920858,181.607863590003,185.2798277545273,342140,BAJAJFINSV.NS,2015-08-21,2015-33,2015-08,-0.134307861328125,down
2015-08-24,170.6317901611328,184.09066870575418,167.2434363203926,184.09066870575418,1031710,BAJAJFINSV.NS,2015-08-24,2015-34,2015-08,-16.250167846679688,down
2015-08-25,169.98989868164062,174.1295656722479,165.38750854291405,170.96013835213114,849030,BAJAJFINSV.NS,2015-08-25,2015-34,2015-08,-0.6418914794921875,down
2015-08-26,170.56210327148438,177.52788369981658,169.36797252060956,169.36797252060956,386910,BAJAJFINSV.NS,2015-08-26,2015-34,2015-08,0.57220458984375,up
2015-08-27,173.61212158203125,178.62251155308965,171.65175074189395,171.66667680680075,331030,BAJAJFINSV.NS,2015-08-27,2015-34,2015-08,3.050018310546875,up
2015-08-28,180.61767578125,183.79208315957717,174.64202775055838,174.64202775055838,998140,BAJAJFINSV.NS,2015-08-28,2015-34,2015-08,7.00555419921875,up
2015-08-31,180.0952606201172,186.88192779594908,176.13472141833054,179.61761138987944,293190,BAJAJFINSV.NS,2015-08-31,2015-35,2015-08,-0.5224151611328125,down
2015-09-01,176.3934326171875,183.69756147373195,175.5426166636316,179.12004318531837,529790,BAJAJFINSV.NS,2015-09-01,2015-35,2015-09,-3.7018280029296875,down
2015-09-02,177.65228271484375,181.09039492912973,175.34363182340113,177.42839172746307,620820,BAJAJFINSV.NS,2015-09-02,2015-35,2015-09,1.25885009765625,up
2015-09-03,184.11550903320312,186.18534249483616,178.1199539476064,178.64239652483127,432430,BAJAJFINSV.NS,2015-09-03,2015-35,2015-09,6.463226318359375,up
2015-09-04,181.9810028076172,190.06628317842723,181.22472358693483,184.66780063246267,517290,BAJAJFINSV.NS,2015-09-04,2015-35,2015-09,-2.1345062255859375,down
2015-09-07,174.19424438476562,183.57813710155636,172.45279952696,182.10537655910085,661500,BAJAJFINSV.NS,2015-09-07,2015-36,2015-09,-7.7867584228515625,down
2015-09-08,174.1444854736328,175.63217207630828,166.8851500298495,174.6022433736375,916880,BAJAJFINSV.NS,2015-09-08,2015-36,2015-09,-0.0497589111328125,down
2015-09-09,180.22964477539062,183.09059065515544,177.12986664282977,177.12986664282977,285980,BAJAJFINSV.NS,2015-09-09,2015-36,2015-09,6.0851593017578125,up
2015-09-10,179.64248657226562,180.61272629961948,171.55720612496862,174.64703807775643,556230,BAJAJFINSV.NS,2015-09-10,2015-36,2015-09,-0.587158203125,down
2015-09-11,178.14981079101562,182.5183491923673,177.42836414268933,180.42364396481784,145740,BAJAJFINSV.NS,2015-09-11,2015-36,2015-09,-1.49267578125,down
2015-09-14,187.23519897460938,188.37460586877577,178.62251034512735,178.62251034512735,767210,BAJAJFINSV.NS,2015-09-14,2015-37,2015-09,9.08538818359375,up
2015-09-15,185.31961059570312,188.91694413844039,185.09073920202832,188.91694413844039,305970,BAJAJFINSV.NS,2015-09-15,2015-37,2015-09,-1.91558837890625,down
2015-09-16,183.34429931640625,190.57378319889654,182.20490766941398,189.06619000005168,279180,BAJAJFINSV.NS,2015-09-16,2015-37,2015-09,-1.975311279296875,down
2015-09-18,182.5531768798828,187.18045383783885,177.72689586995193,186.57840052936925,1849440,BAJAJFINSV.NS,2015-09-18,2015-37,2015-09,-0.7911224365234375,down
2015-09-21,177.721923828125,184.54340830532095,175.0301456367547,184.0956112067921,1032150,BAJAJFINSV.NS,2015-09-21,2015-38,2015-09,-4.8312530517578125,down
2015-09-22,177.60252380371094,182.10539708416286,176.66213618609183,179.1150822894939,553330,BAJAJFINSV.NS,2015-09-22,2015-38,2015-09,-0.1194000244140625,down
2015-09-23,175.50283813476562,178.70211783492448,173.55241299183544,175.74165516731506,331160,BAJAJFINSV.NS,2015-09-23,2015-38,2015-09,-2.0996856689453125,down
2015-09-24,173.63699340820312,177.92592110670236,173.14938335657845,175.23912336731857,316100,BAJAJFINSV.NS,2015-09-24,2015-38,2015-09,-1.8658447265625,down
2015-09-28,172.23385620117188,175.13957921606254,171.85570906892283,174.14446797051673,249640,BAJAJFINSV.NS,2015-09-28,2015-39,2015-09,-1.40313720703125,down
2015-09-29,171.55224609375,174.64206295601227,168.54700520327393,171.34824642033033,978370,BAJAJFINSV.NS,2015-09-29,2015-39,2015-09,-0.681610107421875,down
2015-09-30,172.10452270507812,174.94059641890945,171.6567255882089,172.751354259841,5383950,BAJAJFINSV.NS,2015-09-30,2015-39,2015-09,0.552276611328125,up
2015-10-01,175.39834594726562,178.82153190597057,173.50265977153916,174.04002847985947,610890,BAJAJFINSV.NS,2015-10-01,2015-39,2015-10,3.2938232421875,up
2015-10-05,179.06036376953125,180.80180887537267,175.74166027249566,177.72691801840836,672080,BAJAJFINSV.NS,2015-10-05,2015-40,2015-10,3.662017822265625,up
2015-10-06,177.32388305664062,180.8913489193777,174.044977634411,180.7122361559476,802070,BAJAJFINSV.NS,2015-10-06,2015-40,2015-10,-1.736480712890625,down
2015-10-07,176.45814514160156,179.6176272167409,175.8362004490228,178.33394005230488,405640,BAJAJFINSV.NS,2015-10-07,2015-40,2015-10,-0.8657379150390625,down
2015-10-08,176.1944122314453,178.61750592588328,175.16446834565934,176.1347079802451,226510,BAJAJFINSV.NS,2015-10-08,2015-40,2015-10,-0.26373291015625,down
2015-10-09,178.56777954101562,179.12005910149804,176.13472478313975,176.63726091900597,718380,BAJAJFINSV.NS,2015-10-09,2015-40,2015-10,2.3733673095703125,up
2015-10-12,178.2692413330078,180.61272449847948,177.82640945835809,180.11516878360763,478720,BAJAJFINSV.NS,2015-10-12,2015-41,2015-10,-0.2985382080078125,down
2015-10-13,174.96051025390625,179.00562572438164,173.94549227792675,178.12495751804724,232490,BAJAJFINSV.NS,2015-10-13,2015-41,2015-10,-3.3087310791015625,down
2015-10-14,174.7465362548828,176.83129588971482,174.14449809874466,175.1346291004208,134410,BAJAJFINSV.NS,2015-10-14,2015-41,2015-10,-0.2139739990234375,down
2015-10-15,173.81610107421875,176.3337316241119,170.78100836065354,176.32876639251702,179370,BAJAJFINSV.NS,2015-10-15,2015-41,2015-10,-0.9304351806640625,down
2015-10-16,176.16458129882812,177.08008202382103,174.24402346126814,174.24402346126814,1513530,BAJAJFINSV.NS,2015-10-16,2015-41,2015-10,2.348480224609375,up
2015-10-19,177.9757080078125,178.92106094993545,176.63230133245014,177.92594939313292,522420,BAJAJFINSV.NS,2015-10-19,2015-42,2015-10,1.811126708984375,up
2015-10-20,181.5232391357422,185.38925663806475,178.12494038979824,178.12494038979824,1031550,BAJAJFINSV.NS,2015-10-20,2015-42,2015-10,3.5475311279296875,up
2015-10-21,184.02593994140625,188.07605054039863,183.20001085932537,183.9960878147862,1069670,BAJAJFINSV.NS,2015-10-21,2015-42,2015-10,2.5027008056640625,up
2015-10-23,182.04071044921875,186.9814351480992,181.10530325791416,185.11560118167645,305990,BAJAJFINSV.NS,2015-10-23,2015-42,2015-10,-1.9852294921875,down
2015-10-26,189.6234588623047,190.95193935569495,182.26462047486302,183.89660267816495,924070,BAJAJFINSV.NS,2015-10-26,2015-43,2015-10,7.5827484130859375,up
2015-10-27,197.51470947265625,198.5247470520444,190.06629918265907,190.06629918265907,2569500,BAJAJFINSV.NS,2015-10-27,2015-43,2015-10,7.8912506103515625,up
2015-10-28,196.91763305664062,199.90794796314378,195.24585303061187,196.83305708257177,1416700,BAJAJFINSV.NS,2015-10-28,2015-43,2015-10,-0.597076416015625,down
