Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,BALKRISIND.NS,BALKRISIND.NS,BALKRISIND.NS,BALKRISIND.NS,BALKRISIND.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,304.2315368652344,308.1703252211884,303.4483792224198,304.02422629544037,152344,BALKRISIND.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,305.5675964355469,314.02105141519934,302.20465392844926,307.917070219236,176122,BALKRISIND.NS,2015-08-19,2015-33,2015-08,1.3360595703125,up
2015-08-20,301.4214172363281,307.9630462812164,299.1180287076728,307.3180862461786,225822,BALKRISIND.NS,2015-08-20,2015-33,2015-08,-4.14617919921875,down
2015-08-21,300.3849182128906,304.0473119116983,298.5191789678492,298.95682844941155,173560,BALKRISIND.NS,2015-08-21,2015-33,2015-08,-1.0364990234375,down
2015-08-24,293.4056396484375,299.46353455916716,288.7758062493466,294.8337292776117,163898,BALKRISIND.NS,2015-08-24,2015-34,2015-08,-6.979278564453125,down
2015-08-25,294.3039245605469,296.3309175991443,290.1347971809099,292.5533550004132,288846,BALKRISIND.NS,2015-08-25,2015-34,2015-08,0.898284912109375,up
2015-08-26,290.34210205078125,294.30391877304464,286.08083359545446,294.30391877304464,203548,BALKRISIND.NS,2015-08-26,2015-34,2015-08,-3.961822509765625,down
2015-08-27,290.2269287109375,295.2943830217634,288.38421805245537,292.2999782017299,48506,BALKRISIND.NS,2015-08-27,2015-34,2015-08,-0.11517333984375,down
2015-08-28,290.319091796875,298.5191492230124,287.9696186593208,290.22695063348425,840782,BALKRISIND.NS,2015-08-28,2015-34,2015-08,0.0921630859375,up
2015-08-31,295.6629333496094,299.3022983172334,289.3055869042023,292.5533589680754,35196,BALKRISIND.NS,2015-08-31,2015-35,2015-08,5.343841552734375,up
2015-09-01,294.9028015136719,299.4404650055901,292.530300428538,297.04493566203905,30538,BALKRISIND.NS,2015-09-01,2015-35,2015-09,-0.7601318359375,down
2015-09-02,297.1140441894531,300.2236182034389,294.83368428902395,294.9027971807917,66258,BALKRISIND.NS,2015-09-02,2015-35,2015-09,2.21124267578125,up
2015-09-03,305.2911376953125,307.7327240440105,299.2332142908444,299.2562425538672,41150,BALKRISIND.NS,2015-09-03,2015-35,2015-09,8.177093505859375,up
2015-09-04,302.61920166015625,304.9686467552136,290.38818585592946,304.23157365961737,49684,BALKRISIND.NS,2015-09-04,2015-35,2015-09,-2.67193603515625,down
2015-09-07,301.882080078125,304.8995132785853,299.44049398147524,299.44049398147524,76728,BALKRISIND.NS,2015-09-07,2015-36,2015-09,-0.73712158203125,down
2015-09-08,302.2967224121094,303.4944732249095,297.1371263770929,299.90119266897284,30348,BALKRISIND.NS,2015-09-08,2015-36,2015-09,0.414642333984375,up
2015-09-09,311.1648254394531,313.21484727168297,303.84003717700455,306.8114146086598,21286,BALKRISIND.NS,2015-09-09,2015-36,2015-09,8.86810302734375,up
2015-09-10,314.3204345703125,319.6182288869312,304.4158625870689,311.41817026384666,47850,BALKRISIND.NS,2015-09-10,2015-36,2015-09,3.155609130859375,up
2015-09-11,317.4068908691406,323.3726718725531,313.2607921495147,315.10350269157067,70314,BALKRISIND.NS,2015-09-11,2015-36,2015-09,3.086456298828125,up
2015-09-14,318.65081787109375,324.7317700345296,315.5642712008043,322.33624001650463,26900,BALKRISIND.NS,2015-09-14,2015-37,2015-09,1.243927001953125,up
2015-09-15,314.0438537597656,320.1478305645265,312.80001890057395,317.8674713422622,22440,BALKRISIND.NS,2015-09-15,2015-37,2015-09,-4.606964111328125,down
2015-09-16,314.34326171875,316.9461006821161,309.80559986733005,311.4409992691477,12964,BALKRISIND.NS,2015-09-16,2015-37,2015-09,0.299407958984375,up
2015-09-18,314.89630126953125,316.7159841839875,309.5754783587485,315.5642896960457,96350,BALKRISIND.NS,2015-09-18,2015-37,2015-09,0.55303955078125,up
2015-09-21,313.7674865722656,316.20910022535736,307.70959330282716,312.63884900218983,21760,BALKRISIND.NS,2015-09-21,2015-38,2015-09,-1.128814697265625,down
2015-09-22,308.14727783203125,320.1709527232592,304.9685909392771,317.6141975012775,176338,BALKRISIND.NS,2015-09-22,2015-38,2015-09,-5.620208740234375,down
2015-09-23,301.90509033203125,307.75570218130093,300.3618314328785,307.75570218130093,57258,BALKRISIND.NS,2015-09-23,2015-38,2015-09,-6.2421875,down
2015-09-24,305.40631103515625,308.608026927328,301.74391740648605,305.5445087325983,13404,BALKRISIND.NS,2015-09-24,2015-38,2015-09,3.501220703125,up
2015-09-28,308.7001953125,311.487318611914,306.9957098759712,308.1934609585389,167092,BALKRISIND.NS,2015-09-28,2015-39,2015-09,3.29388427734375,up
2015-09-29,309.2760314941406,315.10361694339997,300.17764489380124,307.2029813826709,12456,BALKRISIND.NS,2015-09-29,2015-39,2015-09,0.575836181640625,up
2015-09-30,308.7232360839844,313.72157892109993,306.3507341887393,307.6175981271138,36282,BALKRISIND.NS,2015-09-30,2015-39,2015-09,-0.55279541015625,down
2015-10-01,306.8113708496094,311.92488245008786,306.4428342859101,311.1878093226894,6892,BALKRISIND.NS,2015-10-01,2015-39,2015-10,-1.911865234375,down
2015-10-05,305.0376892089844,310.4736793567557,285.3437214782975,310.4736793567557,32428,BALKRISIND.NS,2015-10-05,2015-40,2015-10,-1.773681640625,down
2015-10-06,308.14727783203125,308.90737905071165,303.2410498274609,307.04164027345644,44472,BALKRISIND.NS,2015-10-06,2015-40,2015-10,3.109588623046875,up
2015-10-07,304.1163635253906,306.6961471322122,301.5135235419195,304.991634194565,80444,BALKRISIND.NS,2015-10-07,2015-40,2015-10,-4.030914306640625,down
2015-10-08,306.2124328613281,306.5809693497373,301.78991064782264,301.78991064782264,12142,BALKRISIND.NS,2015-10-08,2015-40,2015-10,2.0960693359375,up
2015-10-09,305.2450256347656,312.3394732958746,302.2045641328816,312.3394732958746,250068,BALKRISIND.NS,2015-10-09,2015-40,2015-10,-0.9674072265625,down
2015-10-12,304.87646484375,312.1091096125208,300.5921682984056,312.1091096125208,45034,BALKRISIND.NS,2015-10-12,2015-41,2015-10,-0.368560791015625,down
2015-10-13,305.6596984863281,308.677132237478,303.1259707671498,308.6080474429332,55710,BALKRISIND.NS,2015-10-13,2015-41,2015-10,0.783233642578125,up
