Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,555.46435546875,559.0911240922877,551.554933708567,554.0041725846484,163944,BATAINDIA.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,555.65283203125,565.6854106051446,550.1420146434713,555.3231466306958,186286,BATAINDIA.NS,2015-08-19,2015-33,2015-08,0.1884765625,up
2015-08-20,533.0913696289062,556.8068107739044,528.993530999767,555.7941235410183,630080,BATAINDIA.NS,2015-08-20,2015-33,2015-08,-22.56146240234375,down
2015-08-21,530.9954223632812,540.2508206328123,511.9430079647088,522.8233748059473,383338,BATAINDIA.NS,2015-08-21,2015-33,2015-08,-2.095947265625,down
2015-08-24,480.1966857910156,519.1022615858033,472.0010663144923,518.5841599371341,585782,BATAINDIA.NS,2015-08-24,2015-34,2015-08,-50.798736572265625,down
2015-08-25,477.7945861816406,490.2999203329575,459.260246659648,490.2999203329575,463208,BATAINDIA.NS,2015-08-25,2015-34,2015-08,-2.402099609375,down
2015-08-26,490.0172424316406,497.38859052346675,470.5409109213478,478.0771016868549,275550,BATAINDIA.NS,2015-08-26,2015-34,2015-08,12.22265625,up
2015-08-27,525.7672119140625,552.9681583759099,490.4177338165238,490.8887458764692,677230,BATAINDIA.NS,2015-08-27,2015-34,2015-08,35.749969482421875,up
2015-08-28,506.24359130859375,537.8955666263324,502.56967564824583,527.0622933930525,581794,BATAINDIA.NS,2015-08-28,2015-34,2015-08,-19.52362060546875,down
2015-08-31,505.2074279785156,513.8740597336508,497.67123645171597,506.3378682068512,183738,BATAINDIA.NS,2015-08-31,2015-35,2015-08,-1.036163330078125,down
2015-09-01,508.2220153808594,512.461123942887,498.095256038238,501.62784650659427,209664,BATAINDIA.NS,2015-09-01,2015-35,2015-09,3.01458740234375,up
2015-09-02,494.9394226074219,513.9447449244501,487.14415116615015,511.0480096836093,407740,BATAINDIA.NS,2015-09-02,2015-35,2015-09,-13.2825927734375,down
2015-09-03,484.74200439453125,498.1422726050217,483.0227991197036,493.1495569754556,303750,BATAINDIA.NS,2015-09-03,2015-35,2015-09,-10.197418212890625,down
2015-09-04,487.6622314453125,490.2998869769428,471.9539937514052,484.7419802311108,283460,BATAINDIA.NS,2015-09-04,2015-35,2015-09,2.92022705078125,up
2015-09-07,472.16595458984375,489.7582689001978,469.12792163681496,489.7582689001978,221110,BATAINDIA.NS,2015-09-07,2015-36,2015-09,-15.49627685546875,down
2015-09-08,476.97027587890625,481.56264251861495,464.417795564387,471.9539869731397,213492,BATAINDIA.NS,2015-09-08,2015-36,2015-09,4.8043212890625,up
2015-09-09,481.7274475097656,493.62049864603705,478.19485806334836,482.7872243436908,302140,BATAINDIA.NS,2015-09-09,2015-36,2015-09,4.757171630859375,up
2015-09-10,482.2220458984375,483.61153695026553,470.0934877523753,479.4901822404386,154978,BATAINDIA.NS,2015-09-10,2015-36,2015-09,0.494598388671875,up
2015-09-11,483.4938049316406,488.83977948782785,473.36704720535687,484.6713348998132,360554,BATAINDIA.NS,2015-09-11,2015-36,2015-09,1.271759033203125,up
2015-09-14,500.096923828125,508.69289167353423,484.31802394751077,484.4357769316944,683744,BATAINDIA.NS,2015-09-14,2015-37,2015-09,16.603118896484375,up
2015-09-15,517.971923828125,521.26900814911,493.6441976569836,506.3379492941412,580054,BATAINDIA.NS,2015-09-15,2015-37,2015-09,17.875,up
2015-09-16,527.0859375,533.0441925781543,520.4681967061471,520.4681967061471,703216,BATAINDIA.NS,2015-09-16,2015-37,2015-09,9.114013671875,up
2015-09-18,537.2362670898438,540.6275879334368,528.4754555295788,528.4754555295788,336396,BATAINDIA.NS,2015-09-18,2015-37,2015-09,10.15032958984375,up
2015-09-21,540.2743530273438,545.3848218739679,530.2888638442372,532.2435751993746,237290,BATAINDIA.NS,2015-09-21,2015-38,2015-09,3.0380859375,up
2015-09-22,531.86669921875,543.5478191984222,528.4754359970794,542.1347832732963,640202,BATAINDIA.NS,2015-09-22,2015-38,2015-09,-8.40765380859375,down
2015-09-23,522.752685546875,525.8849270190327,508.6929880703585,522.8233488500907,562316,BATAINDIA.NS,2015-09-23,2015-38,2015-09,-9.114013671875,down
2015-09-24,529.2761840820312,538.3667390702146,516.0407578141802,523.7653664445132,662000,BATAINDIA.NS,2015-09-24,2015-38,2015-09,6.52349853515625,up
2015-09-28,521.1747436523438,542.7235412321854,518.1131658541149,529.888465078072,331154,BATAINDIA.NS,2015-09-28,2015-39,2015-09,-8.1014404296875,down
2015-09-29,503.1114501953125,522.4936043734095,498.33066717255497,522.4936043734095,422240,BATAINDIA.NS,2015-09-29,2015-39,2015-09,-18.06329345703125,down
2015-09-30,507.8686218261719,512.5080779132124,494.56253458611684,494.56253458611684,445008,BATAINDIA.NS,2015-09-30,2015-39,2015-09,4.757171630859375,up
2015-10-01,498.3777160644531,515.7580679352858,495.834240120526,512.0841518499939,271754,BATAINDIA.NS,2015-10-01,2015-39,2015-10,-9.49090576171875,down
2015-10-05,506.59698486328125,515.2400436537852,500.638671502045,502.8759785252955,533216,BATAINDIA.NS,2015-10-05,2015-40,2015-10,8.219268798828125,up
2015-10-06,517.6185302734375,519.5261515620268,509.65847476444156,514.816032327557,379928,BATAINDIA.NS,2015-10-06,2015-40,2015-10,11.02154541015625,up
2015-10-07,517.8776245117188,530.0297554797912,514.3450349857179,518.8667380796841,230255,BATAINDIA.NS,2015-10-07,2015-40,2015-10,0.25909423828125,up
2015-10-08,520.750732421875,526.8738869723231,514.8159941261389,517.123963879083,144946,BATAINDIA.NS,2015-10-08,2015-40,2015-10,2.87310791015625,up
2015-10-09,513.4501953125,526.4030259586104,508.0806467453409,522.823346079366,155661,BATAINDIA.NS,2015-10-09,2015-40,2015-10,-7.300537109375,down
2015-10-12,504.7363586425781,519.0551324154214,502.1928827920448,511.518941745143,325966,BATAINDIA.NS,2015-10-12,2015-41,2015-10,-8.713836669921875,down
2015-10-13,494.6096496582031,510.38855038077895,492.67851211386005,508.69291881736984,253407,BATAINDIA.NS,2015-10-13,2015-41,2015-10,-10.126708984375,down
2015-10-14,504.877685546875,508.69287057688723,489.33429227924785,490.79441772325606,254399,BATAINDIA.NS,2015-10-14,2015-41,2015-10,10.268035888671875,up
2015-10-15,496.2581481933594,511.04793400394,494.60960647076604,505.8668028757894,271339,BATAINDIA.NS,2015-10-15,2015-41,2015-10,-8.619537353515625,down
2015-10-16,498.47198486328125,504.783499188221,491.2654788101957,497.3886343466603,261495,BATAINDIA.NS,2015-10-16,2015-41,2015-10,2.213836669921875,up
2015-10-19,494.4212341308594,500.07337768192525,492.25459060226626,499.2726803441553,239879,BATAINDIA.NS,2015-10-19,2015-42,2015-10,-4.050750732421875,down
2015-10-20,496.16400146484375,500.6857047022563,492.7726809143522,495.50457323308905,529068,BATAINDIA.NS,2015-10-20,2015-42,2015-10,1.742767333984375,up
2015-10-21,495.3632507324219,506.997280534311,492.34882021368173,497.388625140241,740034,BATAINDIA.NS,2015-10-21,2015-42,2015-10,-0.800750732421875,down
2015-10-23,495.3632507324219,499.74368491836714,493.8089457768046,496.0697686658597,343193,BATAINDIA.NS,2015-10-23,2015-42,2015-10,0.0,no change
2015-10-26,489.4756164550781,498.3306644938651,485.14232932767584,497.388640553423,337179,BATAINDIA.NS,2015-10-26,2015-43,2015-10,-5.88763427734375,down
2015-10-27,493.57342529296875,494.56253887139655,486.08432391931547,488.9103955700092,167979,BATAINDIA.NS,2015-10-27,2015-43,2015-10,4.097808837890625,up
2015-10-28,495.2220153808594,501.53358751553094,491.077086890352,493.57347342386356,330920,BATAINDIA.NS,2015-10-28,2015-43,2015-10,1.648590087890625,up
2015-10-29,474.59161376953125,497.3415132077056,470.0699106970111,494.13860905402623,917437,BATAINDIA.NS,2015-10-29,2015-43,2015-10,-20.630401611328125,down
2015-10-30,473.7909851074219,480.33803469725086,468.4685264772434,478.1713909837258,598289,BATAINDIA.NS,2015-10-30,2015-43,2015-10,-0.800628662109375,down
