Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,329.1343078613281,337.79911145531094,328.02453404820074,336.433227098729,1956234,BHARTIARTL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,326.5732727050781,329.85992815934395,318.3353011606602,329.5184570873893,4410748,BHARTIARTL.NS,2015-08-19,2015-33,2015-08,-2.56103515625,down
2015-08-20,324.3963928222656,334.6404961318148,318.76213455669455,332.93314076249317,4434974,BHARTIARTL.NS,2015-08-20,2015-33,2015-08,-2.1768798828125,down
2015-08-21,315.4754638671875,319.1889504361912,306.0423592907029,319.1889504361912,6592108,BHARTIARTL.NS,2015-08-21,2015-33,2015-08,-8.920928955078125,down
2015-08-24,297.3348693847656,312.9998133196776,288.49934612829753,304.97525847569466,7423096,BHARTIARTL.NS,2015-08-24,2015-34,2015-08,-18.140594482421875,down
2015-08-25,297.3775634765625,313.72542053845496,283.8468063056138,299.25563970598404,8827955,BHARTIARTL.NS,2015-08-25,2015-34,2015-08,0.042694091796875,up
2015-08-26,289.5664367675781,299.554428781252,287.2615288750588,298.78612615041226,7620596,BHARTIARTL.NS,2015-08-26,2015-34,2015-08,-7.811126708984375,down
2015-08-27,296.48126220703125,299.725223188325,292.29824847863296,296.65198330302337,8545234,BHARTIARTL.NS,2015-08-27,2015-34,2015-08,6.914825439453125,up
2015-08-28,309.4570617675781,311.4631933429853,300.0666512682991,304.6764959821801,6812371,BHARTIARTL.NS,2015-08-28,2015-34,2015-08,12.975799560546875,up
2015-08-31,302.4569091796875,312.4448999397934,298.7860886505109,311.5912079743775,8370962,BHARTIARTL.NS,2015-08-31,2015-35,2015-08,-7.000152587890625,down
2015-09-01,294.85919189453125,302.7129962430831,292.9384210704818,299.6397860497043,4459476,BHARTIARTL.NS,2015-09-01,2015-35,2015-09,-7.59771728515625,down
2015-09-02,293.0238342285156,298.61539719467066,290.03595541301684,297.0787919735657,7030063,BHARTIARTL.NS,2015-09-02,2015-35,2015-09,-1.835357666015625,down
2015-09-03,296.0116882324219,297.03610136278854,293.0238382819692,293.0238382819692,3675760,BHARTIARTL.NS,2015-09-03,2015-35,2015-09,2.98785400390625,up
2015-09-04,298.7861022949219,301.0483441923386,292.17012656610217,294.5177289920462,5305451,BHARTIARTL.NS,2015-09-04,2015-35,2015-09,2.7744140625,up
2015-09-07,296.31048583984375,298.70078331573023,292.89580406638595,298.70078331573023,2898337,BHARTIARTL.NS,2015-09-07,2015-36,2015-09,-2.475616455078125,down
2015-09-08,296.8653869628906,298.316631844893,289.5664678274388,297.93249494145846,3089268,BHARTIARTL.NS,2015-09-08,2015-36,2015-09,0.554901123046875,up
2015-09-09,302.6276550292969,312.1888150434197,297.0787868780495,298.7861131360474,6374276,BHARTIARTL.NS,2015-09-09,2015-36,2015-09,5.76226806640625,up
