Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,77.87179565429688,78.68313173229812,76.52498385575922,78.3748259539327,4212330,BIOCON.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,77.49857330322266,78.69123204521841,77.16592607787936,77.72575064149609,2909874,BIOCON.NS,2015-08-19,2015-33,2015-08,-0.37322235107421875,down
2015-08-20,76.27345275878906,78.52084724743268,76.10306977509501,77.34441135178,2980302,BIOCON.NS,2015-08-20,2015-33,2015-08,-1.2251205444335938,down
2015-08-21,75.29986572265625,75.9408187187806,74.80495424812563,75.45401859878842,1629558,BIOCON.NS,2015-08-21,2015-33,2015-08,-0.9735870361328125,down
2015-08-24,66.48065948486328,73.81511305629586,64.14401776565042,73.70152439747834,6194328,BIOCON.NS,2015-08-24,2015-34,2015-08,-8.819206237792969,down
2015-08-25,69.30410766601562,69.75845491535087,64.18459532787851,68.11956027610375,6279048,BIOCON.NS,2015-08-25,2015-34,2015-08,2.8234481811523438,up
2015-08-26,68.9471206665039,70.26147946667136,67.82747893747974,69.6124151348803,2689620,BIOCON.NS,2015-08-26,2015-34,2015-08,-0.35698699951171875,down
2015-08-27,70.96734619140625,72.03019370501615,69.49883435286972,69.77468728229678,6861792,BIOCON.NS,2015-08-27,2015-34,2015-08,2.0202255249023438,up
2015-08-28,71.656982421875,72.81718848523302,71.12150670000723,72.81718848523302,2455458,BIOCON.NS,2015-08-28,2015-34,2015-08,0.68963623046875,up
2015-08-31,72.01396942138672,73.23908115260788,70.94301057594899,71.07282196861276,1823976,BIOCON.NS,2015-08-31,2015-35,2015-08,0.35698699951171875,up
2015-09-01,70.9024429321289,72.59813219908871,70.05054262089779,71.85170922131428,2633418,BIOCON.NS,2015-09-01,2015-35,2015-09,-1.1115264892578125,down
2015-09-02,70.88621520996094,71.673209765575,69.49883182998471,71.3486738606261,2468292,BIOCON.NS,2015-09-02,2015-35,2015-09,-0.01622772216796875,down
2015-09-03,71.34867095947266,71.77867674495627,70.50488209770383,71.34867095947266,1566570,BIOCON.NS,2015-09-03,2015-35,2015-09,0.46245574951171875,up
2015-09-04,69.49072265625,71.39735908720205,68.48466949010897,71.23508741564383,2144142,BIOCON.NS,2015-09-04,2015-35,2015-09,-1.8579483032226562,down
2015-09-07,69.46636199951172,70.46430353517385,69.1986205004835,69.4501392936197,2102892,BIOCON.NS,2015-09-07,2015-36,2015-09,-0.02436065673828125,down
2015-09-08,70.48866271972656,70.91055717054927,68.16824324020166,69.62864368013531,2701872,BIOCON.NS,2015-09-08,2015-36,2015-09,1.0223007202148438,up
2015-09-09,70.80508422851562,71.38113159958259,70.42376138495341,71.07282581134639,2116152,BIOCON.NS,2015-09-09,2015-36,2015-09,0.3164215087890625,up
2015-09-10,70.56978607177734,70.86186911003934,69.70977452175512,70.26148032471202,1307220,BIOCON.NS,2015-09-10,2015-36,2015-09,-0.23529815673828125,down
2015-09-11,70.87810516357422,71.843586685355,70.48054477298227,70.66715793566007,1104528,BIOCON.NS,2015-09-11,2015-36,2015-09,0.308319091796875,up
2015-09-14,72.60623931884766,72.85775817658126,70.64281601100063,70.99168598504671,1883226,BIOCON.NS,2015-09-14,2015-37,2015-09,1.7281341552734375,up
2015-09-15,72.71981811523438,73.5960597507141,72.07075381353596,72.69547662547498,2200386,BIOCON.NS,2015-09-15,2015-37,2015-09,0.11357879638671875,up
2015-09-16,72.17623901367188,73.62852821771439,71.8679332192459,73.26342807779183,2114958,BIOCON.NS,2015-09-16,2015-37,2015-09,-0.5435791015625,down
2015-09-18,71.5352783203125,73.4256845199771,71.21886120389779,72.82530313426763,1766040,BIOCON.NS,2015-09-18,2015-37,2015-09,-0.640960693359375,down
2015-09-21,71.3973617553711,71.78679595451,70.92678428943977,71.07282582810745,1660098,BIOCON.NS,2015-09-21,2015-38,2015-09,-0.13791656494140625,down
2015-09-22,70.72394561767578,72.7766235776084,70.06676986155617,71.36490609144248,2946942,BIOCON.NS,2015-09-22,2015-38,2015-09,-0.6734161376953125,down
