Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,BIRLACORPN.NS,BIRLACORPN.NS,BIRLACORPN.NS,BIRLACORPN.NS,BIRLACORPN.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,486.4829406738281,498.88214805766876,476.5358334703214,490.2766985049984,167172,BIRLACORPN.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,480.83856201171875,486.66801823945235,473.9449740423198,477.5536581468305,77863,BIRLACORPN.NS,2015-08-19,2015-33,2015-08,-5.644378662109375,down
2015-08-20,443.6409606933594,484.86360931186795,440.44862219933043,484.86360931186795,26612,BIRLACORPN.NS,2015-08-20,2015-33,2015-08,-37.197601318359375,down
2015-08-21,434.0177001953125,443.22456839145264,421.1558655493561,440.44863163743514,33082,BIRLACORPN.NS,2015-08-21,2015-33,2015-08,-9.623260498046875,down
2015-08-24,411.5788879394531,432.5372335239416,405.2867757752446,416.3905230567581,45492,BIRLACORPN.NS,2015-08-24,2015-34,2015-08,-22.438812255859375,down
2015-08-25,421.2946472167969,433.9251817527171,397.8842590823814,419.76788768425473,14920,BIRLACORPN.NS,2015-08-25,2015-34,2015-08,9.71575927734375,up
2015-08-26,421.2946472167969,434.8967482993471,408.10894793325286,421.01706484298495,4092,BIRLACORPN.NS,2015-08-26,2015-34,2015-08,0.0,no change
2015-08-27,425.5973815917969,430.2239428516782,419.2589870181017,424.76457797438707,17318,BIRLACORPN.NS,2015-08-27,2015-34,2015-08,4.302734375,up
2015-08-28,415.3726806640625,428.37333526058893,412.78181755155316,426.8928299513164,3945,BIRLACORPN.NS,2015-08-28,2015-34,2015-08,-10.224700927734375,down
2015-08-31,418.75006103515625,452.4777049377989,407.18365753470124,415.37267686068134,2662,BIRLACORPN.NS,2015-08-31,2015-35,2015-08,3.37738037109375,up
2015-09-01,398.7170715332031,417.1770635427413,392.3324221969951,410.9774597268592,5205,BIRLACORPN.NS,2015-09-01,2015-35,2015-09,-20.032989501953125,down
2015-09-02,397.14404296875,406.4434201131312,393.76663054678534,406.4434201131312,3658,BIRLACORPN.NS,2015-09-02,2015-35,2015-09,-1.573028564453125,down
2015-09-03,414.8174743652344,420.0917655362251,398.5320011993953,403.0197430643823,4769,BIRLACORPN.NS,2015-09-03,2015-35,2015-09,17.673431396484375,up
2015-09-04,406.2583312988281,413.56832065063384,396.1261791234644,412.7355170365778,27468,BIRLACORPN.NS,2015-09-04,2015-35,2015-09,-8.55914306640625,down
2015-09-07,404.870361328125,410.05211554552625,398.11559323788197,400.15129147131097,13891,BIRLACORPN.NS,2015-09-07,2015-36,2015-09,-1.387969970703125,down
2015-09-08,414.8174743652344,418.7037971478896,398.20813626112584,403.25107112910484,4437,BIRLACORPN.NS,2015-09-08,2015-36,2015-09,9.947113037109375,up
2015-09-09,435.12811279296875,443.1783411670704,414.67870514057995,414.67870514057995,5256,BIRLACORPN.NS,2015-09-09,2015-36,2015-09,20.310638427734375,up
2015-09-10,426.2451171875,433.32375083147093,421.0633625159041,429.48371032746104,5857,BIRLACORPN.NS,2015-09-10,2015-36,2015-09,-8.88299560546875,down
2015-09-11,435.8682861328125,442.299217005933,418.2873549129114,418.2873549129114,6362,BIRLACORPN.NS,2015-09-11,2015-36,2015-09,9.6231689453125,up
2015-09-14,436.79364013671875,441.0500821715969,431.19551227058156,431.19551227058156,2109,BIRLACORPN.NS,2015-09-14,2015-37,2015-09,0.92535400390625,up
2015-09-15,427.4942932128906,440.9575762168113,427.4942932128906,440.9575762168113,1023,BIRLACORPN.NS,2015-09-15,2015-37,2015-09,-9.299346923828125,down
2015-09-16,419.4903259277344,436.6086030319175,417.3158364317072,427.3091977161307,2684,BIRLACORPN.NS,2015-09-16,2015-37,2015-09,-8.00396728515625,down
2015-09-18,418.93511962890625,427.4942579095631,416.48304782318667,424.7183211698906,2347,BIRLACORPN.NS,2015-09-18,2015-37,2015-09,-0.555206298828125,down
2015-09-21,419.9992370605469,421.98865280928163,412.6892757168085,421.98865280928163,3192,BIRLACORPN.NS,2015-09-21,2015-38,2015-09,1.064117431640625,up
2015-09-22,423.60797119140625,430.22397690737796,411.07000047996195,423.8392992727118,2297,BIRLACORPN.NS,2015-09-22,2015-38,2015-09,3.608734130859375,up
2015-09-23,420.7857666015625,427.49428074749176,414.95631043214007,427.49428074749176,1290,BIRLACORPN.NS,2015-09-23,2015-38,2015-09,-2.82220458984375,down
2015-09-24,428.558349609375,438.5979928572459,414.58612942132834,423.83925163350654,2503,BIRLACORPN.NS,2015-09-24,2015-38,2015-09,7.7725830078125,up
2015-09-28,419.9992370605469,432.12083354203935,417.3158371037682,423.00650196207073,1821,BIRLACORPN.NS,2015-09-28,2015-39,2015-09,-8.559112548828125,down
2015-09-29,418.3336181640625,425.5510414576181,411.90268758764023,417.36202348797434,1013,BIRLACORPN.NS,2015-09-29,2015-39,2015-09,-1.665618896484375,down
2015-09-30,419.4440002441406,428.83594146950526,414.5398569814163,421.4334440234085,1786,BIRLACORPN.NS,2015-09-30,2015-39,2015-09,1.110382080078125,up
2015-10-01,416.34423828125,425.6898689688908,411.9490053038454,421.8961115158663,2080,BIRLACORPN.NS,2015-10-01,2015-39,2015-10,-3.099761962890625,down
2015-10-05,416.34423828125,421.0170536250704,412.6892437731459,421.0170536250704,9633,BIRLACORPN.NS,2015-10-05,2015-40,2015-10,0.0,no change
2015-10-06,416.80694580078125,425.5511302809982,415.00257548163165,418.1486317216826,5546,BIRLACORPN.NS,2015-10-06,2015-40,2015-10,0.46270751953125,up
2015-10-07,413.7996826171875,421.8498828935784,413.2444895750903,417.3158581533181,11217,BIRLACORPN.NS,2015-10-07,2015-40,2015-10,-3.00726318359375,down
2015-10-08,417.45458984375,420.2768089727996,413.6608042082509,418.2873651690334,5402,BIRLACORPN.NS,2015-10-08,2015-40,2015-10,3.6549072265625,up
2015-10-09,410.60736083984375,421.06337924027946,408.98806420554575,421.06337924027946,7412,BIRLACORPN.NS,2015-10-09,2015-40,2015-10,-6.84722900390625,down
2015-10-12,410.1446838378906,418.1949122779101,408.0627311280536,411.0237418329159,10315,BIRLACORPN.NS,2015-10-12,2015-41,2015-10,-0.462677001953125,down
2015-10-13,414.6786804199219,421.0170749988815,407.3224649535741,421.0170749988815,252722,BIRLACORPN.NS,2015-10-13,2015-41,2015-10,4.53399658203125,up
2015-10-14,412.68927001953125,419.6291120041646,409.9133332256779,415.51146113129977,56513,BIRLACORPN.NS,2015-10-14,2015-41,2015-10,-1.989410400390625,down
2015-10-15,411.16253662109375,420.5544510575592,408.0627346895129,413.66086295172835,448409,BIRLACORPN.NS,2015-10-15,2015-41,2015-10,-1.5267333984375,down
2015-10-16,414.30853271484375,416.15915709324617,405.84193183131003,414.4473238955665,19025,BIRLACORPN.NS,2015-10-16,2015-41,2015-10,3.14599609375,up
2015-10-19,413.7533874511719,416.3442788225855,407.6000663312861,414.3085804763527,41608,BIRLACORPN.NS,2015-10-19,2015-42,2015-10,-0.555145263671875,down
2015-10-20,409.4969482421875,416.25174499450264,408.2477992242432,415.1876414941139,34591,BIRLACORPN.NS,2015-10-20,2015-42,2015-10,-4.256439208984375,down
2015-10-21,407.83135986328125,412.6892490051581,407.137375700156,412.6892490051581,15618,BIRLACORPN.NS,2015-10-21,2015-42,2015-10,-1.66558837890625,down
2015-10-23,405.10174560546875,416.20549408150674,402.51088225637693,415.1413905002116,8681,BIRLACORPN.NS,2015-10-23,2015-42,2015-10,-2.7296142578125,down
2015-10-26,394.96954345703125,406.2120817577953,388.63114883433724,406.16582744015454,17548,BIRLACORPN.NS,2015-10-26,2015-43,2015-10,-10.1322021484375,down
2015-10-27,398.99462890625,400.52138837700176,395.108306400439,399.45728500273765,1548,BIRLACORPN.NS,2015-10-27,2015-43,2015-10,4.02508544921875,up
2015-10-28,395.6635437011719,402.4645947293101,393.396517279029,402.4645947293101,21200,BIRLACORPN.NS,2015-10-28,2015-43,2015-10,-3.331085205078125,down
2015-10-29,395.24713134765625,405.7494312827935,393.2577156104612,393.4890436784674,5693,BIRLACORPN.NS,2015-10-29,2015-43,2015-10,-0.416412353515625,down
2015-10-30,398.5782165527344,401.5854811001433,393.3502084487423,393.3502084487423,3404,BIRLACORPN.NS,2015-10-30,2015-43,2015-10,3.331085205078125,up
2015-11-02,395.6635437011719,401.5855367521632,384.92991541221176,391.1295190951765,15147,BIRLACORPN.NS,2015-11-02,2015-44,2015-11,-2.9146728515625,down
2015-11-03,396.0799255371094,406.2121066918231,391.82351147447923,397.74550464875193,6772,BIRLACORPN.NS,2015-11-03,2015-44,2015-11,0.4163818359375,up
2015-11-04,386.0403137207031,402.51086182896256,379.3317993568871,401.585549502919,95705,BIRLACORPN.NS,2015-11-04,2015-44,2015-11,-10.03961181640625,down
2015-11-05,388.6311340332031,395.1083196004232,384.0508272296394,395.1083196004232,655892,BIRLACORPN.NS,2015-11-05,2015-44,2015-11,2.5908203125,up
2015-11-06,381.0435485839844,395.9873630445768,379.3779979371362,389.55643202813246,3263,BIRLACORPN.NS,2015-11-06,2015-44,2015-11,-7.58758544921875,down
2015-11-09,382.9867248535156,387.2431667425489,371.1427396510898,371.1427396510898,773,BIRLACORPN.NS,2015-11-09,2015-45,2015-11,1.94317626953125,up
2015-11-10,388.7699279785156,391.36081916676596,380.76598283272716,390.43550693630976,6366,BIRLACORPN.NS,2015-11-10,2015-45,2015-11,5.783203125,up
2015-11-13,392.5637512207031,395.84859865687406,386.780549228648,395.38594249750963,1465,BIRLACORPN.NS,2015-11-13,2015-45,2015-11,3.7938232421875,up
2015-11-16,384.18963623046875,393.9054143177017,381.4599539487408,382.2464749653647,1916,BIRLACORPN.NS,2015-11-16,2015-46,2015-11,-8.374114990234375,down
2015-11-17,388.7236633300781,393.1188963079203,381.32116568318605,381.32116568318605,2464,BIRLACORPN.NS,2015-11-17,2015-46,2015-11,4.534027099609375,up
