Price,Close,High,Low,Open,Volume
Ticker,BLUEDART.NS,BLUEDART.NS,BLUEDART.NS,BLUEDART.NS,BLUEDART.NS
Date,,,,,
2015-08-18,6916.00927734375,7010.535705397476,6738.123017682594,6916.249924594381,4236
2015-08-19,7105.68798828125,7176.101282448923,6906.672704559411,7025.937392433895,4200
2015-08-20,7047.6923828125,7151.170710097115,6983.198913714182,6983.198913714182,2507
2015-08-21,6912.9775390625,7036.525937313516,6882.511689711579,7036.525937313516,3761
2015-08-24,6412.04638671875,6896.950626510016,6016.181635127369,6896.950626510016,4026
2015-08-25,6307.41259765625,6704.769633588227,5886.231953105684,6362.713525761009,7886
2015-08-26,6319.15771484375,6427.064062677137,6256.830061538425,6353.041044105792,2100
2015-08-27,6531.5517578125,6571.932557157767,6371.377031150077,6449.202451179276,2355
2015-08-28,6721.37451171875,6785.290331750274,6533.0919962532425,6537.952883034817,3727
2015-08-31,6571.3544921875,6738.123037362215,6485.636129267865,6698.65688814338,24895
2015-09-01,6653.65576171875,6872.885404704962,6498.4382867175345,6682.918373080489,8012
2015-09-02,6926.74267578125,7002.883091574059,6598.6920543687875,6598.6920543687875,19916
2015-09-03,6895.21826171875,7019.055252424307,6820.136313741642,6978.7228641163665,3459
2015-09-04,6878.70947265625,6978.77079502648,6847.088797548074,6872.885996757113,4757
2015-09-07,6839.05029296875,6945.0793733209175,6579.439861444776,6945.0793733209175,5691
2015-09-08,6672.71484375,6916.201917638279,6601.579611139961,6916.201917638279,4707
2015-09-09,6828.12548828125,6872.885879513375,6718.630982847826,6810.317590694275,8450
2015-09-10,6799.53662109375,6834.382534132615,6738.1236252011695,6822.831465060841,7913
2015-09-11,6723.78076171875,6868.0727640481955,6692.881559695459,6866.147585978385,2794
2015-09-14,6719.833984375,6742.936120977922,6656.15881436603,6738.123175852314,2590
2015-09-15,6723.6845703125,6738.123406182892,6641.8645003802785,6719.882155527621,1760
2015-09-16,6582.376953125,6738.123681061568,6546.761156525104,6681.3309243211925,2491
2015-09-18,6809.162109375,7411.983490914575,6608.895649190158,6622.612542901837,104264
2015-09-21,6808.72900390625,6846.895563791275,6671.7043656175065,6734.079944873712,5315
2015-09-22,6838.37744140625,6882.415893894579,6738.171819446355,6834.382790538569,3121
2015-09-23,6831.78271484375,6896.902236639779,6747.796824677967,6861.3343851197815,2704
2015-09-24,6847.95556640625,6892.090372939099,6749.771473100681,6853.634748388725,1644
2015-09-28,6921.3037109375,7025.937326451774,6847.8583559909475,6882.511561053595,15372
2015-09-29,6979.5888671875,7078.8798331230155,6825.7668558707155,6872.885777603798,2186
2015-09-30,7210.369140625,7243.482107685876,6859.8424559548985,7038.354301105257,7531
2015-10-01,7072.76708984375,7248.295290924959,7034.600529359841,7248.295290924959,3146
2015-10-05,7063.43017578125,7233.808429630933,6993.449767126591,7233.808429630933,3176
2015-10-06,7159.64111328125,7212.6798647709265,6954.705995324962,7122.196492651819,7199
2015-10-07,7100.0556640625,7296.3758564994805,7061.552108400556,7219.416686614527,4503
2015-10-08,7218.74365234375,7238.66943307077,6980.743517060938,7147.175534691681,3287
2015-10-09,7200.21337890625,7296.327980787522,7152.035989352406,7248.294885575185,4513
2015-10-12,7201.9951171875,7267.451174387001,7173.310150714574,7267.451174387001,1491
2015-10-13,7165.80126953125,7267.258528476427,7152.036434520278,7267.258528476427,1254
2015-10-14,7084.3671875,7198.241290027922,7026.9967831353415,7195.401464177149,1421
2015-10-15,7141.88134765625,7147.271470198583,7085.088595037204,7123.062450161266,11831
2015-10-16,7065.54833984375,7313.752035090074,7049.087972110973,7052.409092535855,5337
2015-10-19,7256.14111328125,7267.547888406958,7065.4041723055725,7160.893201441058,2191
2015-10-20,7276.64404296875,7407.122801783313,7230.006415099994,7257.873556336551,6796
2015-10-21,7294.16259765625,7381.613904177111,7255.707448293314,7315.869262078418,4093
2015-10-23,7350.95556640625,7556.324033995447,7316.639360815209,7509.1571705985325,19116
2015-10-26,7405.1005859375,7450.245914582723,7315.676164716362,7421.5130098681475,5203
2015-10-27,7392.92431640625,7460.064900510848,7368.618943665876,7445.481770869457,6832
2015-10-28,7355.865234375,7387.871321860585,7317.650259206077,7374.9727219594615,2981
2015-10-29,7339.837890625,7508.1946221889375,7267.547358657241,7355.142962582779,7439
2015-10-30,7323.4736328125,7460.0649210413785,7297.9166122680435,7402.261638271752,9402
2015-11-02,7388.1123046875,7411.984327379342,7277.414553469095,7365.87640152687,9252
2015-11-03,7312.78857421875,7392.539166230536,7277.172781505035,7387.870515615231,42320
2015-11-04,7325.44677734375,7363.806044007197,7267.547141471156,7363.806044007197,1623
2015-11-05,7216.5302734375,7313.126180824286,7171.288587049403,7279.146504571092,2521
2015-11-06,7165.31982421875,7260.183252362918,7127.971558951313,7257.921074205658,3744
2015-11-09,7095.5810546875,7123.8331379726405,7040.328535920182,7084.655574710074,1637
2015-11-10,6984.9794921875,7176.101359848895,6957.593645739478,7176.101359848895,5101
2015-11-13,6843.43017578125,7171.288084773879,6812.242386032851,7171.288084773879,8135
2015-11-16,6581.0771484375,6882.463878938652,6541.75529109721,6843.045668688945,8360
2015-11-17,6663.85986328125,6737.545868871888,6588.970151334216,6617.7998820990015,5241
2015-11-18,6529.19287109375,6726.571546218034,6498.534319199245,6666.938973082415,3008
2015-11-19,6656.97705078125,6718.871336549238,6509.123283813665,6531.214419738374,2844
2015-11-20,6604.46728515625,6664.099860464171,6538.433587135098,6637.051016127305,4517
2015-11-23,6642.63427734375,6732.925411550522,6593.734941984052,6605.286010495556,3050
2015-11-24,6780.91162109375,6896.951560175155,6561.489226787709,6661.165149606312,6834
2015-11-26,6877.12109375,7017.274153003496,6739.133859852369,6862.2973164282475,9474
2015-11-27,6923.662109375,6969.144440148066,6834.381978598241,6969.144440148066,4370
2015-11-30,7086.58056640625,7305.0882801490125,6893.052226447243,6923.662370146503,6366
2015-12-01,7113.14794921875,7171.288232293841,6959.5186469106675,7171.19187938856,3490
2015-12-02,7066.7998046875,7151.555585359511,7036.526190050208,7084.655644154519,4681
2015-12-03,6873.75244140625,7066.366615193904,6834.382641040283,7066.366615193904,2313
2015-12-04,6895.31396484375,6960.433490191334,6759.3482613146525,6872.885827948695,1310
2015-12-07,6882.12646484375,6988.396197312446,6786.252505654647,6945.994339520368,1378
2015-12-08,6815.515625,6881.549329861491,6776.627120188124,6881.549329861491,1002
2015-12-09,6885.2548828125,6924.865326505763,6674.303595622153,6834.381959715168,2901
2015-12-10,6738.70068359375,6887.324331989117,6593.7346854123625,6863.2116654152815,2555
2015-12-11,6705.4921875,6819.991881736639,6609.136922230728,6762.2365343241945,1777
2015-12-14,6715.88671875,6804.541254618775,6593.734275588996,6609.135698714459,2267
2015-12-15,6665.2548828125,6725.9943432449545,6622.61237774634,6661.404526778927,4822
2015-12-16,6607.7890625,6726.428166070094,6593.735167993116,6726.235460249292,1411
2015-12-17,6557.685546875,6718.871263985885,6526.353462725545,6625.548071819269,7647
2015-12-18,6599.125,6618.28042639354,6521.540235447056,6567.79244719243,5553
2015-12-21,6591.8095703125,6603.360638484777,6526.353517336266,6599.510282427351,2399
2015-12-22,6504.6474609375,6568.129925771346,6482.940796195179,6555.231326708412,2982
2015-12-23,6477.3583984375,6593.687385024926,6466.24021233835,6552.1033479530115,3644
2015-12-24,6459.88720703125,6512.733252150967,6379.5110209341055,6475.336573359218,4490
2015-12-28,6514.80224609375,6531.166258827732,6460.897262970043,6478.271806131934,3230
2015-12-29,6526.01611328125,6560.043726835603,6479.18625463396,6514.89839885918,2804
