Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,1448.7291259765625,1458.9071628750944,1439.774219574476,1450.2142873065388,186526,BRITANNIA.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,1438.7039794921875,1462.6637497575796,1435.5370004887775,1452.442094667304,206312,BRITANNIA.NS,2015-08-19,2015-33,2015-08,-10.025146484375,down
2015-08-20,1408.4976806640625,1442.9632174129374,1404.3915706744124,1429.2905814142075,276582,BRITANNIA.NS,2015-08-20,2015-33,2015-08,-30.206298828125,down
2015-08-21,1397.5550537109375,1405.221241369057,1365.077096766021,1402.2071937980568,327224,BRITANNIA.NS,2015-08-21,2015-33,2015-08,-10.942626953125,down
2015-08-24,1311.4569091796875,1375.5609316368843,1285.1382219357617,1375.5609316368843,818782,BRITANNIA.NS,2015-08-24,2015-34,2015-08,-86.09814453125,down
2015-08-25,1300.38330078125,1331.8565391802981,1218.7408136643305,1313.094941173827,833038,BRITANNIA.NS,2015-08-25,2015-34,2015-08,-11.0736083984375,down
2015-08-26,1258.36083984375,1325.39156595324,1249.3623153844308,1299.5971538038789,525866,BRITANNIA.NS,2015-08-26,2015-34,2015-08,-42.0224609375,down
2015-08-27,1285.2691650390625,1310.037100902523,1262.6416272620015,1279.8962006150025,659924,BRITANNIA.NS,2015-08-27,2015-34,2015-08,26.9083251953125,up
2015-08-28,1299.0291748046875,1332.3151920437972,1288.632726730886,1295.6219211809516,501436,BRITANNIA.NS,2015-08-28,2015-34,2015-08,13.760009765625,up
2015-08-31,1279.87451171875,1302.6986023522975,1267.8836950023228,1301.3007846380428,247434,BRITANNIA.NS,2015-08-31,2015-35,2015-08,-19.1546630859375,down
2015-09-01,1275.9212646484375,1297.3694007676024,1258.0551765019175,1266.7916707831807,438396,BRITANNIA.NS,2015-09-01,2015-35,2015-09,-3.9532470703125,down
2015-09-02,1303.1568603515625,1317.0260400435634,1278.0831734253015,1287.758794709262,434290,BRITANNIA.NS,2015-09-02,2015-35,2015-09,27.235595703125,up
2015-09-03,1313.9906005859375,1346.4684540420437,1308.7268414596801,1327.510304137506,560862,BRITANNIA.NS,2015-09-03,2015-35,2015-09,10.833740234375,up
2015-09-04,1305.34130859375,1317.856292620011,1284.5921369520859,1311.7844724193194,289078,BRITANNIA.NS,2015-09-04,2015-35,2015-09,-8.6492919921875,down
2015-09-07,1265.65576171875,1315.3664307108634,1261.5496524615028,1306.105768995808,263132,BRITANNIA.NS,2015-09-07,2015-36,2015-09,-39.685546875,down
2015-09-08,1242.023681640625,1282.2551722246685,1207.820286554612,1265.699558875945,396490,BRITANNIA.NS,2015-09-08,2015-36,2015-09,-23.632080078125,down
2015-09-09,1258.032958984375,1273.0815448085787,1242.7659608647646,1266.7913133595139,282108,BRITANNIA.NS,2015-09-09,2015-36,2015-09,16.00927734375,up
2015-09-10,1251.2406005859375,1265.044303461932,1223.109133181426,1253.6868615109615,270602,BRITANNIA.NS,2015-09-10,2015-36,2015-09,-6.7923583984375,down
2015-09-11,1290.3145751953125,1300.208611166901,1254.0362655550773,1261.8553843746274,325902,BRITANNIA.NS,2015-09-11,2015-36,2015-09,39.073974609375,up
2015-09-14,1306.65185546875,1322.1372694177703,1293.001083890514,1299.5534542480673,327416,BRITANNIA.NS,2015-09-14,2015-37,2015-09,16.3372802734375,up
2015-09-15,1343.214111328125,1348.0410456693314,1310.4741208710286,1310.4741208710286,538534,BRITANNIA.NS,2015-09-15,2015-37,2015-09,36.562255859375,up
2015-09-16,1315.4754638671875,1373.8134124568023,1309.709400285726,1354.9862289151954,567266,BRITANNIA.NS,2015-09-16,2015-37,2015-09,-27.7386474609375,down
2015-09-18,1309.556640625,1332.3152486791291,1305.6689437055466,1331.7254927136773,307558,BRITANNIA.NS,2015-09-18,2015-37,2015-09,-5.9188232421875,down
2015-09-21,1308.5517578125,1315.715638283948,1289.506163417734,1310.0369187296017,212300,BRITANNIA.NS,2015-09-21,2015-38,2015-09,-1.0048828125,down
2015-09-22,1267.010009765625,1323.797219305198,1258.4919283346892,1320.7394464838364,465828,BRITANNIA.NS,2015-09-22,2015-38,2015-09,-41.541748046875,down
2015-09-23,1260.5450439453125,1274.6982285331264,1244.9504231322505,1259.3437759931674,368810,BRITANNIA.NS,2015-09-23,2015-38,2015-09,-6.4649658203125,down
2015-09-24,1261.94287109375,1275.4408187173676,1251.5028031086795,1262.423420936853,445430,BRITANNIA.NS,2015-09-24,2015-38,2015-09,1.3978271484375,up
2015-09-28,1275.9866943359375,1288.6327469127523,1260.501281469315,1264.1705659544084,253704,BRITANNIA.NS,2015-09-28,2015-39,2015-09,14.0438232421875,up
