Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,CEATLTD.NS,CEATLTD.NS,CEATLTD.NS,CEATLTD.NS,CEATLTD.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,1006.7404174804688,1016.3011677146318,966.3222006704655,974.2064317284788,1051391,CEATLTD.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,1017.9324340820312,1028.5807368645496,999.5811037547122,1009.5497276362188,1037245,CEATLTD.NS,2015-08-19,2015-33,2015-08,11.1920166015625,up
2015-08-20,1017.88720703125,1027.6746286973494,993.8718828156594,1020.2887615777761,726374,CEATLTD.NS,2015-08-20,2015-33,2015-08,-0.04522705078125,down
2015-08-21,1059.9820556640625,1073.892796771537,983.2689320650782,987.3470059768688,1302848,CEATLTD.NS,2015-08-21,2015-33,2015-08,42.0948486328125,up
2015-08-24,925.6774291992188,1051.236776189352,901.0277282122959,1014.9872321828226,1420800,CEATLTD.NS,2015-08-24,2015-34,2015-08,-134.30462646484375,down
2015-08-25,941.2647705078125,984.7188683509403,845.2487770728626,962.3348185508503,1246348,CEATLTD.NS,2015-08-25,2015-34,2015-08,15.58734130859375,up
2015-08-26,970.218994140625,989.4313182633539,904.6073546420754,947.0193087965082,1225117,CEATLTD.NS,2015-08-26,2015-34,2015-08,28.9542236328125,up
2015-08-27,1007.9185791015625,1015.304446200738,983.7220514728011,987.8001253849408,965433,CEATLTD.NS,2015-08-27,2015-34,2015-08,37.6995849609375,up
2015-08-28,997.496826171875,1031.2995716725884,983.2689237827403,1020.1075466005811,628949,CEATLTD.NS,2015-08-28,2015-34,2015-08,-10.4217529296875,down
2015-08-31,994.596923828125,1019.427885099234,955.3567458180469,980.9127422630652,703962,CEATLTD.NS,2015-08-31,2015-35,2015-08,-2.89990234375,down
2015-09-01,974.6143188476562,997.1796835186555,957.123979152742,978.7377489845162,657494,CEATLTD.NS,2015-09-01,2015-35,2015-09,-19.98260498046875,down
2015-09-02,1027.0400390625,1036.4648300703323,976.1547299802228,993.871624602944,1047297,CEATLTD.NS,2015-09-02,2015-35,2015-09,52.42572021484375,up
2015-09-03,1012.857666015625,1052.052488275072,1006.8311567686849,1033.0214763109475,859361,CEATLTD.NS,2015-09-03,2015-35,2015-09,-14.182373046875,down
2015-09-04,991.0626220703125,1010.2749489215706,965.5973366770955,1004.973364016666,706997,CEATLTD.NS,2015-09-04,2015-35,2015-09,-21.7950439453125,down
2015-09-07,971.3971557617188,999.9436710239239,966.0503260162134,988.298527399069,630454,CEATLTD.NS,2015-09-07,2015-36,2015-09,-19.66546630859375,down
2015-09-08,1007.0574951171875,1013.1746047613188,937.0505736343504,986.6217734635345,1146868,CEATLTD.NS,2015-09-08,2015-36,2015-09,35.66033935546875,up
2015-09-09,1033.3387451171875,1042.1745730188693,1010.4562164487297,1015.8936490036108,835278,CEATLTD.NS,2015-09-09,2015-36,2015-09,26.28125,up
2015-09-10,1105.8375244140625,1136.423073644937,1002.2997762769539,1014.9871152171686,2985108,CEATLTD.NS,2015-09-10,2015-36,2015-09,72.498779296875,up
2015-09-11,1102.0765380859375,1144.397939352566,1085.6736445462193,1094.3735113925795,1890191,CEATLTD.NS,2015-09-11,2015-36,2015-09,-3.760986328125,down
2015-09-14,1093.6939697265625,1120.5639648045849,1081.5957072335398,1104.7047902117176,914076,CEATLTD.NS,2015-09-14,2015-37,2015-09,-8.382568359375,down
2015-09-15,1096.5487060546875,1116.3047517856044,1084.3598411340113,1096.2767902247424,610075,CEATLTD.NS,2015-09-15,2015-37,2015-09,2.854736328125,up
2015-09-16,1079.82861328125,1111.9547263660186,1072.1255854294886,1107.4235335120413,657335,CEATLTD.NS,2015-09-16,2015-37,2015-09,-16.7200927734375,down
2015-09-18,1086.8973388671875,1105.6111897364651,1078.4240293331093,1089.9332163205943,527000,CEATLTD.NS,2015-09-18,2015-37,2015-09,7.0687255859375,up
2015-09-21,1141.9967041015625,1150.016894360432,1073.8928446155335,1084.6771071210287,1636806,CEATLTD.NS,2015-09-21,2015-38,2015-09,55.099365234375,up
2015-09-22,1128.856201171875,1167.7791071006143,1119.6125005286972,1150.9230902657832,1010007,CEATLTD.NS,2015-09-22,2015-38,2015-09,-13.1405029296875,down
2015-09-23,1132.2996826171875,1140.9543047946686,1101.079809631074,1105.6110022633006,703836,CEATLTD.NS,2015-09-23,2015-38,2015-09,3.4434814453125,up
2015-09-24,1154.139892578125,1174.4848992449095,1134.1119365834465,1137.2837708020863,1259080,CEATLTD.NS,2015-09-24,2015-38,2015-09,21.8402099609375,up
2015-09-28,1140.4556884765625,1164.3351591984608,1137.329210196463,1159.9851705589422,335120,CEATLTD.NS,2015-09-28,2015-39,2015-09,-13.6842041015625,down
2015-09-29,1142.7215576171875,1154.8651773986983,1121.923425283711,1123.7359025458818,490956,CEATLTD.NS,2015-09-29,2015-39,2015-09,2.265869140625,up
2015-09-30,1161.75244140625,1177.20385262091,1149.1104581395796,1151.1948510123163,701569,CEATLTD.NS,2015-09-30,2015-39,2015-09,19.0308837890625,up
2015-10-01,1140.7730712890625,1172.6726223297119,1133.659010544009,1169.0476683194192,572824,CEATLTD.NS,2015-10-01,2015-39,2015-10,-20.9793701171875,down
2015-10-05,1152.2369384765625,1164.4259131197089,1133.7044047275474,1147.5698985316976,532108,CEATLTD.NS,2015-10-05,2015-40,2015-10,11.4638671875,up
2015-10-06,1177.7022705078125,1186.719299207189,1150.9228789561892,1158.1727868551259,901061,CEATLTD.NS,2015-10-06,2015-40,2015-10,25.46533203125,up
2015-10-07,1167.733642578125,1196.1441969209661,1161.2086591197212,1183.8193756659568,632401,CEATLTD.NS,2015-10-07,2015-40,2015-10,-9.9686279296875,down
2015-10-08,1147.0263671875,1169.0480135532098,1136.6046213302427,1168.1417747830135,525913,CEATLTD.NS,2015-10-08,2015-40,2015-10,-20.707275390625,down
2015-10-09,1102.303466796875,1159.8043810955635,1095.098913080004,1150.9231972135833,875545,CEATLTD.NS,2015-10-09,2015-40,2015-10,-44.722900390625,down
2015-10-12,1099.267578125,1123.3735061880977,1079.3303260897567,1102.8925330404986,804444,CEATLTD.NS,2015-10-12,2015-41,2015-10,-3.035888671875,down
2015-10-13,1105.0218505859375,1118.7060292875913,1095.3251432567372,1101.0797353866762,566500,CEATLTD.NS,2015-10-13,2015-41,2015-10,5.7542724609375,up
2015-10-14,1103.390869140625,1113.9938166784805,1098.8143198882715,1105.6111094958278,310726,CEATLTD.NS,2015-10-14,2015-41,2015-10,-1.6309814453125,down
2015-10-15,1121.6063232421875,1129.1733940872264,1106.608028854095,1110.1423818273292,484183,CEATLTD.NS,2015-10-15,2015-41,2015-10,18.2154541015625,up
2015-10-16,1143.899658203125,1148.6120546128543,1129.3544846094346,1129.3544846094346,629899,CEATLTD.NS,2015-10-16,2015-41,2015-10,22.2933349609375,up
2015-10-19,1131.80126953125,1143.672971596392,1123.7357248649178,1140.501136889112,312342,CEATLTD.NS,2015-10-19,2015-42,2015-10,-12.098388671875,down
2015-10-20,1146.43701171875,1156.7227961474978,1133.7043170653335,1136.4230324539794,520618,CEATLTD.NS,2015-10-20,2015-42,2015-10,14.6357421875,up
2015-10-21,1123.9168701171875,1154.004052728961,1120.1560690874242,1146.4822294198152,425601,CEATLTD.NS,2015-10-21,2015-42,2015-10,-22.5201416015625,down
2015-10-23,1110.5499267578125,1136.7402415606687,1107.6500078046508,1128.266933701608,338183,CEATLTD.NS,2015-10-23,2015-42,2015-10,-13.366943359375,down
2015-10-26,1071.0379638671875,1117.6640017099435,1064.1052171216375,1117.6640017099435,548512,CEATLTD.NS,2015-10-26,2015-43,2015-10,-39.511962890625,down
2015-10-27,1066.914794921875,1076.611504118123,1049.1524290813386,1061.205447241012,659572,CEATLTD.NS,2015-10-27,2015-43,2015-10,-4.1231689453125,down
2015-10-28,1036.37451171875,1086.5801557175735,1028.0371602784414,1039.4557452944593,1914450,CEATLTD.NS,2015-10-28,2015-43,2015-10,-30.540283203125,down
2015-10-29,997.2701416015625,1050.9647742624747,992.3311858852124,1038.4587489796352,1371367,CEATLTD.NS,2015-10-29,2015-43,2015-10,-39.1043701171875,down
2015-10-30,980.1424560546875,1008.5530156042422,973.5722258428762,1001.3937081450257,874930,CEATLTD.NS,2015-10-30,2015-43,2015-10,-17.127685546875,down
2015-11-02,1001.7107543945312,1005.8794295799115,961.6096987461052,982.3625835682212,686340,CEATLTD.NS,2015-11-02,2015-44,2015-11,21.56829833984375,up
2015-11-03,1002.8435668945312,1023.5058502820395,996.13737943544,1006.6498352158218,633252,CEATLTD.NS,2015-11-03,2015-44,2015-11,1.1328125,up
2015-11-04,967.4096069335938,1010.9996570273711,962.4706513167405,1006.6497785654643,566128,CEATLTD.NS,2015-11-04,2015-44,2015-11,-35.4339599609375,down
2015-11-05,929.1211547851562,968.6784930831265,924.363401980843,965.1441403035273,838383,CEATLTD.NS,2015-11-05,2015-44,2015-11,-38.2884521484375,down
2015-11-06,919.19775390625,947.0192885658338,901.707360883258,930.1179174152684,864572,CEATLTD.NS,2015-11-06,2015-44,2015-11,-9.92340087890625,down
2015-11-09,896.9496459960938,921.1915283203125,880.048274138542,888.1138197283879,740342,CEATLTD.NS,2015-11-09,2015-45,2015-11,-22.24810791015625,down
2015-11-10,883.4013671875,910.22606266075,877.9186347760267,887.2528811981302,586354,CEATLTD.NS,2015-11-10,2015-45,2015-11,-13.54827880859375,down
2015-11-13,892.1466064453125,902.3417907594542,876.3780325811406,895.3184415652677,377029,CEATLTD.NS,2015-11-13,2015-45,2015-11,8.7452392578125,up
2015-11-16,891.2857055664062,899.8949726766053,868.2672219046964,889.0201089584591,554029,CEATLTD.NS,2015-11-16,2015-46,2015-11,-0.86090087890625,down
2015-11-17,956.9880981445312,966.9567241668701,901.2544162923639,901.2544162923639,1492915,CEATLTD.NS,2015-11-17,2015-46,2015-11,65.702392578125,up
2015-11-18,945.252197265625,977.3783107496536,937.8209745178524,958.0753847018855,1371513,CEATLTD.NS,2015-11-18,2015-46,2015-11,-11.73590087890625,down
2015-11-19,950.6896362304688,963.3769764790055,937.9569398025418,951.5505186402598,647408,CEATLTD.NS,2015-11-19,2015-46,2015-11,5.43743896484375,up
2015-11-20,943.3943481445312,959.5254388853092,931.8851625948114,951.7770548883708,448354,CEATLTD.NS,2015-11-20,2015-46,2015-11,-7.2952880859375,down
2015-11-23,956.8973999023438,962.8331966058049,938.2741516432001,943.3944220724022,525360,CEATLTD.NS,2015-11-23,2015-47,2015-11,13.5030517578125,up
2015-11-24,962.4707641601562,982.4532592221209,958.2567324804775,960.6129307516948,768347,CEATLTD.NS,2015-11-24,2015-47,2015-11,5.5733642578125,up
2015-11-26,936.4163818359375,972.4393658861105,931.6586292255373,964.4190658430019,570482,CEATLTD.NS,2015-11-26,2015-47,2015-11,-26.05438232421875,down
2015-11-27,922.3243408203125,941.8538270203085,911.1323161664714,938.0475585020107,500749,CEATLTD.NS,2015-11-27,2015-47,2015-11,-14.092041015625,down
2015-11-30,933.42578125,936.3257005923002,910.6792139483887,916.2072474211164,448883,CEATLTD.NS,2015-11-30,2015-48,2015-11,11.1014404296875,up
2015-12-01,950.50830078125,956.9879286732736,931.2960873722091,934.331964452789,538663,CEATLTD.NS,2015-12-01,2015-48,2015-12,17.08251953125,up
2015-12-02,968.451904296875,985.8969973879799,960.6129182634387,973.0283428627608,1083224,CEATLTD.NS,2015-12-02,2015-48,2015-12,17.943603515625,up
2015-12-03,946.6116333007812,974.2519123358211,943.7569594066215,966.9566468979499,465706,CEATLTD.NS,2015-12-03,2015-48,2015-12,-21.84027099609375,down
2015-12-04,924.997802734375,947.0193909053851,920.8744279321509,934.422651523399,454165,CEATLTD.NS,2015-12-04,2015-48,2015-12,-21.61383056640625,down
2015-12-07,940.2224731445312,948.6505357079477,930.1178914286645,932.7006491094469,345876,CEATLTD.NS,2015-12-07,2015-49,2015-12,15.22467041015625,up
2015-12-08,931.1148071289062,954.7223669546994,924.3633737957222,941.944424794842,383219,CEATLTD.NS,2015-12-08,2015-49,2015-12,-9.107666015625,down
