Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,CENTRALBK.NS,CENTRALBK.NS,CENTRALBK.NS,CENTRALBK.NS,CENTRALBK.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,103.15555572509766,104.3435321426043,102.660567439367,103.30405372140122,551047,CENTRALBK.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,104.39302825927734,104.83852225595419,102.66056922901863,103.10606322569548,389800,CENTRALBK.NS,2015-08-19,2015-33,2015-08,1.2374725341796875,up
2015-08-20,86.8209457397461,109.83790193919047,83.55402745609436,104.39303058018213,2875008,CENTRALBK.NS,2015-08-20,2015-33,2015-08,-17.57208251953125,down
2015-08-21,79.89110565185547,84.59349432839655,76.72318366988073,76.72318366988073,2897577,CENTRALBK.NS,2015-08-21,2015-33,2015-08,-6.929840087890625,down
2015-08-24,69.1003646850586,78.20814572274082,64.59596846087138,77.21816919460485,1595407,CENTRALBK.NS,2015-08-24,2015-34,2015-08,-10.790740966796875,down
2015-08-25,62.319026947021484,71.27831430984128,62.22002702238123,70.2883377222046,2679246,CENTRALBK.NS,2015-08-25,2015-34,2015-08,-6.781337738037109,down
2015-08-26,63.21000289916992,65.14046175510505,59.497590737281456,62.26952817266026,1009604,CENTRALBK.NS,2015-08-26,2015-34,2015-08,0.8909759521484375,up
2015-08-27,65.83344268798828,66.67492127191201,63.06150901431254,64.44747396291993,1067239,CENTRALBK.NS,2015-08-27,2015-34,2015-08,2.6234397888183594,up
2015-08-28,66.82341766357422,67.66489622727191,65.83344110559534,67.31840594256366,607732,CENTRALBK.NS,2015-08-28,2015-34,2015-08,0.9899749755859375,up
2015-08-31,67.16990661621094,67.81339287672034,66.0314320865284,66.72442019512374,296243,CENTRALBK.NS,2015-08-31,2015-35,2015-08,0.34648895263671875,up
2015-09-01,66.17993927001953,67.07091978886949,62.9625150735055,66.32843728198164,668647,CENTRALBK.NS,2015-09-01,2015-35,2015-09,-0.9899673461914062,down
2015-09-02,66.2789306640625,67.02141311759385,64.44747545593627,66.57592666664388,322574,CENTRALBK.NS,2015-09-02,2015-35,2015-09,0.09899139404296875,up
2015-09-03,68.95186614990234,69.5458505515017,66.32842686050695,66.32842686050695,396351,CENTRALBK.NS,2015-09-03,2015-35,2015-09,2.6729354858398438,up
2015-09-04,69.24885559082031,70.04083983986015,66.42742397711343,68.55587503760162,403635,CENTRALBK.NS,2015-09-04,2015-35,2015-09,0.29698944091796875,up
2015-09-07,69.89234924316406,70.23883955642961,68.30838813043411,68.40738428380679,270886,CENTRALBK.NS,2015-09-07,2015-36,2015-09,0.64349365234375,up
2015-09-08,71.97129821777344,72.11979622334884,68.55588185415074,69.7933526457419,470606,CENTRALBK.NS,2015-09-08,2015-36,2015-09,2.078948974609375,up
2015-09-09,74.49574279785156,74.74323695997067,71.97129932306768,71.97129932306768,340285,CENTRALBK.NS,2015-09-09,2015-36,2015-09,2.524444580078125,up
2015-09-10,74.89173126220703,75.13922541208021,72.36728791233183,74.00075081207919,225275,CENTRALBK.NS,2015-09-10,2015-36,2015-09,0.39598846435546875,up
2015-09-11,75.48571014404297,76.17869069140984,74.84222389124716,74.84222389124716,256112,CENTRALBK.NS,2015-09-11,2015-36,2015-09,0.5939788818359375,up
2015-09-14,76.62419128417969,77.11917959021066,74.8422303612993,75.53521852149596,165748,CENTRALBK.NS,2015-09-14,2015-37,2015-09,1.1384811401367188,up
2015-09-15,75.53521728515625,77.02018217894368,74.74323298730081,76.47569203005281,229172,CENTRALBK.NS,2015-09-15,2015-37,2015-09,-1.0889739990234375,down
2015-09-16,76.6736831665039,77.11917715964444,75.33721629292614,76.22819672628529,220548,CENTRALBK.NS,2015-09-16,2015-37,2015-09,1.1384658813476562,up
2015-09-18,78.80213928222656,79.19813145006134,76.72318984224692,76.72318984224692,789455,CENTRALBK.NS,2015-09-18,2015-37,2015-09,2.1284561157226562,up
2015-09-21,80.03960418701172,80.68309046820137,77.9111530505791,77.9111530505791,175552,CENTRALBK.NS,2015-09-21,2015-38,2015-09,1.2374649047851562,up
2015-09-22,79.44562530517578,81.07908827063304,78.30715065937696,80.38610009135783,195515,CENTRALBK.NS,2015-09-22,2015-38,2015-09,-0.5939788818359375,down
2015-09-23,80.23760223388672,80.5345906665238,77.71315901540244,78.20814728938589,239677,CENTRALBK.NS,2015-09-23,2015-38,2015-09,0.7919769287109375,up
