Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,CERA.NS,CERA.NS,CERA.NS,CERA.NS,CERA.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,1940.0638427734375,1979.0787973409472,1892.790314161916,1919.3223882903746,6559,CERA.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,1975.519287109375,1998.2066715813098,1927.0116595297193,1939.3046185930411,8849,CERA.NS,2015-08-19,2015-33,2015-08,35.4554443359375,up
2015-08-20,1972.339111328125,2017.1919680290052,1943.1491569672346,1998.2066318593204,10043,CERA.NS,2015-08-20,2015-33,2015-08,-3.18017578125,down
2015-08-21,1922.644775390625,1964.6972201938365,1899.482644999779,1951.2176795587436,7241,CERA.NS,2015-08-21,2015-33,2015-08,-49.6943359375,down
2015-08-24,1762.788330078125,1908.0261407953856,1737.7276650534147,1908.0261407953856,32668,CERA.NS,2015-08-24,2015-34,2015-08,-159.8564453125,down
2015-08-25,1762.8834228515625,1874.754496609108,1732.411980506874,1765.6363198590607,15565,CERA.NS,2015-08-25,2015-34,2015-08,0.0950927734375,up
2015-08-26,1797.104248046875,1850.1207692334972,1758.5640438078212,1836.831035642287,6428,CERA.NS,2015-08-26,2015-34,2015-08,34.2208251953125,up
2015-08-27,1892.0311279296875,1901.3813826469257,1824.4907725648484,1845.5170551639862,5596,CERA.NS,2015-08-27,2015-34,2015-08,94.9268798828125,up
2015-08-28,1904.65625,1929.8118192159282,1841.6724234593507,1926.9640189273325,8163,CERA.NS,2015-08-28,2015-34,2015-08,12.6251220703125,up
2015-08-31,1956.5810546875,1979.1736495224488,1853.4908254475538,1917.5188209137846,8705,CERA.NS,2015-08-31,2015-35,2015-08,51.9248046875,up
2015-09-01,1894.7840576171875,1969.7286257245603,1800.094693561272,1969.7286257245603,5010,CERA.NS,2015-09-01,2015-35,2015-09,-61.7969970703125,down
2015-09-02,1915.33544921875,1927.0114764367447,1893.7871406361112,1903.2322983199479,4737,CERA.NS,2015-09-02,2015-35,2015-09,20.5513916015625,up
2015-09-03,1930.9984130859375,1948.8446746749883,1917.613774832795,1945.9968743710306,4032,CERA.NS,2015-09-03,2015-35,2015-09,15.6629638671875,up
2015-09-04,1867.9195556640625,1931.7577414693772,1851.070071678273,1931.7577414693772,10661,CERA.NS,2015-09-04,2015-35,2015-09,-63.078857421875,down
2015-09-07,1767.6771240234375,1898.438620488174,1756.1435096897467,1868.1569876050928,13173,CERA.NS,2015-09-07,2015-36,2015-09,-100.242431640625,down
2015-09-08,1749.878173828125,1789.3201337905396,1731.4623775580283,1757.140086909457,15634,CERA.NS,2015-09-08,2015-36,2015-09,-17.7989501953125,down
2015-09-09,1796.9620361328125,1819.7444391265724,1775.1288999304593,1778.2615266930188,3747,CERA.NS,2015-09-09,2015-36,2015-09,47.0838623046875,up
2015-09-10,1794.5411376953125,1840.5331775816685,1756.1433470790103,1794.019110550927,2687,CERA.NS,2015-09-10,2015-36,2015-09,-2.4208984375,down
2015-09-11,1823.6837158203125,1837.7327932377766,1799.287492479316,1799.287492479316,2317,CERA.NS,2015-09-11,2015-36,2015-09,29.142578125,up
2015-09-14,1819.981689453125,1846.3238419540114,1811.2009719528296,1823.6838529800589,1866,CERA.NS,2015-09-14,2015-37,2015-09,-3.7020263671875,down
2015-09-15,1832.0848388671875,1851.0701739849821,1818.747594596021,1818.747594596021,1816,CERA.NS,2015-09-15,2015-37,2015-09,12.1031494140625,up
