Price,Close,High,Low,Open,Volume
Ticker,CHOLAFIN.NS,CHOLAFIN.NS,CHOLAFIN.NS,CHOLAFIN.NS,CHOLAFIN.NS
Date,,,,,
2015-08-18,126.16522979736328,127.57957460714314,124.14473301737237,125.47248888314176,96375
2015-08-19,127.58920288085938,130.60070145693336,125.15499334874029,128.3396698293586,77630
2015-08-20,122.12422943115234,136.62365506601594,120.5751859942175,133.73723981814234,1005245
2015-08-21,119.83433532714844,123.33651836016276,115.64902760084344,120.33464404306487,279140
2015-08-24,115.62979125976562,118.28529525442731,113.77286388539326,118.28529525442731,295615
2015-08-25,117.04414367675781,118.53545386695795,109.68378308085673,116.41875221740055,190135
2015-08-26,119.9305648803711,121.03702561782492,113.8209869046923,117.38089640029072,420940
2015-08-27,116.67851257324219,122.18194502004212,115.28341492469029,122.18194502004212,452875
2015-08-28,115.82220458984375,119.75735400901956,115.45659468260723,119.75735400901956,133320
2015-08-31,116.5342025756836,118.7375003344107,115.26418021481615,117.18845696404156,99140
2015-09-01,115.92805480957031,117.34239944485269,115.24493742025346,115.27380039802927,79095
2015-09-02,116.0627670288086,117.57332421163669,115.26419763598855,115.84147927990058,410995
2015-09-03,112.91655731201172,117.55406386410773,112.57018691886488,115.48546494407326,3183555
2015-09-04,115.0621337890625,116.15897837608782,112.80110989815581,112.80110989815581,121755
2015-09-07,114.53295135498047,116.80359847380002,109.77998550347176,115.43736376313849,133525
2015-09-08,117.73687744140625,123.90418070498919,111.70426562466389,112.57019164387731,232540
2015-09-09,114.80235290527344,119.78623008097887,113.65740586717531,118.34302248964178,120515
2015-09-10,118.92992401123047,120.84457730426509,113.96528651910067,115.26417918565701,154235
2015-09-11,119.35327911376953,121.22944617792866,118.3430307927399,121.22944617792866,88935
2015-09-14,117.71762084960938,122.12421607447692,117.09222947952885,122.12421607447692,132795
2015-09-15,119.15120697021484,120.75798355616156,117.53482162670842,118.92991926555842,34140
2015-09-16,121.49885559082031,123.50010554760593,119.9786749116927,121.51810247262603,104335
2015-09-18,116.2744369506836,123.73101771070999,113.8209881653648,120.45973798254975,236150
2015-09-21,116.18782806396484,119.3051542320995,114.95629216250587,118.51620108644403,176630
2015-09-22,117.40013122558594,119.42062785654757,116.61117798492238,117.58293988128133,297310
2015-09-23,119.31478118896484,120.6521529345641,116.41874264307299,117.39050445106281,54690
2015-09-24,120.8734359741211,121.7297385021286,118.46809014476678,119.46871489064212,47200
2015-09-28,123.23069763183594,124.38526086554837,118.45849167700565,118.45849167700565,88850
2015-09-29,124.49109649658203,126.04014002613063,120.36352156448054,122.76886774818531,49025
2015-09-30,125.33777618408203,133.73724048668356,122.76886102182725,122.76886102182725,44305
2015-10-01,124.7220230102539,130.45636045838688,121.22945542969445,123.9234462643459,63545
2015-10-05,124.32752990722656,126.23255990031059,122.96129508947399,125.72262770358137,82140
2015-10-06,123.61554718017578,125.46285129078946,122.28779872702233,123.9330546387127,43820
2015-10-07,123.4231185913086,125.03951881360324,122.19158255578296,123.39425561243436,78500
2015-10-08,120.80610656738281,124.30829008698564,120.26731136145442,123.24031577485319,78945
2015-10-09,119.02613830566406,122.48983501128225,118.53544567570371,120.45972243888419,72630
2015-10-12,119.08387756347656,120.45973589648095,117.3808956676417,120.45973589648095,55945
2015-10-13,117.95817565917969,120.07488471015614,117.05377048353523,117.38089404183484,92575
2015-10-14,119.4110107421875,120.07488866127298,117.94855610022157,118.0062894022296,85445
2015-10-15,119.04537963867188,120.42123775387758,118.7278722258091,119.69963400129835,59730
2015-10-16,116.07238006591797,121.02739446807459,113.4842253300357,119.30516579071555,4327785
2015-10-19,117.53484344482422,120.60406028814273,116.61118401917082,117.66954224845404,141645
2015-10-20,114.88895416259766,118.70863758734903,113.5323354444242,117.75612259108847,4527835
2015-10-21,115.52396392822266,117.90044708511796,115.26418977536498,115.26418977536498,179680
2015-10-23,114.62916564941406,116.80360043680001,114.4944668638757,116.78435355856124,136260
2015-10-26,115.82220458984375,118.24679718887676,115.26416996101592,117.18844653905938,719400
2015-10-27,115.84148406982422,117.36166475606012,114.87934551000929,115.44700373684346,162985
2015-10-28,118.5739517211914,121.6239364745484,115.45662490412957,116.98642166065271,1954415
2015-10-29,121.10437774658203,122.20121506844033,118.87221668133111,120.26731459441257,404795
2015-10-30,119.56492614746094,122.36475219033355,117.39049882306314,120.46933851988568,2046735
2015-11-02,120.92154693603516,124.08698295736333,119.49757896216204,119.69001103459516,219120
2015-11-03,123.15370178222656,124.10622397963198,120.67138321895072,121.64314495242525,417675
2015-11-04,123.7021255493164,124.88555152151434,122.19156140472472,123.91378246406758,221950
2015-11-05,119.7862319946289,124.11585483780826,118.56431944427747,123.9619091688169,130535
2015-11-06,117.94853973388672,120.27692017754858,117.16920999999213,119.0934867478075,74010
2015-11-09,119.28591918945312,120.07487236483395,114.68689158214872,115.45660521982754,96715
2015-11-10,116.54383087158203,120.3250353731676,116.32254313296002,120.3250353731676,102835
2015-11-13,117.49635314941406,120.19033647371387,117.10187285140978,120.19033647371387,53070
2015-11-16,117.28468322753906,118.95880214234056,116.64005220191024,118.34303409688405,67685
