Price,Close,High,Low,Open,Volume
Ticker,CONCOR.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS
Date,,,,,
2015-08-18,497.3559875488281,504.9593367051049,493.6838739008124,504.33460773383615,189015
2015-08-19,495.54278564453125,501.74433102142143,493.68388559768357,499.7482556482687,193528
2015-08-20,486.0501708984375,495.78668617592524,481.09808225811486,495.2077015292094,636015
2015-08-21,475.5059814453125,487.589036085786,472.8090038919613,478.46196463402043,2153609
2015-08-24,457.03857421875,470.76723961112776,449.5266547410603,470.76723961112776,1143543
2015-08-25,442.197509765625,463.20954379925354,440.3538094434098,463.20954379925354,2469240
2015-08-26,441.77093505859375,447.9724522653532,423.89774309578024,442.83753149924365,812465
2015-08-27,455.9593811035156,461.5070149895791,445.6435693448469,445.6435693448469,2034387
2015-08-28,437.66595458984375,467.6200315391744,434.9609160858861,465.816672536536,1162987
2015-08-31,435.57220458984375,453.74335062425115,430.33026158026615,441.0281336063908,7960528
2015-09-01,447.2940979003906,452.3679659437006,435.8626496460661,437.08526458850423,441565
2015-09-02,446.6827697753906,455.11882095772006,439.0108419407811,454.81315995885717,966168
2015-09-03,426.78472900390625,437.08526649756107,424.92024339475256,437.08526649756107,1703946
2015-09-04,414.86419677734375,430.6665155537003,411.13522569047973,430.6665155537003,3278731
2015-09-07,397.05987548828125,421.16069026282617,393.39200153166166,415.73530915793935,1559853
2015-09-08,404.5483703613281,406.5198342715525,383.9014447977309,398.29773986844657,562146
2015-09-09,429.107666015625,430.97218072648985,408.03282572495675,408.03282572495675,628946
2015-09-10,453.3153991699219,460.00921671215207,417.29407453567865,425.0118242180856,1553837
2015-09-11,453.8656311035156,476.1630851606968,438.0021866193854,458.48100727635074,1040912
2015-09-14,462.19464111328125,467.6505697221872,454.50743997125153,459.96336858015746,292578
2015-09-15,447.17181396484375,466.12235882572776,446.25486010932417,462.0113262064222,164203
2015-09-16,422.0776062011719,454.5074914167024,419.8310591106331,450.68681644263853,1118243
2015-09-18,430.71240234375,437.08528632748397,425.16476818375077,430.97221131125195,963300
2015-09-21,421.5579833984375,434.02866613435543,420.27424221889703,432.4392639646092,224325
2015-09-22,426.86114501953125,433.11177618873427,422.1082412634475,429.1382701783539,322903
2015-09-23,429.06182861328125,431.1402709861909,414.6349555961653,421.5580054040385,288418
2015-09-24,414.83355712890625,428.5115793747063,409.8819718760669,428.5115793747063,737690
2015-09-28,404.013427734375,411.0893070703629,400.7123417916671,409.6680098220429,1004762
2015-09-29,423.9574279785156,427.6099986854082,400.7124394333994,402.71448134147005,995425
2015-09-30,453.9114685058594,462.97411575321627,428.2212539591405,429.44386877307244,1274359
2015-10-01,460.20794677734375,462.9741116764029,444.0235676526121,455.5925707942408,393840
2015-10-05,471.7616271972656,481.9857623826684,448.68474822425725,463.0504934368087,1009571
2015-10-06,460.51361083984375,481.3897972302155,457.5946152424567,477.64552273696154,434218
2015-10-07,465.5110778808594,472.22020045652226,460.0093251130455,460.5136395757591,209968
2015-10-08,470.7071533203125,472.2660069260539,461.5375565428476,465.5110329333825,120140
2015-10-09,470.462646484375,472.26600556464695,466.1376278929633,471.3184739598346,148678
2015-10-12,470.615478515625,480.7173325992769,466.29045991013277,473.7637051890919,136328
2015-10-13,456.0205383300781,473.74846964266794,450.1061170241287,469.17894518350954,343909
2015-10-14,457.7780456542969,464.0592252121656,454.5075368227761,458.4810426906949,204609
2015-10-15,455.225830078125,462.5920682609759,451.14534583150487,457.86971336313906,223506
2015-10-16,441.990966796875,461.1096455681634,439.59158915338406,458.49628190447066,267768
2015-10-19,454.88958740234375,455.73014062396135,438.6135317725158,448.5014295571525,168328
2015-10-20,451.2828369140625,458.1447892517639,444.05412636156217,455.42444720456183,242712
2015-10-21,449.43365478515625,454.81315420973124,446.86614323637525,453.880896919815,268643
2015-10-23,414.17645263671875,453.8962044015746,406.82548928321734,452.3679285624556,2018940
2015-10-26,411.50201416015625,418.74599947337157,408.04812631660116,417.52338456547096,2005915
2015-10-27,405.1290588378906,412.6481260709872,399.15351240978623,412.63285176781045,2441140
2015-10-28,412.5870666503906,414.40570010423596,406.5351185750507,410.64618045242884,620628
2015-10-29,403.72308349609375,415.0475814636245,400.40675205097443,415.0475814636245,968512
2015-10-30,405.0373840332031,409.5763301070439,400.71236566762,409.5763301070439,690196
2015-11-02,405.49591064453125,411.71596351034765,402.24067628533453,409.25543028422385,526253
2015-11-03,411.3492126464844,412.6176797108855,403.95236715530444,411.104677987893,144168
2015-11-04,412.34259033203125,415.68949992185225,408.6594419479464,412.3272868758554,373512
2015-11-05,420.02972412109375,427.8850311519089,412.6329085936246,414.98643418203807,582943
2015-11-06,429.1688232421875,435.25132008731623,424.8590786812514,426.3873546202796,612325
2015-11-09,429.6578063964844,435.86258431543104,418.7918005989552,418.7918005989552,230196
2015-11-10,426.9833679199219,438.0022055311631,421.81782504231364,432.5004238784745,224875
2015-11-13,429.36749267578125,433.81476445586395,423.6670573155406,428.8479039056593,155553
2015-11-16,421.130126953125,431.5223688381594,417.78321735861095,426.08171324032924,318281
2015-11-17,422.33740234375,430.95683223170903,420.5798954068255,425.7760155461832,351568
2015-11-18,417.599853515625,427.6100049026387,415.7506420999307,422.10825187638676,108553
2015-11-19,411.50201416015625,423.3308272400778,404.6859134577955,418.8377036075597,530021
2015-11-20,415.94921875,418.74596139289616,410.27936194172713,412.61761310481603,621393
2015-11-23,419.3420104980469,423.0251586107713,416.6064231724787,416.6064231724787,612509
2015-11-24,434.2579345703125,438.6135017391457,417.2482761750912,418.7459742458883,367490
2015-11-26,434.3037414550781,441.272671987538,432.11832079884283,438.0021635806676,201034
2015-11-27,430.2997131347656,438.39955481371317,423.6517466446454,434.9609414052242,210143
2015-11-30,428.83258056640625,438.61352899764967,420.48823307538066,434.0134269163105,836359
2015-12-01,434.1051025390625,436.77956337032526,425.92886039841693,432.8213321906195,191050
2015-12-02,438.20086669921875,443.80962651784756,431.88910990248087,436.4739082894634,665959
2015-12-03,442.0215759277344,449.0057524831213,437.3909251177885,437.3909251177885,398162
2015-12-04,431.8891296386719,445.6435545775975,429.44389983394905,439.37764955931544,229759
2015-12-07,435.95428466796875,441.0434265510561,432.45457412872577,436.73371146025613,283593
2015-12-08,435.3582763671875,443.0149299786289,432.8060682131862,433.7230220701511,555787
2015-12-09,409.7138671875,434.7469349679748,405.08321720503824,434.02863460810966,431237
2015-12-10,412.9538879394531,421.8025795964432,405.0068759305943,412.0216305280629,145550
2015-12-11,404.5483703613281,414.7724772852171,401.03332713476374,412.9538438760988,249475
2015-12-14,401.43072509765625,409.20960293890175,399.18417776148704,402.7908962641326,336159
2015-12-15,401.1097412109375,407.7424331214406,399.3827828507397,404.5177767184214,153050
2015-12-16,397.2890625,404.8081595507688,395.50097778866734,403.78419815825316,304053
2015-12-17,392.9029846191406,399.01605965923306,387.08026716183605,397.35025654874426,988553
2015-12-18,397.5947265625,402.5768607767516,392.7653936936448,396.7388699615496,1849928
2015-12-21,397.0751037597656,403.4632609571774,392.1999188882941,392.1999188882941,246118
2015-12-22,399.4897766113281,403.15762118628754,397.07512465465743,397.07512465465743,210475
2015-12-23,399.0618896484375,402.65333378864375,397.35023456181233,400.7582704287719,121231
2015-12-24,399.4592590332031,403.46331353169245,398.1143621799653,400.4067907231625,179331
2015-12-28,400.34564208984375,405.8780018119893,397.9615676668944,399.489814522746,328771
2015-12-29,396.83062744140625,401.93504422746423,395.1800986845138,401.93504422746423,141737
2015-12-30,391.8790283203125,400.89582438600036,391.23715766642687,398.90905690064443,166256
2015-12-31,401.32373046875,403.46329927405657,395.8219487986031,400.4067765735384,494800
2016-01-01,424.2477722167969,434.915096537591,401.47655181735524,403.46329006989686,1611593
2016-01-04,412.2508544921875,432.50041529640964,407.8494350872613,425.9288785242995,787350
2016-01-05,401.09454345703125,416.270267639058,397.3808462505601,414.2529513577513,613184
2016-01-06,393.66705322265625,404.96094346788607,392.7653737535257,402.24063075661746,1060681
2016-01-07,386.5453796386719,393.05581993934106,384.3599585644597,393.05581993934106,525990
2016-01-08,389.5407409667969,393.9880122151926,380.5392200375582,390.0145067604114,1261100
2016-01-11,391.6192321777344,395.8219693273147,382.9539489173921,388.48627948629013,427690
2016-01-12,384.3904113769531,398.57274686289867,382.0674348436311,396.7235360475418,459487
2016-01-13,377.22283935546875,388.4861801995776,370.4525920872164,388.0276887706516,427287
2016-01-14,374.1357727050781,375.9544059804119,367.94626903807153,375.64874500068515,160184
2016-01-15,374.364990234375,380.84485119158285,370.49846351497655,378.3690439850383,381396
2016-01-18,353.0456848144531,371.9809568715663,352.11345657976074,371.36963481978654,872206
2016-01-19,361.03857421875,363.4226779204771,343.8608081202799,353.6417284456575,440206
2016-01-20,370.60546875,375.95441948968113,349.04159014065243,357.0038753072011,735928
2016-01-21,368.87847900390625,379.0109097033616,363.7282112612997,372.88256185301856,538928
2016-01-22,366.78485107421875,374.3039493826703,365.7150665891628,372.8826517884784,503915
2016-01-25,370.02471923828125,375.908562052883,367.33495502746547,369.81076237772976,340821
2016-01-27,370.1011962890625,374.53319405734356,356.8205355907419,360.855168164887,1250531
2016-01-28,367.53375244140625,378.3844876519832,361.83331609694164,370.14708764761144,1137681
2016-01-29,362.7654724121094,370.57492786027893,361.17607008160826,366.7695560002501,703046
2016-02-01,365.1037292480469,369.68855718445667,357.6152090162946,363.7282837820679,441803
2016-02-02,355.7812805175781,365.25653856737836,352.11343587093563,362.24583885325467,436437
2016-02-03,337.7171325683594,354.52811011548954,333.1628823728414,354.52811011548954,1120306
2016-02-04,339.3524169921875,344.808347295224,338.3896109062591,339.87203495427525,820187
2016-02-05,344.609619140625,347.81900148557537,339.27597145395873,339.27597145395873,1234456
2016-02-08,351.07415771484375,351.9452594178366,341.4154925667151,344.47204397791916,369921
2016-02-09,347.98712158203125,351.86892334828104,331.6346355736888,350.5851820136939,217153
2016-02-10,337.1058044433594,346.5963655519772,336.21939921718985,342.6381343682228,873140
2016-02-11,334.7676086425781,340.1929610323691,330.1063797177509,336.2194548857859,1312706
2016-02-12,330.2896728515625,341.06397413890926,321.2423297885926,336.83068927011726,728818
2016-02-15,352.7705383300781,356.08686950339234,331.5122929250464,332.8571895381638,224312
2016-02-16,353.504150390625,365.25653322338616,348.735943674921,365.25653322338616,327853
2016-02-17,359.9687194824219,363.6671124980774,344.62486436337866,353.9473204483656,232756
2016-02-18,348.1399841308594,364.6758507874146,346.978495440467,361.2830888627007,397481
2016-02-19,342.2407531738281,348.13989933541507,337.4419982028958,348.13989933541507,396462
2016-02-22,354.375244140625,361.05378825205497,340.80419905010143,343.8607507162428,499803
2016-02-23,346.9478454589844,357.30950821986016,344.4720672153437,355.16993957734684,721759
2016-02-24,346.4129638671875,349.3319593825744,337.90051195167604,346.58106867287995,318109
2016-02-25,355.7812805175781,358.18065821587567,343.09664018356693,351.19645284719644,2484459
2016-02-26,357.7069091796875,362.49039049512777,352.18985307061666,358.53215896044236,917375
2016-02-29,354.06964111328125,357.8139160598546,349.7599252949854,355.47566443772376,699971
2016-03-01,362.59735107421875,364.9508767008484,355.04770492304425,360.36607819069144,723884
2016-03-02,370.5902099609375,380.0654678741635,364.3854315070394,373.2035444972186,2351825
2016-03-03,364.33953857421875,374.57894784767586,362.61258033260617,374.57894784767586,706168
2016-03-04,378.04815673828125,383.62633895135633,361.4205885367117,363.75883985959746,500853
2016-03-08,374.8846130371094,386.6522689902797,366.75419440111347,375.95439729199444,241643
2016-03-09,365.2565612792969,369.5357282078472,362.2764391404336,367.854621709231,1576068
