Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,CRISIL.NS,CRISIL.NS,CRISIL.NS,CRISIL.NS,CRISIL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,1662.798583984375,1667.9896430302288,1640.3185185509465,1653.4033138473512,60717,CRISIL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,1651.0869140625,1676.5700505193333,1639.6752131742303,1661.9837194759205,6378,CRISIL.NS,2015-08-19,2015-33,2015-08,-11.711669921875,down
2015-08-20,1698.149169921875,1705.6996780363756,1647.3972998662755,1650.8723204411608,14434,CRISIL.NS,2015-08-20,2015-33,2015-08,47.062255859375,up
2015-08-21,1703.083251953125,1707.4591312916039,1673.1383447329788,1698.835991773258,9387,CRISIL.NS,2015-08-21,2015-33,2015-08,4.93408203125,up
2015-08-24,1552.843505859375,1681.717974013283,1511.015061352667,1631.5238406052335,31173,CRISIL.NS,2015-08-24,2015-34,2015-08,-150.23974609375,down
2015-08-25,1629.55029296875,1664.5575240293797,1544.4348161097337,1560.7371836131142,30708,CRISIL.NS,2015-08-25,2015-34,2015-08,76.706787109375,up
2015-08-26,1572.23486328125,1655.8059787734587,1539.0723905455864,1604.4963736976983,18101,CRISIL.NS,2015-08-26,2015-34,2015-08,-57.3154296875,down
2015-08-27,1617.4525146484375,1651.6875131412894,1587.33605159033,1587.33605159033,12138,CRISIL.NS,2015-08-27,2015-34,2015-08,45.2176513671875,up
2015-08-28,1613.63427734375,1638.8171269063241,1596.7741744359525,1604.49634937949,10057,CRISIL.NS,2015-08-28,2015-34,2015-08,-3.8182373046875,down
2015-08-31,1660.9110107421875,1707.8446288170562,1601.750616532448,1638.7312307715817,15328,CRISIL.NS,2015-08-31,2015-35,2015-08,47.2767333984375,up
2015-09-01,1595.5301513671875,1694.1165049284316,1570.175634069114,1694.1165049284316,30056,CRISIL.NS,2015-09-01,2015-35,2015-09,-65.380859375,down
2015-09-02,1602.2650146484375,1626.075046551187,1583.9033835126374,1621.6132840361197,24873,CRISIL.NS,2015-09-02,2015-35,2015-09,6.73486328125,up
2015-09-03,1607.4991455078125,1647.3970426341073,1579.0129468744044,1647.3970426341073,15615,CRISIL.NS,2015-09-03,2015-35,2015-09,5.234130859375,up
2015-09-04,1572.2777099609375,1630.0224612345392,1559.8793707195116,1629.979518366266,25224,CRISIL.NS,2015-09-04,2015-35,2015-09,-35.221435546875,down
2015-09-07,1534.095703125,1600.2490808789173,1518.6942972041977,1595.8302601398784,21486,CRISIL.NS,2015-09-07,2015-36,2015-09,-38.1820068359375,down
2015-09-08,1541.0888671875,1569.1890069828505,1535.8549689672536,1568.3739303193865,10289,CRISIL.NS,2015-09-08,2015-36,2015-09,6.9931640625,up
2015-09-09,1559.535888671875,1591.582889194369,1527.0169356298468,1566.7432718779776,16128,CRISIL.NS,2015-09-09,2015-36,2015-09,18.447021484375,up
2015-09-10,1531.6502685546875,1573.9935010868364,1524.7003330042066,1559.0211058349146,22593,CRISIL.NS,2015-09-10,2015-36,2015-09,-27.8856201171875,down
