Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,DATAPATTNS.NS,DATAPATTNS.NS,DATAPATTNS.NS,DATAPATTNS.NS,DATAPATTNS.NS,,,,,,
Date,,,,,,,,,,,
2021-12-24,746.7886962890625,854.6032233029802,735.7599384138719,846.7396746254027,13492548,DATAPATTNS.NS,2021-12-24,2021-51,2021-12,,no change
2021-12-27,698.0743408203125,733.6333646586484,694.7112946968698,730.4681554315279,2137929,DATAPATTNS.NS,2021-12-27,2021-52,2021-12,-48.71435546875,down
2021-12-28,726.6105346679688,739.8648216645067,694.3651133803257,698.0743287295796,1586404,DATAPATTNS.NS,2021-12-28,2021-52,2021-12,28.53619384765625,up
2021-12-29,778.6879272460938,815.0382369651079,732.1496516392841,739.8648073421125,5408945,DATAPATTNS.NS,2021-12-29,2021-52,2021-12,52.077392578125,up
2021-12-30,769.835205078125,805.1469443171626,763.6531800142648,783.83133397124,1904086,DATAPATTNS.NS,2021-12-30,2021-52,2021-12,-8.85272216796875,down
2021-12-31,751.6354370117188,784.4248651084466,747.876717088271,775.2260229392263,980471,DATAPATTNS.NS,2021-12-31,2021-52,2021-12,-18.19976806640625,down
2022-01-03,765.1369018554688,774.3852480068406,749.4098655794269,755.6907791898637,773259,DATAPATTNS.NS,2022-01-03,2022-01,2022-01,13.50146484375,up
2022-01-04,750.1022338867188,775.3248983291253,745.0577251467749,770.0331085652364,448706,DATAPATTNS.NS,2022-01-04,2022-01,2022-01,-15.03466796875,down
2022-01-05,763.9500122070312,780.4189534337344,732.4464322150575,751.7343531174121,953044,DATAPATTNS.NS,2022-01-05,2022-01,2022-01,13.8477783203125,up
2022-01-06,753.069580078125,765.582023604697,749.95387550719,751.6848426148233,276248,DATAPATTNS.NS,2022-01-06,2022-01,2022-01,-10.88043212890625,down
2022-01-07,732.5947265625,760.6363682661698,731.2099287916334,758.3613951037507,425068,DATAPATTNS.NS,2022-01-07,2022-01,2022-01,-20.474853515625,down
2022-01-10,751.338623046875,766.4722696879323,733.8806193499872,738.776795594368,561329,DATAPATTNS.NS,2022-01-10,2022-02,2022-01,18.743896484375,up
2022-01-11,754.9983520507812,773.9895453004727,740.6066096405482,750.7451308409698,564979,DATAPATTNS.NS,2022-01-11,2022-02,2022-01,3.65972900390625,up
2022-01-12,745.7500610351562,768.1536836875624,741.8430091128939,761.6254893559044,232552,DATAPATTNS.NS,2022-01-12,2022-02,2022-01,-9.248291015625,down
2022-01-13,737.8865356445312,751.7342722383964,735.3642814106311,751.7342722383964,189888,DATAPATTNS.NS,2022-01-13,2022-02,2022-01,-7.863525390625,down
2022-01-14,730.5670166015625,756.086465997137,727.0556382146032,739.8648070418012,322468,DATAPATTNS.NS,2022-01-14,2022-02,2022-01,-7.31951904296875,down
2022-01-17,805.5426635742188,824.9294711210937,734.3751749445994,741.8430495693289,2841269,DATAPATTNS.NS,2022-01-17,2022-03,2022-01,74.97564697265625,up
2022-01-18,771.5662231445312,815.532800381899,764.1477925770791,812.7138209148043,823370,DATAPATTNS.NS,2022-01-18,2022-03,2022-01,-33.9764404296875,down
2022-01-19,786.4525756835938,803.4655228818884,748.1735199516132,771.516825391854,812554,DATAPATTNS.NS,2022-01-19,2022-03,2022-01,14.8863525390625,up
2022-01-20,774.8302612304688,797.2339439783968,767.0656619792143,783.3862079787721,381920,DATAPATTNS.NS,2022-01-20,2022-03,2022-01,-11.622314453125,down
2022-01-21,750.4978637695312,795.2557264852759,740.4582306361375,775.4732457269357,529262,DATAPATTNS.NS,2022-01-21,2022-03,2022-01,-24.3323974609375,down
2022-01-24,712.6144409179688,756.6799057053659,698.3215861803768,746.7886651079101,471275,DATAPATTNS.NS,2022-01-24,2022-04,2022-01,-37.8834228515625,down
2022-01-25,727.8964233398438,749.2614789881982,697.9259158832424,710.1910784336982,298283,DATAPATTNS.NS,2022-01-25,2022-04,2022-01,15.281982421875,up
2022-01-27,709.8448486328125,730.8637332148384,707.2236459364017,714.1475137987161,185855,DATAPATTNS.NS,2022-01-27,2022-04,2022-01,-18.05157470703125,down
2022-01-28,733.287109375,768.499962692886,716.1258308100638,718.1040789614729,771322,DATAPATTNS.NS,2022-01-28,2022-04,2022-01,23.4422607421875,up
2022-01-31,713.94970703125,746.7886366371099,703.316623794364,740.7550042512266,275063,DATAPATTNS.NS,2022-01-31,2022-05,2022-01,-19.33740234375,down
2022-02-01,724.63232421875,739.8648601948292,718.1041290126284,719.6867034955226,201773,DATAPATTNS.NS,2022-02-01,2022-05,2022-02,10.6826171875,up
2022-02-02,713.0101318359375,745.651229356209,705.5917005813303,729.8747471851563,429933,DATAPATTNS.NS,2022-02-02,2022-05,2022-02,-11.6221923828125,down
2022-02-03,729.0833129882812,735.8094048242638,714.988295278066,716.1258120839179,251681,DATAPATTNS.NS,2022-02-03,2022-05,2022-02,16.07318115234375,up
2022-02-04,723.09912109375,736.0071778079952,720.5274227250346,731.9023492436478,125290,DATAPATTNS.NS,2022-02-04,2022-05,2022-02,-5.98419189453125,down
2022-02-07,706.5807495117188,729.1822705502819,701.832966088585,717.2138331777757,193955,DATAPATTNS.NS,2022-02-07,2022-06,2022-02,-16.51837158203125,down
2022-02-08,696.3433227539062,718.5491694813351,687.2928136576454,711.1801833239468,161360,DATAPATTNS.NS,2022-02-08,2022-06,2022-02,-10.2374267578125,down
2022-02-09,710.48779296875,722.0111122986189,692.5846718141001,709.9932309438001,365106,DATAPATTNS.NS,2022-02-09,2022-06,2022-02,14.14447021484375,up
2022-02-10,710.9822998046875,723.4452980888066,706.2345168079768,717.1148805123014,128661,DATAPATTNS.NS,2022-02-10,2022-06,2022-02,0.4945068359375,up
2022-02-11,705.4927368164062,718.1040685996649,702.3769718743587,703.2672076781841,215967,DATAPATTNS.NS,2022-02-11,2022-06,2022-02,-5.48956298828125,down
2022-02-14,642.9801025390625,704.2563519801428,632.0997375506053,682.9901840481581,368995,DATAPATTNS.NS,2022-02-14,2022-07,2022-02,-62.51263427734375,down
2022-02-15,671.9119262695312,677.5499451869605,623.3954057723822,645.0077411892996,470238,DATAPATTNS.NS,2022-02-15,2022-07,2022-02,28.93182373046875,up
2022-02-16,670.1810302734375,688.4303822212437,663.9495604396693,688.4303822212437,117711,DATAPATTNS.NS,2022-02-16,2022-07,2022-02,-1.73089599609375,down
2022-02-17,657.371826171875,677.4015883882282,652.8218796441042,672.6043608454407,113764,DATAPATTNS.NS,2022-02-17,2022-07,2022-02,-12.8092041015625,down
2022-02-18,642.0404052734375,665.482657645504,638.034464891753,652.821881710835,111159,DATAPATTNS.NS,2022-02-18,2022-07,2022-02,-15.3314208984375,down
2022-02-21,613.8009033203125,639.8148531747811,604.3547809299631,633.039377733513,180059,DATAPATTNS.NS,2022-02-21,2022-08,2022-02,-28.239501953125,down
2022-02-22,591.1004638671875,602.2776130922648,577.8956829370576,602.2776130922648,291970,DATAPATTNS.NS,2022-02-22,2022-08,2022-02,-22.700439453125,down
2022-02-23,608.311279296875,618.004682730102,597.4309149517277,597.4309149517277,117971,DATAPATTNS.NS,2022-02-23,2022-08,2022-02,17.2108154296875,up
2022-02-24,578.9837646484375,587.7375491087994,568.7463544174607,572.0104518555008,214539,DATAPATTNS.NS,2022-02-24,2022-08,2022-02,-29.3275146484375,down
2022-02-25,601.2885131835938,612.7623276150988,591.1499920245061,593.4249651859361,164327,DATAPATTNS.NS,2022-02-25,2022-08,2022-02,22.30474853515625,up
2022-02-28,606.8770141601562,617.1639278414726,584.819561178556,591.4961481349285,195975,DATAPATTNS.NS,2022-02-28,2022-09,2022-02,5.5885009765625,up
2022-03-02,655.2452392578125,661.5261528292784,597.38148230976,603.3656707403759,431871,DATAPATTNS.NS,2022-03-02,2022-09,2022-03,48.36822509765625,up
2022-03-03,633.7811889648438,672.30757998594,628.3410070853172,666.9662863556885,184980,DATAPATTNS.NS,2022-03-03,2022-09,2022-03,-21.46405029296875,down
2022-03-04,616.1253662109375,638.9741065537195,608.3112624311725,631.0611145220944,162100,DATAPATTNS.NS,2022-03-04,2022-09,2022-03,-17.65582275390625,down
2022-03-07,613.355712890625,626.5605533215728,598.0242922744228,607.3220811837494,165831,DATAPATTNS.NS,2022-03-07,2022-10,2022-03,-2.7696533203125,down
2022-03-08,635.8089599609375,643.3757834810826,613.355830797062,621.2193794731975,230165,DATAPATTNS.NS,2022-03-08,2022-10,2022-03,22.4532470703125,up
2022-03-09,705.3443603515625,712.1693406816321,636.0067861920686,636.0067861920686,463408,DATAPATTNS.NS,2022-03-09,2022-10,2022-03,69.535400390625,up
2022-03-10,663.2572021484375,727.2041040831197,657.9654119712868,712.169404578852,448415,DATAPATTNS.NS,2022-03-10,2022-10,2022-03,-42.087158203125,down
2022-03-11,656.0859375,680.5173123882046,649.7060756220931,662.7130803780481,286572,DATAPATTNS.NS,2022-03-11,2022-10,2022-03,-7.1712646484375,down
2022-03-14,648.1729736328125,668.4500165246104,641.8920601051088,660.7348610595602,181529,DATAPATTNS.NS,2022-03-14,2022-11,2022-03,-7.9129638671875,down
2022-03-15,656.1354370117188,673.2473319630066,648.8653991424254,652.8218954786597,229276,DATAPATTNS.NS,2022-03-15,2022-11,2022-03,7.96246337890625,up
2022-03-16,666.669677734375,685.4135924689804,659.1028538311359,667.5599136187609,149355,DATAPATTNS.NS,2022-03-16,2022-11,2022-03,10.53424072265625,up
2022-03-17,663.751708984375,677.4511138632607,652.9207881170325,675.5223098121432,184809,DATAPATTNS.NS,2022-03-17,2022-11,2022-03,-2.91796875,down
2022-03-21,669.7359008789062,687.1445211815869,663.8011563062217,667.6587644270041,154264,DATAPATTNS.NS,2022-03-21,2022-12,2022-03,5.98419189453125,up
2022-03-22,657.9158935546875,675.2750087570905,653.9593973092924,675.2750087570905,130825,DATAPATTNS.NS,2022-03-22,2022-12,2022-03,-11.82000732421875,down
2022-03-23,657.0750732421875,670.6260843663356,649.9533682365958,666.6695882933778,195562,DATAPATTNS.NS,2022-03-23,2022-12,2022-03,-0.8408203125,down
2022-03-24,674.0880737304688,678.8358573332451,652.8713497244046,657.619133327181,253588,DATAPATTNS.NS,2022-03-24,2022-12,2022-03,17.01300048828125,up
2022-03-25,665.482666015625,685.3640961587736,662.7131306781043,674.0880575479524,133463,DATAPATTNS.NS,2022-03-25,2022-12,2022-03,-8.60540771484375,down
2022-03-28,667.6093139648438,672.2582092436248,658.2620792772468,667.6587580948784,137356,DATAPATTNS.NS,2022-03-28,2022-13,2022-03,2.12664794921875,up
