Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,FINEORG.NS,FINEORG.NS,FINEORG.NS,FINEORG.NS,FINEORG.NS,,,,,,
Date,,,,,,,,,,,
2018-07-02,803.7003173828125,814.3473193407983,768.3895037318108,796.0813908419818,5816448,FINEORG.NS,2018-07-02,2018-26,2018-07,,no change
2018-07-03,802.6746826171875,838.8646274820392,786.3135010731195,809.6587332131872,1176283,FINEORG.NS,2018-07-03,2018-26,2018-07,-1.025634765625,down
2018-07-04,799.7443237304688,810.6355221849453,791.295092676696,799.0117335102576,219001,FINEORG.NS,2018-07-04,2018-26,2018-07,-2.93035888671875,down
2018-07-05,801.1607055664062,825.3850111291302,796.3255980154124,796.3255980154124,250488,FINEORG.NS,2018-07-05,2018-26,2018-07,1.4163818359375,up
2018-07-06,788.3158569335938,815.0310144606807,777.1805220274747,798.0348985272078,153593,FINEORG.NS,2018-07-06,2018-26,2018-07,-12.8448486328125,down
2018-07-09,786.4600219726562,793.102161185114,784.6529303778514,788.6577925691687,44413,FINEORG.NS,2018-07-09,2018-27,2018-07,-1.8558349609375,down
2018-07-10,789.146240234375,799.0117650756226,784.3111326662993,786.3135340903133,65781,FINEORG.NS,2018-07-10,2018-27,2018-07,2.68621826171875,up
2018-07-11,790.9044799804688,798.8164311748234,786.4112238154102,791.1975041694542,39424,FINEORG.NS,2018-07-11,2018-27,2018-07,1.75823974609375,up
2018-07-12,800.6234130859375,804.8724122889125,787.8274688185919,795.8859608105622,83971,FINEORG.NS,2018-07-12,2018-27,2018-07,9.71893310546875,up
2018-07-13,787.0948486328125,802.1373902917264,786.313431059775,800.525668107436,24129,FINEORG.NS,2018-07-13,2018-27,2018-07,-13.528564453125,down
2018-07-16,772.101318359375,790.2207058086983,757.0099468501127,785.3367706677298,51702,FINEORG.NS,2018-07-16,2018-28,2018-07,-14.9935302734375,down
2018-07-17,771.5640258789062,778.4991892887207,754.0795158480456,761.7961565026362,23591,FINEORG.NS,2018-07-17,2018-28,2018-07,-0.53729248046875,down
2018-07-18,762.2846069335938,775.5688864306588,761.8938682820075,771.661738388187,39317,FINEORG.NS,2018-07-18,2018-28,2018-07,-9.2794189453125,down
2018-07-19,763.847412109375,773.6152818294437,728.2435150560553,759.9402642213474,77643,FINEORG.NS,2018-07-19,2018-28,2018-07,1.56280517578125,up
2018-07-20,734.1041870117188,763.8961876338055,728.2922929994794,754.0794911557698,13781,FINEORG.NS,2018-07-20,2018-28,2018-07,-29.74322509765625,down
2018-07-23,733.0785522460938,749.9281258986522,717.9383556307514,749.9281258986522,11241,FINEORG.NS,2018-07-23,2018-29,2018-07,-1.025634765625,down
2018-07-24,752.9072875976562,766.7776727091841,719.5011656018179,719.5011656018179,16201,FINEORG.NS,2018-07-24,2018-29,2018-07,19.8287353515625,up
2018-07-25,743.7744140625,760.8681852062778,741.4789290236158,753.1027172487217,10209,FINEORG.NS,2018-07-25,2018-29,2018-07,-9.13287353515625,down
2018-07-26,766.7289428710938,768.7313442329107,744.3604974444245,757.0099006105537,16558,FINEORG.NS,2018-07-26,2018-29,2018-07,22.95452880859375,up
2018-07-27,791.0021362304688,799.4025405790603,766.7778294652987,780.2574787475155,46360,FINEORG.NS,2018-07-27,2018-29,2018-07,24.273193359375,up
2018-07-30,805.8491821289062,814.4937222353166,791.1973788174715,791.1973788174715,55960,FINEORG.NS,2018-07-30,2018-30,2018-07,14.8470458984375,up
2018-07-31,808.5354614257812,813.126372375366,789.2439176466702,789.2439176466702,22306,FINEORG.NS,2018-07-31,2018-30,2018-07,2.686279296875,up
2018-08-01,785.5808715820312,813.4681259109797,783.3831010367287,811.709921398406,10893,FINEORG.NS,2018-08-01,2018-30,2018-08,-22.95458984375,down
2018-08-02,781.9179077148438,792.1253426686432,776.0571863578306,785.1901199585064,5597,FINEORG.NS,2018-08-02,2018-30,2018-08,-3.6629638671875,down
2018-08-03,776.2526245117188,781.4295835792623,774.1036812332067,781.4295835792623,16356,FINEORG.NS,2018-08-03,2018-30,2018-08,-5.665283203125,down
2018-08-06,781.527099609375,783.334190971421,766.77764268656,776.5455107462614,12710,FINEORG.NS,2018-08-06,2018-31,2018-08,5.27447509765625,up
2018-08-07,789.243896484375,793.1510444867729,773.2245658272047,773.2245658272047,11394,FINEORG.NS,2018-08-07,2018-31,2018-08,7.716796875,up
2018-08-08,788.02294921875,799.9885905300976,786.5577686500135,791.1975071176789,8374,FINEORG.NS,2018-08-08,2018-31,2018-08,-1.220947265625,down
2018-08-09,782.2109985351562,794.127811567214,781.4295808779474,793.1510245911167,8389,FINEORG.NS,2018-08-09,2018-31,2018-08,-5.81195068359375,down
2018-08-10,781.038818359375,787.2902786625941,778.4991961465106,782.4551713550794,12724,FINEORG.NS,2018-08-10,2018-31,2018-08,-1.17218017578125,down
2018-08-13,775.52001953125,789.2438644082442,772.6384860729222,788.2670774473429,11305,FINEORG.NS,2018-08-13,2018-32,2018-08,-5.518798828125,down
2018-08-14,798.8651733398438,829.2921103037437,782.4063372830373,825.3849625520181,115333,FINEORG.NS,2018-08-14,2018-32,2018-08,23.34515380859375,up
2018-08-16,810.5377197265625,812.7354901486076,784.4574987946264,784.4574987946264,51241,FINEORG.NS,2018-08-16,2018-32,2018-08,11.67254638671875,up
2018-08-17,807.8027954101562,818.547451697353,800.7210901299584,812.7355575092462,27566,FINEORG.NS,2018-08-17,2018-32,2018-08,-2.73492431640625,down
2018-08-20,821.3313598632812,830.2689851388809,812.6868183947633,830.2689851388809,23579,FINEORG.NS,2018-08-20,2018-33,2018-08,13.528564453125,up
2018-08-21,877.5943603515625,888.6808698167673,814.6404213800012,814.6404213800012,167508,FINEORG.NS,2018-08-21,2018-33,2018-08,56.26300048828125,up
2018-08-23,952.6603393554688,966.8237507094599,860.5493381286996,860.5493381286996,221176,FINEORG.NS,2018-08-23,2018-33,2018-08,75.06597900390625,up
2018-08-24,951.9765014648438,996.3226511578331,925.017206516145,957.3488294857929,172806,FINEORG.NS,2018-08-24,2018-33,2018-08,-0.683837890625,down
2018-08-27,947.0437622070312,976.7869363423237,942.5993935703423,955.9813865219007,61120,FINEORG.NS,2018-08-27,2018-34,2018-08,-4.9327392578125,down
2018-08-28,934.7362670898438,952.3672592998806,929.119742227306,947.4833246368044,17039,FINEORG.NS,2018-08-28,2018-34,2018-08,-12.3074951171875,down
2018-08-29,974.393798828125,991.4387428330115,930.8779526304038,930.8779526304038,74188,FINEORG.NS,2018-08-29,2018-34,2018-08,39.65753173828125,up
2018-08-30,980.840576171875,1009.802331211187,967.0190178771036,974.83331297106,68241,FINEORG.NS,2018-08-30,2018-34,2018-08,6.44677734375,up
2018-08-31,1027.286865234375,1032.1708003533683,963.1120054654817,967.7029164010052,61319,FINEORG.NS,2018-08-31,2018-34,2018-08,46.4462890625,up
2018-09-03,1088.1407470703125,1215.1230604627187,1020.7424422697276,1027.2380998406018,442037,FINEORG.NS,2018-09-03,2018-35,2018-09,60.8538818359375,up
2018-09-04,1071.388671875,1137.3706737074704,1040.2780334086592,1098.885246558443,164094,FINEORG.NS,2018-09-04,2018-35,2018-09,-16.7520751953125,down
2018-09-05,1113.6837158203125,1121.1561601768765,1045.1620842968748,1072.902858792841,127026,FINEORG.NS,2018-09-05,2018-35,2018-09,42.2950439453125,up
2018-09-06,1112.5601806640625,1133.0238167138295,1095.0756728537021,1121.253607152231,49712,FINEORG.NS,2018-09-06,2018-35,2018-09,-1.12353515625,down
2018-09-07,1099.520263671875,1136.686935900415,1082.2799500071844,1111.5835587618917,45048,FINEORG.NS,2018-09-07,2018-35,2018-09,-13.0399169921875,down
2018-09-10,1081.40087890625,1116.4675565417328,1075.1494181718879,1094.0014552289945,30039,FINEORG.NS,2018-09-10,2018-36,2018-09,-18.119384765625,down
2018-09-11,1072.463134765625,1125.2585146812364,1066.651300374922,1090.0452990575193,53209,FINEORG.NS,2018-09-11,2018-36,2018-09,-8.937744140625,down
2018-09-12,1070.8515625,1091.071004321398,1046.9690504426273,1075.6377230830547,31368,FINEORG.NS,2018-09-12,2018-36,2018-09,-1.611572265625,down
2018-09-14,1106.9439697265625,1113.5372825839675,1075.100734440362,1081.2056537527742,21492,FINEORG.NS,2018-09-14,2018-36,2018-09,36.0924072265625,up
2018-09-17,1096.0037841796875,1113.1463226597916,1076.907552671208,1106.6995529945384,14389,FINEORG.NS,2018-09-17,2018-37,2018-09,-10.940185546875,down
2018-09-18,1083.8916015625,1111.4858313380628,1076.4191579706307,1102.5970944435364,8212,FINEORG.NS,2018-09-18,2018-37,2018-09,-12.1121826171875,down
2018-09-19,1041.0333251953125,1095.0484592780465,1004.613577542337,1091.1165078982328,23785,FINEORG.NS,2018-09-19,2018-37,2018-09,-42.8582763671875,down
2018-09-21,1081.1390380859375,1175.8990798916,982.9877365864995,1049.8801000586589,55459,FINEORG.NS,2018-09-21,2018-37,2018-09,40.105712890625,up
2018-09-24,1144.7877197265625,1169.7556371570467,1083.2526992832484,1110.8255587279791,50494,FINEORG.NS,2018-09-24,2018-38,2018-09,63.648681640625,up
2018-09-25,1099.226318359375,1169.2642125539696,1044.080716192256,1133.3851509665633,40072,FINEORG.NS,2018-09-25,2018-38,2018-09,-45.5614013671875,down
2018-09-26,1086.0052490234375,1111.3662687963135,1061.6270973099672,1101.9296074856234,9673,FINEORG.NS,2018-09-26,2018-38,2018-09,-13.2210693359375,down
2018-09-27,1079.222412109375,1096.031480775455,1066.640119310193,1095.834931197883,5551,FINEORG.NS,2018-09-27,2018-38,2018-09,-6.7828369140625,down
2018-09-28,1040.591064453125,1087.1355218809915,1037.0523316802448,1067.524959435778,12587,FINEORG.NS,2018-09-28,2018-38,2018-09,-38.63134765625,down
2018-10-01,1051.25634765625,1057.6949663129524,981.0219111341324,982.9878869079483,28722,FINEORG.NS,2018-10-01,2018-39,2018-10,10.665283203125,up
2018-10-03,1011.3472290039062,1054.5004283020653,994.7839043968213,1014.9843567770461,6610,FINEORG.NS,2018-10-03,2018-39,2018-10,-39.90911865234375,down
2018-10-04,1004.367919921875,1016.360324699604,974.5342601724963,1002.6476910401884,10468,FINEORG.NS,2018-10-04,2018-39,2018-10,-6.97930908203125,down
2018-10-05,1002.9916381835938,1031.5965608889444,987.9027985428847,992.8668752327168,6455,FINEORG.NS,2018-10-05,2018-39,2018-10,-1.37628173828125,down
2018-10-08,1021.81591796875,1043.9331456304112,999.6986903070887,1024.224190316675,8954,FINEORG.NS,2018-10-08,2018-40,2018-10,18.82427978515625,up
2018-10-09,1016.4586181640625,1039.804579231184,1002.6475910932178,1016.1636738162881,6116,FINEORG.NS,2018-10-09,2018-40,2018-10,-5.3572998046875,down
2018-10-10,1094.6552734375,1119.5739920662945,1017.4416478639844,1037.003010578648,18877,FINEORG.NS,2018-10-10,2018-40,2018-10,78.1966552734375,up
