Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,1568.75927734375,1577.449313386741,1563.38679330577,1563.38679330577,6912,GLAXO.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,1549.730712890625,1583.0571470422374,1541.5971039685583,1571.0707759991917,23936,GLAXO.NS,2015-08-19,2015-33,2015-08,-19.028564453125,down
2015-08-20,1542.8814697265625,1569.1445085580465,1536.824112869564,1554.8036707360047,11798,GLAXO.NS,2015-08-20,2015-33,2015-08,-6.8492431640625,down
2015-08-21,1535.9466552734375,1550.522961888967,1519.7008599408707,1535.4758247569575,13092,GLAXO.NS,2015-08-21,2015-33,2015-08,-6.934814453125,down
2015-08-24,1459.383544921875,1514.5421940080591,1445.6419846954318,1506.0019254244978,29628,GLAXO.NS,2015-08-24,2015-34,2015-08,-76.5631103515625,down
2015-08-25,1447.889404296875,1497.8682905269466,1414.8198628726948,1476.8921412740685,24132,GLAXO.NS,2015-08-25,2015-34,2015-08,-11.494140625,down
2015-08-26,1445.856201171875,1476.8923446463268,1428.7542368081831,1476.8923446463268,12156,GLAXO.NS,2015-08-26,2015-34,2015-08,-2.033203125,down
2015-08-27,1442.9879150390625,1472.6113551173382,1424.2377844405187,1455.5093924045225,21590,GLAXO.NS,2015-08-27,2015-34,2015-08,-2.8682861328125,down
2015-08-28,1452.6842041015625,1466.4043415260803,1440.9547235135417,1442.9881261181974,16484,GLAXO.NS,2015-08-28,2015-34,2015-08,9.6962890625,up
2015-08-31,1454.310791015625,1473.8956666323636,1434.1052134677059,1434.1052134677059,15158,GLAXO.NS,2015-08-31,2015-35,2015-08,1.6265869140625,up
2015-09-01,1446.7125244140625,1487.5731960563355,1426.1858799680217,1442.6671441165472,36444,GLAXO.NS,2015-09-01,2015-35,2015-09,-7.5982666015625,down
2015-09-02,1441.0401611328125,1491.447135948524,1429.8029374477812,1491.447135948524,38046,GLAXO.NS,2015-09-02,2015-35,2015-09,-5.67236328125,down
2015-09-03,1450.86474609375,1456.7723362706517,1436.4383115945259,1451.1643845021918,15972,GLAXO.NS,2015-09-03,2015-35,2015-09,9.8245849609375,up
2015-09-04,1442.0460205078125,1453.3474136720197,1432.820775226852,1450.3508210665102,16072,GLAXO.NS,2015-09-04,2015-35,2015-09,-8.8187255859375,down
2015-09-07,1431.96484375,1451.8279333719208,1425.693339761962,1438.364689546449,7952,GLAXO.NS,2015-09-07,2015-36,2015-09,-10.0811767578125,down
2015-09-08,1422.568115234375,1442.6238179987108,1398.1030152432595,1411.8231489180628,12078,GLAXO.NS,2015-09-08,2015-36,2015-09,-9.396728515625,down
2015-09-09,1421.1773681640625,1438.129463573054,1409.6403991687557,1427.7056613782058,13292,GLAXO.NS,2015-09-09,2015-36,2015-09,-1.3907470703125,down
2015-09-10,1434.468994140625,1452.9194867050494,1412.67952449224,1420.8131338756803,26310,GLAXO.NS,2015-09-10,2015-36,2015-09,13.2916259765625,up
2015-09-11,1427.12744140625,1451.1857818706142,1419.1864489136985,1419.1864489136985,28764,GLAXO.NS,2015-09-11,2015-36,2015-09,-7.341552734375,down
2015-09-14,1424.23779296875,1442.6454350179404,1414.8199295947456,1440.5050115238485,12602,GLAXO.NS,2015-09-14,2015-37,2015-09,-2.8896484375,down
2015-09-15,1423.5955810546875,1437.9364176101924,1413.1075065588702,1424.2377080646354,18256,GLAXO.NS,2015-09-15,2015-37,2015-09,-0.6422119140625,down
2015-09-16,1421.90478515625,1431.879179772033,1413.5357081981724,1425.5862509435333,8814,GLAXO.NS,2015-09-16,2015-37,2015-09,-1.6907958984375,down
2015-09-18,1433.7843017578125,1440.0771268017243,1415.0770187242306,1440.0771268017243,52916,GLAXO.NS,2015-09-18,2015-37,2015-09,11.8795166015625,up
2015-09-21,1433.441650390625,1448.638657584553,1420.7489805535201,1433.2061828977228,12814,GLAXO.NS,2015-09-21,2015-38,2015-09,-0.3426513671875,down
2015-09-22,1433.07763671875,1444.7857945179883,1425.5219839244153,1443.929625158274,9216,GLAXO.NS,2015-09-22,2015-38,2015-09,-0.364013671875,down
2015-09-23,1432.714111328125,1449.0883535770724,1425.9503511436303,1441.3399775312412,12330,GLAXO.NS,2015-09-23,2015-38,2015-09,-0.363525390625,down
