Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,GODREJCP.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,402.9849548339844,408.65514326506684,399.2305636625718,408.65514326506684,308361,GODREJCP.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,393.51397705078125,406.52295139437217,389.9913661929354,402.9385269455243,248838,GODREJCP.NS,2015-08-19,2015-33,2015-08,-9.470977783203125,down
2015-08-20,405.48779296875,409.7365791432506,395.5534011812042,395.5534011812042,653820,GODREJCP.NS,2015-08-20,2015-33,2015-08,11.97381591796875,up
2015-08-21,403.8036804199219,417.6160594128757,390.362098041483,405.3950477167631,429420,GODREJCP.NS,2015-08-21,2015-33,2015-08,-1.684112548828125,down
2015-08-24,377.58502197265625,399.8331668488688,371.42040919788906,398.6125956988086,492621,GODREJCP.NS,2015-08-24,2015-34,2015-08,-26.218658447265625,down
2015-08-25,388.8326110839844,404.3135916451668,379.1453887355108,379.1453887355108,893838,GODREJCP.NS,2015-08-25,2015-34,2015-08,11.247589111328125,up
2015-08-26,380.95306396484375,403.86553772664007,375.4373678617497,386.28334758263406,783714,GODREJCP.NS,2015-08-26,2015-34,2015-08,-7.879547119140625,down
2015-08-27,386.0052490234375,404.7771183973544,383.4868754646718,391.62909798847573,763224,GODREJCP.NS,2015-08-27,2015-34,2015-08,5.05218505859375,up
2015-08-28,403.9891052246094,408.09884591301466,389.3578716272545,393.6375501723372,812211,GODREJCP.NS,2015-08-28,2015-34,2015-08,17.983856201171875,up
2015-08-31,411.6987609863281,425.18668514880085,407.1100705900368,407.9134775675357,1532688,GODREJCP.NS,2015-08-31,2015-35,2015-08,7.70965576171875,up
2015-09-01,413.0119323730469,417.15256538081854,405.5186551511855,409.0258191753955,560922,GODREJCP.NS,2015-09-01,2015-35,2015-09,1.31317138671875,up
2015-09-02,408.36151123046875,435.6463977003297,397.53100640375,414.6806141239549,1114248,GODREJCP.NS,2015-09-02,2015-35,2015-09,-4.650421142578125,down
2015-09-03,402.9230651855469,411.760512932114,395.831476475767,409.11856903492077,1932603,GODREJCP.NS,2015-09-03,2015-35,2015-09,-5.438446044921875,down
2015-09-04,377.35308837890625,402.0114144196479,376.36426921510923,402.0114144196479,2618973,GODREJCP.NS,2015-09-04,2015-35,2015-09,-25.569976806640625,down
2015-09-07,361.3622741699219,385.9279244730139,354.3942570188084,385.9279244730139,1198257,GODREJCP.NS,2015-09-07,2015-36,2015-09,-15.990814208984375,down
2015-09-08,359.33831787109375,376.9823193202482,356.8972046774795,362.73732943803225,457911,GODREJCP.NS,2015-09-08,2015-36,2015-09,-2.023956298828125,down
2015-09-09,360.15716552734375,376.25616661586037,356.1246850211183,365.8582449996084,638463,GODREJCP.NS,2015-09-09,2015-36,2015-09,0.81884765625,up
2015-09-10,373.4752197265625,380.07241350552255,359.9872953925393,364.8695226232965,1687365,GODREJCP.NS,2015-09-10,2015-36,2015-09,13.31805419921875,up
2015-09-11,377.92474365234375,384.7073482552955,371.1112746947361,378.52731996230807,899229,GODREJCP.NS,2015-09-11,2015-36,2015-09,4.44952392578125,up
2015-09-14,386.0361022949219,389.34243618514773,372.0383373402429,377.044163004629,352437,GODREJCP.NS,2015-09-14,2015-37,2015-09,8.111358642578125,up
2015-09-15,393.9775390625,397.6855629595588,387.8438476467834,392.4016175902591,411066,GODREJCP.NS,2015-09-15,2015-37,2015-09,7.941436767578125,up
2015-09-16,381.2002868652344,397.84002593344013,378.52742171752885,395.5225111643328,337758,GODREJCP.NS,2015-09-16,2015-37,2015-09,-12.777252197265625,down
2015-09-18,367.2025146484375,389.3425052220921,361.8413376959208,389.3425052220921,919317,GODREJCP.NS,2015-09-18,2015-37,2015-09,-13.997772216796875,down
2015-09-21,364.65313720703125,375.0665048128706,361.0996059939794,367.21784915672396,538140,GODREJCP.NS,2015-09-21,2015-38,2015-09,-2.54937744140625,down
2015-09-22,363.2627258300781,370.1225640573828,359.9873124198294,364.9313251888904,511152,GODREJCP.NS,2015-09-22,2015-38,2015-09,-1.390411376953125,down
2015-09-23,361.424072265625,367.09425904512295,356.8971962938695,367.09425904512295,372870,GODREJCP.NS,2015-09-23,2015-38,2015-09,-1.838653564453125,down
2015-09-24,362.92279052734375,366.4763223848057,358.48862008575355,359.06027557964927,656718,GODREJCP.NS,2015-09-24,2015-38,2015-09,1.49871826171875,up
2015-09-28,361.56317138671875,368.2067321209085,355.5067407570154,364.0969911293432,315282,GODREJCP.NS,2015-09-28,2015-39,2015-09,-1.359619140625,down
2015-09-29,363.54083251953125,368.4848737992409,359.30752033619865,359.67831706693204,407631,GODREJCP.NS,2015-09-29,2015-39,2015-09,1.9776611328125,up
2015-09-30,376.9360046386719,378.52737211558735,360.4507592852956,367.4033026815617,1117470,GODREJCP.NS,2015-09-30,2015-39,2015-09,13.395172119140625,up
2015-10-01,379.7324523925781,385.1554416721761,375.4373276494996,380.6440118160688,340536,GODREJCP.NS,2015-10-01,2015-39,2015-10,2.79644775390625,up
2015-10-05,405.48779296875,415.59217920403484,381.3084096281593,381.3084096281593,1078818,GODREJCP.NS,2015-10-05,2015-40,2015-10,25.755340576171875,up
2015-10-06,408.5469055175781,414.5260758338339,405.4568768161466,405.4568768161466,371817,GODREJCP.NS,2015-10-06,2015-40,2015-10,3.059112548828125,up
2015-10-07,397.8863830566406,409.25765146176155,394.5954951944412,408.99500733862027,403461,GODREJCP.NS,2015-10-07,2015-40,2015-10,-10.6605224609375,down
2015-10-08,391.6599426269531,400.99181402801986,389.99134353648367,398.61248598719493,223092,GODREJCP.NS,2015-10-08,2015-40,2015-10,-6.2264404296875,down
2015-10-09,388.12176513671875,398.27248734671866,385.9124037687681,391.5825896701435,423111,GODREJCP.NS,2015-10-09,2015-40,2015-10,-3.538177490234375,down
2015-10-12,386.2215270996094,389.03343724004657,383.82675260870275,389.03343724004657,158610,GODREJCP.NS,2015-10-12,2015-41,2015-10,-1.900238037109375,down
2015-10-13,382.28173828125,390.563005146693,375.7926977093612,388.9716376529278,340032,GODREJCP.NS,2015-10-13,2015-41,2015-10,-3.939788818359375,down
2015-10-14,384.7073974609375,392.5096866541508,380.41227258010264,381.77188859704927,235791,GODREJCP.NS,2015-10-14,2015-41,2015-10,2.4256591796875,up
2015-10-15,378.48095703125,384.70735265230485,377.22949372005013,384.70735265230485,374319,GODREJCP.NS,2015-10-15,2015-41,2015-10,-6.2264404296875,down
2015-10-16,372.4709167480469,383.1624043191594,370.8332102838233,378.5273753487259,415278,GODREJCP.NS,2015-10-16,2015-41,2015-10,-6.010040283203125,down
2015-10-19,373.6914978027344,396.14049627437487,370.80232777945463,373.2743338679935,1607082,GODREJCP.NS,2015-10-19,2015-42,2015-10,1.2205810546875,up
2015-10-20,382.0190124511719,384.49101794826043,372.7798491172303,376.95137430667296,433317,GODREJCP.NS,2015-10-20,2015-42,2015-10,8.3275146484375,up
2015-10-21,384.47576904296875,386.26796758335223,378.5274895004268,381.92650234045357,223680,GODREJCP.NS,2015-10-21,2015-42,2015-10,2.456756591796875,up
2015-10-23,387.9828186035156,388.7244402149263,384.29024174099476,385.32540010006886,354270,GODREJCP.NS,2015-10-23,2015-42,2015-10,3.507049560546875,up
2015-10-26,397.4382629394531,401.0844722986365,390.8874092038409,393.97743775346595,2072721,GODREJCP.NS,2015-10-26,2015-43,2015-10,9.4554443359375,up
2015-10-27,399.38494873046875,403.24746289139324,390.8873779704801,396.1404289141012,583839,GODREJCP.NS,2015-10-27,2015-43,2015-10,1.946685791015625,up
2015-10-28,397.5928039550781,402.768596054704,387.07128188507977,401.64073139165635,711732,GODREJCP.NS,2015-10-28,2015-43,2015-10,-1.792144775390625,down
2015-10-29,399.61676025390625,401.7025233067278,389.821385752002,400.2810936654922,565887,GODREJCP.NS,2015-10-29,2015-43,2015-10,2.023956298828125,up
2015-10-30,390.2621765136719,408.8166386032579,387.8037159491742,401.9514932924835,451953,GODREJCP.NS,2015-10-30,2015-43,2015-10,-9.354583740234375,down
2015-11-02,394.1432189941406,395.735818085032,386.5513354802973,395.735818085032,141594,GODREJCP.NS,2015-11-02,2015-44,2015-11,3.88104248046875,up
2015-11-03,397.6839904785156,401.3948831682432,395.55023850666805,395.79762757773466,315873,GODREJCP.NS,2015-11-03,2015-44,2015-11,3.540771484375,up
