Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,GPPL.NS,GPPL.NS,GPPL.NS,GPPL.NS,GPPL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,142.5714874267578,144.94881101181585,133.4697384182589,134.4885913832838,1288230,GPPL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,136.016845703125,142.94504251252027,134.99799292632258,142.57146108816477,754104,GPPL.NS,2015-08-19,2015-33,2015-08,-6.5546417236328125,down
2015-08-20,127.62828826904297,135.77911056269485,126.67736314717285,135.77911056269485,2028986,GPPL.NS,2015-08-20,2015-33,2015-08,-8.388557434082031,down
2015-08-21,122.97554016113281,126.33775246848096,120.36048038635809,126.33775246848096,1809796,GPPL.NS,2015-08-21,2015-33,2015-08,-4.652748107910156,down
2015-08-24,121.31144714355469,127.69625578719031,111.49648727697445,112.0738415153532,1431199,GPPL.NS,2015-08-24,2015-34,2015-08,-1.664093017578125,down
2015-08-25,132.96029663085938,135.09988346540322,117.94919386167807,126.33775312051006,3633311,GPPL.NS,2015-08-25,2015-34,2015-08,11.648849487304688,up
2015-08-26,128.8169708251953,132.790501485972,122.94158961105335,129.08867116446766,1484079,GPPL.NS,2015-08-26,2015-34,2015-08,-4.1433258056640625,down
2015-08-27,128.74905395507812,134.14897254939464,126.33776655284761,132.4169204512117,1665430,GPPL.NS,2015-08-27,2015-34,2015-08,-0.0679168701171875,down
2015-08-28,125.25099182128906,131.63581019871333,124.16422150219957,129.73394918492082,964203,GPPL.NS,2015-08-28,2015-34,2015-08,-3.4980621337890625,down
2015-08-31,115.87752532958984,128.03583085087334,113.60208334115949,125.52266276910206,1582466,GPPL.NS,2015-08-31,2015-35,2015-08,-9.373466491699219,down
2015-09-01,120.90386199951172,122.22836852720691,115.2322441026885,116.45486949914033,1376248,GPPL.NS,2015-09-01,2015-35,2015-09,5.026336669921875,up
2015-09-02,120.63216400146484,123.72267557118941,119.47745598167145,121.20950764705591,407958,GPPL.NS,2015-09-02,2015-35,2015-09,-0.271697998046875,down
2015-09-03,122.33027648925781,124.13024581222083,121.31142358245437,122.19442114357118,370746,GPPL.NS,2015-09-03,2015-35,2015-09,1.6981124877929688,up
2015-09-04,122.05857849121094,125.5566464232346,117.67751298122184,122.22838731225166,866478,GPPL.NS,2015-09-04,2015-35,2015-09,-0.271697998046875,down
2015-09-07,123.85852813720703,125.93018695941244,119.7151897641854,122.05854885266582,476712,GPPL.NS,2015-09-07,2015-36,2015-09,1.7999496459960938,up
2015-09-08,123.28120422363281,125.62456388394773,121.99066132789648,125.55664657403462,2155778,GPPL.NS,2015-09-08,2015-36,2015-09,-0.5773239135742188,down
