Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,GRANULES.NS,GRANULES.NS,GRANULES.NS,GRANULES.NS,GRANULES.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,112.24324035644531,113.98893758271888,109.2236688069166,109.2236688069166,2425678,GRANULES.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,123.28353881835938,124.51024363414645,111.67705558866999,112.5734959384299,6674780,GRANULES.NS,2015-08-19,2015-33,2015-08,11.040298461914062,up
2015-08-20,118.18804168701172,126.63341184603347,114.366389555166,123.51947253866088,2841360,GRANULES.NS,2015-08-20,2015-33,2015-08,-5.095497131347656,down
2015-08-21,122.1040267944336,123.51945221043607,110.54472642963925,117.0085010562054,2719556,GRANULES.NS,2015-08-21,2015-33,2015-08,3.915985107421875,up
2015-08-24,104.9301986694336,117.9521150507238,97.71153498770991,114.17764736910065,4408139,GRANULES.NS,2015-08-24,2015-34,2015-08,-17.173828125,down
2015-08-25,105.40203094482422,111.81863033308012,95.54123477826465,105.68511896459893,3946318,GRANULES.NS,2015-08-25,2015-34,2015-08,0.471832275390625,up
2015-08-26,108.1385269165039,110.87501816641414,102.19374302796898,105.4964031435643,2440574,GRANULES.NS,2015-08-26,2015-34,2015-08,2.7364959716796875,up
2015-08-27,117.38594055175781,117.95210923624671,111.29960739563224,111.29960739563224,3152653,GRANULES.NS,2015-08-27,2015-34,2015-08,9.247413635253906,up
2015-08-28,115.02691650390625,121.63222846340346,113.32840298340095,119.46191363078731,2226809,GRANULES.NS,2015-08-28,2015-34,2015-08,-2.3590240478515625,down
2015-08-31,116.96133422851562,119.27320039488608,113.32840990905007,115.21564406973108,1695186,GRANULES.NS,2015-08-31,2015-35,2015-08,1.934417724609375,up
2015-09-01,115.02691650390625,118.65984060135901,111.39399240645349,115.4043647528215,1993135,GRANULES.NS,2015-09-01,2015-35,2015-09,-1.934417724609375,down
2015-09-02,113.13966369628906,117.85774802725003,112.38476732364516,116.30077875818785,1613377,GRANULES.NS,2015-09-02,2015-35,2015-09,-1.8872528076171875,down
2015-09-03,114.41355895996094,116.53669716746536,113.42275825010171,114.36637523121479,1280911,GRANULES.NS,2015-09-03,2015-35,2015-09,1.273895263671875,up
2015-09-04,110.16726684570312,114.97971132374319,108.51593736407588,114.97971132374319,1616339,GRANULES.NS,2015-09-04,2015-35,2015-09,-4.2462921142578125,down
2015-09-07,104.36402893066406,112.10169192143073,103.98658072636862,110.82780333203038,1526774,GRANULES.NS,2015-09-07,2015-36,2015-09,-5.8032379150390625,down
2015-09-08,105.59076690673828,107.38364103994488,97.19257232430695,104.69432624052101,2755816,GRANULES.NS,2015-09-08,2015-36,2015-09,1.2267379760742188,up
2015-09-09,107.525146484375,110.26163702607,107.19488199813485,107.57233021064896,1618291,GRANULES.NS,2015-09-09,2015-36,2015-09,1.9343795776367188,up
