Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,GRINDWELL.NS,GRINDWELL.NS,GRINDWELL.NS,GRINDWELL.NS,GRINDWELL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,345.66448974609375,349.2944176997683,345.2307198628746,349.2715935729224,1960,GRINDWELL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,346.98858642578125,348.8149622707822,341.0756890539338,341.0756890539338,2836,GRINDWELL.NS,2015-08-19,2015-33,2015-08,1.3240966796875,up
2015-08-20,345.6416931152344,352.6732525769154,342.4683589191844,342.9021288369102,9220,GRINDWELL.NS,2015-08-20,2015-33,2015-08,-1.346893310546875,down
2015-08-21,341.966064453125,348.5866771158559,335.6422211543043,336.0531668806843,5616,GRINDWELL.NS,2015-08-21,2015-33,2015-08,-3.675628662109375,down
2015-08-24,337.8795471191406,346.55483278841587,319.6157878154033,331.0306373802391,225374,GRINDWELL.NS,2015-08-24,2015-34,2015-08,-4.086517333984375,down
2015-08-25,340.8017272949219,349.2943634149529,316.533748284204,341.9660362659819,61390,GRINDWELL.NS,2015-08-25,2015-34,2015-08,2.92218017578125,up
2015-08-26,344.3175354003906,346.87447860414653,340.61913502796483,340.80178378119274,8614,GRINDWELL.NS,2015-08-26,2015-34,2015-08,3.51580810546875,up
2015-08-27,341.9203796386719,343.3814859007378,338.4046284018147,342.49112209508166,4244,GRINDWELL.NS,2015-08-27,2015-34,2015-08,-2.39715576171875,down
2015-08-28,348.03875732421875,351.4403880104574,340.6876054765573,340.6876054765573,8882,GRINDWELL.NS,2015-08-28,2015-34,2015-08,6.118377685546875,up
2015-08-31,339.5689697265625,353.5179111138723,338.016538950204,350.66419856048293,46060,GRINDWELL.NS,2015-08-31,2015-35,2015-08,-8.46978759765625,down
2015-09-01,333.9756774902344,341.98889639143675,327.83448278912095,336.9663625325505,520958,GRINDWELL.NS,2015-09-01,2015-35,2015-09,-5.593292236328125,down
2015-09-02,347.2169189453125,349.0204708505078,336.9435537656659,337.40014777365025,14724,GRINDWELL.NS,2015-09-02,2015-35,2015-09,13.241241455078125,up
2015-09-03,346.6917724609375,353.51785742563465,343.35864227843365,348.8377695488342,7498,GRINDWELL.NS,2015-09-03,2015-35,2015-09,-0.525146484375,down
2015-09-04,343.8609313964844,349.2944111618724,334.68340311327125,347.0114411542785,31162,GRINDWELL.NS,2015-09-04,2015-35,2015-09,-2.830841064453125,down
2015-09-07,343.5640869140625,351.55448019395766,340.1624567726797,342.44542628122116,23310,GRINDWELL.NS,2015-09-07,2015-36,2015-09,-0.296844482421875,down
2015-09-08,333.9756774902344,348.6095092054232,325.55151285326355,348.6095092054232,23814,GRINDWELL.NS,2015-09-08,2015-36,2015-09,-9.588409423828125,down
2015-09-09,332.6972351074219,337.85674182464385,331.5100739655396,337.85674182464385,7740,GRINDWELL.NS,2015-09-09,2015-36,2015-09,-1.2784423828125,down
