Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,GSFC.NS,GSFC.NS,GSFC.NS,GSFC.NS,GSFC.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,59.071048736572266,60.157770944518056,57.94551861679673,57.94551861679673,366137,GSFC.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,57.55740737915039,59.614416337230445,57.28572829159113,59.109866076243264,379653,GSFC.NS,2015-08-19,2015-33,2015-08,-1.513641357421875,down
2015-08-20,56.97523498535156,58.21720075025843,56.664742063584875,57.55740699285415,290691,GSFC.NS,2015-08-20,2015-33,2015-08,-0.5821723937988281,down
2015-08-21,56.431861877441406,56.858790316944166,55.50038918309225,56.2766184024362,219373,GSFC.NS,2015-08-21,2015-33,2015-08,-0.5433731079101562,down
2015-08-24,52.16261291503906,55.42277992357919,50.64896796539706,54.41367934237766,585249,GSFC.NS,2015-08-24,2015-34,2015-08,-4.269248962402344,down
2015-08-25,52.356658935546875,53.28813756023283,49.79510604251827,52.82240120896936,348909,GSFC.NS,2015-08-25,2015-34,2015-08,0.1940460205078125,up
2015-08-26,52.395477294921875,53.482199489915125,50.61014755156443,52.31785555002797,188051,GSFC.NS,2015-08-26,2015-34,2015-08,0.038818359375,up
2015-08-27,53.55982208251953,54.56892254859027,52.62834928473087,52.861214523098226,216735,GSFC.NS,2015-08-27,2015-34,2015-08,1.1643447875976562,up
2015-08-28,53.98674774169922,55.73326358769318,53.55981927714809,54.41367028409105,426505,GSFC.NS,2015-08-28,2015-34,2015-08,0.4269256591796875,up
2015-08-31,53.46571731567383,54.90857276898536,53.10500651015007,54.90857276898536,326070,GSFC.NS,2015-08-31,2015-35,2015-08,-0.5210304260253906,down
2015-09-01,53.145084381103516,53.866505940221714,52.50381397787867,53.38555619560698,256093,GSFC.NS,2015-09-01,2015-35,2015-09,-0.3206329345703125,down
2015-09-02,52.343502044677734,53.58595510391277,52.26333865357189,53.14508703087122,304799,GSFC.NS,2015-09-02,2015-35,2015-09,-0.8015823364257812,down
2015-09-03,52.30342102050781,52.90460976786997,52.183182047913746,52.82445249134332,160709,GSFC.NS,2015-09-03,2015-35,2015-09,-0.040081024169921875,down
2015-09-04,51.34151840209961,52.66412867475251,50.820486962408076,52.66412867475251,242803,GSFC.NS,2015-09-04,2015-35,2015-09,-0.9619026184082031,down
2015-09-07,49.698265075683594,51.50183114697857,49.33755124986384,51.381592185770714,156625,GSFC.NS,2015-09-07,2015-36,2015-09,-1.6432533264160156,down
2015-09-08,49.37763595581055,50.41969892693396,48.77644719145667,50.05898505676079,420961,GSFC.NS,2015-09-08,2015-36,2015-09,-0.3206291198730469,down
2015-09-09,51.822471618652344,52.423660370340635,49.77842741666886,50.01890536358747,314589,GSFC.NS,2015-09-09,2015-36,2015-09,2.444835662841797,up
2015-09-10,51.14112091064453,51.42167748721992,49.7784258384607,51.14112091064453,95188,GSFC.NS,2015-09-10,2015-36,2015-09,-0.6813507080078125,down
2015-09-11,52.70420837402344,53.58595056096163,51.70222722622832,51.70222722622832,362130,GSFC.NS,2015-09-11,2015-36,2015-09,1.5630874633789062,up
2015-09-14,53.94667053222656,54.34746301429182,52.904607632613725,53.666110902294534,153713,GSFC.NS,2015-09-14,2015-37,2015-09,1.242462158203125,up
2015-09-15,53.145084381103516,54.30738010688977,52.50381397787867,54.0669021767785,77251,GSFC.NS,2015-09-15,2015-37,2015-09,-0.8015861511230469,down
2015-09-16,52.143104553222656,54.106985276266165,51.70223037509878,53.38555758279436,166035,GSFC.NS,2015-09-16,2015-37,2015-09,-1.0019798278808594,down
