Price,Close,High,Low,Open,Volume
Ticker,GSPL.NS,GSPL.NS,GSPL.NS,GSPL.NS,GSPL.NS
Date,,,,,
2015-08-18,115.689208984375,118.44909605539907,114.78432661937605,116.27738390236523,171632
2015-08-19,116.14165496826172,118.53958766913954,115.28201259485064,115.32725257005895,711120
2015-08-20,115.37248992919922,117.54420186372694,113.6079722564695,115.82493106617648,661240
2015-08-21,114.60334777832031,116.23213182019285,112.06967450824625,113.83419918323848,581236
2015-08-24,109.5360107421875,112.34114463398018,106.7761168254711,110.57661991709932,1226382
2015-08-25,111.4362564086914,112.11491813236955,103.51853629911311,108.76684948666829,517570
2015-08-26,109.35503387451172,111.66248669723392,107.6810028578822,110.39564998875319,2010785
2015-08-27,109.94319152832031,113.11027935012379,109.49075041091983,110.39563264572081,1223650
2015-08-28,110.03368377685547,112.02442893344222,109.76222323530085,111.21003350137055,138036
2015-08-31,111.48149871826172,113.38175710735707,108.04295005510255,108.58587806468513,271073
2015-09-01,109.21929931640625,111.52675212178713,107.72624892861172,110.84809034416976,126638
2015-09-02,108.58587646484375,110.53137479891302,107.31903985867976,108.58587646484375,174425
2015-09-03,108.85734558105469,109.94320160081563,108.08819008804446,108.63112500162913,373213
2015-09-04,107.59050750732422,109.4907589681799,104.96634744056917,108.58587666265775,217971
2015-09-07,106.59513092041016,108.31440165807514,104.15194472361152,108.31440165807514,237101
2015-09-08,108.22391510009766,111.11954242575365,104.0614581546523,106.77610488912148,672344
2015-09-09,107.9977035522461,111.61723283361977,107.77148297216024,109.94320192172529,82325
2015-09-10,106.91184997558594,109.94320443735654,105.91648078117379,106.95708995041572,1420232
2015-09-11,106.1427001953125,109.30978835403721,105.46403844701435,107.00233564834177,111039
2015-09-14,106.91184997558594,107.68099858473603,105.87123390263963,107.68099858473603,193935
2015-09-15,108.785888671875,109.01443045479911,106.04338727678572,107.68889090365597,932833
2015-09-16,106.77471923828125,110.33996532088281,105.95196745978035,109.42579822800212,444748
2015-09-18,105.72342681884766,108.32880166655265,103.30088260186034,106.54617860616015,1588722
2015-09-21,105.72342681884766,106.86613569718682,104.4435914801995,104.4435914801995,70136
2015-09-22,102.24958801269531,107.7803017181668,100.51266914014333,105.72342575779926,1065603
2015-09-23,103.6208267211914,106.68328473686056,99.9184546035761,101.01545219963828,540117
2015-09-24,107.32322692871094,109.15156126489157,103.75797357825033,104.44359895431806,178013
2015-09-28,105.22063446044922,107.82600936604278,105.12921914305923,107.82600936604278,341803
2015-09-29,105.90625762939453,109.15155363920488,104.03221925046107,104.2150498814892,2736712
2015-09-30,107.59746551513672,109.19725794957739,106.0890953708687,107.23180425261205,601216
2015-10-01,106.9118423461914,108.69447242245309,106.3176392953125,107.87172061606628,433742
2015-10-05,107.91744232177734,109.06015133842241,106.18052322156836,107.0032751084613,1604275
2015-10-06,106.04338836669922,108.87730510917679,105.40347415775136,108.7401786431046,2127950
2015-10-07,105.86055755615234,108.96872025117817,105.22063637370331,106.5004717640596,1349571
2015-10-08,107.96315002441406,110.43140576572021,105.49490125765047,106.36335734885255,530133
2015-10-09,107.96315002441406,109.92861099215528,107.41465107341577,108.78590193818277,354329
2015-10-12,106.82041931152344,109.10583695607697,106.08908984999101,108.69446456987379,142718
2015-10-13,105.99766540527344,107.27750065505982,105.6777083364621,106.40904475763746,90329
2015-10-14,113.58526611328125,115.73355747785952,105.31205078161189,105.31205078161189,888009
2015-10-15,114.91079711914062,115.91638646885993,111.43696646174891,114.49942473028543,518279
2015-10-16,115.64214324951172,119.2988118107611,111.52839111810616,115.18505967935555,936658
2015-10-19,117.01339721679688,117.60760029490484,113.53955919710643,116.05351890293605,1356067
2015-10-20,115.18505096435547,117.47046864221966,114.31659503658358,117.47046864221966,972800
2015-10-21,115.68785858154297,118.93315483687246,114.08806602812123,116.00781569731892,1864462
2015-10-23,117.15050506591797,119.52734504023248,115.91638788428288,116.37347142172163,767766
2015-10-26,116.7391357421875,118.8874340042812,116.09922156276052,117.15050814688463,1195542
2015-10-27,116.83055877685547,119.11597653873025,116.00780698767225,116.09922230323895,686647
2015-10-28,115.7792739868164,118.47607133495362,115.27647925127872,116.51060354132156,255432
2015-10-29,115.18505096435547,117.74472155337986,113.81380035763695,115.55071918772198,593141
2015-10-30,118.33893585205078,120.48723425368809,113.81381120828513,115.96210263538052,614073
2015-11-02,115.0936508178711,119.34452965373883,114.81939787057298,119.2073962055476,323954
2015-11-03,115.23076629638672,116.83055872904437,115.00222452029277,115.7792651641039,386185
2015-11-04,116.69342803955078,117.9275521908256,115.59642336932998,116.32775981614385,1112740
2015-11-05,117.01339721679688,117.8818532344485,115.0936475636172,115.41360467672348,800836
2015-11-06,116.78484344482422,117.6532993733841,115.6421346048553,116.55630167683044,430377
2015-11-09,117.19622039794922,118.65889334966064,111.25413419888153,111.71121775265597,448140
2015-11-10,116.23635864257812,117.65331359064002,115.55073325574563,117.65331359064002,275620
2015-11-13,114.31659698486328,115.18505292743613,112.6710934389405,114.27088584071045,160498
2015-11-16,111.98548126220703,113.3110209036571,111.07131406822982,111.89406593771776,119211
2015-11-17,111.89405822753906,114.17947605500294,110.61422284925096,111.93976239936332,116842
2015-11-18,113.58526611328125,113.81380789620536,110.61422293526786,110.84276471819197,123404
2015-11-19,114.59085845947266,115.18506854130054,112.25973625705268,114.72798493597791,124117
2015-11-20,117.15050506591797,121.53850981514645,115.41359320328375,115.45930434684414,636304
2015-11-23,119.93870544433594,120.67004182094578,116.69341683766365,117.83611859248808,310821
2015-11-24,119.20738983154297,120.53294334775927,117.97327255831607,118.201814343997,139031
2015-11-26,119.75589752197266,122.04131541361335,119.07027215448045,119.20739164834536,361346
2015-11-27,122.13273620605469,122.49839748458417,117.0133946121401,119.84731834253633,302902
2015-11-30,123.68680572509766,124.32671987581848,121.85847160927679,122.04130223104241,303351
2015-12-01,124.50957489013672,125.3323337728914,123.86966061405089,124.55528604180392,240152
2015-12-02,123.27545166015625,125.42373619607625,122.49840396581398,124.50956900230152,336089
2015-12-03,122.08702850341797,123.00119567461678,120.67006659824301,121.81277556224151,161670
2015-12-04,121.58422088623047,122.40696567349676,119.93871736261535,119.93871736261535,467227
2015-12-07,120.5786361694336,122.13273141492762,120.3500943920472,121.58422556956701,725828
2015-12-08,120.94432067871094,122.2241491508116,117.47048260561522,119.7559005551408,109937
2015-12-09,120.7614974975586,121.49282012734689,117.01340624901096,120.71578634592558,155945
2015-12-10,119.66446685791016,120.1672615487248,117.97326610582085,119.29880560045378,159191
2015-12-11,118.8874282836914,120.48722062982198,117.01338303126485,120.44150948725894,74569
2015-12-14,116.87627410888672,119.39024086157076,116.14494453997077,116.23635986426748,359587
2015-12-15,116.55630493164062,118.47606141603022,116.09922138288908,116.19063669773111,72390
2015-12-16,116.87627410888672,120.67006935080924,116.5563169865771,118.15610957266738,728899
2015-12-17,117.56189727783203,118.84172566691939,116.64772318277564,116.64772318277564,109664
2015-12-18,116.78484344482422,119.52734466074965,116.55630167683044,117.42475760539031,61385
2015-12-21,118.33893585205078,119.34452530581375,116.78485447275843,116.78485447275843,166986
2015-12-22,124.87523651123047,126.33789556118414,117.24193533658364,117.24193533658364,856228
2015-12-23,123.36685180664062,127.343484414763,121.58422868713467,127.343484414763,2262555
2015-12-24,122.8183364868164,126.20075144435106,122.13271126775881,122.6812030735564,274675
2015-12-28,125.65225982666016,126.15505450035485,122.49838625396775,122.49838625396775,2166435
2015-12-29,124.96662139892578,126.97778593328833,123.77820155391308,126.61212472670638,704424
2015-12-30,126.0179214477539,126.93208841088864,123.09257600645812,125.24087394945705,678748
2015-12-31,125.14945220947266,127.25203902350317,123.77820175889809,124.92091046771023,373958
2016-01-01,129.99456787109375,135.9366544343562,124.46385374162502,125.2409014103006,1313615
2016-01-04,127.29776000976562,132.41710100092223,126.33788183028852,129.6288887459009,673965
2016-01-05,136.57655334472656,140.50747449715846,127.02351034632645,127.7548467850016,1781341
2016-01-06,131.5943603515625,137.9935304939012,130.04027896395417,135.89094322874456,947513
2016-01-07,127.25205993652344,129.99456128838423,125.97223155195503,129.81173065474349,591696
2016-01-08,133.9254913330078,140.91886465233327,128.6690300690843,128.6690300690843,2770602
2016-01-11,134.7939453125,136.9879548718151,128.62331696600535,131.82290203455813,668651
2016-01-12,130.7716064453125,135.34244194532982,130.268811750494,134.83964725051135,344773
2016-01-13,130.7716064453125,133.0113130505044,126.24648209011193,131.6400624004992,1048147
2016-01-14,132.05142211914062,132.55421676565425,128.89754871694655,129.81171572912348,366590
2016-01-15,130.9087371826172,135.93665666479868,127.06923782240453,132.7370715397741,344771
2016-01-18,127.89198303222656,129.81173969180952,122.77265518847895,128.25765827404837,412141
2016-01-19,127.29776000976562,129.26321356134287,123.96105590153024,129.26321356134287,469370
2016-01-20,124.23529052734375,126.56641918230198,122.04129529272511,125.46942156499267,441973
2016-01-21,122.49839782714844,125.0580686312638,118.84172923529326,123.3668538278973,732191
2016-01-22,125.42371368408203,128.62329828800802,122.58980426148244,122.58980426148244,570722
2016-01-25,126.42931365966797,132.82848340723817,125.46943540771584,125.46943540771584,772505
2016-01-27,124.18958282470703,128.62328405878193,123.41253535579766,127.29774480218387,204986
2016-01-28,124.32672882080078,125.9265212872449,122.86405584327568,122.86405584327568,307933
2016-01-29,126.97782135009766,129.76603416248972,122.49840754920108,124.41816429191948,301307
2016-02-01,124.18958282470703,129.0346563868185,123.7781965475901,128.48616459912984,438469
2016-02-02,121.94988250732422,125.69797310312312,119.75588710188457,124.32672248745268,410259
2016-02-03,124.00675964355469,124.60097661893924,119.84731056127643,119.93871890043215,172884
2016-02-04,124.32672882080078,125.42372657940294,121.85848037667508,124.6923900906404,296781
2016-02-05,123.8696517944336,126.56644216176497,121.58423386464699,126.15506972422018,525005
2016-02-08,127.06922912597656,131.18298114804054,122.95547710391257,122.95547710391257,402199
2016-02-09,122.58982849121094,126.84070043983087,120.94432472271512,126.84070043983087,442991
2016-02-10,121.17283630371094,123.64108436630902,119.93870529787134,123.64108436630902,122725
2016-02-11,117.65330505371094,122.22414063426757,114.27088951391568,122.04131000086194,313073
2016-02-12,122.26983642578125,124.60096506894888,114.54512805449211,118.33891553031367,379296
2016-02-15,120.16727447509766,124.50956863263545,119.75590202893726,122.49840360211903,230108
2016-02-16,117.65330505371094,121.85847936745631,116.6477226208968,120.03014513523367,84045
2016-02-17,119.98442840576172,120.6700537109375,115.36788189442828,117.92755249023438,130115
2016-02-18,119.8016128540039,122.31557262261524,118.88744566541797,120.67006889334368,98145
2016-02-19,118.75031280517578,120.53294999100508,118.20182085876122,118.8874462535927,45340
2016-02-22,117.97327423095703,119.66447509952388,117.37905721031156,119.61877790100667,58067
2016-02-23,117.33335876464844,119.25310140173141,114.91080745838259,119.25310140173141,144086
2016-02-24,116.83055877685547,118.75030132738048,115.64213875086398,116.73913648674727,66165
2016-02-25,115.55072021484375,118.79600916153329,114.77367959237112,118.79600916153329,106088
2016-02-26,114.4537124633789,117.69900829751519,112.07687951596839,117.69900829751519,132946
2016-02-29,115.96208953857422,118.61317539313636,110.61421366142196,112.99104660965173,205976
2016-03-01,122.22415161132812,124.73811140641524,115.1393558251735,116.78485957177469,269253
2016-03-02,120.53292846679688,123.32112674860721,119.80159205309175,123.09258499114199,259561
2016-03-03,120.6700668334961,122.95548476594867,118.93315478446576,122.95548476594867,572037
2016-03-04,119.89301300048828,123.4125620153749,119.02455702056713,122.26985310782513,147522
2016-03-08,118.79601287841797,120.94431116155525,118.11038754751242,120.12155239501875,147666
2016-03-09,117.97327423095703,118.70461074532174,116.19064409264628,117.97327423095703,215559
2016-03-10,120.12153625488281,121.99558136403509,117.24191583163307,119.02453866264868,454051
2016-03-11,116.5105972290039,121.17285514363908,115.77926771412078,120.94431336251154,348305
2016-03-14,115.23076629638672,117.47047291229083,113.99663512584618,117.01338936010293,399425
2016-03-15,111.71121978759766,117.56189775193678,109.791470221683,115.64214121148046,902710
2016-03-16,113.90522003173828,114.36230358481471,110.8427616210345,111.7112175820631,195549
2016-03-17,118.79601287841797,120.03014405368118,112.168301346331,114.45371911601617,674825
2016-03-18,121.99561309814453,123.27545557957103,116.41919443373068,119.11599192583331,323120
2016-03-21,126.15505981445312,127.34347983440587,121.99559671916,123.04689725373021,713479
2016-03-22,126.65785217285156,127.89196936577724,123.41255623752961,126.70356331683014,234119
2016-03-23,123.96106719970703,128.89756407397047,123.22973071301679,127.25206046618824,315013
2016-03-28,121.26427459716797,123.9610790208274,119.75590428315897,123.32115081577184,547984
2016-03-29,124.281005859375,127.34347101219493,119.07025653958941,121.9498771257893,298696
2016-03-30,127.8005599975586,128.76043821704698,124.37243346301615,125.05805876992464,315740
2016-03-31,129.53746032714844,132.37138358965035,124.92091421523851,127.06921223188493,1049615
2016-04-01,123.68680572509766,129.62889160151545,119.93871520803197,127.93767696474822,1692170
2016-04-04,126.47502136230469,126.97780209809073,123.68680897265332,123.68680897265332,308020
2016-04-05,124.3724136352539,126.97778101670241,124.32670249893087,126.0636140865632,270075
2016-04-06,125.19518280029297,126.61214460920174,123.41255972738075,123.41255972738075,66169
2016-04-07,123.50397491455078,126.70355961234658,122.9097579583679,125.78939255583349,64215
2016-04-08,125.14945220947266,125.69795796933485,123.50396282804792,123.54966001713566,81215
2016-04-11,125.24087524414062,126.88637858460976,124.5552500147019,124.5552500147019,68311
2016-04-12,125.83509063720703,127.89196652887351,124.50955118572733,125.28659876887873,256256
2016-04-13,125.19518280029297,127.34348108629172,124.05247391392834,126.61214460920174,99146
2016-04-18,125.65225982666016,128.25764153184392,124.46383985676788,126.15505450035485,406258
2016-04-20,127.29776000976562,128.48617994868576,123.68680300038221,125.05805355704037,181736
2016-04-21,129.35464477539062,131.13726783230203,126.56643232787127,127.98339412406139,495605
2016-04-22,131.00015258789062,132.5542339198934,128.53190412540584,128.8518542516245,321047
2016-04-25,129.4917755126953,134.19974486079386,129.08040307136812,132.37141050015384,213641
2016-04-26,127.93769073486328,130.08598913181012,127.11494587382361,129.03468853261077,196717
2016-04-27,126.5664291381836,128.89755797651148,126.1550567429687,128.89755797651148,67992
2016-04-28,125.14945220947266,128.62328947407772,124.37241865692896,127.52629190343427,846162
2016-04-29,125.88079071044922,127.06921057761001,124.555251375535,126.79495769302196,672936
2016-05-02,127.52629852294922,129.58317430557744,124.64667800690238,125.28659212723706,137316
2016-05-03,126.33790588378906,127.34349539642557,124.78382441351097,126.15507523124187,163514
2016-05-04,125.88079071044922,126.56641594737877,124.32670962989181,125.97221298833895,540787
2016-05-05,126.70356750488281,129.21752706689173,124.96664161986313,126.15506165717488,332926
2016-05-06,124.82950592041016,126.932092798109,124.55525303217442,125.69796177558887,117877
2016-05-09,126.8406753540039,127.43487834359712,124.87522182004308,125.42371366834101,1814010
2016-05-10,126.97782135009766,127.66344676548498,126.15507643126678,126.65787119236778,55540
2016-05-11,129.35464477539062,130.9544372019414,126.15505992228908,127.52631057361832,301799
2016-05-12,128.394775390625,130.36024316262393,127.29777758367047,129.9031595806359,465962
2016-05-13,127.02352142333984,129.53748106051998,126.42931836145796,126.42931836145796,124734
2016-05-16,127.52629852294922,128.2576349243667,125.97221738811312,126.33787861428104,70478
2016-05-17,127.11494445800781,128.89756760312795,126.61214973782427,128.25765339065964,110064
2016-05-18,125.56086730957031,128.25765769123737,125.33232551537675,127.0692375716141,402982
2016-05-19,124.23529052734375,127.34346671698191,123.41254580163213,126.56641918230198,124381
2016-05-20,122.22415161132812,126.97781825222144,120.07586706497706,125.97224270363725,907210
2016-05-23,121.53852081298828,122.95548269708371,119.98443943488651,122.95548269708371,223850
2016-05-24,121.35569763183594,122.49840664908487,118.24753468455273,122.0413230421853,1674846
2016-05-25,121.44712829589844,123.13832938843493,118.93316828483539,119.48166028143412,784178
2016-05-26,122.13273620605469,124.60098470883779,120.80718268594713,122.26985569823233,495313
2016-05-27,123.36685180664062,125.05806658229807,122.49839582012065,123.36685180664062,104928
2016-05-30,123.96106719970703,125.9265209304215,121.94988837403805,124.09818668823753,121938
2016-05-31,121.12714385986328,124.09818701114295,120.76148259010834,123.32113937655956,141171
2016-06-01,122.40697479248047,123.0469029514522,119.84731795292794,121.58422994392195,454095
2016-06-02,123.36685180664062,124.2810189396266,122.13273454655963,122.36127632980613,109854
2016-06-03,121.17283630371094,123.32112034284508,120.89858341918202,122.08700328608661,109299
2016-06-06,123.41255187988281,124.78380245632596,120.99001477446615,120.99001477446615,203914
2016-06-07,123.73252868652344,124.09818996498201,122.04131388821435,122.77265039421513,67693
2016-06-08,125.42371368408203,125.60654430020429,122.95546549372695,123.50397129117557,176762
2016-06-09,123.50397491455078,125.92651203467754,122.58980785803769,125.92651203467754,273119
2016-06-10,123.1383285522461,124.60100176474818,122.58983655937197,124.23532648707989,51560
2016-06-13,123.04690551757812,123.36685565465291,120.7157764659355,122.72694143141946,222393
2016-06-14,122.45267486572266,124.69238137233076,121.90418299931298,123.41255306829251,341105
2016-06-15,122.95547485351562,124.32672550243959,122.40696901431286,123.6411001779776,95531
2016-06-16,121.58422088623047,123.32113274782931,121.17284849259734,123.32113274782931,169067
2016-06-17,121.44712829589844,122.7726680573691,120.76150283833579,122.68124575005982,346521
2016-06-20,123.32112121582031,125.1494551935142,120.67004252779667,121.40137890869048,230300
2016-06-21,122.31556701660156,124.32673194949729,122.04131408277858,122.54410880327343,615378
2016-06-22,121.12714385986328,123.22973103366247,120.71577144411815,121.62993856758881,213614
2016-06-23,122.49839782714844,123.64110676210318,120.21297995723894,121.99560310595162,134934
2016-06-24,122.8183364868164,124.55524812879666,117.65328480046738,120.85286915606949,251968
2016-06-27,122.31556701660156,125.24089909618476,121.81277229610671,121.81277229610671,107342
2016-06-28,125.37802124023438,127.8005725996421,122.49840024689979,123.2297367695339,531288
