Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,HAL.NS,HAL.NS,HAL.NS,HAL.NS,HAL.NS,,,,,,
Date,,,,,,,,,,,
2018-04-02,475.998291015625,478.37983565198766,463.0551136440885,467.07265567649875,352730,HAL.NS,2018-04-02,2018-13,2018-04,,no change
2018-04-03,467.4454650878906,475.06641861962765,466.5135562457859,472.58132837401496,115130,HAL.NS,2018-04-03,2018-13,2018-04,-8.552825927734375,down
2018-04-04,462.1852722167969,472.1670389816586,461.81249865311344,468.02522285024054,163364,HAL.NS,2018-04-04,2018-13,2018-04,-5.26019287109375,down
2018-04-05,461.377685546875,468.54304919698455,459.534597201374,464.71186846321916,149988,HAL.NS,2018-04-05,2018-13,2018-04,-0.807586669921875,down
2018-04-06,456.7801818847656,463.4070876942102,455.6205037036802,457.0494100451301,146026,HAL.NS,2018-04-06,2018-13,2018-04,-4.597503662109375,down
2018-04-09,457.4429626464844,460.5700547346307,455.8069651398031,455.8069651398031,119028,HAL.NS,2018-04-09,2018-14,2018-04,0.66278076171875,up
2018-04-10,456.55255126953125,459.74173043713415,452.30718844342255,459.6589143130254,107306,HAL.NS,2018-04-10,2018-14,2018-04,-0.890411376953125,down
2018-04-11,454.4815673828125,458.0849276933952,453.52892931669777,456.42820101095975,79912,HAL.NS,2018-04-11,2018-14,2018-04,-2.07098388671875,down
2018-04-12,449.86346435546875,454.7922367059668,447.35764484236023,453.9431439957625,109438,HAL.NS,2018-04-12,2018-14,2018-04,-4.61810302734375,down
2018-04-13,465.1466979980469,476.3088726597077,457.71210743270296,461.8125156657166,289764,HAL.NS,2018-04-13,2018-14,2018-04,15.283233642578125,up
2018-04-16,475.4392395019531,480.4094204869528,465.54028559496965,465.9544673437196,270532,HAL.NS,2018-04-16,2018-15,2018-04,10.29254150390625,up
2018-04-17,474.81787109375,482.1074582893609,472.9954616550259,479.2081866329816,123586,HAL.NS,2018-04-17,2018-15,2018-04,-0.621368408203125,down
2018-04-18,468.0253601074219,478.37990347263036,465.9544514343802,477.965721738022,83918,HAL.NS,2018-04-18,2018-15,2018-04,-6.792510986328125,down
2018-04-19,472.60205078125,477.7171846835769,467.65254911211275,471.3387763677962,101248,HAL.NS,2018-04-19,2018-15,2018-04,4.576690673828125,up
2018-04-20,466.1823425292969,474.61093199890206,463.0552497335829,472.66424721453063,69878,HAL.NS,2018-04-20,2018-15,2018-04,-6.419708251953125,down
2018-04-23,468.56378173828125,475.8947776719133,464.8568251536527,468.85368870722874,79814,HAL.NS,2018-04-23,2018-16,2018-04,2.381439208984375,up
2018-04-24,468.3567199707031,474.0309894414798,468.0253543633658,471.31807888937306,60078,HAL.NS,2018-04-24,2018-16,2018-04,-0.207061767578125,down
2018-04-25,466.1407470703125,474.6107926808081,465.0638848244778,468.43947559602356,69828,HAL.NS,2018-04-25,2018-16,2018-04,-2.215972900390625,down
2018-04-26,468.2117004394531,471.33879261770727,465.9544303118811,466.7827937435466,32780,HAL.NS,2018-04-26,2018-16,2018-04,2.070953369140625,up
2018-04-27,466.2857971191406,470.07551938141876,464.7118863711722,469.12293176810454,33144,HAL.NS,2018-04-27,2018-16,2018-04,-1.9259033203125,down
2018-04-30,465.6852111816406,469.8477577307898,463.46934907050786,469.8477577307898,37230,HAL.NS,2018-04-30,2018-17,2018-04,-0.6005859375,down
2018-05-02,461.50201416015625,468.8330108990898,460.2594689122492,463.4693774693425,37722,HAL.NS,2018-05-02,2018-17,2018-05,-4.183197021484375,down
2018-05-03,453.5290222167969,461.81265732577947,451.12674781147336,461.4192048818213,38088,HAL.NS,2018-05-03,2018-17,2018-05,-7.972991943359375,down
2018-05-04,452.928466796875,457.6708275463751,451.4581013805872,457.6708275463751,24564,HAL.NS,2018-05-04,2018-17,2018-05,-0.600555419921875,down
2018-05-07,458.9754943847656,464.7326305457994,448.16536133954,451.66517673564505,42232,HAL.NS,2018-05-07,2018-18,2018-05,6.047027587890625,up
2018-05-08,457.40155029296875,463.42791425181406,455.18568830977904,457.7535946261184,25240,HAL.NS,2018-05-08,2018-18,2018-05,-1.573944091796875,down
2018-05-09,452.886962890625,457.2358707718272,451.45805623908876,455.5998732688052,19522,HAL.NS,2018-05-09,2018-18,2018-05,-4.51458740234375,down
2018-05-10,449.614990234375,452.22430475722814,448.9729883391399,451.4580786805004,25424,HAL.NS,2018-05-10,2018-18,2018-05,-3.27197265625,down
2018-05-11,448.6415710449219,451.8722083401795,443.65071218663576,450.42257247474356,32238,HAL.NS,2018-05-11,2018-18,2018-05,-0.973419189453125,down
2018-05-14,441.7040710449219,450.60897794376916,440.6893460638861,448.14461695594434,35344,HAL.NS,2018-05-14,2018-19,2018-05,-6.9375,down
2018-05-15,437.1067199707031,448.8280842616385,435.51213027129836,445.2454018465485,30794,HAL.NS,2018-05-15,2018-19,2018-05,-4.59735107421875,down
2018-05-16,432.5299072265625,438.16276742327517,431.99145087041285,436.7545397342764,206278,HAL.NS,2018-05-16,2018-19,2018-05,-4.576812744140625,down
2018-05-17,430.64544677734375,435.1600376729224,427.8289908353426,433.2340825478255,19002,HAL.NS,2018-05-17,2018-19,2018-05,-1.88446044921875,down
2018-05-18,427.7875671386719,432.4057032962708,426.6278886914593,432.4057032962708,23104,HAL.NS,2018-05-18,2018-19,2018-05,-2.857879638671875,down
2018-05-21,423.02447509765625,427.4147910671815,417.90934114299694,427.4147910671815,51328,HAL.NS,2018-05-21,2018-20,2018-05,-4.763092041015625,down
2018-05-22,423.27301025390625,426.1929862994456,418.8412608312093,424.5362594333642,21616,HAL.NS,2018-05-22,2018-20,2018-05,0.24853515625,up
2018-05-23,420.6636047363281,424.122011416786,416.6667416848503,422.4652848096892,23970,HAL.NS,2018-05-23,2018-20,2018-05,-2.609405517578125,down
2018-05-24,417.8057861328125,420.4565591009281,416.2733088006096,420.3944217346267,20556,HAL.NS,2018-05-24,2018-20,2018-05,-2.857818603515625,down
2018-05-25,423.6043395996094,424.5362484376432,416.4804092040438,417.4951594391652,27830,HAL.NS,2018-05-25,2018-20,2018-05,5.798553466796875,up
2018-05-28,431.7222595214844,436.9616678305516,422.46530918214467,422.46530918214467,45700,HAL.NS,2018-05-28,2018-21,2018-05,8.117919921875,up
2018-05-29,434.35235595703125,435.3049941508215,428.67808653292127,428.67808653292127,17038,HAL.NS,2018-05-29,2018-21,2018-05,2.630096435546875,up
2018-05-30,447.87530517578125,454.7714395762946,418.7376369869161,431.991449433584,169116,HAL.NS,2018-05-30,2018-21,2018-05,13.52294921875,up
2018-05-31,437.83148193359375,455.16497663878414,433.4411658552318,449.3871619234845,684704,HAL.NS,2018-05-31,2018-21,2018-05,-10.0438232421875,down
2018-06-01,426.5450134277344,434.9115140992791,425.5924258537668,434.89078479057326,31148,HAL.NS,2018-06-01,2018-21,2018-06,-11.286468505859375,down
2018-06-04,421.8648376464844,430.7697709994749,420.3944974158857,430.749041687213,20846,HAL.NS,2018-06-04,2018-22,2018-06,-4.68017578125,down
2018-06-05,411.59307861328125,422.0718709298462,410.01919315476465,422.05116690005894,42304,HAL.NS,2018-06-05,2018-22,2018-06,-10.271759033203125,down
2018-06-06,412.8977966308594,415.9834304442226,409.62575069444404,410.03993244438783,18688,HAL.NS,2018-06-06,2018-22,2018-06,1.304718017578125,up
2018-06-07,413.99530029296875,418.32350397917713,412.5249603596638,412.5249603596638,21514,HAL.NS,2018-06-07,2018-22,2018-06,1.097503662109375,up
2018-06-08,410.226318359375,413.74686322592987,409.0044771438764,412.3386351674488,27042,HAL.NS,2018-06-08,2018-22,2018-06,-3.76898193359375,down
2018-06-11,408.83880615234375,411.9866027035873,407.5548528051625,410.26773828365737,29734,HAL.NS,2018-06-11,2018-23,2018-06,-1.38751220703125,down
2018-06-12,403.3094482421875,410.8682646020539,401.217835620455,409.00444686948407,46224,HAL.NS,2018-06-12,2018-23,2018-06,-5.52935791015625,down
2018-06-13,399.45751953125,405.877335461954,399.06404188602016,400.92785941428906,38652,HAL.NS,2018-06-13,2018-23,2018-06,-3.8519287109375,down
2018-06-14,403.0401916503906,417.4951427153903,393.07912708101674,397.61442163370504,412558,HAL.NS,2018-06-14,2018-23,2018-06,3.582672119140625,up
2018-06-15,401.13494873046875,403.8271295944316,397.614404523748,401.77692526517745,27064,HAL.NS,2018-06-15,2018-23,2018-06,-1.905242919921875,down
2018-06-18,392.9963073730469,401.1349881268173,391.6709461181822,400.0995338466758,32204,HAL.NS,2018-06-18,2018-24,2018-06,-8.138641357421875,down
2018-06-19,385.2718200683594,393.86609029143824,384.7126596089506,392.25077155933906,35686,HAL.NS,2018-06-19,2018-24,2018-06,-7.7244873046875,down
2018-06-20,383.1595153808594,387.6534024020645,382.2897438436698,385.60319774480666,30550,HAL.NS,2018-06-20,2018-24,2018-06,-2.1123046875,down
2018-06-21,377.7337951660156,383.9465220601935,377.31961337307047,383.1595665417375,35406,HAL.NS,2018-06-21,2018-24,2018-06,-5.42572021484375,down
2018-06-22,378.7278137207031,381.4406992089969,371.1068591792694,377.3609936808106,55906,HAL.NS,2018-06-22,2018-24,2018-06,0.9940185546875,up
2018-06-25,373.177734375,378.5413927718352,371.93518919950054,376.9053699014983,20008,HAL.NS,2018-06-25,2018-25,2018-06,-5.550079345703125,down
2018-06-26,367.3999328613281,371.52104651573234,366.57156932394633,371.1068647470414,36168,HAL.NS,2018-06-26,2018-25,2018-06,-5.777801513671875,down
2018-06-27,358.3914489746094,366.71651698651374,356.19629084278665,364.4799255135492,54490,HAL.NS,2018-06-27,2018-25,2018-06,-9.00848388671875,down
2018-06-28,349.5279541015625,356.2169735296205,347.91263532569224,356.2169735296205,45704,HAL.NS,2018-06-28,2018-25,2018-06,-8.863494873046875,down
2018-06-29,349.7350158691406,352.05442313321987,349.1551514132992,349.54862905978854,26608,HAL.NS,2018-06-29,2018-25,2018-06,0.207061767578125,up
2018-07-02,355.5750427246094,364.0450648145732,345.07554516836296,349.65224858314605,38980,HAL.NS,2018-07-02,2018-26,2018-07,5.84002685546875,up
2018-07-03,349.71429443359375,355.5749753683543,348.76168161724854,354.9537028429582,18650,HAL.NS,2018-07-03,2018-26,2018-07,-5.860748291015625,down
2018-07-04,346.56658935546875,350.70840697549227,345.8417712719646,348.3682699083196,21490,HAL.NS,2018-07-04,2018-26,2018-07,-3.147705078125,down
2018-07-05,342.9424743652344,347.8505177814289,342.1141109005841,345.84174649151055,16684,HAL.NS,2018-07-05,2018-26,2018-07,-3.624114990234375,down
2018-07-06,343.25311279296875,346.17308896803837,341.28574955222473,341.6999312871182,27932,HAL.NS,2018-07-06,2018-26,2018-07,0.310638427734375,up
2018-07-09,340.6851501464844,344.84767114949926,339.649695902966,343.770808848098,19422,HAL.NS,2018-07-09,2018-27,2018-07,-2.567962646484375,down
2018-07-10,351.2674865722656,354.4981240276004,339.6289910163674,339.6289910163674,43264,HAL.NS,2018-07-10,2018-27,2018-07,10.58233642578125,up
2018-07-11,347.64337158203125,352.0337124136701,346.06948630563505,350.9154168584582,18542,HAL.NS,2018-07-11,2018-27,2018-07,-3.624114990234375,down
2018-07-12,344.43353271484375,351.61960123525785,342.94248852875177,347.6434412729329,15372,HAL.NS,2018-07-12,2018-27,2018-07,-3.2098388671875,down
2018-07-13,342.4247131347656,348.26466486772216,338.821327366079,342.5489625861732,26036,HAL.NS,2018-07-13,2018-27,2018-07,-2.008819580078125,down
2018-07-16,336.97821044921875,341.20286871277165,336.3155298618412,339.29764306432816,18462,HAL.NS,2018-07-16,2018-28,2018-07,-5.446502685546875,down
2018-07-17,338.0758361816406,340.7266093582006,334.658836918549,335.90138210512777,39086,HAL.NS,2018-07-17,2018-28,2018-07,1.097625732421875,up
2018-07-18,333.064208984375,337.5166620564132,331.98732144567725,336.68829869417357,19868,HAL.NS,2018-07-18,2018-28,2018-07,-5.011627197265625,down
2018-07-19,328.6324768066406,335.07299722266777,327.84552146026715,333.00208871078473,25722,HAL.NS,2018-07-19,2018-28,2018-07,-4.431732177734375,down
2018-07-20,325.1533203125,328.8395473478387,323.06170790061066,328.8395473478387,36970,HAL.NS,2018-07-20,2018-28,2018-07,-3.479156494140625,down
2018-07-23,320.245361328125,325.0705639572454,318.9406785930661,323.08249644449126,29158,HAL.NS,2018-07-23,2018-29,2018-07,-4.907958984375,down
2018-07-24,323.9729309082031,326.2094969211914,319.74827251081007,320.5766359110972,24700,HAL.NS,2018-07-24,2018-29,2018-07,3.727569580078125,up
2018-07-25,325.5260925292969,330.558384712871,324.3042515320915,324.3042515320915,22476,HAL.NS,2018-07-25,2018-29,2018-07,1.55316162109375,up
2018-07-26,323.9107971191406,329.27445525117366,320.99082115680454,323.8900930898337,27854,HAL.NS,2018-07-26,2018-29,2018-07,-1.61529541015625,down
2018-07-27,326.9136657714844,329.7508260617466,322.64759859946236,322.64759859946236,25988,HAL.NS,2018-07-27,2018-29,2018-07,3.00286865234375,up
2018-07-30,368.70458984375,374.337451393444,327.61775619767025,327.61775619767025,277582,HAL.NS,2018-07-30,2018-30,2018-07,41.790924072265625,up
2018-07-31,401.1764221191406,404.6141507751496,371.5210197307522,372.3493832084127,603636,HAL.NS,2018-07-31,2018-30,2018-07,32.471832275390625,up
2018-08-01,405.8773498535156,410.412644389044,396.93101023282054,405.0696905066992,233110,HAL.NS,2018-08-01,2018-30,2018-08,4.700927734375,up
2018-08-02,396.5996398925781,405.0282517651852,388.8337338377669,402.56386585453004,63904,HAL.NS,2018-08-02,2018-30,2018-08,-9.2777099609375,down
2018-08-03,398.7948303222656,404.3241710545695,393.4726057147189,397.61442261697914,36284,HAL.NS,2018-08-03,2018-30,2018-08,2.1951904296875,up
