Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,,,,,,
Date,,,,,,,,,,,
2018-08-06,1611.346435546875,1636.2360786600827,1531.7529993421733,1531.7529993421733,19305566,HDFCAMC.NS,2018-08-06,2018-31,2018-08,,no change
2018-08-07,1570.5294189453125,1627.3629389569107,1557.2638810629107,1614.7628984595785,3507846,HDFCAMC.NS,2018-08-07,2018-31,2018-08,-40.8170166015625,down
2018-08-08,1579.1365966796875,1596.217696372922,1546.0391497915982,1563.475203089837,1678483,HDFCAMC.NS,2018-08-08,2018-31,2018-08,8.607177734375,up
2018-08-09,1551.984130859375,1585.6582512912632,1543.9537533557907,1579.0919895274608,674845,HDFCAMC.NS,2018-08-09,2018-31,2018-08,-27.1524658203125,down
2018-08-10,1551.8511962890625,1568.7991747603073,1543.9539389609358,1543.9539389609358,587382,HDFCAMC.NS,2018-08-10,2018-31,2018-08,-0.1329345703125,down
2018-08-13,1513.3853759765625,1545.0185965314763,1512.4536363646775,1543.0665143081103,726503,HDFCAMC.NS,2018-08-13,2018-32,2018-08,-38.4658203125,down
2018-08-14,1533.261474609375,1550.1207406997041,1515.1156236440654,1515.1156236440654,570586,HDFCAMC.NS,2018-08-14,2018-32,2018-08,19.8760986328125,up
2018-08-16,1517.600341796875,1544.8413258706976,1514.67210985714,1532.3299961872258,377188,HDFCAMC.NS,2018-08-16,2018-32,2018-08,-15.6611328125,down
2018-08-17,1522.347412109375,1536.6778102222697,1520.9277060749102,1525.94103285443,320048,HDFCAMC.NS,2018-08-17,2018-32,2018-08,4.7470703125,up
2018-08-20,1550.2982177734375,1557.9736418901016,1528.1592751868372,1530.4220094101352,793064,HDFCAMC.NS,2018-08-20,2018-33,2018-08,27.9508056640625,up
2018-08-21,1564.894775390625,1573.5019392303514,1550.165122733755,1559.4820854061672,606276,HDFCAMC.NS,2018-08-21,2018-33,2018-08,14.5965576171875,up
2018-08-23,1627.98388671875,1640.495323136936,1571.6384462882259,1579.4469915957977,2303105,HDFCAMC.NS,2018-08-23,2018-33,2018-08,63.089111328125,up
2018-08-24,1681.5343017578125,1707.5774085000473,1617.1140746532863,1627.8064415672254,2700488,HDFCAMC.NS,2018-08-24,2018-33,2018-08,53.5504150390625,up
2018-08-27,1723.1944580078125,1748.0396922118387,1694.7999046317825,1694.7999046317825,1702446,HDFCAMC.NS,2018-08-27,2018-34,2018-08,41.66015625,up
