Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2015-08-18,1946.776611328125,1973.0923364197427,1942.4275799415545,1954.2953642164607,142927
2015-08-19,1978.9893798828125,1996.8649314658526,1928.5693393623749,1939.0735294678727,200364
2015-08-20,1938.0052490234375,1963.989305350915,1932.2555495026695,1953.4113267465234,239882
2015-08-21,1883.4197998046875,1959.271039415855,1868.6401836608622,1927.6110770308303,536661
2015-08-24,1822.6063232421875,1856.8093742379076,1769.127050776766,1851.6863131463485,589441
2015-08-25,1816.67236328125,1856.6251136911255,1772.665363328649,1824.5227926825626,588828
2015-08-26,1763.7459716796875,1805.9839172474788,1744.8384977565115,1803.7725083692167,1271762
2015-08-27,1752.7626953125,1782.3955379908289,1742.7744626529434,1782.3955379908289,937972
2015-08-28,1768.0948486328125,1790.4668228982064,1752.7623806569068,1768.758199184583,318325
2015-08-31,1767.06298828125,1780.1840495671067,1754.3842807328008,1754.3842807328008,358188
2015-09-01,1757.2222900390625,1765.736069601975,1734.5184579531922,1747.0128811736693,367859
2015-09-02,1723.9405517578125,1761.608286990052,1695.745089543134,1743.32727157422,493940
2015-09-03,1711.8885498046875,1741.4845001170058,1706.5443116561803,1736.693114190758,260650
2015-09-04,1688.66845703125,1717.490373128654,1670.0188760477035,1712.8096664558013,424019
2015-09-07,1681.11328125,1703.5959405863819,1663.8641821736182,1695.4136548747085,257462
2015-09-08,1705.1436767578125,1715.7952604471946,1682.3662367586514,1689.5164229745915,174954
2015-09-09,1728.06884765625,1746.8658253030585,1719.8129562122076,1725.6362616148522,208014
2015-09-10,1731.23828125,1743.0691741760943,1695.4133872550822,1715.3160661489462,222191
2015-09-11,1727.14697265625,1745.4279860202823,1719.07536743096,1732.3438187486606,193787
2015-09-14,1731.90185546875,1739.4206102507296,1710.1563331293892,1724.8621673286152,116680
2015-09-15,1703.1898193359375,1726.1146436294066,1699.1355708633287,1724.6772642548183,330037
