Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,745.1248168945312,749.3931610414984,741.0272169342048,744.399219231071,606035,HINDUNILVR.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,747.9846801757812,755.7103730890552,735.3503912215447,742.1370171081727,548163,HINDUNILVR.NS,2015-08-19,2015-33,2015-08,2.85986328125,up
2015-08-20,744.4419555664062,769.8812784251772,740.1309380320804,742.6919447380737,1086427,HINDUNILVR.NS,2015-08-20,2015-33,2015-08,-3.542724609375,down
2015-08-21,754.771240234375,758.0578440545761,734.9661149689449,740.1308004451773,1428246,HINDUNILVR.NS,2015-08-21,2015-33,2015-08,10.32928466796875,up
2015-08-24,726.6001586914062,751.2284806531145,721.307402156953,738.7222129461745,2392818,HINDUNILVR.NS,2015-08-24,2015-34,2015-08,-28.17108154296875,down
2015-08-25,739.2344970703125,749.5211955405113,729.9721594622254,735.0088261507748,2303018,HINDUNILVR.NS,2015-08-25,2015-34,2015-08,12.63433837890625,up
2015-08-26,729.8868408203125,741.454042906118,725.6184967219481,739.4906150416324,1894521,HINDUNILVR.NS,2015-08-26,2015-34,2015-08,-9.34765625,down
2015-08-27,732.2772216796875,737.954141091357,726.4722831866214,734.7102094720394,2087603,HINDUNILVR.NS,2015-08-27,2015-34,2015-08,2.390380859375,up
2015-08-28,729.4600219726562,743.1187233788148,727.3258498779439,742.6918889598724,1427528,HINDUNILVR.NS,2015-08-28,2015-34,2015-08,-2.81719970703125,down
2015-08-31,734.923583984375,742.6919502082455,724.5941589318332,736.6309218009457,1990625,HINDUNILVR.NS,2015-08-31,2015-35,2015-08,5.46356201171875,up
2015-09-01,728.8197631835938,735.3076254462516,724.2099306627824,729.8868492204658,1483369,HINDUNILVR.NS,2015-09-01,2015-35,2015-09,-6.10382080078125,down
2015-09-02,709.0573120117188,736.2040225904248,703.5938627415458,731.5941900496379,1463479,HINDUNILVR.NS,2015-09-02,2015-35,2015-09,-19.762451171875,down
2015-09-03,711.7462768554688,718.5756264384897,695.8253347985301,708.9718535873665,1228866,HINDUNILVR.NS,2015-09-03,2015-35,2015-09,2.68896484375,up
2015-09-04,708.5449829101562,717.721920941824,702.7400464829776,709.697414751683,1332041,HINDUNILVR.NS,2015-09-04,2015-35,2015-09,-3.2012939453125,down
2015-09-07,699.88037109375,711.9598059084207,697.7889241383384,709.3987994123472,868619,HINDUNILVR.NS,2015-09-07,2015-36,2015-09,-8.66461181640625,down
2015-09-08,683.8740844726562,706.6670528411012,670.1300370386116,706.6670528411012,2511604,HINDUNILVR.NS,2015-09-08,2015-36,2015-09,-16.00628662109375,down
2015-09-09,685.5386962890625,693.5632035798379,675.1666519813019,688.0570295848553,1519952,HINDUNILVR.NS,2015-09-09,2015-36,2015-09,1.66461181640625,up
2015-09-10,674.5264892578125,683.7887758038928,663.8129030849502,683.7887758038928,2651147,HINDUNILVR.NS,2015-09-10,2015-36,2015-09,-11.01220703125,down
2015-09-11,678.880126953125,682.6789636108457,669.3190257786692,676.1057032969193,1368043,HINDUNILVR.NS,2015-09-11,2015-36,2015-09,4.3536376953125,up
2015-09-14,678.453369140625,683.7034538012325,672.7764500231816,683.7034538012325,1115042,HINDUNILVR.NS,2015-09-14,2015-37,2015-09,-0.4267578125,down
