Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,72.39144134521484,74.65213354158594,71.99827520266582,73.7675190946262,652167,HINDZINC.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,69.0495376586914,72.44057956901197,68.60723045265661,71.75254447095335,1808836,HINDZINC.NS,2015-08-19,2015-33,2015-08,-3.3419036865234375,down
2015-08-20,68.5826416015625,69.61469402951572,67.32942811853067,69.14781263360699,628925,HINDZINC.NS,2015-08-20,2015-33,2015-08,-0.46689605712890625,down
2015-08-21,67.40314483642578,68.55806870671994,66.39566667185024,68.16490265519307,667341,HINDZINC.NS,2015-08-21,2015-33,2015-08,-1.1794967651367188,down
2015-08-24,60.17875289916992,66.34652383716997,58.0409212143186,66.34652383716997,1948289,HINDZINC.NS,2015-08-24,2015-34,2015-08,-7.224391937255859,down
2015-08-25,62.24286651611328,62.955479546403325,57.52489244283611,61.431963843477476,1288820,HINDZINC.NS,2015-08-25,2015-34,2015-08,2.0641136169433594,up
2015-08-26,62.43946838378906,63.20122646501934,59.466158937128384,62.26745583353596,1311735,HINDZINC.NS,2015-08-26,2015-34,2015-08,0.19660186767578125,up
2015-08-27,63.913822174072266,64.60185722862799,62.61146367878921,63.34864355874037,1595746,HINDZINC.NS,2015-08-27,2015-34,2015-08,1.4743537902832031,up
2015-08-28,64.72471618652344,66.29737297522567,64.2332604713653,65.36361011603283,1286319,HINDZINC.NS,2015-08-28,2015-34,2015-08,0.8108940124511719,up
2015-08-31,62.48859405517578,64.87215349033545,61.60397228050377,64.87215349033545,790997,HINDZINC.NS,2015-08-31,2015-35,2015-08,-2.2361221313476562,down
2015-09-01,61.80056381225586,63.86467657099241,61.112524976173674,62.2674452995027,601754,HINDZINC.NS,2015-09-01,2015-35,2015-09,-0.6880302429199219,down
2015-09-02,62.88176727294922,67.82089949699063,61.38282935261312,62.41488576896965,695697,HINDZINC.NS,2015-09-02,2015-35,2015-09,1.0812034606933594,up
2015-09-03,65.53562927246094,65.97793646142118,62.58689093249643,63.86467517179143,717965,HINDZINC.NS,2015-09-03,2015-35,2015-09,2.6538619995117188,up
2015-09-04,64.92131042480469,65.51105585089196,63.446943110076525,65.11788973382713,712335,HINDZINC.NS,2015-09-04,2015-35,2015-09,-0.61431884765625,down
2015-09-07,64.06126403808594,65.85507463871146,63.889251515167835,65.31447028012893,412481,HINDZINC.NS,2015-09-07,2015-36,2015-09,-0.86004638671875,down
2015-09-08,64.13497161865234,65.36361092169166,63.7172312560113,63.93839232977373,604868,HINDZINC.NS,2015-09-08,2015-36,2015-09,0.07370758056640625,up
2015-09-09,66.34652709960938,68.04204795901767,65.4619052384773,65.60934346516927,914057,HINDZINC.NS,2015-09-09,2015-36,2015-09,2.2115554809570312,up
2015-09-10,64.82301330566406,66.29738062117443,63.49608422150873,66.29738062117443,843494,HINDZINC.NS,2015-09-10,2015-36,2015-09,-1.5235137939453125,down
2015-09-11,63.913822174072266,65.36361514554163,63.54523035934177,64.87215939256762,506651,HINDZINC.NS,2015-09-11,2015-36,2015-09,-0.9091911315917969,down
2015-09-14,66.81340789794922,67.32943793668393,62.90633617442003,63.52065586362335,1142621,HINDZINC.NS,2015-09-14,2015-37,2015-09,2.899585723876953,up
2015-09-15,66.56766510009766,67.13284358688301,64.89671891964088,65.9287712667402,1222629,HINDZINC.NS,2015-09-15,2015-37,2015-09,-0.2457427978515625,down
2015-09-16,65.28988647460938,66.81339449889067,64.72470797447397,66.81339449889067,694065,HINDZINC.NS,2015-09-16,2015-37,2015-09,-1.2777786254882812,down
2015-09-18,66.7642593383789,67.84546037037711,65.60933545252837,67.18199218080021,1299240,HINDZINC.NS,2015-09-18,2015-37,2015-09,1.4743728637695312,up
2015-09-21,66.69053649902344,67.50144289746247,64.99501584631464,66.24822937188856,574826,HINDZINC.NS,2015-09-21,2015-38,2015-09,-0.07372283935546875,down
2015-09-22,66.00251770019531,67.7226130591035,65.2161853936576,67.30487261518897,627150,HINDZINC.NS,2015-09-22,2015-38,2015-09,-0.688018798828125,down
2015-09-23,66.54310607910156,67.52601758691115,63.49608190469576,63.88924800762353,872316,HINDZINC.NS,2015-09-23,2015-38,2015-09,0.54058837890625,up
2015-09-24,70.40103912353516,71.1136484909502,66.14994970835374,66.88713336409756,1597066,HINDZINC.NS,2015-09-24,2015-38,2015-09,3.8579330444335938,up
2015-09-28,67.64888763427734,70.76963495299317,67.0345678864215,70.76963495299317,359610,HINDZINC.NS,2015-09-28,2015-39,2015-09,-2.7521514892578125,down
2015-09-29,66.22366333007812,67.32943878456923,65.90422008727748,66.12537367837176,385717,HINDZINC.NS,2015-09-29,2015-39,2015-09,-1.4252243041992188,down
2015-09-30,68.70550537109375,69.19696104971528,66.34651661390669,67.083700131839,428345,HINDZINC.NS,2015-09-30,2015-39,2015-09,2.481842041015625,up
2015-10-01,68.01747131347656,69.00038279198934,66.88712911240243,69.00038279198934,505895,HINDZINC.NS,2015-10-01,2015-39,2015-10,-0.6880340576171875,down
