Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,INDIACEM.NS,INDIACEM.NS,INDIACEM.NS,INDIACEM.NS,INDIACEM.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,80.01190948486328,81.5404937605325,78.86547310032758,79.77306796401295,1444808,INDIACEM.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,80.58513641357422,82.11372085496123,79.15208713311162,79.77307661241852,2794326,INDIACEM.NS,2015-08-19,2015-33,2015-08,0.5732269287109375,up
2015-08-20,79.62975311279297,81.39717872107352,78.14894021455316,80.58511909444343,2862095,INDIACEM.NS,2015-08-20,2015-33,2015-08,-0.95538330078125,down
2015-08-21,78.53108978271484,79.72529739673949,76.4292872975774,78.8177025256267,1424133,INDIACEM.NS,2015-08-21,2015-33,2015-08,-1.098663330078125,down
2015-08-24,63.96176528930664,76.33376216826981,62.86309997124945,75.47393111550984,4527541,INDIACEM.NS,2015-08-24,2015-34,2015-08,-14.569324493408203,down
2015-08-25,66.20687866210938,68.26091010165354,60.856825910070896,65.92026589484647,6453458,INDIACEM.NS,2015-08-25,2015-34,2015-08,2.2451133728027344,up
2015-08-26,67.11447143554688,71.79576698633315,65.8247286023877,67.16224265816452,4406338,INDIACEM.NS,2015-08-26,2015-34,2015-08,0.9075927734375,up
2015-08-27,69.35958099365234,70.60155990350772,68.26090846399032,69.74172891121286,7333288,INDIACEM.NS,2015-08-27,2015-34,2015-08,2.2451095581054688,up
2015-08-28,71.03146362304688,73.08550206701698,69.98056243671887,72.51228390073483,3969315,INDIACEM.NS,2015-08-28,2015-34,2015-08,1.6718826293945312,up
2015-08-31,69.31180572509766,72.08236127440199,68.97742179637244,70.69708349974982,1884890,INDIACEM.NS,2015-08-31,2015-35,2015-08,-1.7196578979492188,down
2015-09-01,66.254638671875,70.21940951015326,65.0604310271445,68.78636033647666,2751059,INDIACEM.NS,2015-09-01,2015-35,2015-09,-3.0571670532226562,down
2015-09-02,67.49661254882812,68.21313708270345,65.58588045849393,67.35330618428017,2083604,INDIACEM.NS,2015-09-02,2015-35,2015-09,1.241973876953125,up
2015-09-03,70.69708251953125,71.07923036930151,68.21313242932052,68.73857934499864,2164060,INDIACEM.NS,2015-09-03,2015-35,2015-09,3.200469970703125,up
2015-09-04,66.68455505371094,71.22254391698148,64.96489320050463,70.74486087874247,3017617,INDIACEM.NS,2015-09-04,2015-35,2015-09,-4.0125274658203125,down
2015-09-07,65.3470458984375,67.8787676452129,65.0604331388534,66.8756302755338,1486365,INDIACEM.NS,2015-09-07,2015-36,2015-09,-1.3375091552734375,down
