Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,293.30889892578125,297.61086117612945,291.26371010839205,297.61086117612945,1458538,INDUSTOWER.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,286.36224365234375,295.42456772418984,281.3903180697588,295.42456772418984,1049220,INDUSTOWER.NS,2015-08-19,2015-33,2015-08,-6.9466552734375,down
2015-08-20,284.31707763671875,292.67416347657104,273.6679652154234,286.3622662818771,3859556,INDUSTOWER.NS,2015-08-20,2015-33,2015-08,-2.045166015625,down
2015-08-21,284.10552978515625,296.0593176833085,282.0955943708269,282.800833356754,812612,INDUSTOWER.NS,2015-08-21,2015-33,2015-08,-0.2115478515625,down
2015-08-24,265.4166259765625,280.6850416514052,258.2584564800896,280.6850416514052,1667702,INDUSTOWER.NS,2015-08-24,2015-34,2015-08,-18.68890380859375,down
2015-08-25,283.99969482421875,301.31330006333894,266.01610406561105,266.01610406561105,2292969,INDUSTOWER.NS,2015-08-25,2015-34,2015-08,18.58306884765625,up
2015-08-26,272.962646484375,283.7880654785958,271.4816623439061,278.428246734918,1665838,INDUSTOWER.NS,2015-08-26,2015-34,2015-08,-11.03704833984375,down
2015-08-27,276.1715393066406,284.5286240241927,273.9500412227804,276.4536305435753,1479740,INDUSTOWER.NS,2015-08-27,2015-34,2015-08,3.208892822265625,up
2015-08-28,275.50152587890625,281.0376546219426,270.8116922831266,279.2745576669743,1667970,INDUSTOWER.NS,2015-08-28,2015-34,2015-08,-0.670013427734375,down
2015-08-31,281.91925048828125,307.4841606326219,275.18422759705925,277.0883597151899,3395039,INDUSTOWER.NS,2015-08-31,2015-35,2015-08,6.417724609375,up
2015-09-01,284.28179931640625,302.54748216356984,281.2845340502171,282.095554464867,3469193,INDUSTOWER.NS,2015-09-01,2015-35,2015-09,2.362548828125,up
2015-09-02,279.4508972167969,296.0592636980328,277.82885645381185,289.1479315050769,2487017,INDUSTOWER.NS,2015-09-02,2015-35,2015-09,-4.830902099609375,down
2015-09-03,285.6570129394531,298.95077074638573,281.3903261271011,282.6597475609063,8191537,INDUSTOWER.NS,2015-09-03,2015-35,2015-09,6.20611572265625,up
2015-09-04,287.4200439453125,291.58096978793503,283.6822871792921,289.85312624161355,1206867,INDUSTOWER.NS,2015-09-04,2015-35,2015-09,1.763031005859375,up
2015-09-07,285.5864562988281,292.2509499435399,282.27182538067655,290.52312782328715,839470,INDUSTOWER.NS,2015-09-07,2015-36,2015-09,-1.833587646484375,down
2015-09-08,280.68505859375,291.1225848270571,278.56934207168655,284.9517449710387,546519,INDUSTOWER.NS,2015-09-08,2015-36,2015-09,-4.901397705078125,down
2015-09-09,287.4200439453125,288.44264874165435,283.6117589998584,283.6117589998584,1384674,INDUSTOWER.NS,2015-09-09,2015-36,2015-09,6.7349853515625,up
2015-09-10,275.8894348144531,287.3142907777561,272.3984940488384,286.75010833099327,822857,INDUSTOWER.NS,2015-09-10,2015-36,2015-09,-11.530609130859375,down
2015-09-11,264.1119079589844,281.2139473929106,261.00886180942933,280.57923683175727,2691262,INDUSTOWER.NS,2015-09-11,2015-36,2015-09,-11.77752685546875,down
2015-09-14,280.755615234375,282.0955648630377,265.6282319597212,269.401264444201,2728038,INDUSTOWER.NS,2015-09-14,2015-37,2015-09,16.643707275390625,up
2015-09-15,274.4436950683594,282.09554092025775,269.43649491258844,282.09554092025775,1791446,INDUSTOWER.NS,2015-09-15,2015-37,2015-09,-6.311920166015625,down
2015-09-16,267.92022705078125,276.45362119306463,266.22765816423953,274.19684832955494,1161894,INDUSTOWER.NS,2015-09-16,2015-37,2015-09,-6.523468017578125,down
2015-09-18,275.78363037109375,277.86409348703904,268.8722985835879,271.09379654941614,1665768,INDUSTOWER.NS,2015-09-18,2015-37,2015-09,7.8634033203125,up
2015-09-21,283.1886291503906,285.12803583408623,272.43373754080585,272.43373754080585,1168980,INDUSTOWER.NS,2015-09-21,2015-38,2015-09,7.404998779296875,up
2015-09-22,292.7799377441406,294.78987300085606,281.8134809818102,282.8008111802471,2773004,INDUSTOWER.NS,2015-09-22,2015-38,2015-09,9.59130859375,up
2015-09-23,278.0051574707031,290.2763088998941,275.254708795421,289.0068660831067,764540,INDUSTOWER.NS,2015-09-23,2015-38,2015-09,-14.7747802734375,down
2015-09-24,279.0982666015625,285.65697910297314,276.52414917991985,283.54126261578506,1915621,INDUSTOWER.NS,2015-09-24,2015-38,2015-09,1.093109130859375,up
2015-09-28,265.9102783203125,282.2365735977584,255.8253721882023,281.3902784371956,1988414,INDUSTOWER.NS,2015-09-28,2015-39,2015-09,-13.18798828125,down
2015-09-29,252.1934356689453,265.8750660638137,240.7333035110223,264.2530251980271,5933628,INDUSTOWER.NS,2015-09-29,2015-39,2015-09,-13.716842651367188,down
2015-09-30,250.5008544921875,258.61110147320693,246.86885710468079,251.41765641160373,5239314,INDUSTOWER.NS,2015-09-30,2015-39,2015-09,-1.6925811767578125,down
2015-10-01,280.2618713378906,283.92912139955536,253.8859467318507,256.0016629546161,4290092,INDUSTOWER.NS,2015-10-01,2015-39,2015-10,29.761016845703125,up
2015-10-05,289.25372314453125,300.431763728539,280.29720225654404,281.84871488361654,4108959,INDUSTOWER.NS,2015-10-05,2015-40,2015-10,8.991851806640625,up
2015-10-06,300.8196716308594,303.7464305506234,291.58105841573797,292.3568040587651,2591448,INDUSTOWER.NS,2015-10-06,2015-40,2015-10,11.565948486328125,up
2015-10-07,303.81689453125,308.01307438822806,296.024013679356,298.31603999134626,2151696,INDUSTOWER.NS,2015-10-07,2015-40,2015-10,2.997222900390625,up
2015-10-08,289.1832275390625,303.252753429125,283.82342864969115,299.02131966034653,1896560,INDUSTOWER.NS,2015-10-08,2015-40,2015-10,-14.6336669921875,down
2015-10-09,284.3875732421875,292.6388765985709,277.5114942859288,292.56834840740356,3070800,INDUSTOWER.NS,2015-10-09,2015-40,2015-10,-4.795654296875,down
2015-10-12,272.43377685546875,287.59641311610386,271.09382725780273,286.1506819884979,1623422,INDUSTOWER.NS,2015-10-12,2015-41,2015-10,-11.95379638671875,down
2015-10-13,281.2139892578125,282.90655818025704,264.9934958335374,271.5169551454741,2751120,INDUSTOWER.NS,2015-10-13,2015-41,2015-10,8.78021240234375,up
2015-10-14,287.77276611328125,291.4752708732159,277.5115472446227,282.800839758815,1769019,INDUSTOWER.NS,2015-10-14,2015-41,2015-10,6.55877685546875,up
2015-10-15,281.6723937988281,290.5584076578492,279.06302295404487,289.04214842717784,1281719,INDUSTOWER.NS,2015-10-15,2015-41,2015-10,-6.100372314453125,down
2015-10-16,283.1181640625,290.55842582362493,282.09555905206304,282.09555905206304,862437,INDUSTOWER.NS,2015-10-16,2015-41,2015-10,1.445770263671875,up
2015-10-19,292.4978332519531,293.626219794372,280.29720891264367,280.75560989238727,1053170,INDUSTOWER.NS,2015-10-19,2015-42,2015-10,9.379669189453125,up
2015-10-20,286.5032958984375,296.7645130257423,283.50603064903845,295.3540352613192,1210060,INDUSTOWER.NS,2015-10-20,2015-42,2015-10,-5.994537353515625,down
2015-10-21,288.72479248046875,292.07467715249686,284.81072531465634,288.4427012335766,941977,INDUSTOWER.NS,2015-10-21,2015-42,2015-10,2.22149658203125,up
2015-10-23,274.1263427734375,291.9688766249805,271.5874786722623,291.68678539644577,2801512,INDUSTOWER.NS,2015-10-23,2015-42,2015-10,-14.59844970703125,down
2015-10-26,267.95550537109375,276.27731505882394,267.109210155787,275.0431470911074,3704144,INDUSTOWER.NS,2015-10-26,2015-43,2015-10,-6.17083740234375,down
2015-10-27,272.610107421875,274.8668806699893,264.4646061609904,266.5097948108651,1794442,INDUSTOWER.NS,2015-10-27,2015-43,2015-10,4.65460205078125,up
2015-10-28,275.6073303222656,277.79357503275753,269.47176532180555,269.47176532180555,2740936,INDUSTOWER.NS,2015-10-28,2015-43,2015-10,2.997222900390625,up
2015-10-29,271.9753723144531,276.700481463574,270.45911301269075,275.25472883272585,3062328,INDUSTOWER.NS,2015-10-29,2015-43,2015-10,-3.6319580078125,down
2015-10-30,274.30267333984375,277.75833957707516,272.5043012670946,273.06850528924804,936263,INDUSTOWER.NS,2015-10-30,2015-43,2015-10,2.327301025390625,up
2015-11-02,273.17425537109375,280.6850443385304,271.09379228785315,274.9726057146419,1342210,INDUSTOWER.NS,2015-11-02,2015-44,2015-11,-1.12841796875,down
2015-11-03,271.86956787109375,276.9120211808685,269.54228835033035,271.86956787109375,1413587,INDUSTOWER.NS,2015-11-03,2015-44,2015-11,-1.3046875,down
2015-11-04,267.74395751953125,275.184241201294,264.2177628425397,272.856939801169,3477526,INDUSTOWER.NS,2015-11-04,2015-44,2015-11,-4.1256103515625,down
2015-11-05,264.6056213378906,271.3053903169036,263.75932612114275,264.85243771410916,2333088,INDUSTOWER.NS,2015-11-05,2015-44,2015-11,-3.138336181640625,down
2015-11-06,267.32073974609375,269.1543648016781,259.80995135832427,262.56037818061156,1246267,INDUSTOWER.NS,2015-11-06,2015-44,2015-11,2.715118408203125,up
2015-11-09,268.4844665527344,271.1643658508392,258.78743136301,261.64364039183704,854065,INDUSTOWER.NS,2015-11-09,2015-45,2015-11,1.163726806640625,up
2015-11-10,268.4139099121094,270.811717691399,263.05409036169743,264.5703495807937,1527057,INDUSTOWER.NS,2015-11-10,2015-45,2015-11,-0.070556640625,down
2015-11-13,265.593017578125,272.5748795280942,264.53515905473006,267.74398796682,1643481,INDUSTOWER.NS,2015-11-13,2015-45,2015-11,-2.820892333984375,down
2015-11-16,259.9862976074219,267.2502706718014,258.8226578099877,266.5802851557911,765715,INDUSTOWER.NS,2015-11-16,2015-46,2015-11,-5.606719970703125,down
2015-11-17,271.5169982910156,272.9274762042157,261.81996263776506,263.0541308118151,1590252,INDUSTOWER.NS,2015-11-17,2015-46,2015-11,11.53070068359375,up
2015-11-18,274.02056884765625,278.14622076017605,269.9654451303096,271.8695987890675,1239629,INDUSTOWER.NS,2015-11-18,2015-46,2015-11,2.503570556640625,up
2015-11-19,277.44097900390625,278.0756897095802,270.6001745860242,274.443713678384,1567652,INDUSTOWER.NS,2015-11-19,2015-46,2015-11,3.42041015625,up
2015-11-20,271.5169982910156,278.146240178619,270.31808345592157,277.75836736136296,745085,INDUSTOWER.NS,2015-11-20,2015-46,2015-11,-5.923980712890625,down
2015-11-23,268.5196838378906,276.2067827608556,267.81444500968865,271.8343149393122,874396,INDUSTOWER.NS,2015-11-23,2015-47,2015-11,-2.997314453125,down
