Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,IOC.NS,IOC.NS,IOC.NS,IOC.NS,IOC.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,35.344459533691406,35.64926576449676,34.19148909754708,34.27542142389986,16722918,IOC.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,35.15892028808594,35.76412035374871,34.89829046182504,35.24727308333903,8582496,IOC.NS,2015-08-19,2015-33,2015-08,-0.18553924560546875,down
2015-08-20,35.1368293762207,35.89222423879684,34.70391448860077,35.51673502044052,12475224,IOC.NS,2015-08-20,2015-33,2015-08,-0.022090911865234375,down
2015-08-21,34.88503646850586,35.07057086402163,33.87342812374369,34.97338521771658,11272152,IOC.NS,2015-08-21,2015-33,2015-08,-0.25179290771484375,down
2015-08-24,33.40517044067383,34.164979766922116,33.153371459213,33.74973459432151,99099624,IOC.NS,2015-08-24,2015-34,2015-08,-1.4798660278320312,down
2015-08-25,34.88503646850586,38.370446190286806,32.336135621398086,33.04293572595013,70079874,IOC.NS,2015-08-25,2015-34,2015-08,1.4798660278320312,up
2015-08-26,34.80109786987305,36.57693369701856,34.1958979249644,34.78784454879483,35767644,IOC.NS,2015-08-26,2015-34,2015-08,-0.0839385986328125,down
2015-08-27,36.210289001464844,36.621117775075696,35.30028270241426,35.574165855257085,37806834,IOC.NS,2015-08-27,2015-34,2015-08,1.4091911315917969,up
2015-08-28,35.80387496948242,36.537183730366856,34.96013128509546,36.258880119769174,19178652,IOC.NS,2015-08-28,2015-34,2015-08,-0.4064140319824219,down
2015-08-31,36.616695404052734,36.78898051661182,35.62275683125709,35.852467618438276,21749190,IOC.NS,2015-08-31,2015-35,2015-08,0.8128204345703125,up
2015-09-01,35.86572265625,37.28374337230189,35.4593103108047,36.23679145676156,68903676,IOC.NS,2015-09-01,2015-35,2015-09,-0.7509727478027344,down
2015-09-02,34.911537170410156,36.64761729722251,34.77017917936893,36.64761729722251,19076928,IOC.NS,2015-09-02,2015-35,2015-09,-0.9541854858398438,down
2015-09-03,35.31795120239258,35.85688463598839,34.98663833933073,34.98663833933073,14337390,IOC.NS,2015-09-03,2015-35,2015-09,0.4064140319824219,up
2015-09-04,36.728336334228516,36.97986980607095,34.765481252569565,35.47965422255136,43873704,IOC.NS,2015-09-04,2015-35,2015-09,1.4103851318359375,up
2015-09-07,35.430240631103516,36.82714828774484,34.99005814569101,36.422898562907946,9021060,IOC.NS,2015-09-07,2015-36,2015-09,-1.298095703125,down
2015-09-08,35.24607467651367,35.80753525013565,34.96310321891282,35.5470166228333,12063546,IOC.NS,2015-09-08,2015-36,2015-09,-0.18416595458984375,down
2015-09-09,36.166873931884766,36.427392609897446,35.57397516819631,35.663807068076146,17702454,IOC.NS,2015-09-09,2015-36,2015-09,0.9207992553710938,up
2015-09-10,35.82550811767578,36.50374820517712,35.49312392423511,35.843474497409815,10927860,IOC.NS,2015-09-10,2015-36,2015-09,-0.3413658142089844,down
2015-09-11,35.870418548583984,36.19381742774702,35.67727486692726,36.023134800195415,7102146,IOC.NS,2015-09-11,2015-36,2015-09,0.044910430908203125,up
2015-09-14,36.09949493408203,36.73282106593483,36.03211998866111,36.20280263542874,11573736,IOC.NS,2015-09-14,2015-37,2015-09,0.22907638549804688,up
2015-09-15,35.76262664794922,36.422900409543765,35.62787673283845,36.29264517391346,7585392,IOC.NS,2015-09-15,2015-37,2015-09,-0.3368682861328125,down
2015-09-16,35.48862838745117,36.29263713273618,35.02149435530344,36.29263713273618,5655000,IOC.NS,2015-09-16,2015-37,2015-09,-0.2739982604980469,down
2015-09-18,35.03946304321289,36.193822388733395,34.74301574344684,35.843471841518586,18050394,IOC.NS,2015-09-18,2015-37,2015-09,-0.44916534423828125,down
2015-09-21,34.71607208251953,35.115831290094526,34.49598081242303,35.0035383151403,9976764,IOC.NS,2015-09-21,2015-38,2015-09,-0.3233909606933594,down
2015-09-22,35.09336471557617,35.56498937916702,34.74301825527269,35.02598976363462,9493182,IOC.NS,2015-09-22,2015-38,2015-09,0.3772926330566406,up
