Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS,,,,,,
Date,,,,,,,,,,,
2019-10-14,140.02163696289062,143.10970462866112,120.25217625132812,120.4445767974861,226353035,IRCTC.NS,2019-10-14,2019-41,2019-10,,no change
2019-10-15,137.21250915527344,143.80231774616442,133.92241230326124,141.60891984482296,52650205,IRCTC.NS,2019-10-15,2019-41,2019-10,-2.8091278076171875,down
2019-10-16,134.80746459960938,138.72286667027896,134.34568580997066,137.37604856520704,17381530,IRCTC.NS,2019-10-16,2019-41,2019-10,-2.4050445556640625,down
2019-10-17,139.35781860351562,141.03173389320085,132.21002284481162,134.7016586638805,25164650,IRCTC.NS,2019-10-17,2019-41,2019-10,4.55035400390625,up
2019-10-18,149.91114807128906,151.97947926285045,137.7704952159888,139.49249961444215,48666150,IRCTC.NS,2019-10-18,2019-41,2019-10,10.553329467773438,up
2019-10-22,162.52317810058594,166.76567721413855,150.26707444339513,151.41187718951724,46733940,IRCTC.NS,2019-10-22,2019-42,2019-10,12.612030029296875,up
2019-10-23,173.22085571289062,175.06792741288697,166.6214155705605,166.6214155705605,45116345,IRCTC.NS,2019-10-23,2019-42,2019-10,10.697677612304688,up
2019-10-24,173.55755615234375,183.45670836848174,165.97685462710615,177.9635974407186,59356565,IRCTC.NS,2019-10-24,2019-42,2019-10,0.336700439453125,up
2019-10-25,172.98031616210938,176.24155399188942,168.54541613478318,174.12511901702882,19247675,IRCTC.NS,2019-10-25,2019-42,2019-10,-0.577239990234375,down
2019-10-27,174.6446075439453,177.9731937342639,172.20109015369317,175.27954246082052,6711285,IRCTC.NS,2019-10-27,2019-43,2019-10,1.6642913818359375,up
2019-10-29,169.91146850585938,174.58687255677845,169.0552738085141,174.5099094213835,10118740,IRCTC.NS,2019-10-29,2019-43,2019-10,-4.7331390380859375,down
2019-10-30,171.32562255859375,177.0111471672493,169.47855148009359,169.5074108188814,16381015,IRCTC.NS,2019-10-30,2019-43,2019-10,1.414154052734375,up
2019-10-31,169.64212036132812,174.64460718503173,168.73782178688884,173.1631070612527,9198590,IRCTC.NS,2019-10-31,2019-43,2019-10,-1.683502197265625,down
2019-11-01,171.33529663085938,174.69272780184932,169.91150037780324,170.27707166969873,9411150,IRCTC.NS,2019-11-01,2019-43,2019-11,1.69317626953125,up
2019-11-04,169.97885131835938,172.77832538583866,169.3631607892194,172.20110909261115,4195835,IRCTC.NS,2019-11-04,2019-44,2019-11,-1.3564453125,down
2019-11-05,169.60366821289062,174.50994807758153,167.64114452363796,170.6041598362125,10190335,IRCTC.NS,2019-11-05,2019-44,2019-11,-0.37518310546875,down
2019-11-06,170.14239501953125,172.20111163288973,169.50746002345855,170.2770768660418,4950450,IRCTC.NS,2019-11-06,2019-44,2019-11,0.538726806640625,up
2019-11-07,169.60366821289062,171.62389591745026,169.33430451894932,171.04669429295623,3875510,IRCTC.NS,2019-11-07,2019-44,2019-11,-0.538726806640625,down
2019-11-08,168.71859741210938,171.4314785430598,167.83354326474588,169.2669396354979,4743845,IRCTC.NS,2019-11-08,2019-44,2019-11,-0.88507080078125,down
2019-11-11,179.49319458007812,181.5038072699008,170.08466629913843,170.46946735813682,27509375,IRCTC.NS,2019-11-11,2019-45,2019-11,10.77459716796875,up
2019-11-13,179.3296356201172,188.72853340143007,173.77879208501102,183.74529118902973,30872350,IRCTC.NS,2019-11-13,2019-45,2019-11,-0.1635589599609375,down
2019-11-14,174.567626953125,182.2060302884302,172.5858594246437,176.0491268072932,14336980,IRCTC.NS,2019-11-14,2019-45,2019-11,-4.7620086669921875,down
2019-11-15,178.58888244628906,180.8207695216051,173.5479067507851,177.01117473688987,15970190,IRCTC.NS,2019-11-15,2019-45,2019-11,4.0212554931640625,up
2019-11-18,177.4248504638672,180.4552138837514,176.44360334890547,179.72408599195685,5720000,IRCTC.NS,2019-11-18,2019-46,2019-11,-1.164031982421875,down
2019-11-19,173.6537322998047,177.78079461266472,173.16310877612437,177.5402902949201,5522965,IRCTC.NS,2019-11-19,2019-46,2019-11,-3.7711181640625,down
2019-11-20,172.33578491210938,176.4339734772438,171.23908573669482,174.89475454781652,6322985,IRCTC.NS,2019-11-20,2019-46,2019-11,-1.3179473876953125,down
2019-11-21,170.2385711669922,174.31751472416056,169.33427264502595,172.77829600268447,6485590,IRCTC.NS,2019-11-21,2019-46,2019-11,-2.0972137451171875,down
2019-11-22,168.5261688232422,171.04666391058737,167.85275970800407,171.04666391058737,3738365,IRCTC.NS,2019-11-22,2019-46,2019-11,-1.71240234375,down
2019-11-25,169.7287139892578,171.23908827455892,167.98746493469167,169.12265304071732,3437825,IRCTC.NS,2019-11-25,2019-47,2019-11,1.202545166015625,up
2019-11-26,169.06491088867188,172.20108172950648,168.44922045736638,170.66184831163383,3971740,IRCTC.NS,2019-11-26,2019-47,2019-11,-0.6638031005859375,down
2019-11-27,169.94032287597656,171.43145238730182,169.31501760310633,169.52666254944754,2933130,IRCTC.NS,2019-11-27,2019-47,2019-11,0.8754119873046875,up
2019-11-28,169.78643798828125,170.81578886261204,168.9494729582381,170.26744663665727,2078740,IRCTC.NS,2019-11-28,2019-47,2019-11,-0.1538848876953125,down
2019-11-29,172.63401794433594,176.7610807736488,168.93025979511873,169.72872131223644,8998765,IRCTC.NS,2019-11-29,2019-47,2019-11,2.8475799560546875,up
2019-12-02,169.51707458496094,173.71147059253613,168.9591027904648,173.54791473411944,2332100,IRCTC.NS,2019-12-02,2019-48,2019-12,-3.116943359375,down
2019-12-03,168.35302734375,171.0466787170938,167.58341056862048,170.46946246594192,2754285,IRCTC.NS,2019-12-03,2019-48,2019-12,-1.1640472412109375,down
2019-12-04,168.17987060546875,170.27706126313652,165.90950920145818,167.77581042374183,3705230,IRCTC.NS,2019-12-04,2019-48,2019-12,-0.17315673828125,down
2019-12-05,168.53579711914062,171.02741816634077,167.77579530400354,169.21882111686784,2634880,IRCTC.NS,2019-12-05,2019-48,2019-12,0.355926513671875,up
2019-12-06,167.84315490722656,169.0552913875009,167.035063920377,168.7378239256917,1776855,IRCTC.NS,2019-12-06,2019-48,2019-12,-0.6926422119140625,down
2019-12-09,166.89076232910156,168.65125580483368,166.26545693617365,168.65125580483368,1771245,IRCTC.NS,2019-12-09,2019-49,2019-12,-0.952392578125,down
2019-12-10,165.64012145996094,167.352525653311,164.56266684771205,167.352525653311,1974045,IRCTC.NS,2019-12-10,2019-49,2019-12,-1.250640869140625,down
2019-12-11,166.36163330078125,167.38138389980077,164.60115467951982,166.21733658730673,2205205,IRCTC.NS,2019-12-11,2019-49,2019-12,0.7215118408203125,up
2019-12-12,167.37176513671875,168.9302431389347,165.48621945592078,166.42899229631976,1451385,IRCTC.NS,2019-12-12,2019-49,2019-12,1.0101318359375,up
2019-12-13,171.33529663085938,173.81728848663641,167.4102640647633,168.20874023014457,7002525,IRCTC.NS,2019-12-13,2019-49,2019-12,3.963531494140625,up
2019-12-16,170.60415649414062,172.1049012393346,169.72871716637079,172.1049012393346,1780960,IRCTC.NS,2019-12-16,2019-50,2019-12,-0.73114013671875,down
2019-12-17,170.61376953125,172.8745013191514,169.89225657526086,171.04667436899973,2816655,IRCTC.NS,2019-12-17,2019-50,2019-12,0.009613037109375,up
2019-12-18,168.4203643798828,170.75805921494157,168.02593379051484,170.62337738920837,1424660,IRCTC.NS,2019-12-18,2019-50,2019-12,-2.1934051513671875,down
2019-12-19,167.33328247070312,168.5454189187001,166.65987333292702,167.81429109471722,1513725,IRCTC.NS,2019-12-19,2019-50,2019-12,-1.0870819091796875,down
2019-12-20,166.784912109375,168.16060429602936,166.52517804244306,168.16060429602936,1306000,IRCTC.NS,2019-12-20,2019-50,2019-12,-0.548370361328125,down
2019-12-23,166.38087463378906,167.39099564681163,165.6593617215183,167.00619463195437,1641045,IRCTC.NS,2019-12-23,2019-51,2019-12,-0.4040374755859375,down
2019-12-24,170.76766967773438,173.12462358581766,168.39148599448612,170.2770461851092,12020790,IRCTC.NS,2019-12-24,2019-51,2019-12,4.3867950439453125,up
2019-12-26,168.71859741210938,170.8542769752413,168.25681854279188,170.46946125081007,1962805,IRCTC.NS,2019-12-26,2019-51,2019-12,-2.049072265625,down
2019-12-27,169.4304656982422,170.35400867526604,168.7378121352787,169.6902144541579,2102615,IRCTC.NS,2019-12-27,2019-51,2019-12,0.7118682861328125,up
2019-12-30,178.19444274902344,180.36861102674274,169.9499629364282,170.3251490591612,15237855,IRCTC.NS,2019-12-30,2019-52,2019-12,8.76397705078125,up
2019-12-31,179.59901428222656,183.68758785723108,177.26130458144172,179.3200210414517,19445900,IRCTC.NS,2019-12-31,2019-52,2019-12,1.404571533203125,up
2020-01-01,181.69619750976562,183.5240391345442,179.858755676002,181.22481844107017,8593275,IRCTC.NS,2020-01-01,2020-00,2020-01,2.0971832275390625,up
2020-01-02,179.01219177246094,181.62888016106012,178.36764190398378,181.62888016106012,3287655,IRCTC.NS,2020-01-02,2020-00,2020-01,-2.6840057373046875,down
2020-01-03,179.20458984375,181.53267005703304,178.46383237795368,178.55042509520655,4342850,IRCTC.NS,2020-01-03,2020-00,2020-01,0.1923980712890625,up
2020-01-06,172.09527587890625,178.36763284592035,171.25832551713913,178.35800327812677,3923670,IRCTC.NS,2020-01-06,2020-01,2020-01,-7.10931396484375,down
2020-01-07,174.58689880371094,177.29979468716832,172.5859010202689,172.5859010202689,3486795,IRCTC.NS,2020-01-07,2020-01,2020-01,2.4916229248046875,up
2020-01-08,172.42233276367188,173.66334312969693,170.52715776998792,172.97068959498924,2770350,IRCTC.NS,2020-01-08,2020-01,2020-01,-2.1645660400390625,down
2020-01-09,175.78941345214844,177.12661688408787,175.08714494797792,175.1544932035983,2997000,IRCTC.NS,2020-01-09,2020-01,2020-01,3.3670806884765625,up
2020-01-10,176.48207092285156,178.4349648694361,174.82739999088548,175.47194982101357,2543885,IRCTC.NS,2020-01-10,2020-01,2020-01,0.692657470703125,up
2020-01-13,180.69569396972656,181.39796242150058,176.25117916538863,177.01116630097727,3914925,IRCTC.NS,2020-01-13,2020-02,2020-01,4.213623046875,up
2020-01-14,187.42982482910156,189.2672813216726,181.2536757714631,181.82126243276457,14487235,IRCTC.NS,2020-01-14,2020-02,2020-01,6.734130859375,up
2020-01-15,189.59437561035156,191.63384763595423,187.37211794486575,188.17059408375457,8562850,IRCTC.NS,2020-01-15,2020-02,2020-01,2.16455078125,up
2020-01-16,193.105712890625,194.01001142811447,189.46928896526111,189.47891853218198,7607070,IRCTC.NS,2020-01-16,2020-02,2020-01,3.5113372802734375,up
2020-01-17,196.60748291015625,197.21355854351845,194.32750646727183,194.32750646727183,5496735,IRCTC.NS,2020-01-17,2020-02,2020-01,3.50177001953125,up
2020-01-20,191.12396240234375,197.82922370766238,190.10422648145766,197.63682319641902,4438240,IRCTC.NS,2020-01-20,2020-03,2020-01,-5.4835205078125,down
2020-01-21,189.08450317382812,191.32600524342143,188.1705896750442,190.94118951604673,2882445,IRCTC.NS,2020-01-21,2020-03,2020-01,-2.039459228515625,down
2020-01-22,191.79736328125,193.5578565078754,189.9021882346257,190.47940442274523,2970515,IRCTC.NS,2020-01-22,2020-03,2020-01,2.712860107421875,up
2020-01-23,191.5376434326172,192.54774981801674,190.28701805162427,192.13408943987687,1633700,IRCTC.NS,2020-01-23,2020-03,2020-01,-0.2597198486328125,down
2020-01-24,192.92294311523438,194.82774794056363,190.88347113413096,192.40346023146583,2432850,IRCTC.NS,2020-01-24,2020-03,2020-01,1.3852996826171875,up
2020-01-27,193.86572265625,195.76089783582646,191.44143504698144,192.76902356526014,2760640,IRCTC.NS,2020-01-27,2020-04,2020-01,0.942779541015625,up
2020-01-28,201.77354431152344,203.92845399482547,194.35638334757311,195.02017773366927,6514465,IRCTC.NS,2020-01-28,2020-04,2020-01,7.9078216552734375,up
2020-01-29,214.79922485351562,217.39666866738156,204.62107990240574,206.35271400472277,14390900,IRCTC.NS,2020-01-29,2020-04,2020-01,13.025680541992188,up
2020-01-30,218.79159545898438,223.95763852994443,214.73189581005582,217.95464507486184,19073065,IRCTC.NS,2020-01-30,2020-04,2020-01,3.99237060546875,up
2020-01-31,232.8658905029297,237.61825801184142,220.50397779041134,221.66801042913553,16631450,IRCTC.NS,2020-01-31,2020-04,2020-01,14.074295043945312,up
2020-02-03,240.6678466796875,243.0055561624715,228.20011170223256,229.79704913463624,14263290,IRCTC.NS,2020-02-03,2020-05,2020-02,7.8019561767578125,up
2020-02-04,271.79876708984375,276.6762022146554,247.4308799610785,248.20048211573564,32973625,IRCTC.NS,2020-02-04,2020-05,2020-02,31.13092041015625,up
2020-02-05,290.250244140625,297.80208614977516,277.25340980918975,280.3318476896522,54801510,IRCTC.NS,2020-02-05,2020-05,2020-02,18.45147705078125,up
2020-02-06,289.4324951171875,300.72659757150615,283.21787191598594,294.762078891027,27968115,IRCTC.NS,2020-02-06,2020-05,2020-02,-0.8177490234375,down
2020-02-07,291.2026062011719,293.9924500946903,285.14188047549334,288.60514812467625,11897055,IRCTC.NS,2020-02-07,2020-05,2020-02,1.770111083984375,up
2020-02-10,284.79559326171875,295.91651025866634,282.0634678105471,293.20361458334617,14954080,IRCTC.NS,2020-02-10,2020-06,2020-02,-6.407012939453125,down
2020-02-11,270.904052734375,289.5671807729725,265.24738683122774,287.6816352580686,14445050,IRCTC.NS,2020-02-11,2020-06,2020-02,-13.89154052734375,down
2020-02-12,272.2989807128906,278.9850125854692,259.7446668899196,268.4028224529169,26712510,IRCTC.NS,2020-02-12,2020-06,2020-02,1.394927978515625,up
2020-02-13,304.0647888183594,309.7310549600124,291.5585649975591,304.67086436240936,56906935,IRCTC.NS,2020-02-13,2020-06,2020-02,31.76580810546875,up
2020-02-14,299.6491394042969,308.59588796067817,297.95597967329945,307.6531004998389,16647740,IRCTC.NS,2020-02-14,2020-06,2020-02,-4.4156494140625,down
2020-02-17,292.1935119628906,301.11140136396176,290.5292115396692,301.09217158786396,7844795,IRCTC.NS,2020-02-17,2020-07,2020-02,-7.45562744140625,down
2020-02-18,315.2723083496094,317.0809055573021,285.7191359424379,291.4912396988508,37932555,IRCTC.NS,2020-02-18,2020-07,2020-02,23.07879638671875,up
2020-02-19,352.4638977050781,360.31396227657325,319.0818861599449,320.60188991152813,66560220,IRCTC.NS,2020-02-19,2020-07,2020-02,37.19158935546875,up
2020-02-20,371.3482666015625,380.3815927905077,358.2648268861582,359.79443070222766,60260010,IRCTC.NS,2020-02-20,2020-07,2020-02,18.884368896484375,up
