Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,153.1765899658203,155.00098961350875,152.08195017720726,153.97933026490395,9079849,ITC.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,154.17393493652344,154.70909515330965,150.33053585651788,152.76306508742928,7373896,ITC.NS,2015-08-19,2015-33,2015-08,0.997344970703125,up
2015-08-20,160.23092651367188,160.7174367602818,153.90633784874626,154.75772799650093,18008401,ITC.NS,2015-08-20,2015-33,2015-08,6.0569915771484375,up
2015-08-21,160.91204833984375,161.17962843856338,157.01999948403952,160.03633873919426,17768257,ITC.NS,2015-08-21,2015-33,2015-08,0.681121826171875,up
2015-08-24,155.77938842773438,160.30390814388304,153.54145909303492,156.19292937835095,16485139,ITC.NS,2015-08-24,2015-34,2015-08,-5.132659912109375,down
2015-08-25,155.6334686279297,158.67413879008183,152.03331880830456,156.67945862921786,21275217,ITC.NS,2015-08-25,2015-34,2015-08,-0.1459197998046875,down
2015-08-26,154.53880310058594,156.09562258054484,152.56845379423953,154.51448371181382,16155688,ITC.NS,2015-08-26,2015-34,2015-08,-1.09466552734375,down
2015-08-27,158.45516967773438,159.35520969549341,153.90633081527696,157.38486054640637,20038834,ITC.NS,2015-08-27,2015-34,2015-08,3.9163665771484375,up
2015-08-28,159.087646484375,160.23093616783004,157.96867619032776,160.23093616783004,9725322,ITC.NS,2015-08-28,2015-34,2015-08,0.632476806640625,up
2015-08-31,158.18759155273438,159.81739135943778,156.46049192701147,157.99299191469532,9634683,ITC.NS,2015-08-31,2015-35,2015-08,-0.900054931640625,down
2015-09-01,153.46852111816406,157.57950072279604,152.90904145410548,156.89839068753867,9470865,ITC.NS,2015-09-01,2015-35,2015-09,-4.7190704345703125,down
2015-09-02,155.7307586669922,157.16595908004285,153.32255989806382,155.14695965346556,13014679,ITC.NS,2015-09-02,2015-35,2015-09,2.262237548828125,up
2015-09-03,155.68211364746094,157.968693261474,155.2442643735398,155.36588360422485,10088448,ITC.NS,2015-09-03,2015-35,2015-09,-0.04864501953125,down
2015-09-04,154.27120971679688,156.4118391010641,153.12792016175928,155.68207933677414,15716596,ITC.NS,2015-09-04,2015-35,2015-09,-1.4109039306640625,down
2015-09-07,152.49549865722656,155.43886897830635,151.3765393420373,153.88204924006286,7112326,ITC.NS,2015-09-07,2015-36,2015-09,-1.7757110595703125,down
2015-09-08,152.2279052734375,153.54146406166407,150.96298526303275,152.32520509958383,10240566,ITC.NS,2015-09-08,2015-36,2015-09,-0.2675933837890625,down
2015-09-09,152.95765686035156,153.9306662046207,152.20356654548618,153.37118666680976,6123207,ITC.NS,2015-09-09,2015-36,2015-09,0.7297515869140625,up
2015-09-10,152.44683837890625,153.63878919729257,150.98731858155816,151.30354861333373,8968275,ITC.NS,2015-09-10,2015-36,2015-09,-0.5108184814453125,down
2015-09-11,152.64141845703125,153.8090273787136,151.86300879749297,153.10359814845242,6712321,ITC.NS,2015-09-11,2015-36,2015-09,0.194580078125,up
2015-09-14,152.5927734375,153.34685259968577,151.5954335934313,152.64142334682649,7474416,ITC.NS,2015-09-14,2015-37,2015-09,-0.04864501953125,down
2015-09-15,154.24688720703125,154.66041698940597,152.0332774370546,152.27653811039275,5174854,ITC.NS,2015-09-15,2015-37,2015-09,1.65411376953125,up
2015-09-16,156.7280731201172,157.06863362437664,154.31986360874885,155.0253040045717,5589585,ITC.NS,2015-09-16,2015-37,2015-09,2.4811859130859375,up
