Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,JBCHEPHARM.NS,JBCHEPHARM.NS,JBCHEPHARM.NS,JBCHEPHARM.NS,JBCHEPHARM.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,123.26393127441406,124.09467453561989,119.60418523600553,119.8960642997033,401410,JBCHEPHARM.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,122.79243469238281,125.14994156148813,122.141308266028,124.07221317250284,503094,JBCHEPHARM.NS,2015-08-19,2015-33,2015-08,-0.47149658203125,down
2015-08-20,119.62663269042969,122.5903583810791,118.32439352899027,122.5903583810791,281654,JBCHEPHARM.NS,2015-08-20,2015-33,2015-08,-3.165802001953125,down
2015-08-21,124.25182342529297,124.65596465325268,114.84424444926417,115.40555551695363,391710,JBCHEPHARM.NS,2015-08-21,2015-33,2015-08,4.625190734863281,up
2015-08-24,108.66984558105469,120.79416719546988,107.32269873500856,117.04460573319753,481218,JBCHEPHARM.NS,2015-08-24,2015-34,2015-08,-15.581977844238281,down
2015-08-25,118.66121673583984,120.97381670533458,107.41253616305617,108.44535039434369,643698,JBCHEPHARM.NS,2015-08-25,2015-34,2015-08,9.991371154785156,up
2015-08-26,120.03079223632812,121.66983204968267,115.7199327987962,118.0998870175956,235822,JBCHEPHARM.NS,2015-08-26,2015-34,2015-08,1.3695755004882812,up
2015-08-27,122.0066146850586,124.38656882359402,120.50229784478998,123.9375198386713,232038,JBCHEPHARM.NS,2015-08-27,2015-34,2015-08,1.9758224487304688,up
2015-08-28,119.24494171142578,123.01696380773393,117.89779487814037,123.01696380773393,200866,JBCHEPHARM.NS,2015-08-28,2015-34,2015-08,-2.7616729736328125,down
2015-08-31,121.33306121826172,124.13961783689389,118.41424233488428,118.41424233488428,220958,JBCHEPHARM.NS,2015-08-31,2015-35,2015-08,2.0881195068359375,up
2015-09-01,118.95308685302734,122.56793981386635,118.36932858799199,120.97380751430376,167078,JBCHEPHARM.NS,2015-09-01,2015-35,2015-09,-2.379974365234375,down
2015-09-02,117.15685272216797,122.2535603671397,116.75271146173121,119.08777117251967,214694,JBCHEPHARM.NS,2015-09-02,2015-35,2015-09,-1.796234130859375,down
2015-09-03,128.42800903320312,130.80796315960612,117.62838648242055,117.62838648242055,1621272,JBCHEPHARM.NS,2015-09-03,2015-35,2015-09,11.271156311035156,up
2015-09-04,123.6681137084961,131.07742351754848,121.9617326885735,129.28122720020244,745192,JBCHEPHARM.NS,2015-09-04,2015-35,2015-09,-4.759895324707031,down
2015-09-07,117.78555297851562,124.61110359386092,117.20179473152325,123.12924730294883,307002,JBCHEPHARM.NS,2015-09-07,2015-36,2015-09,-5.882560729980469,down
2015-09-08,116.70782470703125,118.9755302306772,110.64566360450945,117.76309252861802,419102,JBCHEPHARM.NS,2015-09-08,2015-36,2015-09,-1.077728271484375,down
2015-09-09,119.04290771484375,121.80455667376594,117.76311516200965,118.99800006837964,265302,JBCHEPHARM.NS,2015-09-09,2015-36,2015-09,2.3350830078125,up
2015-09-10,121.37794494628906,122.38830524396813,114.95654942481758,118.32441708374779,260772,JBCHEPHARM.NS,2015-09-10,2015-36,2015-09,2.3350372314453125,up
2015-09-11,121.60246276855469,124.61109652660811,120.39003870035823,122.68019132324643,256348,JBCHEPHARM.NS,2015-09-11,2015-36,2015-09,0.224517822265625,up
2015-09-14,120.52477264404297,122.7700180871283,119.51441219465457,121.2432539266084,132274,JBCHEPHARM.NS,2015-09-14,2015-37,2015-09,-1.0776901245117188,down
2015-09-15,119.4245834350586,122.7699901619782,118.99798141635063,120.56965286901941,189692,JBCHEPHARM.NS,2015-09-15,2015-37,2015-09,-1.100189208984375,down
2015-09-16,119.04290771484375,121.4677698811196,117.65085289779421,120.32270026767785,140552,JBCHEPHARM.NS,2015-09-16,2015-37,2015-09,-0.38167572021484375,down
2015-09-18,119.35722351074219,121.9617160376476,118.6836499836976,120.70437056483132,114490,JBCHEPHARM.NS,2015-09-18,2015-37,2015-09,0.3143157958984375,up
2015-09-21,118.79590606689453,121.15341328908073,117.94271571773803,118.9979835960656,118722,JBCHEPHARM.NS,2015-09-21,2015-38,2015-09,-0.5613174438476562,down
2015-09-22,117.92027282714844,122.99452116119096,116.75274265977305,119.80627044778105,249062,JBCHEPHARM.NS,2015-09-22,2015-38,2015-09,-0.8756332397460938,down
2015-09-23,119.58174133300781,122.05151079406713,116.79764579923722,117.24669479215709,241280,JBCHEPHARM.NS,2015-09-23,2015-38,2015-09,1.661468505859375,up
2015-09-24,119.91849517822266,122.47807921720266,118.63871686261662,119.35718409106774,254198,JBCHEPHARM.NS,2015-09-24,2015-38,2015-09,0.33675384521484375,up
2015-09-28,118.50401306152344,120.97378224270061,118.21213398997973,120.56964093564885,103924,JBCHEPHARM.NS,2015-09-28,2015-39,2015-09,-1.4144821166992188,down
2015-09-29,119.85118865966797,121.01871893001183,117.51614182286968,118.03254548939982,119978,JBCHEPHARM.NS,2015-09-29,2015-39,2015-09,1.3471755981445312,up
2015-09-30,124.58863830566406,125.10504186421176,119.9409788709616,120.23285795154189,684470,JBCHEPHARM.NS,2015-09-30,2015-39,2015-09,4.737449645996094,up
2015-10-01,125.75615692138672,128.3830961022898,124.67844214826636,125.2846609906112,482538,JBCHEPHARM.NS,2015-10-01,2015-39,2015-10,1.1675186157226562,up
2015-10-05,128.6300811767578,131.21211271890274,125.73370987836223,125.84597211932505,734700,JBCHEPHARM.NS,2015-10-05,2015-40,2015-10,2.8739242553710938,up
2015-10-06,129.48329162597656,132.85115937918962,128.8770726896204,129.99969527402476,435218,JBCHEPHARM.NS,2015-10-06,2015-40,2015-10,0.85321044921875,up
2015-10-07,129.2812042236328,133.27773757866368,128.92197050556476,130.08950064511785,384758,JBCHEPHARM.NS,2015-10-07,2015-40,2015-10,-0.20208740234375,down
2015-10-08,129.88743591308594,131.5713698272573,128.56273575238208,130.2915773117092,397576,JBCHEPHARM.NS,2015-10-08,2015-40,2015-10,0.606231689453125,up
2015-10-09,129.70782470703125,132.3796584119925,129.23631496811583,130.49366056800042,647164,JBCHEPHARM.NS,2015-10-09,2015-40,2015-10,-0.1796112060546875,down
2015-10-12,127.1032943725586,130.8977633191094,126.2276571798909,130.8977633191094,113194,JBCHEPHARM.NS,2015-10-12,2015-41,2015-10,-2.6045303344726562,down
2015-10-13,128.60760498046875,130.22418379595416,124.5212571619566,127.86667702033776,274458,JBCHEPHARM.NS,2015-10-13,2015-41,2015-10,1.5043106079101562,up
