Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,JBMA.NS,JBMA.NS,JBMA.NS,JBMA.NS,JBMA.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,28.57358169555664,29.061057935214976,27.476761050350696,27.48613579973458,278725,JBMA.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,30.017261505126953,30.354745337370563,28.864194129028828,28.864194129028828,439230,JBMA.NS,2015-08-19,2015-33,2015-08,1.4436798095703125,up
2015-08-20,28.489208221435547,30.279744070355918,28.123601968027337,29.998508765895828,321410,JBMA.NS,2015-08-20,2015-33,2015-08,-1.5280532836914062,down
2015-08-21,27.61737823486328,28.123603964488353,26.93303763419287,28.123603964488353,179925,JBMA.NS,2015-08-21,2015-33,2015-08,-0.8718299865722656,down
2015-08-24,26.389314651489258,27.748622889380684,25.329993024011895,26.651802265082594,1046030,JBMA.NS,2015-08-24,2015-34,2015-08,-1.2280635833740234,down
2015-08-25,27.195524215698242,28.489209162205324,25.967460723195437,26.642426549018627,551520,JBMA.NS,2015-08-25,2015-34,2015-08,0.8062095642089844,up
2015-08-26,28.57358169555664,28.8735665236385,25.508108381000202,26.81116993655039,441800,JBMA.NS,2015-08-26,2015-34,2015-08,1.3780574798583984,up
2015-08-27,29.145429611206055,29.6235311132846,28.31109656399776,29.061058652718625,521075,JBMA.NS,2015-08-27,2015-34,2015-08,0.5718479156494141,up
2015-08-28,30.25162124633789,30.560979004666827,29.154800711347303,29.248546407715388,196425,JBMA.NS,2015-08-28,2015-34,2015-08,1.106191635131836,up
2015-08-31,31.395320892333984,31.957791590627625,29.886018320003465,30.139132995116796,183975,JBMA.NS,2015-08-31,2015-35,2015-08,1.1436996459960938,up
2015-09-01,30.710973739624023,31.114079013033134,30.260996508490834,30.260996508490834,86800,JBMA.NS,2015-09-01,2015-35,2015-09,-0.6843471527099609,down
2015-09-02,31.807804107666016,32.060917034052196,30.307879628453883,30.710981426659234,165555,JBMA.NS,2015-09-02,2015-35,2015-09,1.0968303680419922,up
2015-09-03,31.695301055908203,32.810869325581635,31.498433122117987,31.498433122117987,111915,JBMA.NS,2015-09-03,2015-35,2015-09,-0.1125030517578125,down
2015-09-04,30.02663803100586,32.05153768873526,29.436043042522645,32.05153768873526,214635,JBMA.NS,2015-09-04,2015-35,2015-09,-1.6686630249023438,down
2015-09-07,30.420366287231445,31.14220589942827,29.99851150398639,30.935964988485964,137900,JBMA.NS,2015-09-07,2015-36,2015-09,0.39372825622558594,up
2015-09-08,31.864042282104492,32.21089903490597,30.017257960465315,30.289120301680388,178165,JBMA.NS,2015-09-08,2015-36,2015-09,1.4436759948730469,up
2015-09-09,32.2015266418457,32.43589001937326,31.498436509263037,31.54531204564962,109485,JBMA.NS,2015-09-09,2015-36,2015-09,0.33748435974121094,up
2015-09-10,32.67717742919922,32.91500260300394,31.773444671880604,32.144451362388104,119395,JBMA.NS,2015-09-10,2015-36,2015-09,0.4756507873535156,up
2015-09-11,32.31568908691406,33.04819113271049,31.96370518081511,33.04819113271049,18350,JBMA.NS,2015-09-11,2015-36,2015-09,-0.36148834228515625,down
2015-09-14,35.31228256225586,36.33968910652702,32.09688866390577,32.52497109509441,277665,JBMA.NS,2015-09-14,2015-37,2015-09,2.996593475341797,up
2015-09-15,37.15781021118164,39.09846106727294,36.91998501337846,38.223266081241015,2838645,JBMA.NS,2015-09-15,2015-37,2015-09,1.8455276489257812,up
2015-09-16,35.63572311401367,38.81306757603533,34.4370858367135,37.69053246718836,638220,JBMA.NS,2015-09-16,2015-37,2015-09,-1.5220870971679688,down
2015-09-18,36.501399993896484,37.29098116862563,35.76889815686986,36.43480924770529,277005,JBMA.NS,2015-09-18,2015-37,2015-09,0.8656768798828125,up
2015-09-21,36.187477111816406,36.76777108116489,35.9591633621506,36.33968506861896,97535,JBMA.NS,2015-09-21,2015-38,2015-09,-0.3139228820800781,down
2015-09-22,35.65475082397461,37.08170191493428,35.217153360355475,35.5881600633771,203505,JBMA.NS,2015-09-22,2015-38,2015-09,-0.5327262878417969,down
2015-09-23,36.9960823059082,37.29098681866764,34.6273456806751,35.20763603841611,134180,JBMA.NS,2015-09-23,2015-38,2015-09,1.3413314819335938,up
2015-09-24,36.81534194946289,38.41352759522334,35.816476828093755,37.766642756276276,238250,JBMA.NS,2015-09-24,2015-38,2015-09,-0.1807403564453125,down
2015-09-28,36.254066467285156,37.65247951133758,36.14942282059772,36.52994451238406,69950,JBMA.NS,2015-09-28,2015-39,2015-09,-0.5612754821777344,down
2015-09-29,36.10186004638672,36.529946060558096,34.69393553338616,35.78792909301973,137235,JBMA.NS,2015-09-29,2015-39,2015-09,-0.1522064208984375,down
2015-09-30,37.148292541503906,38.05202895496928,35.81647370543455,37.29098910165475,149265,JBMA.NS,2015-09-30,2015-39,2015-09,1.0464324951171875,up
2015-10-01,37.28147506713867,37.861769104971636,36.92949480591639,37.11024064191175,66370,JBMA.NS,2015-10-01,2015-39,2015-10,0.13318252563476562,up
2015-10-05,38.04252243041992,38.24229473714929,36.92949855349607,37.35758466000524,147595,JBMA.NS,2015-10-05,2015-40,2015-10,0.76104736328125,up
2015-10-06,38.736961364746094,39.0033243699192,37.310010473163686,38.03299732817231,150215,JBMA.NS,2015-10-06,2015-40,2015-10,0.6944389343261719,up
2015-10-07,37.33855056762695,38.81306585151914,37.04364605927892,38.74647509623475,98550,JBMA.NS,2015-10-07,2015-40,2015-10,-1.3984107971191406,down
2015-10-08,36.739227294921875,37.67150142560329,36.62507224169575,37.67150142560329,49090,JBMA.NS,2015-10-08,2015-40,2015-10,-0.5993232727050781,down
2015-10-09,36.853389739990234,37.45270655231347,36.11137274594742,36.843874701044356,240040,JBMA.NS,2015-10-09,2015-40,2015-10,0.11416244506835938,up
2015-10-12,35.474002838134766,37.26244548404698,35.38838563271909,36.86290094472321,111175,JBMA.NS,2015-10-12,2015-41,2015-10,-1.3793869018554688,down
2015-10-13,35.3598518371582,36.15894471856473,35.0839773409597,35.588165644242146,95975,JBMA.NS,2015-10-13,2015-41,2015-10,-0.1141510009765625,down
2015-10-14,34.66539764404297,35.75939494613477,34.2658530753012,35.521569761238666,98860,JBMA.NS,2015-10-14,2015-41,2015-10,-0.6944541931152344,down
2015-10-15,35.036407470703125,35.67377721506191,34.67491217882503,34.94127522077506,78470,JBMA.NS,2015-10-15,2015-41,2015-10,0.37100982666015625,up
2015-10-16,34.32292938232422,35.17909779467038,34.2658500365982,34.69393605723329,72650,JBMA.NS,2015-10-16,2015-41,2015-10,-0.7134780883789062,down
2015-10-19,35.01738357543945,35.38839030491531,34.341957252908884,34.51319168634767,77895,JBMA.NS,2015-10-19,2015-42,2015-10,0.6944541931152344,up
2015-10-20,34.341949462890625,35.00786059421892,34.26584730358312,34.988834147161114,57255,JBMA.NS,2015-10-20,2015-42,2015-10,-0.6754341125488281,down
2015-10-21,33.71409225463867,35.00786166266574,33.38113849327457,34.7319836152933,50515,JBMA.NS,2015-10-21,2015-42,2015-10,-0.6278572082519531,down
2015-10-23,33.343082427978516,34.62734030455031,33.15282159860601,34.2468186458053,104940,JBMA.NS,2015-10-23,2015-42,2015-10,-0.37100982666015625,down
2015-10-26,32.50593948364258,33.485781560976875,31.64025609016246,32.9149990284773,156580,JBMA.NS,2015-10-26,2015-43,2015-10,-0.8371429443359375,down
2015-10-27,33.352603912353516,33.67604629613056,32.34422386200763,32.90549142124061,65580,JBMA.NS,2015-10-27,2015-43,2015-10,0.8466644287109375,up
2015-10-28,33.80922317504883,34.2468205669065,33.029156996894294,33.30503140459015,63870,JBMA.NS,2015-10-28,2015-43,2015-10,0.4566192626953125,up
2015-10-29,33.514320373535156,33.86630058648365,33.143313712734866,33.8377627291679,50135,JBMA.NS,2015-10-29,2015-43,2015-10,-0.2949028015136719,down
2015-10-30,33.61896514892578,34.05656257741055,33.10526192648331,33.599938700436354,59470,JBMA.NS,2015-10-30,2015-43,2015-10,0.104644775390625,up
2015-11-02,33.75214767456055,34.06607864069187,33.286012373784104,33.286012373784104,56225,JBMA.NS,2015-11-02,2015-44,2015-11,0.13318252563476562,up
2015-11-03,34.02802658081055,34.408544684645186,33.67604633680936,33.87581861349186,37430,JBMA.NS,2015-11-03,2015-44,2015-11,0.27587890625,up
2015-11-04,35.512054443359375,35.9591632741024,34.03753555609787,34.03753555609787,87205,JBMA.NS,2015-11-04,2015-44,2015-11,1.4840278625488281,up
2015-11-05,33.143314361572266,36.91046401580287,31.9636999741352,34.67490896884845,1202680,JBMA.NS,2015-11-05,2015-44,2015-11,-2.3687400817871094,down
2015-11-06,33.152828216552734,34.18974613325213,32.895980218890024,33.761663717864806,61760,JBMA.NS,2015-11-06,2015-44,2015-11,0.00951385498046875,up
2015-11-09,32.99110412597656,33.43821655605456,32.00175066019378,32.55350673381545,46180,JBMA.NS,2015-11-09,2015-45,2015-11,-0.16172409057617188,down
