Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,604.3347778320312,611.5097230944688,600.254942914816,609.5870429293992,10071,JKCEMENT.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,613.5731811523438,618.9660972724821,599.3171131771094,608.5085065937806,16699,JKCEMENT.NS,2015-08-19,2015-33,2015-08,9.2384033203125,up
2015-08-20,618.0750732421875,633.081448313318,610.1498199587911,610.1498199587911,18083,JKCEMENT.NS,2015-08-20,2015-33,2015-08,4.50189208984375,up
2015-08-21,614.5111694335938,636.8331444926253,586.2803874442649,609.6809687828998,152725,JKCEMENT.NS,2015-08-21,2015-33,2015-08,-3.56390380859375,down
2015-08-24,562.4107666015625,609.6339254688149,544.4968738293848,600.2549420000639,33179,JKCEMENT.NS,2015-08-24,2015-34,2015-08,-52.10040283203125,down
2015-08-25,566.3969116210938,581.4501706871354,538.3537243369868,563.348741579116,35245,JKCEMENT.NS,2015-08-25,2015-34,2015-08,3.98614501953125,up
2015-08-26,585.8582153320312,590.5945904544246,554.3916805325085,564.4740875903278,219738,JKCEMENT.NS,2015-08-26,2015-34,2015-08,19.4613037109375,up
2015-08-27,585.2486572265625,596.9723883408766,572.2118453295328,590.8760481614332,159920,JKCEMENT.NS,2015-08-27,2015-34,2015-08,-0.60955810546875,down
2015-08-28,588.390625,596.9255360438831,585.9052282208171,585.9052282208171,18808,JKCEMENT.NS,2015-08-28,2015-34,2015-08,3.1419677734375,up
2015-08-31,587.4058227539062,600.1143360589796,577.7454795927885,577.7454795927885,7964,JKCEMENT.NS,2015-08-31,2015-35,2015-08,-0.98480224609375,down
2015-09-01,575.3069458007812,585.7644794199502,572.1649515717409,581.4970528199854,51797,JKCEMENT.NS,2015-09-01,2015-35,2015-09,-12.098876953125,down
2015-09-02,565.7402954101562,581.4032092831029,564.0051491181201,581.4032092831029,73804,JKCEMENT.NS,2015-09-02,2015-35,2015-09,-9.566650390625,down
2015-09-03,577.2765502929688,581.4970937150945,572.1181083325929,572.1181083325929,13349,JKCEMENT.NS,2015-09-03,2015-35,2015-09,11.5362548828125,up
2015-09-04,572.3056640625,579.1054280438965,567.4754639915958,573.9938698778907,67815,JKCEMENT.NS,2015-09-04,2015-35,2015-09,-4.97088623046875,down
2015-09-07,571.977294921875,581.4969862232783,562.7390189257532,580.7466789803319,31645,JKCEMENT.NS,2015-09-07,2015-36,2015-09,-0.328369140625,down
2015-09-08,570.1954345703125,581.2157425260258,545.856955763844,572.1181151476716,8826,JKCEMENT.NS,2015-09-08,2015-36,2015-09,-1.7818603515625,down
2015-09-09,588.578125,626.1878849011683,573.0559180468672,574.9785983033067,28776,JKCEMENT.NS,2015-09-09,2015-36,2015-09,18.3826904296875,up
2015-09-10,582.4348754882812,594.7682616916184,575.0723963369421,583.3727738385039,52927,JKCEMENT.NS,2015-09-10,2015-36,2015-09,-6.14324951171875,down
2015-09-11,581.4970092773438,594.7682945644062,579.6212124732233,586.1865012876449,87616,JKCEMENT.NS,2015-09-11,2015-36,2015-09,-0.9378662109375,down
2015-09-14,585.7175903320312,596.503422660003,579.5743668463597,584.3576261112877,7371,JKCEMENT.NS,2015-09-14,2015-37,2015-09,4.2205810546875,up
2015-09-15,587.1244506835938,593.5021489225745,578.4020062358128,580.1370955324128,41574,JKCEMENT.NS,2015-09-15,2015-37,2015-09,1.4068603515625,up
2015-09-16,583.1852416992188,595.5186291498776,582.4349343921136,595.5186291498776,2542,JKCEMENT.NS,2015-09-16,2015-37,2015-09,-3.939208984375,down
2015-09-18,575.400634765625,592.0014469241988,567.6160899496166,592.0014469241988,23659,JKCEMENT.NS,2015-09-18,2015-37,2015-09,-7.78460693359375,down
2015-09-21,576.7138061523438,585.8113757371792,562.7390957109429,562.7390957109429,14390,JKCEMENT.NS,2015-09-21,2015-38,2015-09,1.31317138671875,up
2015-09-22,575.3538208007812,584.7796888595047,562.9266662259802,584.7796888595047,8989,JKCEMENT.NS,2015-09-22,2015-38,2015-09,-1.3599853515625,down
2015-09-23,605.8355712890625,618.0751357452275,564.614919148144,575.6352269554376,42497,JKCEMENT.NS,2015-09-23,2015-38,2015-09,30.48175048828125,up
2015-09-24,609.3525390625,618.0749818336568,588.0622361300499,604.9444055883288,15701,JKCEMENT.NS,2015-09-24,2015-38,2015-09,3.5169677734375,up
2015-09-28,592.986328125,614.2297521016493,590.876056494662,596.0344982577105,5244,JKCEMENT.NS,2015-09-28,2015-39,2015-09,-16.3662109375,down
2015-09-29,614.0420532226562,627.4539880045924,581.7314440356478,592.7517495050857,19613,JKCEMENT.NS,2015-09-29,2015-39,2015-09,21.05572509765625,up
2015-09-30,612.7759399414062,618.919220690314,604.0066121810986,607.9926806621074,10076,JKCEMENT.NS,2015-09-30,2015-39,2015-09,-1.26611328125,down
2015-10-01,612.0726318359375,625.9535775552466,599.4110001489822,622.4833411254193,8045,JKCEMENT.NS,2015-10-01,2015-39,2015-10,-0.70330810546875,down
2015-10-05,613.5731811523438,626.0472191638818,605.976169314499,611.5097931009003,10912,JKCEMENT.NS,2015-10-05,2015-40,2015-10,1.50054931640625,up
2015-10-06,632.8469848632812,639.6467486873032,602.8811176657048,611.6505025994142,11256,JKCEMENT.NS,2015-10-06,2015-40,2015-10,19.2738037109375,up
2015-10-07,625.859619140625,632.8469739851934,621.8266672874149,632.0966666802576,7153,JKCEMENT.NS,2015-10-07,2015-40,2015-10,-6.98736572265625,down
2015-10-08,617.5123901367188,627.454091255713,610.5719183968149,619.9509033184249,38972,JKCEMENT.NS,2015-10-08,2015-40,2015-10,-8.34722900390625,down
2015-10-09,611.556640625,623.7024363609847,606.8671486222859,611.556640625,2755,JKCEMENT.NS,2015-10-09,2015-40,2015-10,-5.95574951171875,down
2015-10-12,600.3018798828125,614.6048309691487,595.565504250719,600.3957040728679,3554,JKCEMENT.NS,2015-10-12,2015-41,2015-10,-11.2547607421875,down
2015-10-13,592.04833984375,604.9444422957921,587.218140391076,603.865836283712,10633,JKCEMENT.NS,2015-10-13,2015-41,2015-10,-8.2535400390625,down
2015-10-14,584.6390991210938,596.9256057523172,583.3729588446687,596.9256057523172,4144,JKCEMENT.NS,2015-10-14,2015-41,2015-10,-7.40924072265625,down
2015-10-15,588.390625,637.7710059306307,562.9735975145016,584.4983804136172,60756,JKCEMENT.NS,2015-10-15,2015-41,2015-10,3.75152587890625,up
2015-10-16,602.2246704101562,628.3920643457527,584.5453046320752,606.7266295027919,26679,JKCEMENT.NS,2015-10-16,2015-41,2015-10,13.83404541015625,up
2015-10-19,610.0092163085938,621.826714685242,598.3792518388905,598.3792518388905,10702,JKCEMENT.NS,2015-10-19,2015-42,2015-10,7.7845458984375,up
2015-10-20,614.3234252929688,618.0281352608656,600.7238990841931,605.8823400599356,7765,JKCEMENT.NS,2015-10-20,2015-42,2015-10,4.314208984375,up
2015-10-21,613.0104370117188,619.0130103126633,606.3513805562679,618.9192433605285,33662,JKCEMENT.NS,2015-10-21,2015-42,2015-10,-1.31298828125,down
2015-10-23,611.6035766601562,621.4046272371323,606.9610249742868,620.8419110463543,202787,JKCEMENT.NS,2015-10-23,2015-42,2015-10,-1.4068603515625,down
2015-10-26,603.6314697265625,619.0130284837694,599.3640428730931,619.0130284837694,2442,JKCEMENT.NS,2015-10-26,2015-43,2015-10,-7.97210693359375,down
2015-10-27,605.6010131835938,609.4463737565089,598.3791839967467,603.9596909704366,1859,JKCEMENT.NS,2015-10-27,2015-43,2015-10,1.96954345703125,up
2015-10-28,601.755615234375,608.6960865770786,577.7454381070577,577.7454381070577,4635,JKCEMENT.NS,2015-10-28,2015-43,2015-10,-3.84539794921875,down
2015-10-29,622.9990844726562,642.5073620068105,595.5655530901569,600.3019291106576,35107,JKCEMENT.NS,2015-10-29,2015-43,2015-10,21.24346923828125,up
2015-10-30,642.8825073242188,649.9636292093621,602.5997572395602,619.0598636731792,179713,JKCEMENT.NS,2015-10-30,2015-43,2015-10,19.8834228515625,up
2015-11-02,614.9332275390625,632.0967601226424,607.1955642457056,632.0967601226424,57690,JKCEMENT.NS,2015-11-02,2015-44,2015-11,-27.94927978515625,down
2015-11-03,610.4312133789062,624.6403984948319,604.1003985292965,615.3082970083026,132188,JKCEMENT.NS,2015-11-03,2015-44,2015-11,-4.50201416015625,down
2015-11-04,609.9154052734375,614.3235398326437,607.7582500939742,610.6188291740092,2925,JKCEMENT.NS,2015-11-04,2015-44,2015-11,-0.51580810546875,down
2015-11-05,610.0092163085938,617.1372221159717,602.64667862797,605.9762069031955,8109,JKCEMENT.NS,2015-11-05,2015-44,2015-11,0.09381103515625,up
2015-11-06,609.2587890625,620.8418688645861,600.2549871531139,620.8418688645861,5606,JKCEMENT.NS,2015-11-06,2015-44,2015-11,-0.75042724609375,down
2015-11-09,604.100341796875,609.6339653029196,583.560401005073,609.6339653029196,4806,JKCEMENT.NS,2015-11-09,2015-45,2015-11,-5.158447265625,down
