Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,JMFINANCIL.NS,JMFINANCIL.NS,JMFINANCIL.NS,JMFINANCIL.NS,JMFINANCIL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,43.816741943359375,44.10857753215846,42.98293142805003,44.10857753215846,421109,JMFINANCIL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,43.69166564941406,44.60885580488436,43.48321305219498,44.02518789652407,249349,JMFINANCIL.NS,2015-08-19,2015-33,2015-08,-0.1250762939453125,down
2015-08-20,41.2319221496582,44.02518552994827,40.89839673974265,44.02518552994827,462460,JMFINANCIL.NS,2015-08-20,2015-33,2015-08,-2.4597434997558594,down
2015-08-21,40.35642623901367,40.773331455612016,38.93894786643242,40.022900793441245,408064,JMFINANCIL.NS,2015-08-21,2015-33,2015-08,-0.8754959106445312,down
2015-08-24,35.603702545166016,38.93894394179545,35.22848725189839,37.854991124037696,624221,JMFINANCIL.NS,2015-08-24,2015-34,2015-08,-4.752723693847656,down
2015-08-25,36.22905731201172,37.81329493600282,34.60312662942223,37.02117771437417,637812,JMFINANCIL.NS,2015-08-25,2015-34,2015-08,0.6253547668457031,up
2015-08-26,37.89668655395508,38.605424182214335,36.229065611477274,36.60428095968168,459670,JMFINANCIL.NS,2015-08-26,2015-34,2015-08,1.6676292419433594,up
2015-08-27,38.56373596191406,39.27247362081213,38.02175785988519,38.355283335092906,238699,JMFINANCIL.NS,2015-08-27,2015-34,2015-08,0.6670494079589844,up
2015-08-28,39.0223274230957,39.56430547399004,38.39696960163349,39.18909014496584,238328,JMFINANCIL.NS,2015-08-28,2015-34,2015-08,0.4585914611816406,up
2015-08-31,38.313594818115234,39.6893802959692,37.98006933096197,39.6893802959692,260421,JMFINANCIL.NS,2015-08-31,2015-35,2015-08,-0.7087326049804688,down
2015-09-01,37.27132797241211,38.647113314638936,36.77103979100143,38.60542342803833,329001,JMFINANCIL.NS,2015-09-01,2015-35,2015-09,-1.042266845703125,down
2015-09-02,37.43809127807617,39.9812125688254,37.187945593138124,37.354708322851984,398723,JMFINANCIL.NS,2015-09-02,2015-35,2015-09,0.1667633056640625,up
2015-09-03,37.98006820678711,38.35528357354481,37.56316295055293,38.1885208349042,174405,JMFINANCIL.NS,2015-09-03,2015-35,2015-09,0.5419769287109375,up
2015-09-04,37.02117919921875,37.98005915149831,36.39582146396664,37.604843874200256,160054,JMFINANCIL.NS,2015-09-04,2015-35,2015-09,-0.9588890075683594,down
2015-09-07,36.31243896484375,37.02117964850438,35.85384392290685,36.937796707685145,222606,JMFINANCIL.NS,2015-09-07,2015-36,2015-09,-0.708740234375,down
2015-09-08,36.22905731201172,36.60427257426065,35.43693690964927,36.22905731201172,282420,JMFINANCIL.NS,2015-09-08,2015-36,2015-09,-0.08338165283203125,down
2015-09-09,36.645965576171875,37.52146580889938,36.43751298834466,36.729345339009136,1769088,JMFINANCIL.NS,2015-09-09,2015-36,2015-09,0.41690826416015625,up
2015-09-10,36.72934341430664,36.97948587044445,35.645390650553544,36.52089083740282,101765,JMFINANCIL.NS,2015-09-10,2015-36,2015-09,0.08337783813476562,up
2015-09-11,37.396385192871094,37.5214579918038,36.771027559674366,37.02117315753978,122994,JMFINANCIL.NS,2015-09-11,2015-36,2015-09,0.6670417785644531,up
2015-09-14,37.27132797241211,37.60485024595143,37.146255131875826,37.438090699549,110240,JMFINANCIL.NS,2015-09-14,2015-37,2015-09,-0.12505722045898438,down
2015-09-15,36.60427474975586,37.521464840223274,36.47920192799485,37.521464840223274,85017,JMFINANCIL.NS,2015-09-15,2015-37,2015-09,-0.66705322265625,down
2015-09-16,36.47920608520508,37.06287401871523,36.31244336409727,36.89611129760742,153967,JMFINANCIL.NS,2015-09-16,2015-37,2015-09,-0.12506866455078125,down
2015-09-18,35.81215286254883,36.979485368938846,35.47862747173233,36.52089034211656,397592,JMFINANCIL.NS,2015-09-18,2015-37,2015-09,-0.66705322265625,down
2015-09-21,35.81215286254883,36.312437768039715,35.52031735040093,35.81215286254883,354425,JMFINANCIL.NS,2015-09-21,2015-38,2015-09,0.0,no change
2015-09-22,36.02061462402344,36.7293522843614,35.64539925883612,36.22906725126809,533934,JMFINANCIL.NS,2015-09-22,2015-38,2015-09,0.20846176147460938,up
2015-09-23,36.4375114440918,36.645964023084616,35.853843586765116,36.02060628610616,113099,JMFINANCIL.NS,2015-09-23,2015-38,2015-09,0.4168968200683594,up
2015-09-24,36.35413360595703,36.68765905144575,36.270753834952046,36.60427928044076,64936,JMFINANCIL.NS,2015-09-24,2015-38,2015-09,-0.08337783813476562,down
2015-09-28,36.14567565917969,36.68765363286789,35.853843323029984,36.35412823663916,192560,JMFINANCIL.NS,2015-09-28,2015-39,2015-09,-0.20845794677734375,down
2015-09-29,36.937801361083984,37.60484906800223,35.687085717836894,36.06230104695789,512670,JMFINANCIL.NS,2015-09-29,2015-39,2015-09,0.7921257019042969,up
2015-09-30,36.270751953125,38.06344556333176,36.10398923903276,37.85499296590001,955913,JMFINANCIL.NS,2015-09-30,2015-39,2015-09,-0.6670494079589844,down
2015-10-01,36.18737030029297,36.85441794115997,36.10398735722581,36.85441794115997,199291,JMFINANCIL.NS,2015-10-01,2015-39,2015-10,-0.08338165283203125,down
2015-10-05,36.687660217285156,37.06287556019974,36.18737521388869,36.645970330457864,219873,JMFINANCIL.NS,2015-10-05,2015-40,2015-10,0.5002899169921875,up
2015-10-06,36.937801361083984,37.02118431240774,36.72934875387614,36.77103863917083,147589,JMFINANCIL.NS,2015-10-06,2015-40,2015-10,0.2501411437988281,up
2015-10-07,36.47920608520508,37.229636739823036,36.35413324919063,37.229636739823036,179168,JMFINANCIL.NS,2015-10-07,2015-40,2015-10,-0.45859527587890625,down
2015-10-08,36.4375114440918,36.979486241032774,36.270748744750755,36.812726722425666,133337,JMFINANCIL.NS,2015-10-08,2015-40,2015-10,-0.04169464111328125,down
2015-10-09,36.60427474975586,37.229632497092915,36.39582216731017,36.854417212543886,220525,JMFINANCIL.NS,2015-10-09,2015-40,2015-10,0.1667633056640625,up
2015-10-12,36.77104187011719,37.18794712116493,36.52089935563547,36.6876620922015,201077,JMFINANCIL.NS,2015-10-12,2015-41,2015-10,0.16676712036132812,up
2015-10-13,36.937801361083984,37.27132680491029,36.68765886858144,36.812731705199894,118879,JMFINANCIL.NS,2015-10-13,2015-41,2015-10,0.16675949096679688,up
2015-10-14,37.27132797241211,38.063448540761506,36.97949240473893,37.2296380858115,298119,JMFINANCIL.NS,2015-10-14,2015-41,2015-10,0.333526611328125,up
2015-10-15,37.64653778076172,38.021749885760585,37.31301237550274,37.60484471955385,171379,JMFINANCIL.NS,2015-10-15,2015-41,2015-10,0.3752098083496094,up
