Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS,,,,,,
Date,,,,,,,,,,,
2021-03-19,258.75250244140625,258.75250244140625,234.19652007910602,246.47450391330847,797366,JUBLINGREA.NS,2021-03-19,2021-11,2021-03,,no change
2021-03-22,271.65631103515625,271.65631103515625,271.65631103515625,271.65631103515625,103188,JUBLINGREA.NS,2021-03-22,2021-12,2021-03,12.90380859375,up
2021-03-23,285.234375,285.234375,282.1528306237393,285.234375,807676,JUBLINGREA.NS,2021-03-23,2021-12,2021-03,13.57806396484375,up
2021-03-24,270.9822692871094,282.8269279451017,270.9822692871094,279.16759032086793,372598,JUBLINGREA.NS,2021-03-24,2021-12,2021-03,-14.252105712890625,down
2021-03-25,257.452392578125,257.452392578125,257.452392578125,257.452392578125,64156,JUBLINGREA.NS,2021-03-25,2021-12,2021-03,-13.529876708984375,down
2021-03-26,244.59664916992188,244.59664916992188,244.59664916992188,244.59664916992188,125005,JUBLINGREA.NS,2021-03-26,2021-12,2021-03,-12.855743408203125,down
2021-03-30,256.7783203125,256.8264868906402,232.36681377568337,232.36681377568337,1603528,JUBLINGREA.NS,2021-03-30,2021-13,2021-03,12.181671142578125,up
2021-03-31,250.08563232421875,257.1153665458263,244.01884761574806,244.01884761574806,537255,JUBLINGREA.NS,2021-03-31,2021-13,2021-03,-6.69268798828125,down
2021-04-01,262.55621337890625,262.55621337890625,250.37453514278567,251.33751412410408,527640,JUBLINGREA.NS,2021-04-01,2021-13,2021-04,12.4705810546875,up
2021-04-05,275.6527404785156,275.6527404785156,264.8192266605827,268.57483890657534,431503,JUBLINGREA.NS,2021-04-05,2021-14,2021-04,13.096527099609375,up
2021-04-06,330.783203125,330.783203125,289.8566059406841,294.9122444163938,3641770,JUBLINGREA.NS,2021-04-06,2021-14,2021-04,55.130462646484375,up
2021-04-07,318.36083984375,336.94632142060084,307.76807162345926,330.3017726872481,1610389,JUBLINGREA.NS,2021-04-07,2021-14,2021-04,-12.42236328125,down
2021-04-08,311.3792419433594,328.4721178987266,309.59772505073596,322.5979405660857,521383,JUBLINGREA.NS,2021-04-08,2021-14,2021-04,-6.981597900390625,down
2021-04-09,321.4905090332031,327.3165195758032,301.50869702038403,310.1755070500405,704343,JUBLINGREA.NS,2021-04-09,2021-14,2021-04,10.11126708984375,up
2021-04-12,297.5604553222656,315.08668159797764,291.3492301793582,311.0421587996498,603548,JUBLINGREA.NS,2021-04-12,2021-15,2021-04,-23.9300537109375,down
2021-04-13,306.0346374511719,312.0051175042036,295.44187111615264,299.48639365372634,319966,JUBLINGREA.NS,2021-04-13,2021-15,2021-04,8.47418212890625,up
2021-04-15,299.582763671875,310.07922857528234,293.94933081554325,310.07922857528234,288127,JUBLINGREA.NS,2021-04-15,2021-15,2021-04,-6.451873779296875,down
2021-04-16,289.90478515625,303.96428292852823,286.0047323789236,293.61225978686684,577405,JUBLINGREA.NS,2021-04-16,2021-15,2021-04,-9.677978515625,down
2021-04-19,302.2790832519531,316.82007111694435,284.5602766415108,290.8196397486845,1202262,JUBLINGREA.NS,2021-04-19,2021-16,2021-04,12.374298095703125,up
2021-04-20,304.87908935546875,313.6903393649086,299.4864022793141,305.7457643848303,569326,JUBLINGREA.NS,2021-04-20,2021-16,2021-04,2.600006103515625,up
2021-04-22,323.41644287109375,331.9388113134641,301.845723160872,306.2272650407769,1102639,JUBLINGREA.NS,2021-04-22,2021-16,2021-04,18.537353515625,up
2021-04-23,318.0718994140625,328.3276475805149,311.23477315347026,325.6794557678742,400051,JUBLINGREA.NS,2021-04-23,2021-16,2021-04,-5.34454345703125,down
2021-04-26,316.0496520996094,330.78321589986217,312.96810820219855,330.78321589986217,523268,JUBLINGREA.NS,2021-04-26,2021-17,2021-04,-2.022247314453125,down
2021-04-27,314.0274353027344,324.5238997739491,310.07921580774956,316.6274607839794,609651,JUBLINGREA.NS,2021-04-27,2021-17,2021-04,-2.022216796875,down
2021-04-28,319.3719482421875,326.93133853053877,308.3939945932402,308.3939945932402,2084800,JUBLINGREA.NS,2021-04-28,2021-17,2021-04,5.344512939453125,up
2021-04-29,362.46527099609375,370.1691025980842,315.8570956816086,325.48688518409665,3772871,JUBLINGREA.NS,2021-04-29,2021-17,2021-04,43.09332275390625,up
2021-04-30,394.9657897949219,416.0068846288206,356.302192853388,357.26517175299176,4805983,JUBLINGREA.NS,2021-04-30,2021-17,2021-04,32.500518798828125,up
2021-05-03,417.54766845703125,433.05163505306035,396.07322076088656,399.6362545444692,2332322,JUBLINGREA.NS,2021-05-03,2021-18,2021-05,22.581878662109375,up
2021-05-04,393.425048828125,439.8406472191767,378.11368898967805,427.56266527709784,1768388,JUBLINGREA.NS,2021-05-04,2021-18,2021-05,-24.12261962890625,down
2021-05-05,402.8622741699219,412.1550157263822,382.68785218240583,399.6362886131977,1047432,JUBLINGREA.NS,2021-05-05,2021-18,2021-05,9.437225341796875,up
2021-05-06,402.8622741699219,413.9846699653671,396.84365536550627,405.3660254701162,593610,JUBLINGREA.NS,2021-05-06,2021-18,2021-05,0.0,no change
2021-05-07,401.27325439453125,409.26596621491086,399.63617877456,409.26596621491086,441798,JUBLINGREA.NS,2021-05-07,2021-18,2021-05,-1.589019775390625,down
2021-05-10,405.5585632324219,416.6809873075007,390.58425289407677,408.30305901135216,941975,JUBLINGREA.NS,2021-05-10,2021-19,2021-05,4.285308837890625,up
2021-05-11,422.8921813964844,442.48880804377075,398.23991548428006,400.1658732994869,864569,JUBLINGREA.NS,2021-05-11,2021-19,2021-05,17.3336181640625,up
2021-05-12,425.20330810546875,446.5333135767683,413.1660722357886,423.7107026127416,1016524,JUBLINGREA.NS,2021-05-12,2021-19,2021-05,2.311126708984375,up
2021-05-14,408.6882629394531,431.99236542352975,399.10663996248906,428.52563530530057,647034,JUBLINGREA.NS,2021-05-14,2021-19,2021-05,-16.515045166015625,down
2021-05-17,407.9178466796875,414.08090544125673,400.59920154316933,410.2289900418032,430937,JUBLINGREA.NS,2021-05-17,2021-20,2021-05,-0.770416259765625,down
2021-05-18,406.7622375488281,416.96981866388353,402.5251367240261,416.96981866388353,319258,JUBLINGREA.NS,2021-05-18,2021-20,2021-05,-1.155609130859375,down
2021-05-19,403.82525634765625,417.4995407459255,401.6103869775778,409.9883161741852,611215,JUBLINGREA.NS,2021-05-19,2021-20,2021-05,-2.936981201171875,down
2021-05-20,397.2287902832031,407.340068581321,394.8213430693655,407.340068581321,509590,JUBLINGREA.NS,2021-05-20,2021-20,2021-05,-6.596466064453125,down
2021-05-21,420.77362060546875,432.3775040023109,398.6732442248479,401.2251323018708,1070676,JUBLINGREA.NS,2021-05-21,2021-20,2021-05,23.544830322265625,up
2021-05-24,466.322509765625,475.4226716854982,420.5810142284702,423.71069550206505,1985360,JUBLINGREA.NS,2021-05-24,2021-21,2021-05,45.54888916015625,up
2021-05-25,454.1889953613281,480.8153562478022,446.822212604352,475.2300903453614,1354919,JUBLINGREA.NS,2021-05-25,2021-21,2021-05,-12.133514404296875,down
2021-05-26,466.6595458984375,485.05244738969344,445.0888260300843,454.5260067888071,1086601,JUBLINGREA.NS,2021-05-26,2021-21,2021-05,12.470550537109375,up
2021-05-27,459.3890380859375,473.8818870782287,457.4149432438923,468.8743854181303,398914,JUBLINGREA.NS,2021-05-27,2021-21,2021-05,-7.2705078125,down
2021-05-28,465.9854431152344,476.6745138487939,460.4964814975231,464.15578924266396,576746,JUBLINGREA.NS,2021-05-28,2021-21,2021-05,6.596405029296875,up
2021-05-31,467.3336181640625,475.5671048587736,462.2298420795469,467.0447362678756,344233,JUBLINGREA.NS,2021-05-31,2021-22,2021-05,1.348175048828125,up
