Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,JUBLPHARMA.NS,JUBLPHARMA.NS,JUBLPHARMA.NS,JUBLPHARMA.NS,JUBLPHARMA.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,244.1323699951172,246.23289388267068,230.7840368124549,231.73266317019394,3799317,JUBLPHARMA.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,239.15213012695312,247.04595040549,235.45932958984847,243.25150051657639,1822271,JUBLPHARMA.NS,2015-08-19,2015-33,2015-08,-4.9802398681640625,down
2015-08-20,241.03526306152344,243.12557048190465,231.44046187117203,241.5149961534425,1888295,JUBLPHARMA.NS,2015-08-20,2015-33,2015-08,1.8831329345703125,up
2015-08-21,252.9944305419922,255.49593702054503,231.6459937138859,237.1972729006845,3329924,JUBLPHARMA.NS,2015-08-21,2015-33,2015-08,11.95916748046875,up
2015-08-24,222.11976623535156,250.15030003095092,202.86161901711327,237.12877977794614,2290517,JUBLPHARMA.NS,2015-08-24,2015-34,2015-08,-30.874664306640625,down
2015-08-25,228.56201171875,238.49949291264284,203.78684899752457,226.1633045563633,2172037,JUBLPHARMA.NS,2015-08-25,2015-34,2015-08,6.4422454833984375,up
2015-08-26,231.2005615234375,239.08201515517518,221.36588128977058,227.46544154164394,1350712,JUBLPHARMA.NS,2015-08-26,2015-34,2015-08,2.6385498046875,up
2015-08-27,243.22830200195312,247.68304904005356,235.75806261984593,237.36863658747407,1442327,JUBLPHARMA.NS,2015-08-27,2015-34,2015-08,12.027740478515625,up
2015-08-28,241.27511596679688,255.32463571714737,238.56800916620682,248.43694242399764,1571277,JUBLPHARMA.NS,2015-08-28,2015-34,2015-08,-1.95318603515625,down
2015-08-31,244.77032470703125,248.09423051779282,238.67075144278144,239.87012562136417,888055,JUBLPHARMA.NS,2015-08-31,2015-35,2015-08,3.495208740234375,up
2015-09-01,240.04147338867188,252.8231403667656,236.51196732338826,242.54298015501374,1614601,JUBLPHARMA.NS,2015-09-01,2015-35,2015-09,-4.728851318359375,down
