Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,KAJARIACER.NS,KAJARIACER.NS,KAJARIACER.NS,KAJARIACER.NS,KAJARIACER.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,344.3238525390625,347.0350526170136,340.63938011712145,346.80332514754616,81968,KAJARIACER.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,343.1651916503906,345.92275400529155,342.4931763776268,344.300661830296,42100,KAJARIACER.NS,2015-08-19,2015-33,2015-08,-1.158660888671875,down
2015-08-20,337.41839599609375,343.44331079795563,336.0048639499895,343.44331079795563,101888,KAJARIACER.NS,2015-08-20,2015-33,2015-08,-5.746795654296875,down
2015-08-21,329.2384033203125,336.0048341835354,327.6626451969097,336.0048341835354,73000,KAJARIACER.NS,2015-08-21,2015-33,2015-08,-8.17999267578125,down
2015-08-24,300.6896057128906,326.73578300872657,289.91427669877305,326.73578300872657,397278,KAJARIACER.NS,2015-08-24,2015-34,2015-08,-28.548797607421875,down
2015-08-25,305.5394287109375,309.96956381270047,283.13227738873604,299.3838668770355,459358,KAJARIACER.NS,2015-08-25,2015-34,2015-08,4.849822998046875,up
2015-08-26,307.26483154296875,310.1094330020385,291.9225639989114,300.78283351325535,215282,KAJARIACER.NS,2015-08-26,2015-34,2015-08,1.72540283203125,up
2015-08-27,316.10174560546875,318.24688045558054,309.13013561453926,312.41775607351815,697988,KAJARIACER.NS,2015-08-27,2015-34,2015-08,8.8369140625,up
2015-08-28,318.9230651855469,325.7314710917912,315.3323188668339,321.2080648701668,189292,KAJARIACER.NS,2015-08-28,2015-34,2015-08,2.821319580078125,up
2015-08-31,320.2755126953125,326.31449329044284,314.7728231097519,318.92317245873,101346,KAJARIACER.NS,2015-08-31,2015-35,2015-08,1.352447509765625,up
2015-09-01,317.43084716796875,321.72108900205495,316.17175043391273,319.43606054163746,60916,KAJARIACER.NS,2015-09-01,2015-35,2015-09,-2.84466552734375,down
2015-09-02,318.037109375,322.3739733557897,314.77279886821844,316.8712841940066,144900,KAJARIACER.NS,2015-09-02,2015-35,2015-09,0.60626220703125,up
2015-09-03,324.98541259765625,328.7160528756031,318.2935595215732,321.11485053926515,127084,KAJARIACER.NS,2015-09-03,2015-35,2015-09,6.94830322265625,up
2015-09-04,320.2521667480469,326.8973700624403,319.43608914803366,325.03204983383864,117958,KAJARIACER.NS,2015-09-04,2015-35,2015-09,-4.733245849609375,down
2015-09-07,315.61212158203125,323.81954622460387,314.77273331901847,320.6251688163712,201796,KAJARIACER.NS,2015-09-07,2015-36,2015-09,-4.640045166015625,down
