Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,KRBL.NS,KRBL.NS,KRBL.NS,KRBL.NS,KRBL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,159.05123901367188,160.14437185879552,157.6392693845821,159.41561199540033,145743,KRBL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,160.18994140625,164.38028680465885,157.63928852464377,159.09679452846166,149277,KRBL.NS,2015-08-19,2015-33,2015-08,1.138702392578125,up
2015-08-20,158.41360473632812,162.69506478320866,158.0492316642259,158.50470495432455,148628,KRBL.NS,2015-08-20,2015-33,2015-08,-1.776336669921875,down
2015-08-21,159.46119689941406,160.8276167290578,152.21917458229044,155.7718605793877,116840,KRBL.NS,2015-08-21,2015-33,2015-08,1.0475921630859375,up
2015-08-24,141.4244384765625,154.86089881491546,139.3748089334239,154.86089881491546,423334,KRBL.NS,2015-08-24,2015-34,2015-08,-18.036758422851562,down
2015-08-25,137.097412109375,145.7514015780731,135.2755195896491,142.15316663160178,1136805,KRBL.NS,2015-08-25,2015-34,2015-08,-4.3270263671875,down
2015-08-26,137.5073699951172,144.65830550729322,136.77861002254824,139.83028632645681,263777,KRBL.NS,2015-08-26,2015-34,2015-08,0.4099578857421875,up
2015-08-27,144.11170959472656,147.20893552049242,139.6480780457505,139.6480780457505,111478,KRBL.NS,2015-08-27,2015-34,2015-08,6.604339599609375,up
2015-08-28,153.08456420898438,158.5046931784906,145.75144200320975,145.75144200320975,187888,KRBL.NS,2015-08-28,2015-34,2015-08,8.972854614257812,up
2015-08-31,146.98121643066406,153.94995126833774,146.02471987060656,153.03900481112865,155133,KRBL.NS,2015-08-31,2015-35,2015-08,-6.1033477783203125,down
2015-09-01,140.24020385742188,146.57127893472523,137.82620131353852,145.7514326858433,215419,KRBL.NS,2015-09-01,2015-35,2015-09,-6.7410125732421875,down
2015-09-02,137.0518798828125,142.88194504591905,136.73305699026002,140.65011529835857,126620,KRBL.NS,2015-09-02,2015-35,2015-09,-3.188323974609375,down
2015-09-03,140.87786865234375,143.92954494372157,138.8282390566262,138.8282390566262,111170,KRBL.NS,2015-09-03,2015-35,2015-09,3.82598876953125,up
2015-09-04,140.33131408691406,141.19671050031494,136.64197790353057,140.51350061079728,163379,KRBL.NS,2015-09-04,2015-35,2015-09,-0.5465545654296875,down
2015-09-07,130.2653350830078,142.74529797181168,127.07702268587126,139.37479907482654,190545,KRBL.NS,2015-09-07,2015-36,2015-09,-10.06597900390625,down
2015-09-08,134.77452087402344,136.45977732119027,129.0811057145941,131.81394499112017,219706,KRBL.NS,2015-09-08,2015-36,2015-09,4.509185791015625,up
2015-09-09,135.82211303710938,139.2381620179226,134.9567028420189,135.6854627379135,107943,KRBL.NS,2015-09-09,2015-36,2015-09,1.0475921630859375,up
2015-09-10,133.77249145507812,135.73102075839452,131.17628851817994,134.72897410557144,96399,KRBL.NS,2015-09-10,2015-36,2015-09,-2.04962158203125,down
2015-09-11,137.2340850830078,140.01247469645824,134.8200824106315,134.8200824106315,102978,KRBL.NS,2015-09-11,2015-36,2015-09,3.4615936279296875,up
2015-09-14,138.73715209960938,141.0145183064318,136.6875225134692,138.1450285458714,55489,KRBL.NS,2015-09-14,2015-37,2015-09,1.5030670166015625,up
2015-09-15,142.83660888671875,144.17238858943742,139.33593465912082,139.33593465912082,82453,KRBL.NS,2015-09-15,2015-37,2015-09,4.099456787109375,up
2015-09-16,144.9554443359375,147.85731117552308,142.79054973337122,143.80390764453935,72673,KRBL.NS,2015-09-16,2015-37,2015-09,2.11883544921875,up
2015-09-18,138.18441772460938,148.31794169108073,134.7758715654382,147.0742763088209,191186,KRBL.NS,2015-09-18,2015-37,2015-09,-6.771026611328125,down
2015-09-21,136.06556701660156,139.3819981733993,133.71642945194014,135.4207093074586,212932,KRBL.NS,2015-09-21,2015-38,2015-09,-2.1188507080078125,down
2015-09-22,136.8946990966797,139.01351554292643,135.46679066697538,136.52619889009875,343873,KRBL.NS,2015-09-22,2015-38,2015-09,0.829132080078125,up
2015-09-23,137.86196899414062,139.4741203845819,134.6376662132581,135.28253801491024,168687,KRBL.NS,2015-09-23,2015-38,2015-09,0.9672698974609375,up
2015-09-24,146.10699462890625,148.27187537616388,138.1844158318108,138.1844158318108,211686,KRBL.NS,2015-09-24,2015-38,2015-09,8.245025634765625,up
2015-09-28,144.86329650878906,149.14700680825155,143.80388851635846,147.12030531234288,202783,KRBL.NS,2015-09-28,2015-39,2015-09,-1.2436981201171875,down
2015-09-29,143.52752685546875,145.92271458641184,140.99414629628214,141.86931131445064,92357,KRBL.NS,2015-09-29,2015-39,2015-09,-1.3357696533203125,down
2015-09-30,146.1529998779297,148.17971526523365,142.92869783410788,144.494798643723,140635,KRBL.NS,2015-09-30,2015-39,2015-09,2.6254730224609375,up
2015-10-01,144.58694458007812,147.76518304618926,143.3432933838665,146.42940329166075,107869,KRBL.NS,2015-10-01,2015-39,2015-10,-1.5660552978515625,down
2015-10-05,146.7978973388672,151.0816080417023,145.09361747907388,145.5542321377376,261618,KRBL.NS,2015-10-05,2015-40,2015-10,2.2109527587890625,up
2015-10-06,145.55422973632812,147.39668834058546,144.2184500596103,147.3506240641103,229579,KRBL.NS,2015-10-06,2015-40,2015-10,-1.2436676025390625,down
2015-10-07,143.15904235839844,147.12033156821587,142.14569845801864,146.01485910559927,242273,KRBL.NS,2015-10-07,2015-40,2015-10,-2.3951873779296875,down
2015-10-08,142.00750732421875,143.89603041804813,141.17840648148643,142.3299432390842,567036,KRBL.NS,2015-10-08,2015-40,2015-10,-1.1515350341796875,down
2015-10-09,142.42205810546875,146.01484682091137,141.91537916948485,143.48146619783563,253976,KRBL.NS,2015-10-09,2015-40,2015-10,0.41455078125,up
2015-10-12,141.8693084716797,143.15902383504857,141.36262955862648,142.7905377474698,89840,KRBL.NS,2015-10-12,2015-41,2015-10,-0.5527496337890625,down
