Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,,,,,,
Date,,,,,,,,,,,
2016-07-21,611.5753784179688,622.4462928228219,583.8721563661962,584.748841285665,11824029,LTIM.NS,2016-07-21,2016-29,2016-07,,no change
2016-07-22,613.6795654296875,621.3067364446074,610.34817277622,613.6795654296875,820402,LTIM.NS,2016-07-22,2016-29,2016-07,2.10418701171875,up
2016-07-25,607.5865478515625,614.5562045247126,606.6660392740388,614.5562045247126,260240,LTIM.NS,2016-07-25,2016-30,2016-07,-6.093017578125,down
2016-07-26,606.7974243164062,614.9944060441337,604.9125305352135,609.2083075902784,312995,LTIM.NS,2016-07-26,2016-30,2016-07,-0.78912353515625,down
2016-07-27,604.8248901367188,611.6191976199525,602.3263062474043,606.7535539702438,168708,LTIM.NS,2016-07-27,2016-30,2016-07,-1.9725341796875,down
2016-07-28,596.0581665039062,611.0494589425253,594.260919406013,606.3153384310629,375033,LTIM.NS,2016-07-28,2016-30,2016-07,-8.7667236328125,down
2016-07-29,606.4906616210938,613.6794891962567,600.5292144277654,604.9126393505958,726870,LTIM.NS,2016-07-29,2016-30,2016-07,10.4324951171875,up
2016-08-01,602.1950073242188,610.4796385848088,598.4252186453551,609.1646109550502,347573,LTIM.NS,2016-08-01,2016-31,2016-08,-4.295654296875,down
2016-08-02,599.3457641601562,604.9126929015308,598.3375549352098,600.573091142037,268056,LTIM.NS,2016-08-02,2016-31,2016-08,-2.8492431640625,down
2016-08-03,596.1458740234375,603.1593548943015,594.1295089747866,600.5292995677274,116318,LTIM.NS,2016-08-03,2016-31,2016-08,-3.19989013671875,down
2016-08-04,597.0662231445312,599.6524542263205,595.3566769373418,597.9429080191311,134769,LTIM.NS,2016-08-04,2016-31,2016-08,0.92034912109375,up
2016-08-05,611.6192016601562,626.8296622712724,597.460720052968,597.8552389337392,593783,LTIM.NS,2016-08-05,2016-31,2016-08,14.552978515625,up
2016-08-08,614.4684448242188,620.6928859779026,610.435662329938,613.6794070402992,347844,LTIM.NS,2016-08-08,2016-32,2016-08,2.8492431640625,up
2016-08-09,612.1890869140625,623.3229964267817,610.4357170225666,616.4848645516685,341932,LTIM.NS,2016-08-09,2016-32,2016-08,-2.27935791015625,down
2016-08-10,605.1317138671875,614.5122524042981,604.9125426560802,613.591744019367,84904,LTIM.NS,2016-08-10,2016-32,2016-08,-7.057373046875,down
