Price,Close,High,Low,Open,Volume
Ticker,LXCHEM.NS,LXCHEM.NS,LXCHEM.NS,LXCHEM.NS,LXCHEM.NS
Date,,,,,
2021-03-25,162.62039184570312,172.65747604575657,141.65625761141723,153.7699689952906,68702462
2021-03-26,184.52398681640625,192.23719580676104,170.08641315271595,171.52027815276767,30116742
2021-03-30,173.10247802734375,189.81445044166844,169.1964269104009,188.18281361086537,8839296
2021-03-31,172.55859375,177.50296606375358,169.04808638942959,169.1964266122583,3073842
2021-04-01,178.8379364013672,184.72173590319855,169.54250824129934,174.8329921727171,4813541
2021-04-05,170.97637939453125,179.77737069391713,169.59196125661825,177.9973937387247,2183243
2021-04-06,187.93557739257812,191.8416281436778,170.5313824119745,172.7563497486924,8544662
2021-04-07,198.02210998535156,206.67476148283885,189.9627891975884,192.23718837713508,10435919
2021-04-08,196.73658752441406,204.20259334992895,195.055503817305,200.6920857006839,3082469
2021-04-09,191.8416290283203,200.59317329537708,190.16054560618653,196.53878231638487,1879182
2021-04-12,179.23348999023438,185.76006724755825,173.69578716044282,183.93064352101294,2826111
2021-04-13,186.15562438964844,189.86390375996015,180.5190427645801,181.95290776996183,1869384
2021-04-15,189.46835327148438,193.4238511260955,181.5079108212741,188.38058532585558,2358127
2021-04-16,188.776123046875,193.81938868605116,187.886142093621,190.9516588686538,1664641
2021-04-19,183.3867645263672,184.91952294828937,180.27181603103074,182.9417740397515,1217314
2021-04-20,183.83175659179688,190.2594405997482,181.9529011481603,186.35338948964468,1085709
2021-04-22,180.02459716796875,184.67230407878614,179.23349458784463,182.89232704576358,1877354
2021-04-23,177.206298828125,182.15067108945118,176.21742437585976,179.7773784396253,1699072
2021-04-26,189.32000732421875,191.44609641020367,176.46463968542892,178.9862725093045,3975987
2021-04-27,192.8799591064453,197.5276658739085,188.92446141685514,190.75387004487487,3198829
2021-04-28,207.71307373046875,212.01466837902925,193.86883193100536,194.41271587664664,10206205
2021-04-29,207.26809692382812,215.47574303186315,205.93311034098878,209.64138963884574,3930863
2021-04-30,205.5375518798828,212.60799786633905,202.22481657519225,203.7081281882132,2343085
2021-05-03,209.69082641601562,212.45967784464375,202.76870538895844,203.1148023868955,2427377
2021-05-04,217.0084991455078,235.20379842359912,211.61913630872192,211.61913630872192,12347178
2021-05-05,220.76622009277344,224.9689364887165,216.76127556824594,220.2223361296108,2918280
2021-05-06,218.19512939453125,223.48561344759574,216.6623861522839,222.397845576621,1393465
2021-05-07,217.0579376220703,223.18895607696135,215.82184458322027,220.5189981308505,2054047
2021-05-10,223.63394165039062,228.92442577629555,216.8107142611352,219.23345354636206,3030801
2021-05-11,225.26559448242188,231.09994748825673,220.7167661433117,221.50786869216034,3580372
2021-05-12,220.0245819091797,227.04559707537587,218.49182337695063,226.15560094906814,1720426
2021-05-14,216.56350708007812,224.42505603161806,215.62407935940826,221.9034231368529,1778998
2021-05-17,215.37684631347656,220.02455295356697,213.59686938413694,219.43122228077848,1534784
2021-05-18,217.5029296875,221.01343696128998,215.57462755060948,215.6735210300506,1431495
2021-05-19,216.7612762451172,223.28785364539613,216.11851388875291,219.0356904960645,1894146
2021-05-20,215.47573852539062,219.5301298418646,213.942995185554,218.3929302499161,1197762
2021-05-21,222.4473114013672,232.03939084573545,216.36573938106378,217.5523857400221,5272118
2021-05-24,235.1049041748047,237.23097824003867,222.99119197231738,224.4250569295003,6644500
2021-05-25,231.00106811523438,241.97756500823925,226.05669606729722,239.3076071201584,4549830
2021-05-26,221.4089813232422,228.13333054042312,219.03568870024964,225.46337256729987,3622399
2021-05-27,221.06288146972656,226.35335060784635,219.82678843432106,223.4856208013161,1844491
2021-05-28,216.9096221923828,222.49675694220971,216.56351009041745,220.56845473318265,1511487
2021-05-31,224.96893310546875,229.36942130664957,217.15683113433994,217.15683113433994,4614607
2021-06-01,221.16175842285156,226.9466798265908,219.53012166232315,226.35334913783893,1094653
2021-06-02,221.2112274169922,223.9800790946879,218.6401627147965,220.51901826982518,1524542
2021-06-03,220.2223358154297,222.94174053833672,219.72789859308295,222.49675005602998,884388
2021-06-04,218.54124450683594,221.35954260961594,217.8490354379679,221.21120239477037,1016541
2021-06-07,220.17288208007812,223.18895205837222,218.54124533378473,219.8267850888475,1499707
2021-06-08,224.02951049804688,227.73778969933096,217.75015168159518,220.42010968871438,2738382
2021-06-09,220.42010498046875,228.42999391975917,218.54124959422845,225.56226410096582,1800552
2021-06-10,219.67845153808594,223.3867307003698,219.13458266550552,221.01343807211873,962157
2021-06-11,222.20008850097656,225.56227072379122,219.8762425696613,220.91454868310706,2703801
2021-06-14,217.70069885253906,225.11725704768384,215.08018765919843,224.4744947063818,1593610
2021-06-15,222.4473114013672,228.23223314870134,217.25572037802573,219.43124121762054,4049111
2021-06-16,228.2816619873047,233.3743591275714,223.48561509674212,223.93060556032424,6166368
2021-06-17,226.99612426757812,232.8304772621296,223.58451056435646,225.9578031172865,2939279
2021-06-18,223.13951110839844,229.56719496142773,210.33359014209154,228.82553913223202,2433154
2021-06-21,222.150634765625,224.17783036585863,217.75014656791504,218.54124913008258,1393725
2021-06-22,221.06288146972656,227.44111851461372,219.77734169509958,223.4856208013161,1377978
2021-06-23,219.6290283203125,222.9417487790698,218.64015383906667,221.7056556775125,712705
2021-06-24,218.29405212402344,221.26067570894787,217.3051775957153,221.1123505653128,877329
2021-06-25,220.3212432861328,224.17784782972504,218.64015964120873,219.53014066233692,887764
2021-06-28,219.33233642578125,221.50785700354675,218.98622436360307,221.3100851490272,596107
2021-06-29,218.7884521484375,220.9145259868122,218.0962431142475,219.5301079184322,599382
2021-06-30,217.8985137939453,223.73286762116211,217.15685787917903,219.4312572799064,1143861
2021-07-01,227.8861083984375,233.17659261186054,218.6401415710033,219.480675779483,2737049
2021-07-02,238.02206420898438,247.91080817353733,233.37435756344965,235.35210635636025,10929617
2021-07-05,252.55853271484375,255.03071888115596,238.4670715668642,239.60428625678395,5821409
2021-07-06,244.89474487304688,255.5251449225848,242.76867089874978,253.84407650995445,3245910
2021-07-07,256.5140380859375,260.8650798303374,243.31257262500282,244.94420950689593,5607546
2021-07-08,253.79461669921875,259.0851009410687,248.3063756779859,257.5523576441269,1903964
2021-07-09,261.5572814941406,267.49052795525535,250.67966298209694,253.54739273602533,5208269
2021-07-12,264.9194641113281,269.66607966760165,260.2717722155826,264.02948312516867,2553254
2021-07-13,262.4967346191406,268.97385019037125,261.0628545965368,267.34221338475356,1431594
2021-07-14,266.3110656738281,270.8684785576296,261.6050477445231,262.6453435330562,1954254
2021-07-15,264.32958984375,269.4319283120365,262.5462687912453,267.49997197598583,1287218
2021-07-16,259.9208068847656,266.4101458313104,258.5833010049804,264.52774470624433,1207327
2021-07-19,256.2550354003906,261.1592131822498,254.62031955143817,257.4934610791427,1546544
2021-07-20,250.65736389160156,257.0476526539854,247.18977190100628,255.56154180087313,1391578
2021-07-22,258.7814636230469,265.2708026297926,252.19302938919122,252.53977953781379,2545937
2021-07-23,270.1253967285156,271.90874780549996,258.7318807486204,261.15920711659857,3393604
2021-07-26,254.7194061279297,263.5369911377952,249.5180181449469,263.5369911377952,3098406
2021-07-27,258.83099365234375,263.7351719418638,254.12497558593748,257.3448826840049,1954043
2021-07-28,255.11569213867188,260.2179999344449,249.864764189599,259.57402462264866,1374629
2021-07-29,255.5120086669922,261.2583226022612,254.52126801280843,256.0073789940841,851707
2021-07-30,259.3263244628906,262.298545946706,254.6203071135163,255.51196751166083,1323487
2021-08-02,272.1564636230469,274.33607487179256,259.3263603484803,261.4564466596426,4596170
2021-08-03,274.8314514160156,280.37960512629314,271.9583095659628,273.4444205471976,3096699
2021-08-04,269.2337646484375,280.37959667160186,267.7971786492279,276.0698689089774,2161318
2021-08-05,269.38238525390625,272.4536874135695,262.84349070897935,270.6208111057861,1426307
2021-08-06,273.5929870605469,275.92123331686355,269.82818519905686,269.82818519905686,1085716
2021-08-09,270.1253967285156,279.8346719654271,267.49994039754,274.88096936547265,1781148
2021-08-10,277.4073486328125,296.7763139165672,273.7415965747354,292.2684565952846,13495897
2021-08-11,287.4138488769531,289.9402252669794,268.9860680052813,281.0731151993357,4737451
2021-08-12,316.88836669921875,321.9411494832093,289.8906870751045,292.218933383267,17180068
2021-08-13,336.851806640625,342.7467253508375,315.55088357364434,316.8883894411299,12424971
2021-08-16,387.37957763671875,399.1693848221399,338.04070746394643,338.2388374444974,23001478
2021-08-17,366.7721862792969,386.3393133461785,359.68836672277706,386.3393133461785,7955479
2021-08-18,365.53375244140625,379.4536456242203,357.65735266408234,367.56475855505414,5906365
2021-08-20,358.9453125,370.9828351528587,353.2981091389715,356.6666211809014,3633725
2021-08-23,361.02581787109375,378.26469584213675,353.94202962332315,363.601749116192,6210229
2021-08-24,358.59857177734375,369.14995310602364,355.6758749173087,364.2457750486777,2324817
2021-08-25,361.2240295410156,368.40689890561134,357.2115119618599,360.0351287245983,2859055
2021-08-26,378.80963134765625,381.43508759187296,359.6883218026999,362.0661231601039,7399931
2021-08-27,416.6559143066406,416.6559143066406,381.435100854231,381.83139101591047,14080063
2021-08-30,458.06890869140625,458.316593833963,428.5448215576431,430.3776976595634,17343593
2021-08-31,439.64111328125,489.17814012984155,427.0091714348591,467.62953345070423,20384738
2021-09-01,480.8559265136719,483.58046299514575,439.88879919069154,444.8425018842804,12240272
2021-09-02,487.8902587890625,502.10736332493644,479.17172268498337,488.6333142972792,10041514
2021-09-03,488.0883483886719,495.7665880047816,475.5554859009902,485.46289185726084,5066417
2021-09-06,485.11614990234375,499.2342040681319,481.99532292322317,493.9832907531039,2854163
2021-09-07,476.0508728027344,488.2865256324903,470.6513242742374,487.89023542741813,2468607
2021-09-08,499.82861328125,499.82861328125,470.7008468198883,478.280006068431,9112697
2021-09-09,511.9652404785156,523.1110729998186,507.25922230285437,510.28096924796085,5974763
2021-09-13,537.5263061523438,537.5263061523438,513.500846346844,518.1573393103652,5327107
2021-09-14,564.3754272460938,564.3754272460938,556.0036567814417,557.5888176103657,2123681
2021-09-15,592.5619506835938,592.5619506835938,579.5832725294844,583.5462350766945,1583159
2021-09-16,562.9387817382812,622.1850533907219,562.9387817382812,608.3146859584447,2708951
2021-09-17,534.8017578125,534.8017578125,534.8017578125,534.8017578125,398200
2021-09-20,508.10125732421875,508.10125732421875,508.10125732421875,508.10125732421875,350271
2021-09-21,533.4642333984375,533.4642333984375,492.00173749798637,507.65545551197414,7824750
2021-09-22,559.47119140625,560.1151364710746,539.9535908007365,544.9072934686332,6215882
2021-09-23,546.3438720703125,579.2364694416973,538.0216275109251,568.6355337793832,4392990
2021-09-24,540.1517333984375,558.7281177976638,536.9813517003026,551.8424592196836,2247089
2021-09-27,532.225830078125,552.8332212121023,528.2133429859089,547.2850983771866,1810383
2021-09-28,527.2225952148438,549.860992050921,520.683671459804,534.9998841576529,2183996
2021-09-29,515.9776611328125,527.0739672747017,514.1943402548311,524.0026957887341,1628552
2021-09-30,541.7369384765625,541.7369384765625,516.3244788146471,520.0397559994307,3113306
2021-10-01,537.2290649414062,555.6072901081948,534.0091581436938,545.8980447814013,2324289
2021-10-04,564.078125,564.078125,543.4212080962841,546.3934298360997,2531422
2021-10-05,585.8248291015625,592.2646421706834,566.9017102710687,576.6109548043587,5557228
2021-10-06,556.5485229492188,582.5554632739486,556.5485229492188,577.6017603549525,2693725
2021-10-07,548.3749389648438,567.6943812589981,536.981421714445,548.8703092800785,2243021
2021-10-08,544.2633056640625,559.5702595005126,540.9443489564527,553.5762911710951,1389258
2021-10-11,531.73046875,544.9073060570141,527.0739760406027,534.9999004923411,1157625
2021-10-12,557.8365478515625,558.282393267607,525.0925792934014,534.9999864498807,2867135
2021-10-13,542.9258422851562,566.6045665290261,540.1022557970408,563.6323447646913,1493051
2021-10-14,535.7429809570312,552.4865213321333,534.0091849021542,545.8980721355973,1007811
2021-10-18,545.8980712890625,562.4929763600095,541.1920534331223,562.4929763600095,1949472
2021-10-19,520.8818359375,550.8517371017593,518.6031448024826,548.7712061676137,1455313
