Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,623.0819702148438,626.1861044123999,616.7596357819186,618.1290969178671,844484,M&M.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,623.401611328125,632.0976570383709,615.6641216474559,624.0178577605799,1065202,M&M.NS,2015-08-19,2015-33,2015-08,0.31964111328125,up
2015-08-20,609.2958984375,627.7607715156199,606.0548525461211,625.3870618912719,1406780,M&M.NS,2015-08-20,2015-33,2015-08,-14.105712890625,down
2015-08-21,603.5899658203125,607.0364651314184,587.9552852914067,603.9323310873689,1548770,M&M.NS,2015-08-21,2015-33,2015-08,-5.7059326171875,down
2015-08-24,567.5274658203125,592.5201292055224,559.1965780252426,586.540160617873,2079760,M&M.NS,2015-08-24,2015-34,2015-08,-36.0625,down
2015-08-25,571.0423583984375,581.5415588107803,559.6530306753208,570.6087180621133,2133382,M&M.NS,2015-08-25,2015-34,2015-08,3.514892578125,up
2015-08-26,554.8599853515625,576.0866322613508,550.1125090915522,572.9597072483751,2001506,M&M.NS,2015-08-26,2015-34,2015-08,-16.182373046875,down
2015-08-27,561.5702514648438,569.2392548947697,554.6316717699641,569.1022865135717,4865668,M&M.NS,2015-08-27,2015-34,2015-08,6.71026611328125,up
2015-08-28,563.2821044921875,569.2621286980784,556.4576462148061,564.491806172139,3995432,M&M.NS,2015-08-28,2015-34,2015-08,1.71185302734375,up
2015-08-31,557.3250122070312,566.9568771557148,553.1252982013996,561.9355199506319,3746160,M&M.NS,2015-08-31,2015-35,2015-08,-5.95709228515625,down
2015-09-01,537.37646484375,556.1609157145217,533.6332937977038,551.2080429946342,3174664,M&M.NS,2015-09-01,2015-35,2015-09,-19.94854736328125,down
2015-09-02,517.9073486328125,542.2609189613119,513.7761189894724,540.9370955153486,4493220,M&M.NS,2015-09-02,2015-35,2015-09,-19.4691162109375,down
2015-09-03,520.6918334960938,528.611870672786,498.55221715099003,522.198206947329,2712720,M&M.NS,2015-09-03,2015-35,2015-09,2.78448486328125,up
2015-09-04,506.97454833984375,521.0800104912764,502.5922834436227,519.4823056846891,2989644,M&M.NS,2015-09-04,2015-35,2015-09,-13.71728515625,down
2015-09-07,507.1114196777344,512.3610201801467,498.8261694792249,507.1570572330532,1389426,M&M.NS,2015-09-07,2015-36,2015-09,0.136871337890625,up
2015-09-08,523.08837890625,530.620413174568,503.5050786639229,507.15697406674377,2745142,M&M.NS,2015-09-08,2015-36,2015-09,15.976959228515625,up
2015-09-09,534.3636474609375,540.4349465822689,525.507788907258,531.8529690717943,3132170,M&M.NS,2015-09-09,2015-36,2015-09,11.2752685546875,up
2015-09-10,534.1355590820312,540.2753441780121,524.0928426090903,532.2639730658699,1425516,M&M.NS,2015-09-10,2015-36,2015-09,-0.22808837890625,down
2015-09-11,532.4921264648438,545.4563694068905,529.5478073777404,539.9785249854776,1622658,M&M.NS,2015-09-11,2015-36,2015-09,-1.6434326171875,down
2015-09-14,535.3450927734375,538.563348193561,526.352321775578,534.3636346456085,1439596,M&M.NS,2015-09-14,2015-37,2015-09,2.85296630859375,up
2015-09-15,525.827392578125,534.8886484891163,522.7232586525131,532.30948576433,1468462,M&M.NS,2015-09-15,2015-37,2015-09,-9.5177001953125,down
2015-09-16,533.1539306640625,534.0897512355446,525.4393455027989,529.0683945999967,1953384,M&M.NS,2015-09-16,2015-37,2015-09,7.3265380859375,up
2015-09-18,547.4420776367188,554.5861108910858,533.9757100817609,536.3951136607017,5269170,M&M.NS,2015-09-18,2015-37,2015-09,14.28814697265625,up
2015-09-21,541.0740966796875,546.8486130061635,537.3080786979784,539.5676671975982,2274848,M&M.NS,2015-09-21,2015-38,2015-09,-6.36798095703125,down
2015-09-22,542.0326538085938,548.8799585415888,538.0840302678648,546.4149176930089,4025672,M&M.NS,2015-09-22,2015-38,2015-09,0.95855712890625,up
2015-09-23,551.5504150390625,557.5988677593336,535.4820950074445,536.3722223636652,3068924,M&M.NS,2015-09-23,2015-38,2015-09,9.51776123046875,up
2015-09-24,557.3706665039062,562.848510892151,546.6432212435935,550.0668739862465,4290468,M&M.NS,2015-09-24,2015-38,2015-09,5.82025146484375,up
2015-09-28,557.64453125,565.952628429674,553.6502698338625,559.1737516189044,1689472,M&M.NS,2015-09-28,2015-39,2015-09,0.27386474609375,up
2015-09-29,570.4718017578125,583.8925311764914,548.514787427064,550.5233414427017,6506062,M&M.NS,2015-09-29,2015-39,2015-09,12.8272705078125,up
2015-09-30,576.908203125,579.2134286822105,568.600107583597,571.1107856929465,5297210,M&M.NS,2015-09-30,2015-39,2015-09,6.4364013671875,up
2015-10-01,570.6316528320312,583.3904434490415,567.4818810771571,582.9339564040893,2110700,M&M.NS,2015-10-01,2015-39,2015-10,-6.27655029296875,down
2015-10-05,580.0580444335938,584.3033960851808,573.1194638944879,573.1194638944879,2226118,M&M.NS,2015-10-05,2015-40,2015-10,9.4263916015625,up
2015-10-06,577.1136474609375,588.868186849602,574.8312126281871,582.9338562844509,2787718,M&M.NS,2015-10-06,2015-40,2015-10,-2.94439697265625,down
2015-10-07,587.88671875,592.9537128480143,575.173568092032,575.6529016881776,1427976,M&M.NS,2015-10-07,2015-40,2015-10,10.7730712890625,up
2015-10-08,580.9483032226562,591.0366567146727,578.4604151609358,590.8996882989738,9205452,M&M.NS,2015-10-08,2015-40,2015-10,-6.93841552734375,down
2015-10-09,581.267822265625,587.7727632685678,578.1180502142327,584.3034725450359,1427498,M&M.NS,2015-10-09,2015-40,2015-10,0.31951904296875,up
2015-10-12,581.975341796875,585.4446321761787,575.1736737169475,579.8070283443706,1496340,M&M.NS,2015-10-12,2015-41,2015-10,0.70751953125,up
2015-10-13,585.6500244140625,588.8682803285199,579.7385395482328,580.6971511854598,2852984,M&M.NS,2015-10-13,2015-41,2015-10,3.6746826171875,up
2015-10-14,588.0009765625,588.8683131296427,581.1080330341358,585.6500570359221,567184,M&M.NS,2015-10-14,2015-41,2015-10,2.3509521484375,up
2015-10-15,581.9525146484375,594.0722683257004,578.5060707952296,589.7812788365205,2148492,M&M.NS,2015-10-15,2015-41,2015-10,-6.0484619140625,down
2015-10-16,588.34326171875,591.1278212878369,578.9396406168858,583.3903888889257,1478824,M&M.NS,2015-10-16,2015-41,2015-10,6.3907470703125,up
2015-10-19,584.8740234375,593.3875179282397,582.4546198218741,588.8682850609756,1646242,M&M.NS,2015-10-19,2015-42,2015-10,-3.46923828125,down
2015-10-20,570.905517578125,586.1293489469588,569.2621754080234,585.2163748831784,3016880,M&M.NS,2015-10-20,2015-42,2015-10,-13.968505859375,down
2015-10-21,573.6444702148438,576.9083638107879,562.3920531368423,569.6729993925104,1502156,M&M.NS,2015-10-21,2015-42,2015-10,2.73895263671875,up
2015-10-23,569.0795288085938,584.280512450818,566.2264850630362,578.1864221550092,1629182,M&M.NS,2015-10-23,2015-42,2015-10,-4.56494140625,down
2015-10-26,568.4633178710938,575.1280173306571,564.514693936877,570.6087846118286,1165248,M&M.NS,2015-10-26,2015-43,2015-10,-0.6162109375,down
2015-10-27,570.6316528320312,575.3334359609302,562.9854948290802,566.9569098307587,1624822,M&M.NS,2015-10-27,2015-43,2015-10,2.1683349609375,up
2015-10-28,560.06396484375,572.0695406543098,557.0054682180325,566.9569080562525,3883340,M&M.NS,2015-10-28,2015-43,2015-10,-10.56768798828125,down
2015-10-29,560.474853515625,564.6745123202724,554.175309585134,560.5661286413051,2387748,M&M.NS,2015-10-29,2015-43,2015-10,0.410888671875,up
2015-10-30,540.298095703125,560.041161875116,535.596312222289,558.055454225643,1933272,M&M.NS,2015-10-30,2015-43,2015-10,-20.1767578125,down
2015-11-02,551.8243408203125,564.446218476024,547.807288348567,547.807288348567,2576854,M&M.NS,2015-11-02,2015-44,2015-11,11.5262451171875,up
2015-11-03,562.8256225585938,563.9896866942711,552.5775117308095,553.2166046734654,1311030,M&M.NS,2015-11-03,2015-44,2015-11,11.00128173828125,up
2015-11-04,572.5717163085938,574.9454266261394,562.8256734300845,562.8256734300845,908280,M&M.NS,2015-11-04,2015-44,2015-11,9.74609375,up
2015-11-05,575.0595703125,579.6244408845381,568.6002673083625,571.0653085619666,1734508,M&M.NS,2015-11-05,2015-44,2015-11,2.48785400390625,up
2015-11-06,570.4035034179688,579.282155617735,553.7188768828311,572.891335934009,2328754,M&M.NS,2015-11-06,2015-44,2015-11,-4.65606689453125,down
2015-11-09,570.1979370117188,577.4560919204814,554.4263435874458,557.3706626362907,1149942,M&M.NS,2015-11-09,2015-45,2015-11,-0.20556640625,down
2015-11-10,575.6986694335938,578.8255946638486,563.9897651476222,569.2850039225563,1205674,M&M.NS,2015-11-10,2015-45,2015-11,5.500732421875,up
2015-11-13,571.2479248046875,574.9454588898429,567.2764539014681,568.5090024121992,3279020,M&M.NS,2015-11-13,2015-45,2015-11,-4.45074462890625,down
2015-11-16,583.3447265625,588.2519616284217,565.2221599082003,570.6087285955457,4053098,M&M.NS,2015-11-16,2015-46,2015-11,12.0968017578125,up
2015-11-17,588.3204345703125,592.5200924430637,579.5102136798686,583.8468399342669,3017600,M&M.NS,2015-11-17,2015-46,2015-11,4.9757080078125,up
2015-11-18,583.5274047851562,595.2590994089479,581.7014566274602,586.5858456598911,1383404,M&M.NS,2015-11-18,2015-46,2015-11,-4.79302978515625,down
2015-11-19,589.826904296875,592.497342386235,582.0894711132264,586.6314949569702,921622,M&M.NS,2015-11-19,2015-46,2015-11,6.29949951171875,up
2015-11-20,600.39453125,604.8452795333586,589.4616898074619,589.8268459760923,3969672,M&M.NS,2015-11-20,2015-46,2015-11,10.567626953125,up
2015-11-23,604.16064453125,609.0907272369311,596.7198829098742,600.394626157708,1826316,M&M.NS,2015-11-23,2015-47,2015-11,3.76611328125,up
2015-11-24,602.3574829101562,605.2789553242384,598.8197084265742,604.160584389802,2482202,M&M.NS,2015-11-24,2015-47,2015-11,-1.80316162109375,down
2015-11-26,614.545654296875,618.0605820821852,601.1934088831824,604.8224584241652,1818860,M&M.NS,2015-11-26,2015-47,2015-11,12.18817138671875,up
2015-11-27,616.8052368164062,626.3001890861259,615.9835936176022,618.9963967935763,3275350,M&M.NS,2015-11-27,2015-47,2015-11,2.25958251953125,up
2015-11-30,623.3329467773438,625.2958630038701,617.0334044106602,617.626859750821,4884086,M&M.NS,2015-11-30,2015-48,2015-11,6.5277099609375,up
2015-12-01,624.8850708007812,630.6367959053789,619.2246208075617,625.387195360383,2366346,M&M.NS,2015-12-01,2015-48,2015-12,1.5521240234375,up
2015-12-02,625.5925903320312,628.5597558484961,622.4200279538309,627.6696284829611,2032040,M&M.NS,2015-12-02,2015-48,2015-12,0.70751953125,up
2015-12-03,614.2944946289062,624.8165416006061,611.9664222213424,624.702419857848,1129668,M&M.NS,2015-12-03,2015-48,2015-12,-11.298095703125,down
2015-12-04,600.4172973632812,613.1532384718206,599.024989900174,609.6839488558116,1567306,M&M.NS,2015-12-04,2015-48,2015-12,-13.877197265625,down
2015-12-07,604.2518920898438,607.766875845568,596.948099213763,601.8781816945245,1126844,M&M.NS,2015-12-07,2015-49,2015-12,3.8345947265625,up
2015-12-08,599.9381103515625,608.4287584060518,594.3917815041606,602.5629109104527,1853618,M&M.NS,2015-12-08,2015-49,2015-12,-4.31378173828125,down
2015-12-09,598.95654296875,606.5799088117368,596.2404677831319,599.3673923869841,2248652,M&M.NS,2015-12-09,2015-49,2015-12,-0.9815673828125,down
2015-12-10,589.1878051757812,602.4487760883098,586.1293642715589,599.8239755863149,1494658,M&M.NS,2015-12-10,2015-49,2015-12,-9.76873779296875,down
2015-12-11,576.041015625,591.5615752195242,567.8698863408266,587.042342310533,1292080,M&M.NS,2015-12-11,2015-49,2015-12,-13.14678955078125,down
2015-12-14,586.4945678710938,591.7441688005687,560.7943253791277,561.9811805315233,2761612,M&M.NS,2015-12-14,2015-50,2015-12,10.45355224609375,up
2015-12-15,588.4346313476562,595.4644870671239,583.458911550275,591.1507069007674,1552806,M&M.NS,2015-12-15,2015-50,2015-12,1.9400634765625,up
2015-12-16,556.0240478515625,573.0053430375579,551.6645744360794,573.0053430375579,6682490,M&M.NS,2015-12-16,2015-50,2015-12,-32.41058349609375,down
2015-12-17,569.490478515625,572.5717663033105,545.7303037300647,554.6318017833781,4996832,M&M.NS,2015-12-17,2015-50,2015-12,13.4664306640625,up
2015-12-18,567.55029296875,574.4660262398519,563.7842753277104,568.3491451956372,2740974,M&M.NS,2015-12-18,2015-50,2015-12,-1.940185546875,down
2015-12-21,583.7784423828125,586.1293617932753,566.043931949892,566.043931949892,1876456,M&M.NS,2015-12-21,2015-51,2015-12,16.2281494140625,up
2015-12-22,573.5988159179688,582.8654694526705,572.0467488277504,582.8654694526705,1222278,M&M.NS,2015-12-22,2015-51,2015-12,-10.17962646484375,down
2015-12-23,571.4533081054688,579.82983441193,569.353478799199,575.4019322721109,1002636,M&M.NS,2015-12-23,2015-51,2015-12,-2.1455078125,down
2015-12-24,574.146484375,580.1949367049294,571.635806049369,571.635806049369,693062,M&M.NS,2015-12-24,2015-51,2015-12,2.69317626953125,up
2015-12-28,570.3350219726562,577.9583346286812,568.326467489034,575.1737743262513,1232286,M&M.NS,2015-12-28,2015-52,2015-12,-3.81146240234375,down
2015-12-29,577.2734375,579.692840840975,570.6087385781096,570.6087385781096,862010,M&M.NS,2015-12-29,2015-52,2015-12,6.93841552734375,up
2015-12-30,576.5430908203125,581.9752973575419,574.7399894290044,577.4789114756567,940950,M&M.NS,2015-12-30,2015-52,2015-12,-0.7303466796875,down
2015-12-31,580.8113403320312,583.3220193379038,573.0282688479392,574.7172487988448,1163700,M&M.NS,2015-12-31,2015-52,2015-12,4.26824951171875,up
2016-01-01,577.6157836914062,584.0522389055691,575.1735895155457,580.6285865870242,486818,M&M.NS,2016-01-01,2016-00,2016-01,-3.195556640625,down
2016-01-04,567.18505859375,576.5430414518361,565.9068727920233,576.5430414518361,727368,M&M.NS,2016-01-04,2016-01,2016-01,-10.43072509765625,down
2016-01-05,570.2435913085938,580.6058806093977,565.9069644040301,568.7828550617261,1466066,M&M.NS,2016-01-05,2016-01,2016-01,3.05853271484375,up
2016-01-06,559.7216186523438,569.7871248712472,556.9142120942143,566.0895908372926,1178150,M&M.NS,2016-01-06,2016-01,2016-01,-10.52197265625,down
2016-01-07,546.620361328125,556.4805255663274,536.3722499900607,556.4576789258587,1954754,M&M.NS,2016-01-07,2016-01,2016-01,-13.10125732421875,down
2016-01-08,546.8713989257812,551.5960279971747,543.995508678755,547.3278859031817,3530992,M&M.NS,2016-01-08,2016-01,2016-01,0.25103759765625,up
2016-01-11,530.7118530273438,542.3066356755483,526.8317129572746,542.3066356755483,2263750,M&M.NS,2016-01-11,2016-02,2016-01,-16.1595458984375,down
2016-01-12,539.5220336914062,541.8272597664445,527.7218550714656,531.3509046825981,1162522,M&M.NS,2016-01-12,2016-02,2016-01,8.8101806640625,up
2016-01-13,550.0897216796875,554.3806552132102,537.2396005496425,541.8957459991527,1652518,M&M.NS,2016-01-13,2016-02,2016-01,10.56768798828125,up
2016-01-14,542.5576171875,547.6930956634611,526.1468769791018,544.6345994925618,1620082,M&M.NS,2016-01-14,2016-02,2016-01,-7.5321044921875,down
2016-01-15,537.37646484375,547.57899369662,534.0897807898318,546.8714165694176,925828,M&M.NS,2016-01-15,2016-02,2016-01,-5.18115234375,down
2016-01-18,532.1041870117188,541.8958127919257,527.7675596615393,535.778874648021,1228894,M&M.NS,2016-01-18,2016-03,2016-01,-5.27227783203125,down
2016-01-19,526.101318359375,532.6291053798349,517.4509111625254,532.6291053798349,2012000,M&M.NS,2016-01-19,2016-03,2016-01,-6.00286865234375,down
2016-01-20,525.3024291992188,529.7988151239165,502.59220034615674,519.4822197946652,2616840,M&M.NS,2016-01-20,2016-03,2016-01,-0.79888916015625,down
2016-01-21,519.8017578125,531.0770208668046,516.8345921229748,527.2425186771767,1634526,M&M.NS,2016-01-21,2016-03,2016-01,-5.50067138671875,down
2016-01-22,547.2822875976562,550.066847214788,520.7831943698129,521.536409081241,1505188,M&M.NS,2016-01-22,2016-03,2016-01,27.48052978515625,up
2016-01-25,537.8787231445312,556.0240837139883,536.0070816264774,550.5233923714502,1650040,M&M.NS,2016-01-25,2016-04,2016-01,-9.403564453125,down
2016-01-27,537.1482543945312,546.7801750998235,525.0513483589025,538.3808027832126,2116716,M&M.NS,2016-01-27,2016-04,2016-01,-0.73046875,down
2016-01-28,549.678955078125,553.878614127575,537.5135626637898,537.5135626637898,1347616,M&M.NS,2016-01-28,2016-04,2016-01,12.53070068359375,up
2016-01-29,562.962646484375,566.0439340284817,548.8343947752479,553.2622968084837,2034158,M&M.NS,2016-01-29,2016-04,2016-01,13.28369140625,up
2016-02-01,559.8128662109375,565.3135572915822,551.3678560335172,559.6531068928246,1027972,M&M.NS,2016-02-01,2016-05,2016-02,-3.1497802734375,down
2016-02-02,550.8200073242188,566.6372918022149,547.7843578630266,560.5431462421836,1032894,M&M.NS,2016-02-02,2016-05,2016-02,-8.99285888671875,down
2016-02-03,549.1538696289062,560.5660448082268,543.2195385356596,545.4106984594937,1042488,M&M.NS,2016-02-03,2016-05,2016-02,-1.6661376953125,down
2016-02-04,549.838623046875,557.7815084472985,542.7630741409168,551.4363276385429,887888,M&M.NS,2016-02-04,2016-05,2016-02,0.68475341796875,up
2016-02-05,556.6859130859375,558.4205860270247,545.3422219426649,549.6103643751281,1290006,M&M.NS,2016-02-05,2016-05,2016-02,6.8472900390625,up
2016-02-08,548.5833129882812,564.9940001658424,544.9999007862336,560.5660980649964,1042654,M&M.NS,2016-02-08,2016-06,2016-02,-8.10260009765625,down
2016-02-09,540.1154174804688,555.4534258661315,537.7417072759563,543.6760385107503,759394,M&M.NS,2016-02-09,2016-06,2016-02,-8.4678955078125,down
2016-02-10,539.70458984375,548.6745146064318,530.1867915361865,538.654647478752,1233280,M&M.NS,2016-02-10,2016-06,2016-02,-0.41082763671875,down
2016-02-11,514.2781982421875,539.1111000230032,510.32957489155996,537.2851521821125,1382986,M&M.NS,2016-02-11,2016-06,2016-02,-25.4263916015625,down
2016-02-12,531.9215087890625,537.9928085441575,498.1414687543999,514.2326364736142,4933968,M&M.NS,2016-02-12,2016-06,2016-02,17.643310546875,up
2016-02-15,560.0183715820312,561.912748383688,530.2553805559081,530.894473612097,1493674,M&M.NS,2016-02-15,2016-07,2016-02,28.09686279296875,up
2016-02-16,550.5462036132812,566.2265219146835,547.8529189974861,561.0225586393956,1198744,M&M.NS,2016-02-16,2016-07,2016-02,-9.47216796875,down
2016-02-17,547.9669799804688,551.4362698713818,541.165312858049,551.4362698713818,1079510,M&M.NS,2016-02-17,2016-07,2016-02,-2.5792236328125,down
2016-02-18,553.99267578125,558.2608185775136,542.4663777053763,553.4905511681926,1406810,M&M.NS,2016-02-18,2016-07,2016-02,6.02569580078125,up
2016-02-19,561.5930786132812,570.0609339514755,548.446231967803,552.3492177379153,1361338,M&M.NS,2016-02-19,2016-07,2016-02,7.60040283203125,up
2016-02-22,564.6973266601562,570.1523246102147,562.3007696511861,562.3920447716449,1101500,M&M.NS,2016-02-22,2016-08,2016-02,3.104248046875,up
2016-02-23,551.7557983398438,566.5459878483973,549.4733634071506,564.6744023482908,1709506,M&M.NS,2016-02-23,2016-08,2016-02,-12.9415283203125,down
2016-02-24,556.2750854492188,558.7401265640573,545.3650342515085,547.7844378078993,1284148,M&M.NS,2016-02-24,2016-08,2016-02,4.519287109375,up
2016-02-25,561.0454711914062,567.2536843704213,555.5676261998892,555.6589013270062,2585106,M&M.NS,2016-02-25,2016-08,2016-02,4.7703857421875,up
2016-02-26,561.5018310546875,569.6272658503473,560.5431638195604,565.1308802499263,1777842,M&M.NS,2016-02-26,2016-08,2016-02,0.45635986328125,up
2016-02-29,560.6116943359375,579.2820244727076,554.6545721992265,558.8313838252432,3427866,M&M.NS,2016-02-29,2016-09,2016-02,-0.89013671875,down
2016-03-01,578.8712158203125,584.1664544451811,551.4819928742507,555.6588605182285,3171988,M&M.NS,2016-03-01,2016-09,2016-03,18.259521484375,up
2016-03-02,547.396484375,579.7385823312146,543.0598571843335,579.7385823312146,4975766,M&M.NS,2016-03-02,2016-09,2016-03,-31.4747314453125,down
2016-03-03,554.7915649414062,560.7031060978334,547.9442586993429,553.2623443587163,2128882,M&M.NS,2016-03-03,2016-09,2016-03,7.39508056640625,up
2016-03-04,555.2479248046875,561.0224962237836,552.6003337651568,554.6316785288016,1402812,M&M.NS,2016-03-04,2016-09,2016-03,0.45635986328125,up
