Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,MCX.NS,MCX.NS,MCX.NS,MCX.NS,MCX.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,949.8037719726562,957.4203075716208,922.688883988848,933.3955993909527,111527,MCX.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,947.8452758789062,979.2689057359145,943.1883294453463,943.1883294453463,230944,MCX.NS,2015-08-19,2015-33,2015-08,-1.95849609375,down
2015-08-20,955.2005615234375,996.0687779742173,947.9322318694128,966.2119167814952,319316,MCX.NS,2015-08-20,2015-33,2015-08,7.35528564453125,up
2015-08-21,931.8286743164062,942.187183400095,923.994523855082,937.4866718718072,164617,MCX.NS,2015-08-21,2015-33,2015-08,-23.37188720703125,down
2015-08-24,852.0509033203125,908.7614703508868,822.542301246504,896.5750138519286,410151,MCX.NS,2015-08-24,2015-34,2015-08,-79.77777099609375,down
2015-08-25,869.3731689453125,885.6508048619511,790.8140415387398,862.6270942926706,498391,MCX.NS,2015-08-25,2015-34,2015-08,17.322265625,up
2015-08-26,864.2808837890625,887.7833344774646,831.7256160284501,861.7565252414082,177948,MCX.NS,2015-08-26,2015-34,2015-08,-5.09228515625,down
2015-08-27,898.0112915039062,912.2433104488233,871.9844811470504,880.0362470074049,218956,MCX.NS,2015-08-27,2015-34,2015-08,33.73040771484375,up
2015-08-28,877.3812866210938,913.9841656779753,870.4611101695002,908.7613990169582,160825,MCX.NS,2015-08-28,2015-34,2015-08,-20.6300048828125,down
2015-08-31,876.16259765625,892.2226153584478,871.4185741000618,873.8994200785395,84088,MCX.NS,2015-08-31,2015-35,2015-08,-1.21868896484375,down
2015-09-01,848.8301391601562,877.207148974473,832.6830437040841,872.0278949486797,157631,MCX.NS,2015-09-01,2015-35,2015-09,-27.33245849609375,down
2015-09-02,839.77734375,860.8860253627884,836.5131146346204,857.1430532695655,83092,MCX.NS,2015-09-02,2015-35,2015-09,-9.05279541015625,down
2015-09-03,866.7181396484375,876.5543395860705,857.4041951263946,857.4041951263946,148438,MCX.NS,2015-09-03,2015-35,2015-09,26.9407958984375,up
2015-09-04,822.237548828125,861.7565047415001,813.8811433669723,861.7565047415001,228830,MCX.NS,2015-09-04,2015-35,2015-09,-44.4805908203125,down
2015-09-07,800.302001953125,839.1245479621202,792.3807736169072,824.1961179994755,218599,MCX.NS,2015-09-07,2015-36,2015-09,-21.935546875,down
2015-09-08,827.5473022460938,833.9451694908801,795.5143473394637,801.7381117545248,157871,MCX.NS,2015-09-08,2015-36,2015-09,27.24530029296875,up
2015-09-09,830.3329467773438,845.2613242436069,826.5899211736526,844.3473506238331,116308,MCX.NS,2015-09-09,2015-36,2015-09,2.78564453125,up
2015-09-10,832.7702026367188,835.6427138397966,810.4863650570844,822.5857964360497,152372,MCX.NS,2015-09-10,2015-36,2015-09,2.437255859375,up
2015-09-11,828.15673828125,844.347294007636,821.7588171143659,839.7338606558147,116055,MCX.NS,2015-09-11,2015-36,2015-09,-4.61346435546875,down
2015-09-14,831.5513916015625,837.383490989919,822.6726786804985,831.89959725679,64708,MCX.NS,2015-09-14,2015-37,2015-09,3.3946533203125,up
2015-09-15,826.1981811523438,848.6995795220255,825.1971296275694,833.9887655588185,185822,MCX.NS,2015-09-15,2015-37,2015-09,-5.35321044921875,down
2015-09-16,847.5316772460938,852.018277570702,828.9253712348932,845.3763285825296,150711,MCX.NS,2015-09-16,2015-37,2015-09,21.33349609375,up
2015-09-18,837.942626953125,870.8445426545743,834.5116592862474,857.1207256815095,176722,MCX.NS,2015-09-18,2015-37,2015-09,-9.58905029296875,down
2015-09-21,833.4559326171875,846.2999646570764,829.673051981776,835.7432083411877,73704,MCX.NS,2015-09-21,2015-38,2015-09,-4.4866943359375,down
2015-09-22,826.5060424804688,842.7370659748271,822.5912346271178,835.0394311991975,80234,MCX.NS,2015-09-22,2015-38,2015-09,-6.94989013671875,down
2015-09-23,811.2427978515625,830.4648711130009,808.9554683203912,822.7672359199513,138001,MCX.NS,2015-09-23,2015-38,2015-09,-15.26324462890625,down
2015-09-24,825.2305297851562,834.5996736514865,814.4538397138172,814.4538397138172,179306,MCX.NS,2015-09-24,2015-38,2015-09,13.98773193359375,up
2015-09-28,837.3707275390625,863.8506248031688,832.2243300624363,839.6140813208942,600844,MCX.NS,2015-09-28,2015-39,2015-09,12.14019775390625,up
2015-09-29,845.7721557617188,859.0560527649992,832.2242968926669,835.479307524264,467284,MCX.NS,2015-09-29,2015-39,2015-09,8.40142822265625,up
2015-09-30,824.438720703125,856.8567390977856,821.6675506338108,852.4141147930968,278634,MCX.NS,2015-09-30,2015-39,2015-09,-21.33343505859375,down
2015-10-01,812.518310546875,833.8957847152874,810.2310348578421,833.8957847152874,190194,MCX.NS,2015-10-01,2015-39,2015-10,-11.92041015625,down
2015-10-05,799.6743774414062,822.4594004326412,796.2874392347514,822.3713952371578,248545,MCX.NS,2015-10-05,2015-40,2015-10,-12.84393310546875,down
2015-10-06,805.700439453125,816.389176987363,796.243344999877,801.5217232993642,362013,MCX.NS,2015-10-06,2015-40,2015-10,6.02606201171875,up
2015-10-07,835.0394287109375,841.901309523021,807.1959626705667,812.8702298842961,456243,MCX.NS,2015-10-07,2015-40,2015-10,29.3389892578125,up
2015-10-08,845.5963134765625,855.0973847909054,821.3157382349673,836.623058576287,375292,MCX.NS,2015-10-08,2015-40,2015-10,10.556884765625,up
2015-10-09,839.6140747070312,857.6925098963294,831.3445937779187,850.6986478129602,220000,MCX.NS,2015-10-09,2015-40,2015-10,-5.98223876953125,down
2015-10-12,830.9486083984375,843.1768716908417,826.7698926704165,843.1768716908417,82844,MCX.NS,2015-10-12,2015-41,2015-10,-8.66546630859375,down
2015-10-13,832.9720458984375,848.3233399194872,828.1775619836293,831.3445674293939,147562,MCX.NS,2015-10-13,2015-41,2015-10,2.0234375,up
2015-10-14,822.5912475585938,837.5026767544009,818.8084205768473,831.2566173446178,86025,MCX.NS,2015-10-14,2015-41,2015-10,-10.38079833984375,down
2015-10-15,819.8201904296875,838.3824670148838,818.1486823964763,827.8257098226712,144767,MCX.NS,2015-10-15,2015-41,2015-10,-2.77105712890625,down
2015-10-16,815.4215087890625,826.9459467824023,813.7939765707513,824.7466224558534,95128,MCX.NS,2015-10-16,2015-41,2015-10,-4.398681640625,down
2015-10-19,823.5149536132812,832.4002558314617,819.0283536051428,819.0283536051428,89726,MCX.NS,2015-10-19,2015-42,2015-10,8.09344482421875,up
2015-10-20,824.3946533203125,834.8634578843082,818.852367131201,826.9458908443095,140609,MCX.NS,2015-10-20,2015-42,2015-10,0.87969970703125,up
2015-10-21,821.62353515625,834.8634559366958,819.1162733827701,827.0338404042983,97101,MCX.NS,2015-10-21,2015-42,2015-10,-2.7711181640625,down
2015-10-23,812.1664428710938,829.1012390350289,810.8908241094682,829.1012390350289,148110,MCX.NS,2015-10-23,2015-42,2015-10,-9.45709228515625,down
2015-10-26,801.037841796875,818.1485946496724,799.4543391267632,814.3217920556991,151226,MCX.NS,2015-10-26,2015-43,2015-10,-11.12860107421875,down
2015-10-27,799.234375,807.371874140066,796.2432727572284,800.4660179692437,88196,MCX.NS,2015-10-27,2015-43,2015-10,-1.803466796875,down
2015-10-28,802.5335083007812,811.4627872290971,798.7946566589305,799.674386457013,138030,MCX.NS,2015-10-28,2015-43,2015-10,3.29913330078125,up
2015-10-29,799.1903076171875,811.0226806137796,792.6363118359291,809.2632215420017,174358,MCX.NS,2015-10-29,2015-43,2015-10,-3.34320068359375,down
2015-10-30,784.1911010742188,806.052363338838,769.8074878037039,801.4337822665008,217271,MCX.NS,2015-10-30,2015-43,2015-10,-14.99920654296875,down
2015-11-02,780.2762451171875,789.9972472762989,767.6081163334227,787.3580582542178,91638,MCX.NS,2015-11-02,2015-44,2015-11,-3.91485595703125,down
2015-11-03,789.029541015625,791.7566814405902,778.6486882367437,785.070757608422,133038,MCX.NS,2015-11-03,2015-44,2015-11,8.7532958984375,up
2015-11-04,782.9594116210938,797.694883693738,781.1999522691362,791.2288920530694,69130,MCX.NS,2015-11-04,2015-44,2015-11,-6.07012939453125,down
2015-11-05,766.6843872070312,785.5106231268373,754.8080369749085,779.572448010776,78369,MCX.NS,2015-11-05,2015-44,2015-11,-16.2750244140625,down
2015-11-06,756.1276245117188,764.1771721841205,753.928300414826,754.8080300535831,74068,MCX.NS,2015-11-06,2015-44,2015-11,-10.5567626953125,down
2015-11-09,737.345458984375,753.0486124269511,731.3192784089212,746.0987264185997,176384,MCX.NS,2015-11-09,2015-45,2015-11,-18.78216552734375,down
2015-11-10,732.0230102539062,744.2952494420867,728.4161402161177,737.917209567006,124199,MCX.NS,2015-11-10,2015-45,2015-11,-5.32244873046875,down
2015-11-13,737.2135620117188,742.4919407373396,729.7358588170891,742.4919407373396,63416,MCX.NS,2015-11-13,2015-45,2015-11,5.1905517578125,up
2015-11-16,733.2987060546875,740.7324330156449,731.0993817286316,734.6622763979539,70922,MCX.NS,2015-11-16,2015-46,2015-11,-3.91485595703125,down
2015-11-17,771.302978515625,788.2377744510977,734.6622167410999,734.6622167410999,574313,MCX.NS,2015-11-17,2015-46,2015-11,38.0042724609375,up
2015-11-18,753.6644287109375,779.3965218890424,748.2540696931503,778.0329516219109,171009,MCX.NS,2015-11-18,2015-46,2015-11,-17.6385498046875,down
2015-11-19,754.6761474609375,762.6817204333792,749.5297498814302,758.3270474152498,76530,MCX.NS,2015-11-19,2015-46,2015-11,1.01171875,up
2015-11-20,765.0128784179688,771.2589911190599,749.8375420297425,756.5674952970783,200541,MCX.NS,2015-11-20,2015-46,2015-11,10.33673095703125,up
2015-11-23,754.7200927734375,772.4026373675158,752.5647443790257,765.3648001249873,92932,MCX.NS,2015-11-23,2015-47,2015-11,-10.29278564453125,down
2015-11-24,753.1365966796875,763.5614261456992,749.5297262821625,754.0163264053708,68401,MCX.NS,2015-11-24,2015-47,2015-11,-1.58349609375,down
2015-11-26,764.6170654296875,778.5607592445981,753.2245554453564,754.3681932793704,183630,MCX.NS,2015-11-26,2015-47,2015-11,11.48046875,up
2015-11-27,762.681640625,772.3146911554013,758.3269680625515,765.2768538647975,74795,MCX.NS,2015-11-27,2015-47,2015-11,-1.9354248046875,down
2015-11-30,761.8458862304688,776.8012904636304,758.3269675873719,768.0039938558882,76847,MCX.NS,2015-11-30,2015-48,2015-11,-0.83575439453125,down
2015-12-01,773.7222290039062,795.8914269751966,760.9661490487537,765.3647973091512,241546,MCX.NS,2015-12-01,2015-48,2015-12,11.8763427734375,up
2015-12-02,763.7373657226562,778.2088764304439,761.8459253770274,775.9216006726768,85876,MCX.NS,2015-12-02,2015-48,2015-12,-9.98486328125,down
2015-12-03,765.1009521484375,774.0742060773653,758.6789358983758,765.3648603269033,121420,MCX.NS,2015-12-03,2015-48,2015-12,1.36358642578125,up
2015-12-04,752.7847290039062,764.441147745301,751.2891777472543,761.8459343432345,98233,MCX.NS,2015-12-04,2015-48,2015-12,-12.31622314453125,down
2015-12-07,740.9083862304688,760.7023050722647,739.0609215885696,755.4239267144525,72951,MCX.NS,2015-12-07,2015-49,2015-12,-11.8763427734375,down
2015-12-08,720.5425415039062,741.6120768459492,711.5253128115326,738.6650040681671,98145,MCX.NS,2015-12-08,2015-49,2015-12,-20.3658447265625,down
2015-12-09,701.8043823242188,725.6010604501004,699.3851256004436,720.2787063966833,110803,MCX.NS,2015-12-09,2015-49,2015-12,-18.7381591796875,down
2015-12-10,722.47802734375,729.2959326246195,699.3411466133649,707.6546031463455,149305,MCX.NS,2015-12-10,2015-49,2015-12,20.67364501953125,up
2015-12-11,716.539794921875,729.9996477340064,706.4229040175146,729.9996477340064,97965,MCX.NS,2015-12-11,2015-49,2015-12,-5.938232421875,down
2015-12-14,692.2593383789062,723.1378300835287,688.0365927659313,703.7837762370109,294466,MCX.NS,2015-12-14,2015-50,2015-12,-24.28045654296875,down
2015-12-15,699.033203125,711.1735160270891,659.7972797030984,694.1067382476596,155393,MCX.NS,2015-12-15,2015-50,2015-12,6.77386474609375,up
2015-12-16,708.4462280273438,722.565877206746,701.5843479648189,708.0063632323814,260042,MCX.NS,2015-12-16,2015-50,2015-12,9.41302490234375,up
2015-12-17,704.8394775390625,719.6189264135577,702.0683073837762,709.5020344163011,167150,MCX.NS,2015-12-17,2015-50,2015-12,-3.60675048828125,down
2015-12-18,705.3231811523438,710.6015585604061,701.1444657042944,704.3114706713591,103093,MCX.NS,2015-12-18,2015-50,2015-12,0.48370361328125,up
2015-12-21,710.0739135742188,714.3405815304591,703.8717756681831,707.3027432887797,107586,MCX.NS,2015-12-21,2015-51,2015-12,4.750732421875,up
2015-12-22,752.8726806640625,765.1888966954265,712.6690218799362,714.3405298191119,814575,MCX.NS,2015-12-22,2015-51,2015-12,42.79876708984375,up
2015-12-23,745.5269165039062,758.766837243883,739.0168954949952,751.2891350797404,222437,MCX.NS,2015-12-23,2015-51,2015-12,-7.34576416015625,down
2015-12-24,758.0191650390625,781.1120711128555,745.8348757129859,750.2775002378174,472163,MCX.NS,2015-12-24,2015-51,2015-12,12.49224853515625,up
2015-12-28,774.8218383789062,782.4315208296883,754.1481929609054,761.5379430136236,321775,MCX.NS,2015-12-28,2015-52,2015-12,16.80267333984375,up
2015-12-29,787.4461059570312,804.908774336787,761.1861934565619,778.5168808913126,882385,MCX.NS,2015-12-29,2015-52,2015-12,12.624267578125,up
2015-12-30,793.4722290039062,812.8702585252805,780.7601238540979,791.7567453168317,912249,MCX.NS,2015-12-30,2015-52,2015-12,6.026123046875,up
2015-12-31,814.4536743164062,825.8901594165561,798.7944977643186,798.7944977643186,727233,MCX.NS,2015-12-31,2015-52,2015-12,20.9814453125,up
2016-01-01,815.553466796875,822.8992425413159,810.3190639633443,812.8703017561573,242647,MCX.NS,2016-01-01,2016-00,2016-01,1.09979248046875,up
2016-01-04,804.7766723632812,820.7877627178873,796.199308283432,810.2310069273035,213714,MCX.NS,2016-01-04,2016-01,2016-01,-10.77679443359375,down
2016-01-05,789.997314453125,811.066852676593,784.7189359601198,804.2489471231279,158961,MCX.NS,2016-01-05,2016-01,2016-01,-14.77935791015625,down
2016-01-06,796.8151245117188,804.952623713191,784.8067934015016,791.7566790621551,288723,MCX.NS,2016-01-06,2016-01,2016-01,6.81781005859375,up
2016-01-07,782.4755249023438,791.7566616978032,768.8836914709779,789.1174728254772,266817,MCX.NS,2016-01-07,2016-01,2016-01,-14.339599609375,down
2016-01-08,791.6688232421875,798.7946127370649,747.8582387510542,788.765672112589,176504,MCX.NS,2016-01-08,2016-01,2016-01,9.19329833984375,up
2016-01-11,792.32861328125,803.0172974254488,778.5608213468869,784.586948599309,207686,MCX.NS,2016-01-11,2016-02,2016-01,0.6597900390625,up
2016-01-12,786.7423706054688,799.5864582483114,782.9595431024028,794.3080793060481,120864,MCX.NS,2016-01-12,2016-02,2016-01,-5.58624267578125,down
2016-01-13,765.8486938476562,795.9794366333539,743.7235236975966,789.1175555845504,239812,MCX.NS,2016-01-13,2016-02,2016-01,-20.8936767578125,down
2016-01-14,759.0747680664062,771.4789893455649,740.908381549702,758.3270192815501,159019,MCX.NS,2016-01-14,2016-02,2016-01,-6.77392578125,down
2016-01-15,733.1227416992188,768.0040466232876,730.175668610915,764.4851277384157,117091,MCX.NS,2016-01-15,2016-02,2016-01,-25.9520263671875,down
2016-01-18,716.495849609375,733.6945541383589,686.189151352422,730.1756354134747,205544,MCX.NS,2016-01-18,2016-03,2016-01,-16.62689208984375,down
2016-01-19,725.6448974609375,731.0552556683855,710.8654517675385,719.6187715243553,139300,MCX.NS,2016-01-19,2016-03,2016-01,9.1490478515625,up
2016-01-20,726.5687866210938,731.7151839302028,699.3851171920785,700.6167602598783,217882,MCX.NS,2016-01-20,2016-03,2016-01,0.92388916015625,up
2016-01-21,721.730224609375,745.1310117655601,710.8215554977244,737.2134449345211,105414,MCX.NS,2016-01-21,2016-03,2016-01,-4.83856201171875,down
2016-01-22,730.9673461914062,736.7735400742176,722.2580016727554,731.9350272737303,125004,MCX.NS,2016-01-22,2016-03,2016-01,9.23712158203125,up
2016-01-25,737.873291015625,743.3716016789307,730.175656086997,738.9289774018678,63982,MCX.NS,2016-01-25,2016-04,2016-01,6.90594482421875,up
2016-01-27,742.7117309570312,751.2890947436241,721.3782876929412,745.2189388937999,76008,MCX.NS,2016-01-27,2016-04,2016-01,4.83843994140625,up
2016-01-28,737.829345703125,744.2513620838728,731.055415947634,744.2513620838728,39393,MCX.NS,2016-01-28,2016-04,2016-01,-4.88238525390625,down
2016-01-29,751.8169555664062,755.6877875976502,738.9729238440351,743.1516397824389,79048,MCX.NS,2016-01-29,2016-04,2016-01,13.98760986328125,up
2016-02-01,766.4644775390625,778.5607605418311,745.1310329705434,745.1310329705434,118567,MCX.NS,2016-02-01,2016-05,2016-02,14.64752197265625,up
2016-02-02,742.0519409179688,770.2912404875768,736.773563152103,766.2445056781871,73668,MCX.NS,2016-02-02,2016-05,2016-02,-24.41253662109375,down
2016-02-03,715.5722045898438,734.1344809528148,712.5371261945295,734.1344809528148,100759,MCX.NS,2016-02-03,2016-05,2016-02,-26.479736328125,down
2016-02-04,716.7158203125,723.137836589553,710.2497745934833,719.6189176767085,214543,MCX.NS,2016-02-04,2016-05,2016-02,1.14361572265625,up
2016-02-05,716.7596435546875,721.2902721687672,690.6316654471924,703.7836328244861,249840,MCX.NS,2016-02-05,2016-05,2016-02,0.0438232421875,up
2016-02-08,717.9473876953125,733.430662653609,706.7748634452545,716.0999768005073,55265,MCX.NS,2016-02-08,2016-06,2016-02,1.187744140625,up
2016-02-09,709.1061401367188,718.6072105087497,701.1445967965496,715.2202725164302,128016,MCX.NS,2016-02-09,2016-06,2016-02,-8.84124755859375,down
2016-02-10,705.9390869140625,717.7714617560795,701.1005737120394,709.0621165146625,104332,MCX.NS,2016-02-10,2016-06,2016-02,-3.16705322265625,down
