Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,METROBRAND.NS,METROBRAND.NS,METROBRAND.NS,METROBRAND.NS,METROBRAND.NS,,,,,,
Date,,,,,,,,,,,
2021-12-22,485.9822692871094,500.31496615190485,419.63807470364054,430.4737996373026,19716936,METROBRAND.NS,2021-12-22,2021-51,2021-12,,no change
2021-12-23,473.42266845703125,504.35373111042264,470.86149115387116,492.43442793704963,2173869,METROBRAND.NS,2021-12-23,2021-51,2021-12,-12.559600830078125,down
2021-12-24,463.4242858886719,481.6972471452167,459.08997168084846,476.7719174198055,951656,METROBRAND.NS,2021-12-24,2021-51,2021-12,-9.998382568359375,down
2021-12-27,443.23040771484375,457.9571246828986,437.5662788667092,453.22882045179455,540067,METROBRAND.NS,2021-12-27,2021-52,2021-12,-20.193878173828125,down
2021-12-28,453.3765869140625,457.5631170485215,439.5856641181975,439.5856641181975,419620,METROBRAND.NS,2021-12-28,2021-52,2021-12,10.14617919921875,up
2021-12-29,447.1706848144531,462.685472999139,443.2796624195952,452.14525566798704,572715,METROBRAND.NS,2021-12-29,2021-52,2021-12,-6.205902099609375,down
2021-12-30,445.3974914550781,455.10039551024767,443.279606016475,444.26467180762273,166176,METROBRAND.NS,2021-12-30,2021-52,2021-12,-1.773193359375,down
2021-12-31,451.3572082519531,454.01686814985015,444.26472173390994,444.26472173390994,247933,METROBRAND.NS,2021-12-31,2021-52,2021-12,5.959716796875,up
2022-01-03,446.8258972167969,454.90341954098096,443.3288952428062,447.7124505123771,327782,METROBRAND.NS,2022-01-03,2022-01,2022-01,-4.53131103515625,down
2022-01-04,430.0797424316406,451.8497030360025,428.3066059209904,451.8497030360025,374329,METROBRAND.NS,2022-01-04,2022-01,2022-01,-16.74615478515625,down
2022-01-05,433.2812194824219,441.9990582541592,422.34698255152205,430.72004226391374,360297,METROBRAND.NS,2022-01-05,2022-01,2022-01,3.20147705078125,up
2022-01-06,448.4019470214844,450.1750533688871,425.2036302823406,425.646921900102,408705,METROBRAND.NS,2022-01-06,2022-01,2022-01,15.1207275390625,up
2022-01-07,461.2571105957031,464.06455444084514,449.73182746799426,458.0556464004313,319032,METROBRAND.NS,2022-01-07,2022-01,2022-01,12.85516357421875,up
2022-01-10,471.10772705078125,472.83159223078934,451.80043102232605,461.0108024250196,295438,METROBRAND.NS,2022-01-10,2022-02,2022-01,9.850616455078125,up
2022-01-11,487.1642761230469,490.6612777268668,470.86144926627605,477.5106433720237,606349,METROBRAND.NS,2022-01-11,2022-02,2022-01,16.056549072265625,up
2022-01-12,491.54791259765625,494.50311046898486,477.01818973029066,481.00769483185337,459370,METROBRAND.NS,2022-01-12,2022-02,2022-01,4.383636474609375,up
2022-01-13,493.46875,502.18655873042127,481.5986884603564,484.8494238052029,505248,METROBRAND.NS,2022-01-13,2022-02,2022-01,1.92083740234375,up
2022-01-14,500.3642578125,504.3537628572455,485.58826866629164,493.41952487668595,508691,METROBRAND.NS,2022-01-14,2022-02,2022-01,6.8955078125,up
2022-01-17,595.9649047851562,600.3977015976078,536.8609472858019,536.8609472858019,5552207,METROBRAND.NS,2022-01-17,2022-03,2022-01,95.60064697265625,up
2022-01-18,596.161865234375,662.9493179281086,586.3604479891629,611.7258936602607,5058331,METROBRAND.NS,2022-01-18,2022-03,2022-01,0.19696044921875,up
2022-01-19,599.0184936523438,612.4154247121329,577.2485633501989,587.0992214278474,887038,METROBRAND.NS,2022-01-19,2022-03,2022-01,2.85662841796875,up
2022-01-20,599.4619140625,617.6363941445966,591.0396116216235,602.7619213015824,865251,METROBRAND.NS,2022-01-20,2022-03,2022-01,0.44342041015625,up
2022-01-21,592.7633666992188,610.4453104767541,582.1739089642514,597.8364798031039,384543,METROBRAND.NS,2022-01-21,2022-03,2022-01,-6.69854736328125,down
2022-01-24,588.5276489257812,600.791731716966,548.189187271629,591.0395550098425,441786,METROBRAND.NS,2022-01-24,2022-04,2022-01,-4.2357177734375,down
2022-01-25,603.7468872070312,615.6661600154714,575.2784599184565,588.0843160467783,319471,METROBRAND.NS,2022-01-25,2022-04,2022-01,15.21923828125,up
2022-01-27,616.4542236328125,620.5915124069221,586.4097139051757,591.03953562564,397438,METROBRAND.NS,2022-01-27,2022-04,2022-01,12.70733642578125,up
2022-01-28,605.9632568359375,621.1824754956183,593.5021502948123,620.394434872653,328952,METROBRAND.NS,2022-01-28,2022-04,2022-01,-10.490966796875,down
