Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,MRPL.NS,MRPL.NS,MRPL.NS,MRPL.NS,MRPL.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,58.83138656616211,59.8090771341438,57.00353790117493,57.13105739966909,1701028,MRPL.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,57.556148529052734,59.5115299652654,57.301103006661094,58.83139559973699,1002491,MRPL.NS,2015-08-19,2015-33,2015-08,-1.275238037109375,down
2015-08-20,56.110870361328125,58.448823293050125,55.600772837109886,57.30110224199862,1295829,MRPL.NS,2015-08-20,2015-33,2015-08,-1.4452781677246094,down
2015-08-21,55.728294372558594,56.28089619585746,53.815420702273286,55.00564924441439,1078323,MRPL.NS,2015-08-21,2015-33,2015-08,-0.38257598876953125,down
2015-08-24,46.674041748046875,53.39034070493044,45.05872757545214,52.79522478644181,1941930,MRPL.NS,2015-08-24,2015-34,2015-08,-9.054252624511719,down
2015-08-25,43.740970611572266,48.37436846715592,40.34031211105152,47.77925258094066,2960397,MRPL.NS,2015-08-25,2015-34,2015-08,-2.9330711364746094,down
2015-08-26,43.868492126464844,47.09912020565336,42.423214898862234,43.74096938215198,1850585,MRPL.NS,2015-08-26,2015-34,2015-08,0.12752151489257812,up
2015-08-27,45.35627746582031,45.82387056302867,44.84618003283715,45.14373632822393,1227812,MRPL.NS,2015-08-27,2015-34,2015-08,1.4877853393554688,up
2015-08-28,47.39667892456055,48.459384730043965,46.33397311907712,46.67404027408011,1865950,MRPL.NS,2015-08-28,2015-34,2015-08,2.0404014587402344,up
2015-08-31,47.09912109375,48.076808457732795,46.844069114073875,47.60921856686097,575395,MRPL.NS,2015-08-31,2015-35,2015-08,-0.2975578308105469,down
2015-09-01,43.868492126464844,46.67403790503598,43.61344339471854,46.67403790503598,1284359,MRPL.NS,2015-09-01,2015-35,2015-09,-3.2306289672851562,down
2015-09-02,45.101234436035156,45.73885792922073,43.99602102980433,44.33608819008495,868022,MRPL.NS,2015-09-02,2015-35,2015-09,1.2327423095703125,up
2015-09-03,45.696346282958984,46.75905201046966,45.483805137456855,45.73885386343531,519838,MRPL.NS,2015-09-03,2015-35,2015-09,0.5951118469238281,up
2015-09-04,44.336090087890625,45.781367473146354,43.57094056606741,45.781367473146354,514070,MRPL.NS,2015-09-04,2015-35,2015-09,-1.3602561950683594,down
2015-09-07,43.230873107910156,45.48381082941948,42.84830159262672,44.88869489891505,505014,MRPL.NS,2015-09-07,2015-36,2015-09,-1.1052169799804688,down
2015-09-08,42.380706787109375,43.78347976618698,41.445526963138164,43.613446186432,1043642,MRPL.NS,2015-09-08,2015-36,2015-09,-0.8501663208007812,down
2015-09-09,44.42110061645508,45.228757639923835,43.35839486008056,43.86849232589209,1427058,MRPL.NS,2015-09-09,2015-36,2015-09,2.040393829345703,up
2015-09-10,45.01622009277344,46.16394110429944,43.40090591650935,44.08103700641813,1868689,MRPL.NS,2015-09-10,2015-36,2015-09,0.5951194763183594,up
2015-09-11,43.78347396850586,45.69634419043087,43.57093283273641,45.526310633191244,912727,MRPL.NS,2015-09-11,2015-36,2015-09,-1.2327461242675781,down
2015-09-14,43.868492126464844,44.88869029657066,43.61344339471854,44.208559264206976,989028,MRPL.NS,2015-09-14,2015-37,2015-09,0.08501815795898438,up
2015-09-15,43.91100311279297,44.71865689244495,43.783477124889714,43.91100311279297,481412,MRPL.NS,2015-09-15,2015-37,2015-09,0.042510986328125,up
2015-09-16,43.78347396850586,44.50611253287383,43.61344041126623,44.251063818574565,353597,MRPL.NS,2015-09-16,2015-37,2015-09,-0.12752914428710938,down
2015-09-18,43.10335159301758,44.71866260166859,42.50823564535836,44.20856507117269,1197236,MRPL.NS,2015-09-18,2015-37,2015-09,-0.6801223754882812,down
2015-09-21,43.91100311279297,44.16605184547889,42.29568906724783,42.63575620624278,798087,MRPL.NS,2015-09-21,2015-38,2015-09,0.8076515197753906,up
2015-09-22,44.251068115234375,46.163938522893964,43.78347821976394,43.78347821976394,1528560,MRPL.NS,2015-09-22,2015-38,2015-09,0.34006500244140625,up
2015-09-23,44.54862976074219,44.93120126564576,43.783480264693395,44.08103660031191,584952,MRPL.NS,2015-09-23,2015-38,2015-09,0.2975616455078125,up
2015-09-24,44.12354278564453,45.01621494169897,43.91100164167345,44.76116621755777,505337,MRPL.NS,2015-09-24,2015-38,2015-09,-0.42508697509765625,down
2015-09-28,44.03852462768555,44.633640482746266,43.783475902122525,44.46360691799742,368506,MRPL.NS,2015-09-28,2015-39,2015-09,-0.08501815795898438,down
2015-09-29,44.76116943359375,45.48380807776795,43.358396485348884,43.443411651797355,644440,MRPL.NS,2015-09-29,2015-39,2015-09,0.7226448059082031,up
2015-09-30,45.696346282958984,46.84406717142231,45.313771572431044,46.03641341301061,2153495,MRPL.NS,2015-09-30,2015-39,2015-09,0.9351768493652344,up
2015-10-01,45.143741607666016,46.71654815568709,44.71865928276099,45.99390625747608,796867,MRPL.NS,2015-10-01,2015-39,2015-10,-0.5526046752929688,down
2015-10-05,45.73885726928711,46.24895800234816,45.31377494662994,45.398793357033824,420392,MRPL.NS,2015-10-05,2015-40,2015-10,0.5951156616210938,up
2015-10-06,46.206443786621094,46.58901849757714,45.738853914617266,45.86637989930945,639234,MRPL.NS,2015-10-06,2015-40,2015-10,0.4675865173339844,up
2015-10-07,46.75905227661133,47.949283995446,46.24895482175105,46.67403711517479,1105934,MRPL.NS,2015-10-07,2015-40,2015-10,0.5526084899902344,up
2015-10-08,46.546512603759766,47.26915122821372,46.41898661444642,46.97159491064342,476249,MRPL.NS,2015-10-08,2015-40,2015-10,-0.2125396728515625,down
2015-10-09,46.50400924682617,47.39668152376162,46.20644965910041,46.97159917825704,549493,MRPL.NS,2015-10-09,2015-40,2015-10,-0.04250335693359375,down
2015-10-12,46.03641891479492,47.354173525768104,45.781366915214846,46.546516427713286,481000,MRPL.NS,2015-10-12,2015-41,2015-10,-0.46759033203125,down
