Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,255.38925170898438,264.0504820602515,243.55378376157813,247.7111766161952,53200,NAVINFLUOR.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,263.92877197265625,266.6722685569107,255.2488242699529,255.62335827401313,70030,NAVINFLUOR.NS,2015-08-19,2015-33,2015-08,8.539520263671875,up
2015-08-20,252.87042236328125,269.48124537979857,249.06884750318838,264.7995001259792,52450,NAVINFLUOR.NS,2015-08-20,2015-33,2015-08,-11.058349609375,down
2015-08-21,257.91741943359375,260.30509865669484,244.43396700279752,251.87795517500328,16350,NAVINFLUOR.NS,2015-08-21,2015-33,2015-08,5.0469970703125,up
2015-08-24,216.40899658203125,250.94155550919407,207.06423668709184,250.94155550919407,86420,NAVINFLUOR.NS,2015-08-24,2015-34,2015-08,-41.5084228515625,down
2015-08-25,217.66372680664062,223.97471084984514,187.26046916665535,215.36030164168838,78300,NAVINFLUOR.NS,2015-08-25,2015-34,2015-08,1.254730224609375,up
2015-08-26,224.3118133544922,232.58913690102594,210.86583819375306,218.17872320175124,33530,NAVINFLUOR.NS,2015-08-26,2015-34,2015-08,6.6480865478515625,up
2015-08-27,232.3269500732422,236.5218046163299,227.5328469240613,235.95063105460682,12980,NAVINFLUOR.NS,2015-08-27,2015-34,2015-08,8.01513671875,up
2015-08-28,225.72569274902344,240.641727606033,224.72379231691798,236.96188236486935,21430,NAVINFLUOR.NS,2015-08-28,2015-34,2015-08,-6.60125732421875,down
2015-08-31,224.89231872558594,233.15092459954732,222.85108455699702,222.85108455699702,10915,NAVINFLUOR.NS,2015-08-31,2015-35,2015-08,-0.8333740234375,down
2015-09-01,228.10401916503906,229.91116618364174,220.491495931368,223.24436474446915,26930,NAVINFLUOR.NS,2015-09-01,2015-35,2015-09,3.211700439453125,up
2015-09-02,225.29493713378906,230.15459080900928,224.91103060851896,226.78372863904377,14170,NAVINFLUOR.NS,2015-09-02,2015-35,2015-09,-2.80908203125,down
2015-09-03,230.90365600585938,233.8999697782384,225.71627483933506,227.53279408221357,14970,NAVINFLUOR.NS,2015-09-03,2015-35,2015-09,5.6087188720703125,up
2015-09-04,228.9186248779297,230.34187951610517,223.07581561472614,229.4242613949706,46800,NAVINFLUOR.NS,2015-09-04,2015-35,2015-09,-1.9850311279296875,down
2015-09-07,221.35293579101562,228.65646209923332,220.79113486734002,228.45983677659086,48845,NAVINFLUOR.NS,2015-09-07,2015-36,2015-09,-7.5656890869140625,down
2015-09-08,217.56072998046875,221.94283712959702,208.61859277075212,221.3529325950782,123965,NAVINFLUOR.NS,2015-09-08,2015-36,2015-09,-3.792205810546875,down
2015-09-09,218.20680236816406,225.61332766663548,216.85847157678683,219.1337931818181,17210,NAVINFLUOR.NS,2015-09-09,2015-36,2015-09,0.6460723876953125,up
2015-09-10,219.39596557617188,220.97839791504674,207.34515666866946,216.30601054442522,30935,NAVINFLUOR.NS,2015-09-10,2015-36,2015-09,1.1891632080078125,up
2015-09-11,215.4633026123047,223.74999827153172,211.62426539770766,218.17870942137296,28820,NAVINFLUOR.NS,2015-09-11,2015-36,2015-09,-3.9326629638671875,down
2015-09-14,215.8378448486328,217.42027725258325,212.36399738364943,215.36031190922336,40055,NAVINFLUOR.NS,2015-09-14,2015-37,2015-09,0.374542236328125,up
2015-09-15,223.038330078125,224.70503016360712,214.42392209177373,215.73480498342755,27055,NAVINFLUOR.NS,2015-09-15,2015-37,2015-09,7.2004852294921875,up
2015-09-16,224.77999877929688,226.5777876256724,219.33981192013613,224.53655311769745,22690,NAVINFLUOR.NS,2015-09-16,2015-37,2015-09,1.741668701171875,up
2015-09-18,230.2201385498047,231.2782175584249,224.53650719156033,224.53650719156033,19840,NAVINFLUOR.NS,2015-09-18,2015-37,2015-09,5.4401397705078125,up
2015-09-21,225.8286895751953,227.53285194988325,224.0309008545423,224.7518937274914,8115,NAVINFLUOR.NS,2015-09-21,2015-38,2015-09,-4.391448974609375,down
2015-09-22,226.7182159423828,230.34188244789968,226.25004138456188,230.34188244789968,24875,NAVINFLUOR.NS,2015-09-22,2015-38,2015-09,0.8895263671875,up
2015-09-23,222.46719360351562,226.59649683013566,220.05141105503492,226.59649683013566,11715,NAVINFLUOR.NS,2015-09-23,2015-38,2015-09,-4.2510223388671875,down
2015-09-24,223.1600799560547,225.56648968374927,222.47654912202785,222.86044138973688,40735,NAVINFLUOR.NS,2015-09-24,2015-38,2015-09,0.6928863525390625,up
2015-09-28,224.87359619140625,234.08726761574943,223.2256126833575,234.08726761574943,10310,NAVINFLUOR.NS,2015-09-28,2015-39,2015-09,1.7135162353515625,up
2015-09-29,221.75558471679688,223.7874607843068,220.03270560253344,223.047751196272,40000,NAVINFLUOR.NS,2015-09-29,2015-39,2015-09,-3.118011474609375,down
2015-09-30,227.48599243164062,229.40551078757775,222.85106762221838,222.85106762221838,18375,NAVINFLUOR.NS,2015-09-30,2015-39,2015-09,5.73040771484375,up
2015-10-01,234.56480407714844,238.67537598769783,227.48600728244858,227.48600728244858,18760,NAVINFLUOR.NS,2015-10-01,2015-39,2015-10,7.0788116455078125,up
2015-10-05,247.7766876220703,261.77511772153156,237.8326650188881,238.58174713630072,53885,NAVINFLUOR.NS,2015-10-05,2015-40,2015-10,13.211883544921875,up
2015-10-06,245.15493774414062,257.68329376087644,243.82530939743842,249.0688702761688,21205,NAVINFLUOR.NS,2015-10-06,2015-40,2015-10,-2.6217498779296875,down
2015-10-07,240.1454620361328,247.00888857232485,239.69601845514245,246.9995445121167,40740,NAVINFLUOR.NS,2015-10-07,2015-40,2015-10,-5.0094757080078125,down
2015-10-08,238.91883850097656,243.41330272677897,233.71273981896456,240.8289986557406,22450,NAVINFLUOR.NS,2015-10-08,2015-40,2015-10,-1.22662353515625,down
2015-10-09,245.4826202392578,247.00884504608854,240.92257678568353,243.4507304162005,21850,NAVINFLUOR.NS,2015-10-09,2015-40,2015-10,6.56378173828125,up
2015-10-12,244.94894409179688,246.07254593011154,241.2035474805312,243.45077973226893,14115,NAVINFLUOR.NS,2015-10-12,2015-41,2015-10,-0.5336761474609375,down
2015-10-13,245.66055297851562,246.25045752391912,242.79532682236325,243.65678062638764,14910,NAVINFLUOR.NS,2015-10-13,2015-41,2015-10,0.71160888671875,up
2015-10-14,249.08761596679688,249.99587587781207,238.78778855526141,238.7971469041951,29200,NAVINFLUOR.NS,2015-10-14,2015-41,2015-10,3.42706298828125,up
2015-10-15,245.88526916503906,249.81791807667818,242.5237794646322,242.5237794646322,8515,NAVINFLUOR.NS,2015-10-15,2015-41,2015-10,-3.2023468017578125,down
2015-10-16,247.24298095703125,249.05950058911424,245.36093860170826,245.37028266210925,17595,NAVINFLUOR.NS,2015-10-16,2015-41,2015-10,1.3577117919921875,up
2015-10-19,247.53323364257812,248.13251078089266,246.82162775971307,246.82162775971307,6870,NAVINFLUOR.NS,2015-10-19,2015-42,2015-10,0.290252685546875,up
2015-10-20,249.3123016357422,250.75425856650133,247.20551632023725,247.3178736317141,21935,NAVINFLUOR.NS,2015-10-20,2015-42,2015-10,1.7790679931640625,up
2015-10-21,256.1195068359375,259.93045361819026,249.90216516012978,249.90216516012978,68910,NAVINFLUOR.NS,2015-10-21,2015-42,2015-10,6.8072052001953125,up
2015-10-23,256.4754638671875,263.67599293487524,252.8143343372162,263.4887116275422,73615,NAVINFLUOR.NS,2015-10-23,2015-42,2015-10,0.35595703125,up
2015-10-26,256.2038269042969,259.35931868516053,250.94154972462576,258.42296961902383,26605,NAVINFLUOR.NS,2015-10-26,2015-43,2015-10,-0.271636962890625,down
2015-10-27,259.28448486328125,261.8032667349252,253.7506571401775,261.8032667349252,21940,NAVINFLUOR.NS,2015-10-27,2015-43,2015-10,3.080657958984375,up
2015-10-28,309.9222106933594,311.1394817910782,271.5412663610514,271.5412663610514,1876165,NAVINFLUOR.NS,2015-10-28,2015-43,2015-10,50.637725830078125,up
2015-10-29,295.642822265625,309.18244929495916,292.1408861715758,309.18244929495916,407450,NAVINFLUOR.NS,2015-10-29,2015-43,2015-10,-14.279388427734375,down
2015-10-30,302.5998840332031,313.4802535873963,291.3917866517546,297.57166647953835,250580,NAVINFLUOR.NS,2015-10-30,2015-43,2015-10,6.957061767578125,up
2015-11-02,331.9637756347656,336.7204154917866,301.2421703950957,302.6279770593951,1057035,NAVINFLUOR.NS,2015-11-02,2015-44,2015-11,29.3638916015625,up
2015-11-03,333.4714660644531,345.7001861001997,328.72416807539196,330.61558344608034,440555,NAVINFLUOR.NS,2015-11-03,2015-44,2015-11,1.5076904296875,up
2015-11-04,322.14154052734375,340.7187025596788,313.1806731116017,336.1493145475723,209455,NAVINFLUOR.NS,2015-11-04,2015-44,2015-11,-11.329925537109375,down
2015-11-05,314.87548828125,328.284014850693,311.2892836409786,324.1172497393784,83810,NAVINFLUOR.NS,2015-11-05,2015-44,2015-11,-7.26605224609375,down
2015-11-06,318.5773010253906,332.301536638005,308.01803633036513,314.5551798292333,191345,NAVINFLUOR.NS,2015-11-06,2015-44,2015-11,3.701812744140625,up
2015-11-09,328.8634338378906,331.18062578878124,301.8011649551701,317.4375609468709,144620,NAVINFLUOR.NS,2015-11-09,2015-45,2015-11,10.2861328125,up
2015-11-10,330.841552734375,334.39269865032946,324.03123474848826,330.2481188388072,67290,NAVINFLUOR.NS,2015-11-10,2015-45,2015-11,1.978118896484375,up
2015-11-13,323.49432373046875,328.36422453456447,294.4539781884009,328.36422453456447,36490,NAVINFLUOR.NS,2015-11-13,2015-45,2015-11,-7.34722900390625,down
2015-11-16,342.37103271484375,348.52197342022816,315.5536786372336,323.4943210244805,137980,NAVINFLUOR.NS,2015-11-16,2015-46,2015-11,18.876708984375,up
2015-11-17,372.1743469238281,376.40372761018483,342.8702571506339,349.27551419238216,1003660,NAVINFLUOR.NS,2015-11-17,2015-46,2015-11,29.803314208984375,up
2015-11-18,366.9088439941406,378.6644060530292,359.8253808762616,372.6359237456778,296305,NAVINFLUOR.NS,2015-11-18,2015-46,2015-11,-5.2655029296875,down
2015-11-19,349.7936096191406,369.6311010517847,346.63806711763266,367.36099504314336,208200,NAVINFLUOR.NS,2015-11-19,2015-46,2015-11,-17.115234375,down
2015-11-20,343.8876037597656,357.753129489225,339.86548163858635,350.21751830465087,128175,NAVINFLUOR.NS,2015-11-20,2015-46,2015-11,-5.906005859375,down
2015-11-23,364.72357177734375,370.94042764887536,345.6961431362643,345.6961431362643,272490,NAVINFLUOR.NS,2015-11-23,2015-47,2015-11,20.835968017578125,up
2015-11-24,361.4832763671875,375.83860642122403,358.3654195509481,366.4190924758299,289560,NAVINFLUOR.NS,2015-11-24,2015-47,2015-11,-3.24029541015625,down
2015-11-26,355.19097900390625,367.36100229221756,352.8926443077463,361.4832354542851,111980,NAVINFLUOR.NS,2015-11-26,2015-47,2015-11,-6.29229736328125,down
2015-11-27,354.9931640625,360.7673298418466,351.00872866042664,356.9995248304435,82055,NAVINFLUOR.NS,2015-11-27,2015-47,2015-11,-0.19781494140625,down
2015-11-30,346.8263854980469,358.86451867659963,342.8701796193972,357.94139630596413,51830,NAVINFLUOR.NS,2015-11-30,2015-48,2015-11,-8.166778564453125,down
2015-12-01,356.6038818359375,365.4865037278187,348.52195297997014,348.52195297997014,104210,NAVINFLUOR.NS,2015-12-01,2015-48,2015-12,9.777496337890625,up
2015-12-02,352.2239074707031,360.09863673452804,350.0291731864457,354.17375391926413,26285,NAVINFLUOR.NS,2015-12-02,2015-48,2015-12,-4.379974365234375,down
2015-12-03,351.74346923828125,361.8882744525316,346.63808051289016,352.8549648799989,61580,NAVINFLUOR.NS,2015-12-03,2015-48,2015-12,-0.480438232421875,down
2015-12-04,350.08563232421875,355.30405070505105,346.82648879397044,351.72461842828426,31500,NAVINFLUOR.NS,2015-12-04,2015-48,2015-12,-1.6578369140625,down
2015-12-07,346.2613525390625,353.2317873944306,343.4354982399071,350.94285231117306,14190,NAVINFLUOR.NS,2015-12-07,2015-49,2015-12,-3.82427978515625,down
2015-12-08,328.9388122558594,347.52352213943294,320.8286251925329,347.52352213943294,54105,NAVINFLUOR.NS,2015-12-08,2015-49,2015-12,-17.322540283203125,down
2015-12-09,312.7183837890625,333.0739650868083,311.032311762211,329.13661579233826,56005,NAVINFLUOR.NS,2015-12-09,2015-49,2015-12,-16.220428466796875,down
2015-12-10,326.1788635253906,340.7791072659073,304.382127495569,314.61170382790795,171520,NAVINFLUOR.NS,2015-12-10,2015-49,2015-12,13.460479736328125,up
2015-12-11,322.54290771484375,335.146189262882,320.4517751268614,327.7989821948717,41180,NAVINFLUOR.NS,2015-12-11,2015-49,2015-12,-3.635955810546875,down
2015-12-14,332.5559387207031,337.21860976759615,309.6853592974813,328.99536348808385,85970,NAVINFLUOR.NS,2015-12-14,2015-50,2015-12,10.013031005859375,up
2015-12-15,338.1793212890625,343.69917046184395,325.93395526129405,334.49628851887445,67760,NAVINFLUOR.NS,2015-12-15,2015-50,2015-12,5.623382568359375,up
2015-12-16,356.7828674316406,367.32330430207037,336.4650006556922,340.9863551929717,216955,NAVINFLUOR.NS,2015-12-16,2015-50,2015-12,18.603546142578125,up
2015-12-17,362.6795959472656,368.3030477234749,358.0546104917968,361.33261216027717,131265,NAVINFLUOR.NS,2015-12-17,2015-50,2015-12,5.896728515625,up
2015-12-18,364.0641174316406,372.07070216170257,354.7482068123149,361.7092395698577,142630,NAVINFLUOR.NS,2015-12-18,2015-50,2015-12,1.384521484375,up
