Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,264.56585693359375,266.3812325537058,263.5058378787681,266.12371927585684,1267800,NESTLEIND.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,261.7334289550781,266.08084878969504,260.98454221005375,266.08084878969504,1183320,NESTLEIND.NS,2015-08-19,2015-33,2015-08,-2.832427978515625,down
2015-08-20,263.9736328125,265.2224844420343,261.1776322117964,262.859942254518,1310820,NESTLEIND.NS,2015-08-20,2015-33,2015-08,2.240203857421875,up
2015-08-21,261.3922424316406,265.86625775309057,260.0725620635559,260.71630602905975,738980,NESTLEIND.NS,2015-08-21,2015-33,2015-08,-2.581390380859375,down
2015-08-24,259.0426330566406,266.45643025898886,257.28307620739093,260.84512189856486,1571680,NESTLEIND.NS,2015-08-24,2015-34,2015-08,-2.349609375,down
2015-08-25,264.5101623535156,266.97355217511836,258.74221434931815,261.57252991441345,1011360,NESTLEIND.NS,2015-08-25,2015-34,2015-08,5.467529296875,up
2015-08-26,260.2528381347656,266.0744312289431,259.6434344328995,264.7912389423746,1139660,NESTLEIND.NS,2015-08-26,2015-34,2015-08,-4.25732421875,down
2015-08-27,259.9438171386719,265.0079310684659,258.7850727680727,264.57876842705946,719600,NESTLEIND.NS,2015-08-27,2015-34,2015-08,-0.30902099609375,down
2015-08-28,261.9888000488281,263.50587855717623,259.21425187057724,261.78922788253664,863400,NESTLEIND.NS,2015-08-28,2015-34,2015-08,2.04498291015625,up
2015-08-31,256.0126953125,262.0016678372201,255.35179421613756,261.7870864975427,1388160,NESTLEIND.NS,2015-08-31,2015-35,2015-08,-5.976104736328125,down
2015-09-01,257.6521911621094,258.71865451152945,253.63523334693602,254.70814042539175,697040,NESTLEIND.NS,2015-09-01,2015-35,2015-09,1.639495849609375,up
2015-09-02,254.49343872070312,260.3815374110667,253.35829518614793,259.25713341982805,811500,NESTLEIND.NS,2015-09-02,2015-35,2015-09,-3.15875244140625,down
2015-09-03,259.0190124511719,260.70347092701843,251.06019696048364,258.76367320003976,1035980,NESTLEIND.NS,2015-09-03,2015-35,2015-09,4.52557373046875,up
2015-09-04,257.30877685546875,260.2850190106553,255.79811583108182,259.6434228958798,390760,NESTLEIND.NS,2015-09-04,2015-35,2015-09,-1.710235595703125,down
2015-09-07,257.5555419921875,258.7850888451614,255.78095016868357,257.626344402575,620080,NESTLEIND.NS,2015-09-07,2015-36,2015-09,0.24676513671875,up
2015-09-08,253.30039978027344,257.6735688024861,252.34767114601158,256.68220399931585,745780,NESTLEIND.NS,2015-09-08,2015-36,2015-09,-4.2551422119140625,down
2015-09-09,256.9225769042969,257.28308516283676,254.53858081808843,254.92054197670416,524680,NESTLEIND.NS,2015-09-09,2015-36,2015-09,3.6221771240234375,up
2015-09-10,257.71649169921875,258.1392106631855,256.20797855416686,257.4976145358214,458920,NESTLEIND.NS,2015-09-10,2015-36,2015-09,0.793914794921875,up
2015-09-11,257.5512390136719,260.0725696184714,255.83244048032606,257.54049946966455,283840,NESTLEIND.NS,2015-09-11,2015-36,2015-09,-0.165252685546875,down
2015-09-14,259.92236328125,260.45881658101814,257.49758388869463,258.3559091683236,369140,NESTLEIND.NS,2015-09-14,2015-37,2015-09,2.371124267578125,up
2015-09-15,258.4418029785156,261.3601043232897,257.497639727379,259.2121427497093,427300,NESTLEIND.NS,2015-09-15,2015-37,2015-09,-1.480560302734375,down
2015-09-16,261.6325378417969,263.41999058629756,257.6627839131847,261.23127187082713,1040500,NESTLEIND.NS,2015-09-16,2015-37,2015-09,3.19073486328125,up
2015-09-18,267.6558532714844,268.65580954548886,261.63256721382743,261.63256721382743,1297880,NESTLEIND.NS,2015-09-18,2015-37,2015-09,6.0233154296875,up
2015-09-21,265.0851135253906,268.44116771832284,264.79328614261425,268.44116771832284,198280,NESTLEIND.NS,2015-09-21,2015-38,2015-09,-2.57073974609375,down
2015-09-22,263.86846923828125,270.372441088705,262.8620955029076,266.93914024948333,506640,NESTLEIND.NS,2015-09-22,2015-38,2015-09,-1.216644287109375,down
2015-09-23,266.9305725097656,272.53328767502035,260.07256185160327,265.175311967234,628980,NESTLEIND.NS,2015-09-23,2015-38,2015-09,3.062103271484375,up
2015-09-24,266.59796142578125,269.8574388138218,264.0358470717647,269.8574388138218,536920,NESTLEIND.NS,2015-09-24,2015-38,2015-09,-0.332611083984375,down
2015-09-28,266.90911865234375,269.42830126400924,264.0637682418921,268.0120697849721,556260,NESTLEIND.NS,2015-09-28,2015-39,2015-09,0.3111572265625,up
2015-09-29,265.2053527832031,268.22664832003693,262.26127718379587,265.5658347299004,483740,NESTLEIND.NS,2015-09-29,2015-39,2015-09,-1.703765869140625,down
2015-09-30,273.2758483886719,274.5783459220304,266.6560176370786,268.22674191234955,1097420,NESTLEIND.NS,2015-09-30,2015-39,2015-09,8.07049560546875,up
2015-10-01,275.62969970703125,276.12324721019013,271.3659700166221,273.1191087937647,606180,NESTLEIND.NS,2015-10-01,2015-39,2015-10,2.353851318359375,up
2015-10-05,278.037353515625,278.18328036580306,275.77995341719617,276.8099544228868,588660,NESTLEIND.NS,2015-10-05,2015-40,2015-10,2.40765380859375,up
2015-10-06,278.7519226074219,279.77118405433816,275.7370440605167,278.09743899021765,464720,NESTLEIND.NS,2015-10-06,2015-40,2015-10,0.714569091796875,up
2015-10-07,271.9840087890625,278.52659204914903,271.00335735179874,278.52659204914903,738680,NESTLEIND.NS,2015-10-07,2015-40,2015-10,-6.767913818359375,down
2015-10-08,273.2671203613281,275.47946599755267,272.1040803590311,274.320721812025,179440,NESTLEIND.NS,2015-10-08,2015-40,2015-10,1.283111572265625,up
2015-10-09,275.3743896484375,276.7670204375811,272.6277380423731,273.2478812529395,297500,NESTLEIND.NS,2015-10-09,2015-40,2015-10,2.107269287109375,up
2015-10-12,268.4883728027344,275.9536636359562,267.368264849716,275.39360965944707,481200,NESTLEIND.NS,2015-10-12,2015-41,2015-10,-6.886016845703125,down
2015-10-13,264.01873779296875,271.1278186275806,262.01025959592624,268.9562565167858,925300,NESTLEIND.NS,2015-10-13,2015-41,2015-10,-4.469635009765625,down
2015-10-14,266.5378112792969,268.1407269432811,262.26119540663444,266.0378463925683,312380,NESTLEIND.NS,2015-10-14,2015-41,2015-10,2.519073486328125,up
2015-10-15,266.35980224609375,268.610758191056,263.95647575243316,265.86625473387534,482180,NESTLEIND.NS,2015-10-15,2015-41,2015-10,-0.178009033203125,down
2015-10-16,281.316162109375,286.2493854653372,264.7933974393354,268.22669918895406,6347460,NESTLEIND.NS,2015-10-16,2015-41,2015-10,14.95635986328125,up
2015-10-19,278.65533447265625,283.8653759110706,276.906491240131,283.1615428000401,1438240,NESTLEIND.NS,2015-10-19,2015-42,2015-10,-2.66082763671875,down
2015-10-20,280.5221252441406,285.32872508811886,279.4062868422135,283.17864260859153,1463060,NESTLEIND.NS,2015-10-20,2015-42,2015-10,1.866790771484375,up
2015-10-21,277.3807373046875,284.4919664402778,276.3850766899421,280.88698925564836,1199100,NESTLEIND.NS,2015-10-21,2015-42,2015-10,-3.141387939453125,down
2015-10-23,271.6019592285156,281.1014766811395,270.8530726571526,281.1014766811395,781340,NESTLEIND.NS,2015-10-23,2015-42,2015-10,-5.778778076171875,down
2015-10-26,271.072021484375,275.522436311835,269.5141588844741,272.86162249805875,668320,NESTLEIND.NS,2015-10-26,2015-43,2015-10,-0.529937744140625,down
2015-10-27,272.7113342285156,275.0931810251121,272.30362458725995,274.6211127209225,666520,NESTLEIND.NS,2015-10-27,2015-43,2015-10,1.639312744140625,up
2015-10-28,271.9775695800781,273.8079548108988,270.3725052479025,273.3766441951014,596880,NESTLEIND.NS,2015-10-28,2015-43,2015-10,-0.7337646484375,down
2015-10-29,269.96478271484375,273.3766313114578,268.31036894040363,271.9818525802769,955500,NESTLEIND.NS,2015-10-29,2015-43,2015-10,-2.012786865234375,down
2015-10-30,264.9607849121094,268.74170752636314,263.9350796979393,267.3683815476686,1020400,NESTLEIND.NS,2015-10-30,2015-43,2015-10,-5.003997802734375,down
2015-11-02,269.3446044921875,271.1878768509612,263.93501791361786,264.36418054437166,593800,NESTLEIND.NS,2015-11-02,2015-44,2015-11,4.383819580078125,up
2015-11-03,266.8426513671875,271.2308295480135,266.30190216786934,270.3295983451584,570000,NESTLEIND.NS,2015-11-03,2015-44,2015-11,-2.501953125,down
2015-11-04,268.2760314941406,277.8399367353128,266.9284543573318,268.22668197569897,3147420,NESTLEIND.NS,2015-11-04,2015-44,2015-11,1.433380126953125,up
2015-11-05,264.6065979003906,270.3294897011572,263.9349574892636,268.6557453467951,766180,NESTLEIND.NS,2015-11-05,2015-44,2015-11,-3.66943359375,down
2015-11-06,264.748291015625,267.58075391741585,263.9779252292704,266.0379268240365,321000,NESTLEIND.NS,2015-11-06,2015-44,2015-11,0.141693115234375,up
2015-11-09,262.27850341796875,266.0787308118093,261.7463458515691,262.8621584137611,1033660,NESTLEIND.NS,2015-11-09,2015-45,2015-11,-2.46978759765625,down
2015-11-10,260.6004638671875,265.65171734317994,259.6434394065006,265.65171734317994,656560,NESTLEIND.NS,2015-11-10,2015-45,2015-11,-1.67803955078125,down
2015-11-13,258.96533203125,265.480018244585,258.0984412463153,264.14103280435864,2315820,NESTLEIND.NS,2015-11-13,2015-45,2015-11,-1.6351318359375,down
2015-11-16,256.91607666015625,260.50172213046227,255.8882237566526,259.64339685161394,2203940,NESTLEIND.NS,2015-11-16,2015-46,2015-11,-2.04925537109375,down
2015-11-17,261.1283874511719,263.4136582373443,255.39475295875897,257.7122423853765,1351420,NESTLEIND.NS,2015-11-17,2015-46,2015-11,4.212310791015625,up
2015-11-18,261.0296325683594,263.2870326645679,260.4159330225939,262.00384032396613,556000,NESTLEIND.NS,2015-11-18,2015-46,2015-11,-0.0987548828125,down
2015-11-19,269.5206298828125,271.35958059896933,261.147661086844,262.17551417568376,1222960,NESTLEIND.NS,2015-11-19,2015-46,2015-11,8.490997314453125,up
2015-11-20,265.9199523925781,269.47128440506134,265.22256296730006,268.99918969308015,398680,NESTLEIND.NS,2015-11-20,2015-46,2015-11,-3.600677490234375,down
2015-11-23,263.5745544433594,267.1966887084835,262.218411825731,266.03797036430007,564060,NESTLEIND.NS,2015-11-23,2015-47,2015-11,-2.34539794921875,down
2015-11-24,259.9158935546875,264.4714503295668,259.6433711146254,264.4714503295668,660460,NESTLEIND.NS,2015-11-24,2015-47,2015-11,-3.658660888671875,down
2015-11-26,258.5082092285156,263.5058156949084,257.75502682917676,260.66905741836956,1443780,NESTLEIND.NS,2015-11-26,2015-47,2015-11,-1.407684326171875,down
