Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,NH.NS,NH.NS,NH.NS,NH.NS,NH.NS,,,,,,
Date,,,,,,,,,,,
2016-01-06,331.236328125,339.78878363818916,286.065493373986,286.065493373986,41383689,NH.NS,2016-01-06,2016-01,2016-01,,no change
2016-01-07,325.0923767089844,353.89552856129603,319.7839197804884,331.2855364587688,11693085,NH.NS,2016-01-07,2016-01,2016-01,-6.143951416015625,down
2016-01-08,321.8482666015625,334.72613567757554,318.6042367580277,326.8617918143726,3781532,NH.NS,2016-01-08,2016-01,2016-01,-3.244110107421875,down
2016-01-11,321.94659423828125,327.25502063180994,300.8603091194316,317.4245902733892,3393607,NH.NS,2016-01-11,2016-02,2016-01,0.09832763671875,up
2016-01-12,326.1736755371094,330.30246839204733,318.6042619698477,325.38725308859426,1686299,NH.NS,2016-01-12,2016-02,2016-01,4.227081298828125,up
2016-01-13,319.4398193359375,328.6312469394681,312.01782704634337,326.22280970649257,1181491,NH.NS,2016-01-13,2016-02,2016-01,-6.733856201171875,down
2016-01-14,314.67205810546875,319.48896261877996,305.23483967117284,311.62461892354844,608372,NH.NS,2016-01-14,2016-02,2016-01,-4.76776123046875,down
2016-01-15,301.40093994140625,319.04654087236514,295.8958940520485,316.3923432114851,530956,NH.NS,2016-01-15,2016-02,2016-01,-13.2711181640625,down
2016-01-18,294.2247619628906,302.7772481810279,289.01464599098114,302.7772481810279,812523,NH.NS,2016-01-18,2016-03,2016-01,-7.176177978515625,down
2016-01-19,299.4349060058594,302.6789359297205,290.3417581888731,297.5179601417012,530489,NH.NS,2016-01-19,2016-03,2016-01,5.21014404296875,up
2016-01-20,296.0925598144531,303.7111429670485,289.99768129234036,294.91289622949864,376656,NH.NS,2016-01-20,2016-03,2016-01,-3.34234619140625,down
2016-01-21,306.51275634765625,308.3805618097553,297.6162303311852,297.6162303311852,328864,NH.NS,2016-01-21,2016-03,2016-01,10.420196533203125,up
2016-01-22,311.575439453125,316.0482723652581,308.6754510814651,309.60935377744687,246903,NH.NS,2016-01-22,2016-03,2016-01,5.06268310546875,up
2016-01-25,324.6007995605469,333.2515656663026,305.1365308224607,311.62462040182277,427034,NH.NS,2016-01-25,2016-04,2016-01,13.025360107421875,up
2016-01-27,328.2872314453125,333.2515867403755,319.58729464100986,320.4720273668508,376817,NH.NS,2016-01-27,2016-04,2016-01,3.686431884765625,up
2016-01-28,324.9940185546875,330.94141664526126,322.14319988317357,326.173652142853,146200,NH.NS,2016-01-28,2016-04,2016-01,-3.293212890625,down
2016-01-29,327.9923095703125,332.26855286309586,322.9787839856732,322.9787839856732,218252,NH.NS,2016-01-29,2016-04,2016-01,2.998291015625,up
2016-02-01,325.0923767089844,330.79401489132255,322.6347688717531,328.3364070540913,405909,NH.NS,2016-02-01,2016-05,2016-02,-2.899932861328125,down
2016-02-02,326.1244812011719,329.3193706176114,323.02790207448663,324.35501598594846,700751,NH.NS,2016-02-02,2016-05,2016-02,1.0321044921875,up
2016-02-03,315.2619323730469,324.5025314603566,313.59074711253476,324.404221150898,205863,NH.NS,2016-02-03,2016-05,2016-02,-10.862548828125,down
2016-02-04,316.4415588378906,319.4398582071784,312.60769685758055,316.24496822357105,349485,NH.NS,2016-02-04,2016-05,2016-02,1.17962646484375,up
2016-02-05,315.31103515625,318.9974463233145,312.60766696706935,316.5398388786048,63123,NH.NS,2016-02-05,2016-05,2016-02,-1.130523681640625,down
2016-02-08,322.8313293457031,346.0311511622839,316.4907197179272,318.50594595619316,1156009,NH.NS,2016-02-08,2016-06,2016-02,7.520294189453125,up
2016-02-09,327.59906005859375,333.0549363806139,320.47199873698895,326.9109179999201,715021,NH.NS,2016-02-09,2016-06,2016-02,4.767730712890625,up
2016-02-10,315.6551208496094,328.3363698528912,314.57376752372807,321.45506868830967,415901,NH.NS,2016-02-10,2016-06,2016-02,-11.943939208984375,down
2016-02-11,289.5061340332031,316.5398137816347,277.61130894387554,316.5398137816347,700722,NH.NS,2016-02-11,2016-06,2016-02,-26.14898681640625,down
2016-02-12,281.64178466796875,294.71624295094927,278.84010646444784,289.9976491345577,396915,NH.NS,2016-02-12,2016-06,2016-02,-7.864349365234375,down
2016-02-15,289.75189208984375,293.43830293068146,285.2790589363293,286.75362327266436,290784,NH.NS,2016-02-15,2016-07,2016-02,8.110107421875,up
2016-02-16,285.573974609375,294.76543211575324,283.16550740179014,293.92983961515705,119220,NH.NS,2016-02-16,2016-07,2016-02,-4.17791748046875,down
2016-02-17,285.1808166503906,289.70282102680306,281.7401657118305,289.70282102680306,127189,NH.NS,2016-02-17,2016-07,2016-02,-0.393157958984375,down
2016-02-18,285.5248107910156,292.9467723866836,285.03328936083665,289.89933351955636,52218,NH.NS,2016-02-18,2016-07,2016-02,0.343994140625,up
2016-02-19,285.2790832519531,288.0315915810187,285.03332250828333,287.6383803911652,36470,NH.NS,2016-02-19,2016-07,2016-02,-0.2457275390625,down
2016-02-22,284.836669921875,289.01460209501727,282.1333020451359,289.01460209501727,334572,NH.NS,2016-02-22,2016-08,2016-02,-0.442413330078125,down
2016-02-23,283.41131591796875,287.3434883483261,281.2486390813291,284.5909796471139,63567,NH.NS,2016-02-23,2016-08,2016-02,-1.42535400390625,down
2016-02-24,280.41302490234375,282.4282511180817,279.67574262827975,281.3469277828618,105402,NH.NS,2016-02-24,2016-08,2016-02,-2.998291015625,down
2016-02-25,283.2146911621094,284.34518459956564,278.6926874121931,284.05028370286965,36604,NH.NS,2016-02-25,2016-08,2016-02,2.801666259765625,up
2016-02-26,279.6265869140625,283.9519700144898,269.9927477357431,282.18247465516214,1067007,NH.NS,2016-02-26,2016-08,2016-02,-3.588104248046875,down
2016-02-29,275.15374755859375,281.0028657882623,272.3029286735822,279.184230120207,50969,NH.NS,2016-02-29,2016-09,2016-02,-4.47283935546875,down
2016-03-01,290.390869140625,296.8789583360667,269.9927287913754,272.3520257715118,114425,NH.NS,2016-03-01,2016-09,2016-03,15.23712158203125,up
