Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,NMDC.NS,NMDC.NS,NMDC.NS,NMDC.NS,NMDC.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,11.501649856567383,11.995955563191348,11.471509713454505,11.995955563191348,7466457,NMDC.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,11.56795883178711,11.622211444756148,11.266552933323517,11.513705321309255,6791584,NMDC.NS,2015-08-19,2015-33,2015-08,0.06630897521972656,up
2015-08-20,11.320804595947266,11.501647207998317,11.23641095815273,11.393141102262485,10376233,NMDC.NS,2015-08-20,2015-33,2015-08,-0.24715423583984375,down
2015-08-21,11.218326568603516,11.39314151881511,11.09776422448907,11.218326568603516,7953210,NMDC.NS,2015-08-21,2015-33,2015-08,-0.10247802734375,down
2015-08-24,11.254497528076172,11.453424986990512,10.850613145569959,10.910894329712015,15127872,NMDC.NS,2015-08-24,2015-34,2015-08,0.03617095947265625,up
2015-08-25,11.206270217895508,11.507676075053688,10.862667091980835,11.453422572010869,11420910,NMDC.NS,2015-08-25,2015-34,2015-08,-0.04822731018066406,down
2015-08-26,11.133935928344727,11.356975876311878,11.007344984153658,11.27258221268748,8665649,NMDC.NS,2015-08-26,2015-34,2015-08,-0.07233428955078125,down
2015-08-27,11.664408683776855,12.020068091635306,10.910893491157948,11.260524332311077,19798176,NMDC.NS,2015-08-27,2015-34,2015-08,0.5304727554321289,up
2015-08-28,12.056236267089844,12.206939669182887,11.592071619561306,11.875393620592337,8368374,NMDC.NS,2015-08-28,2015-34,2015-08,0.3918275833129883,up
2015-08-31,12.176796913146973,12.616849923614067,11.77291350389101,12.014038195240454,14982630,NMDC.NS,2015-08-31,2015-35,2015-08,0.1205606460571289,up
2015-09-01,12.02006721496582,12.13460099892543,11.893476298474937,12.056235022524646,7105899,NMDC.NS,2015-09-01,2015-35,2015-09,-0.15672969818115234,down
2015-09-02,12.062262535095215,12.22502214243586,11.821137855708091,12.056233969356201,7490152,NMDC.NS,2015-09-02,2015-35,2015-09,0.04219532012939453,up
2015-09-03,12.399837493896484,12.502315037250748,12.062262931656349,12.086375400387787,4045151,NMDC.NS,2015-09-03,2015-35,2015-09,0.33757495880126953,up
