Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,NSLNISP.NS,NSLNISP.NS,NSLNISP.NS,NSLNISP.NS,NSLNISP.NS,,,,,,
Date,,,,,,,,,,,
2023-02-20,31.75,31.75,30.25,30.25,8765770,NSLNISP.NS,2023-02-20,2023-08,2023-02,,no change
2023-02-21,33.29999923706055,33.29999923706055,33.29999923706055,33.29999923706055,8902381,NSLNISP.NS,2023-02-21,2023-08,2023-02,1.5499992370605469,up
2023-02-22,34.95000076293945,34.95000076293945,34.0,34.95000076293945,31380875,NSLNISP.NS,2023-02-22,2023-08,2023-02,1.6500015258789062,up
2023-02-23,33.54999923706055,36.20000076293945,33.400001525878906,35.599998474121094,15096767,NSLNISP.NS,2023-02-23,2023-08,2023-02,-1.4000015258789062,down
2023-02-24,31.950000762939453,33.95000076293945,31.899999618530273,33.650001525878906,11936852,NSLNISP.NS,2023-02-24,2023-08,2023-02,-1.5999984741210938,down
2023-02-27,32.5,33.5,30.399999618530273,31.350000381469727,7186494,NSLNISP.NS,2023-02-27,2023-09,2023-02,0.5499992370605469,up
2023-02-28,33.349998474121094,33.75,32.20000076293945,32.400001525878906,5996625,NSLNISP.NS,2023-02-28,2023-09,2023-02,0.8499984741210938,up
2023-03-01,35.0,35.0,32.400001525878906,33.5,6631416,NSLNISP.NS,2023-03-01,2023-09,2023-03,1.6500015258789062,up
2023-03-02,36.75,36.75,35.75,36.45000076293945,4149208,NSLNISP.NS,2023-03-02,2023-09,2023-03,1.75,up
2023-03-03,38.25,38.54999923706055,37.75,38.54999923706055,11609913,NSLNISP.NS,2023-03-03,2023-09,2023-03,1.5,up
2023-03-06,38.29999923706055,39.400001525878906,36.400001525878906,38.150001525878906,14868814,NSLNISP.NS,2023-03-06,2023-10,2023-03,0.049999237060546875,up
2023-03-08,38.0,38.400001525878906,37.5,38.04999923706055,11493479,NSLNISP.NS,2023-03-08,2023-10,2023-03,-0.2999992370605469,down
2023-03-09,38.29999923706055,38.900001525878906,38.0,38.650001525878906,8044416,NSLNISP.NS,2023-03-09,2023-10,2023-03,0.2999992370605469,up
2023-03-10,37.45000076293945,38.25,37.0,38.150001525878906,3408013,NSLNISP.NS,2023-03-10,2023-10,2023-03,-0.8499984741210938,down
2023-03-13,36.20000076293945,37.900001525878906,35.599998474121094,37.849998474121094,6382429,NSLNISP.NS,2023-03-13,2023-11,2023-03,-1.25,down
2023-03-14,35.04999923706055,36.5,34.849998474121094,36.45000076293945,4942981,NSLNISP.NS,2023-03-14,2023-11,2023-03,-1.1500015258789062,down
2023-03-15,35.25,35.79999923706055,35.04999923706055,35.79999923706055,2586162,NSLNISP.NS,2023-03-15,2023-11,2023-03,0.20000076293945312,up
2023-03-16,35.95000076293945,36.25,33.54999923706055,35.04999923706055,6789060,NSLNISP.NS,2023-03-16,2023-11,2023-03,0.7000007629394531,up
2023-03-17,34.79999923706055,36.5,34.25,36.5,9770409,NSLNISP.NS,2023-03-17,2023-11,2023-03,-1.1500015258789062,down
2023-03-20,33.75,34.599998474121094,33.650001525878906,34.099998474121094,4757914,NSLNISP.NS,2023-03-20,2023-12,2023-03,-1.0499992370605469,down
2023-03-21,33.099998474121094,33.95000076293945,32.79999923706055,33.95000076293945,11742014,NSLNISP.NS,2023-03-21,2023-12,2023-03,-0.6500015258789062,down
2023-03-22,33.04999923706055,33.45000076293945,33.0,33.150001525878906,5527344,NSLNISP.NS,2023-03-22,2023-12,2023-03,-0.049999237060546875,down
2023-03-23,32.79999923706055,33.25,32.70000076293945,33.099998474121094,4507098,NSLNISP.NS,2023-03-23,2023-12,2023-03,-0.25,down
2023-03-24,32.54999923706055,33.099998474121094,32.400001525878906,33.0,3706604,NSLNISP.NS,2023-03-24,2023-12,2023-03,-0.25,down
2023-03-27,31.100000381469727,32.849998474121094,30.799999237060547,32.599998474121094,3853769,NSLNISP.NS,2023-03-27,2023-13,2023-03,-1.4499988555908203,down
2023-03-28,30.799999237060547,31.799999237060547,30.700000762939453,31.25,3387343,NSLNISP.NS,2023-03-28,2023-13,2023-03,-0.3000011444091797,down
2023-03-29,30.649999618530273,31.100000381469727,29.75,30.450000762939453,9824141,NSLNISP.NS,2023-03-29,2023-13,2023-03,-0.14999961853027344,down
2023-03-31,31.049999237060547,31.600000381469727,30.899999618530273,31.5,16268204,NSLNISP.NS,2023-03-31,2023-13,2023-03,0.39999961853027344,up
2023-04-03,30.799999237060547,31.299999237060547,30.549999237060547,31.299999237060547,3264090,NSLNISP.NS,2023-04-03,2023-14,2023-04,-0.25,down
2023-04-05,30.649999618530273,30.899999618530273,30.5,30.899999618530273,3276172,NSLNISP.NS,2023-04-05,2023-14,2023-04,-0.14999961853027344,down
2023-04-06,32.75,33.20000076293945,30.399999618530273,30.649999618530273,11431184,NSLNISP.NS,2023-04-06,2023-14,2023-04,2.1000003814697266,up
2023-04-10,32.54999923706055,33.400001525878906,32.349998474121094,33.25,5640948,NSLNISP.NS,2023-04-10,2023-15,2023-04,-0.20000076293945312,down
2023-04-11,32.349998474121094,33.29999923706055,32.20000076293945,32.54999923706055,2815463,NSLNISP.NS,2023-04-11,2023-15,2023-04,-0.20000076293945312,down
2023-04-12,32.25,32.849998474121094,32.20000076293945,32.70000076293945,3683477,NSLNISP.NS,2023-04-12,2023-15,2023-04,-0.09999847412109375,down
2023-04-13,31.700000762939453,32.400001525878906,31.600000381469727,32.349998474121094,2616084,NSLNISP.NS,2023-04-13,2023-15,2023-04,-0.5499992370605469,down
2023-04-17,32.0,32.25,31.100000381469727,31.700000762939453,3965734,NSLNISP.NS,2023-04-17,2023-16,2023-04,0.2999992370605469,up
2023-04-18,32.04999923706055,32.45000076293945,31.799999237060547,32.04999923706055,5240891,NSLNISP.NS,2023-04-18,2023-16,2023-04,0.049999237060546875,up
2023-04-19,33.599998474121094,35.0,32.650001525878906,33.099998474121094,11601830,NSLNISP.NS,2023-04-19,2023-16,2023-04,1.5499992370605469,up
2023-04-20,36.79999923706055,38.29999923706055,33.400001525878906,33.849998474121094,23003085,NSLNISP.NS,2023-04-20,2023-16,2023-04,3.200000762939453,up
2023-04-21,36.0,37.25,35.75,37.0,6152410,NSLNISP.NS,2023-04-21,2023-16,2023-04,-0.7999992370605469,down
2023-04-24,35.25,36.45000076293945,35.04999923706055,36.45000076293945,4707807,NSLNISP.NS,2023-04-24,2023-17,2023-04,-0.75,down
2023-04-25,36.04999923706055,36.45000076293945,35.099998474121094,35.29999923706055,7089321,NSLNISP.NS,2023-04-25,2023-17,2023-04,0.7999992370605469,up
2023-04-26,37.04999923706055,37.5,36.0,36.29999923706055,4893954,NSLNISP.NS,2023-04-26,2023-17,2023-04,1.0,up
2023-04-27,37.0,37.20000076293945,36.54999923706055,37.20000076293945,5130726,NSLNISP.NS,2023-04-27,2023-17,2023-04,-0.049999237060546875,down
2023-04-28,36.900001525878906,37.45000076293945,36.650001525878906,37.0,3353590,NSLNISP.NS,2023-04-28,2023-17,2023-04,-0.09999847412109375,down
2023-05-02,38.400001525878906,38.75,36.900001525878906,37.400001525878906,8421795,NSLNISP.NS,2023-05-02,2023-18,2023-05,1.5,up
2023-05-03,38.20000076293945,39.900001525878906,37.95000076293945,38.349998474121094,10054301,NSLNISP.NS,2023-05-03,2023-18,2023-05,-0.20000076293945312,down
2023-05-04,38.45000076293945,39.099998474121094,38.20000076293945,38.349998474121094,4195006,NSLNISP.NS,2023-05-04,2023-18,2023-05,0.25,up
2023-05-05,37.70000076293945,38.70000076293945,36.900001525878906,38.349998474121094,5271120,NSLNISP.NS,2023-05-05,2023-18,2023-05,-0.75,down
2023-05-08,37.849998474121094,38.20000076293945,37.54999923706055,37.95000076293945,2153811,NSLNISP.NS,2023-05-08,2023-19,2023-05,0.14999771118164062,up
2023-05-09,36.5,38.20000076293945,36.099998474121094,37.95000076293945,4238352,NSLNISP.NS,2023-05-09,2023-19,2023-05,-1.3499984741210938,down
2023-05-10,37.150001525878906,37.400001525878906,36.45000076293945,36.599998474121094,2631109,NSLNISP.NS,2023-05-10,2023-19,2023-05,0.6500015258789062,up
2023-05-11,37.150001525878906,37.400001525878906,36.75,37.29999923706055,3026423,NSLNISP.NS,2023-05-11,2023-19,2023-05,0.0,no change
2023-05-12,37.54999923706055,38.29999923706055,37.20000076293945,37.20000076293945,6095509,NSLNISP.NS,2023-05-12,2023-19,2023-05,0.3999977111816406,up
2023-05-15,37.150001525878906,37.95000076293945,37.0,37.75,2408013,NSLNISP.NS,2023-05-15,2023-20,2023-05,-0.3999977111816406,down
2023-05-16,36.54999923706055,37.29999923706055,36.5,37.20000076293945,3267932,NSLNISP.NS,2023-05-16,2023-20,2023-05,-0.6000022888183594,down
2023-05-17,36.54999923706055,36.95000076293945,36.150001525878906,36.29999923706055,1979463,NSLNISP.NS,2023-05-17,2023-20,2023-05,0.0,no change
2023-05-18,36.900001525878906,37.29999923706055,36.75,36.849998474121094,3592178,NSLNISP.NS,2023-05-18,2023-20,2023-05,0.3500022888183594,up
2023-05-19,37.04999923706055,37.400001525878906,36.849998474121094,36.95000076293945,2993288,NSLNISP.NS,2023-05-19,2023-20,2023-05,0.14999771118164062,up
2023-05-22,37.849998474121094,37.95000076293945,36.900001525878906,37.04999923706055,2926146,NSLNISP.NS,2023-05-22,2023-21,2023-05,0.7999992370605469,up
2023-05-23,38.25,38.900001525878906,37.54999923706055,37.95000076293945,5992562,NSLNISP.NS,2023-05-23,2023-21,2023-05,0.40000152587890625,up
2023-05-24,38.400001525878906,38.849998474121094,37.79999923706055,38.04999923706055,4148914,NSLNISP.NS,2023-05-24,2023-21,2023-05,0.15000152587890625,up
2023-05-25,40.95000076293945,41.54999923706055,38.099998474121094,38.400001525878906,19587607,NSLNISP.NS,2023-05-25,2023-21,2023-05,2.549999237060547,up
2023-05-26,40.79999923706055,42.25,40.599998474121094,40.95000076293945,8026539,NSLNISP.NS,2023-05-26,2023-21,2023-05,-0.15000152587890625,down
2023-05-29,40.5,41.29999923706055,40.20000076293945,41.20000076293945,4702905,NSLNISP.NS,2023-05-29,2023-22,2023-05,-0.2999992370605469,down
2023-05-30,40.45000076293945,41.400001525878906,40.29999923706055,40.5,6308527,NSLNISP.NS,2023-05-30,2023-22,2023-05,-0.049999237060546875,down
2023-05-31,43.70000076293945,44.54999923706055,40.29999923706055,40.45000076293945,30180639,NSLNISP.NS,2023-05-31,2023-22,2023-05,3.25,up
2023-06-01,44.5,46.0,44.25,44.79999923706055,12976469,NSLNISP.NS,2023-06-01,2023-22,2023-06,0.7999992370605469,up
2023-06-02,44.45000076293945,44.900001525878906,43.5,44.70000076293945,5611639,NSLNISP.NS,2023-06-02,2023-22,2023-06,-0.049999237060546875,down
2023-06-05,43.349998474121094,44.900001525878906,43.0,44.70000076293945,4413628,NSLNISP.NS,2023-06-05,2023-23,2023-06,-1.1000022888183594,down
2023-06-06,45.25,46.25,43.29999923706055,43.400001525878906,10344283,NSLNISP.NS,2023-06-06,2023-23,2023-06,1.9000015258789062,up
2023-06-07,44.150001525878906,46.5,43.75,45.400001525878906,9334846,NSLNISP.NS,2023-06-07,2023-23,2023-06,-1.0999984741210938,down
2023-06-08,44.0,44.599998474121094,43.5,44.45000076293945,5149742,NSLNISP.NS,2023-06-08,2023-23,2023-06,-0.15000152587890625,down
2023-06-09,43.95000076293945,45.0,43.54999923706055,44.25,4124296,NSLNISP.NS,2023-06-09,2023-23,2023-06,-0.049999237060546875,down
2023-06-12,44.400001525878906,44.849998474121094,44.150001525878906,44.20000076293945,2165868,NSLNISP.NS,2023-06-12,2023-24,2023-06,0.4500007629394531,up
