Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,250.25245666503906,250.87724086169402,245.7347321649767,248.95480989723657,327895,OBEROIRLTY.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,247.8013458251953,251.83846268580743,246.35952256554373,249.81990425550137,430787,OBEROIRLTY.NS,2015-08-19,2015-33,2015-08,-2.45111083984375,down
2015-08-20,239.2465362548828,249.00286788320747,237.46829634906686,247.51299556581662,287623,OBEROIRLTY.NS,2015-08-20,2015-33,2015-08,-8.5548095703125,down
2015-08-21,226.27011108398438,239.34264707197832,224.53993500741254,237.4202161718018,357199,OBEROIRLTY.NS,2015-08-21,2015-33,2015-08,-12.976425170898438,down
2015-08-24,211.46739196777344,217.95559603951196,207.67059399993053,214.49521466779143,542712,OBEROIRLTY.NS,2015-08-24,2015-34,2015-08,-14.802719116210938,down
2015-08-25,208.4395751953125,219.1571215443963,201.90330723339866,213.14952501083278,673402,OBEROIRLTY.NS,2015-08-25,2015-34,2015-08,-3.0278167724609375,down
2015-08-26,215.60061645507812,218.72456649495982,206.85355047661616,206.85355047661616,500100,OBEROIRLTY.NS,2015-08-26,2015-34,2015-08,7.161041259765625,up
2015-08-27,214.8316650390625,220.9353893532749,212.57280273897203,216.80215975469693,420863,OBEROIRLTY.NS,2015-08-27,2015-34,2015-08,-0.768951416015625,down
2015-08-28,217.90753173828125,223.48258408101066,216.27346846549418,217.13855647256284,799178,OBEROIRLTY.NS,2015-08-28,2015-34,2015-08,3.07586669921875,up
2015-08-31,216.12930297851562,218.14784665301775,212.47668128138946,218.14784665301775,386856,OBEROIRLTY.NS,2015-08-31,2015-35,2015-08,-1.778228759765625,down
2015-09-01,210.36196899414062,215.21609440377304,207.86280341004817,215.21609440377304,180036,OBEROIRLTY.NS,2015-09-01,2015-35,2015-09,-5.767333984375,down
2015-09-02,201.9994354248047,215.16809976698121,201.13434732461107,215.16809976698121,276177,OBEROIRLTY.NS,2015-09-02,2015-35,2015-09,-8.362533569335938,down
2015-09-03,216.4176483154297,217.90753516613682,205.89234228460103,206.661317562416,255152,OBEROIRLTY.NS,2015-09-03,2015-35,2015-09,14.418212890625,up
2015-09-04,209.68914794921875,215.9851121821566,207.14193283222858,215.31226428964825,310100,OBEROIRLTY.NS,2015-09-04,2015-35,2015-09,-6.7285003662109375,down
2015-09-07,207.3822479248047,211.467413874656,206.0365520669417,210.69843852716937,207216,OBEROIRLTY.NS,2015-09-07,2015-36,2015-09,-2.3069000244140625,down
2015-09-08,209.44883728027344,211.94800327640314,203.77767208434224,210.45811641974825,619595,OBEROIRLTY.NS,2015-09-08,2015-36,2015-09,2.06658935546875,up
2015-09-09,214.35105895996094,215.98512239531706,211.4674124268673,211.4674124268673,215581,OBEROIRLTY.NS,2015-09-09,2015-36,2015-09,4.9022216796875,up
2015-09-10,215.8890380859375,219.97420454600586,209.92948939883667,212.4286559235555,228716,OBEROIRLTY.NS,2015-09-10,2015-36,2015-09,1.5379791259765625,up
2015-09-11,221.9927215576172,223.00200078768253,213.4859730001745,216.60992344224334,124768,OBEROIRLTY.NS,2015-09-11,2015-36,2015-09,6.1036834716796875,up
2015-09-14,230.21112060546875,231.65294390779945,222.04078855892809,225.78952327819388,90203,OBEROIRLTY.NS,2015-09-14,2015-37,2015-09,8.218399047851562,up
2015-09-15,230.78782653808594,234.53656078215496,226.75071006972456,227.80805289086365,158937,OBEROIRLTY.NS,2015-09-15,2015-37,2015-09,0.5767059326171875,up
2015-09-16,242.32244873046875,247.08044815577117,230.64367086723246,233.3831410821483,432667,OBEROIRLTY.NS,2015-09-16,2015-37,2015-09,11.534622192382812,up
2015-09-18,249.05093383789062,254.72209923713123,238.86204400161174,245.1099445489376,429395,OBEROIRLTY.NS,2015-09-18,2015-37,2015-09,6.728485107421875,up
2015-09-21,239.48681640625,245.10993248896668,237.08377785243658,239.39070366428746,91414,OBEROIRLTY.NS,2015-09-21,2015-38,2015-09,-9.564117431640625,down
2015-09-22,234.44041442871094,245.49439078540752,231.9412633569514,243.668087515007,72213,OBEROIRLTY.NS,2015-09-22,2015-38,2015-09,-5.0464019775390625,down
2015-09-23,241.9379119873047,245.30216586979358,229.77854310738803,230.6916947992384,109900,OBEROIRLTY.NS,2015-09-23,2015-38,2015-09,7.49749755859375,up
2015-09-24,252.22293090820312,257.94217463040013,244.86963850392686,249.43541194021205,250373,OBEROIRLTY.NS,2015-09-24,2015-38,2015-09,10.285018920898438,up
2015-09-28,251.45396423339844,256.6445217273835,246.35950481595768,256.6445217273835,169397,OBEROIRLTY.NS,2015-09-28,2015-39,2015-09,-0.7689666748046875,down
2015-09-29,246.21534729003906,249.8199054564967,240.5441816416063,245.2060827370187,142647,OBEROIRLTY.NS,2015-09-29,2015-39,2015-09,-5.238616943359375,down
2015-09-30,262.5559997558594,265.1993422982804,248.089718666379,248.089718666379,427110,OBEROIRLTY.NS,2015-09-30,2015-39,2015-09,16.340652465820312,up
2015-10-01,253.71278381347656,265.1992887603798,250.01209913438032,264.0938970598607,108306,OBEROIRLTY.NS,2015-10-01,2015-39,2015-10,-8.843215942382812,down
2015-10-05,259.43206787109375,264.14201814107497,252.9919413660893,252.9919413660893,186095,OBEROIRLTY.NS,2015-10-05,2015-40,2015-10,5.7192840576171875,up
2015-10-06,256.83673095703125,262.3156403760165,252.89574249736413,262.3156403760165,201450,OBEROIRLTY.NS,2015-10-06,2015-40,2015-10,-2.5953369140625,down
2015-10-07,260.34521484375,264.71873348064514,255.68331396666198,256.83678425949734,163456,OBEROIRLTY.NS,2015-10-07,2015-40,2015-10,3.50848388671875,up
2015-10-08,257.2692565917969,259.52811830307894,253.76082678523275,259.52811830307894,53099,OBEROIRLTY.NS,2015-10-08,2015-40,2015-10,-3.075958251953125,down
2015-10-09,247.9935760498047,260.4893763933995,245.15799352061634,260.4893763933995,91769,OBEROIRLTY.NS,2015-10-09,2015-40,2015-10,-9.275680541992188,down
2015-10-12,254.6259765625,258.75922075573123,247.9935955709996,247.9935955709996,98283,OBEROIRLTY.NS,2015-10-12,2015-41,2015-10,6.6324005126953125,up
2015-10-13,259.23980712890625,261.4505908325064,255.39494549901647,258.23051335068044,305503,OBEROIRLTY.NS,2015-10-13,2015-41,2015-10,4.61383056640625,up
2015-10-14,260.29718017578125,261.45065066229233,258.56700377998766,258.56700377998766,108271,OBEROIRLTY.NS,2015-10-14,2015-41,2015-10,1.057373046875,up
2015-10-15,262.07537841796875,264.141985704347,260.44132980421307,262.31568227298874,87244,OBEROIRLTY.NS,2015-10-15,2015-41,2015-10,1.7781982421875,up
2015-10-16,262.41180419921875,264.2381075924201,258.0863348992316,260.0568147356393,137811,OBEROIRLTY.NS,2015-10-16,2015-41,2015-10,0.33642578125,up
2015-10-19,269.7651672363281,271.06281423509944,260.6816969128766,263.1808341443191,252883,OBEROIRLTY.NS,2015-10-19,2015-42,2015-10,7.353363037109375,up
2015-10-20,267.4101257324219,271.92782033834965,264.5264796432899,271.06273237840304,234501,OBEROIRLTY.NS,2015-10-20,2015-42,2015-10,-2.35504150390625,down
2015-10-21,259.96075439453125,269.14035106328,258.56698012865115,266.7373122145007,81731,OBEROIRLTY.NS,2015-10-21,2015-42,2015-10,-7.449371337890625,down
2015-10-23,260.2010192871094,264.81484145177535,258.6630687875654,263.3730183585715,74098,OBEROIRLTY.NS,2015-10-23,2015-42,2015-10,0.240264892578125,up
