Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,105.14427185058594,107.46244191914131,104.82173910688132,107.24070238802176,4157310,ONGC.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,105.0636215209961,105.95057025365972,103.65255371648861,104.82171970109809,5711535,ONGC.NS,2015-08-19,2015-33,2015-08,-0.08065032958984375,down
2015-08-20,103.12846374511719,104.29762062279987,102.4430828743347,104.0154125693345,7178769,ONGC.NS,2015-08-20,2015-33,2015-08,-1.9351577758789062,down
2015-08-21,103.18890380859375,103.77349131371841,101.23357339541164,102.42290150439803,6613182,ONGC.NS,2015-08-21,2015-33,2015-08,0.0604400634765625,up
2015-08-24,91.79963684082031,101.11263959857449,91.1948961623269,100.79011615810359,19008639,ONGC.NS,2015-08-24,2015-34,2015-08,-11.389266967773438,down
2015-08-25,92.98893737792969,94.92410531877434,90.40871345680351,93.02925279997176,10863165,ONGC.NS,2015-08-25,2015-34,2015-08,1.189300537109375,up
2015-08-26,90.6506118774414,95.38775270976662,89.90477190741156,93.13005201832358,7245826,ONGC.NS,2015-08-26,2015-34,2015-08,-2.3383255004882812,down
2015-08-27,92.84786224365234,94.09765910831347,91.13442406310536,93.53323382482674,11633059,ONGC.NS,2015-08-27,2015-34,2015-08,2.1972503662109375,up
2015-08-28,98.23003387451172,99.33872191895047,95.91186460791819,96.3150188635635,10958608,ONGC.NS,2015-08-28,2015-34,2015-08,5.382171630859375,up
2015-08-31,96.47630310058594,100.14506269865362,95.83123774735954,99.86284545316573,9689886,ONGC.NS,2015-08-31,2015-35,2015-08,-1.7537307739257812,down
2015-09-01,94.3798599243164,98.10909713085839,93.81543468395961,97.88735765490283,10033095,ONGC.NS,2015-09-01,2015-35,2015-09,-2.0964431762695312,down
2015-09-02,90.79173278808594,94.94428668446362,90.44904701819927,94.40002376394082,9458158,ONGC.NS,2015-09-02,2015-35,2015-09,-3.5881271362304688,down
2015-09-03,92.38420104980469,93.45258285186014,91.31582847535827,92.22293935425256,3640380,ONGC.NS,2015-09-03,2015-35,2015-09,1.59246826171875,up
2015-09-04,90.93284606933594,93.79528789317479,89.19925480215497,93.79528789317479,7345293,ONGC.NS,2015-09-04,2015-35,2015-09,-1.45135498046875,down
2015-09-07,91.33690643310547,92.26624005236539,90.32677205125984,91.72075860798034,5324035,ONGC.NS,2015-09-07,2015-36,2015-09,0.40406036376953125,up
2015-09-08,92.89250946044922,93.1349487072543,90.54898248063277,92.1045980925281,6841087,ONGC.NS,2015-09-08,2015-36,2015-09,1.55560302734375,up
2015-09-09,93.09457397460938,94.3875528842408,92.62990245387101,94.16532068913,11075230,ONGC.NS,2015-09-09,2015-36,2015-09,0.20206451416015625,up
2015-09-10,91.68033599853516,92.87230654774456,90.38735757940405,92.3268252081007,6478407,ONGC.NS,2015-09-10,2015-36,2015-09,-1.4142379760742188,down
