Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,PATANJALI.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,3538.06640625,3577.215135503112,3435.3009919605806,3508.704859310166,2212,PATANJALI.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,3503.81103515625,3552.746943468488,3479.343081000131,3552.746943468488,805,PATANJALI.NS,2015-08-19,2015-33,2015-08,-34.25537109375,down
2015-08-20,3410.8330078125,3513.59842124731,3405.9394166965567,3513.59842124731,805,PATANJALI.NS,2015-08-20,2015-33,2015-08,-92.97802734375,down
2015-08-21,3366.790771484375,3410.8330926229787,3327.642041583394,3357.00358900913,564,PATANJALI.NS,2015-08-21,2015-33,2015-08,-44.042236328125,down
2015-08-24,3092.74951171875,3288.4931517009495,2945.9417817321005,3268.9187877027293,2035,PATANJALI.NS,2015-08-24,2015-34,2015-08,-274.041259765625,down
2015-08-25,3019.345703125,3229.770120036467,2877.4315614870343,2994.8777476701785,1092,PATANJALI.NS,2015-08-25,2015-34,2015-08,-73.40380859375,down
2015-08-26,3073.175048828125,3180.834047353951,2980.1968228285477,2989.984004512714,3776,PATANJALI.NS,2015-08-26,2015-34,2015-08,53.829345703125,up
2015-08-27,3180.83447265625,3229.770387620192,3082.962642728365,3171.0472896634615,524,PATANJALI.NS,2015-08-27,2015-34,2015-08,107.659423828125,up
2015-08-28,3171.047119140625,3278.7061262719426,3131.8983892746915,3229.7702139395255,934,PATANJALI.NS,2015-08-28,2015-34,2015-08,-9.787353515625,down
2015-08-31,3303.173828125,3376.577690972222,3156.3661024305557,3161.2596932870374,1283,PATANJALI.NS,2015-08-31,2015-35,2015-08,132.126708984375,up
2015-09-01,3195.51513671875,3278.7061892826378,3171.0471800823125,3278.7061892826378,589,PATANJALI.NS,2015-09-01,2015-35,2015-09,-107.65869140625,down
2015-09-02,3200.408447265625,3234.663583551343,3151.4725382860283,3205.3020381635847,451,PATANJALI.NS,2015-09-02,2015-35,2015-09,4.893310546875,up
2015-09-03,3288.493408203125,3396.1524185907274,3161.260032290504,3190.621580578032,2536,PATANJALI.NS,2015-09-03,2015-35,2015-09,88.0849609375,up
2015-09-04,3175.9404296875,3273.8122457025233,3151.4724756837445,3273.8122457025233,884,PATANJALI.NS,2015-09-04,2015-35,2015-09,-112.552978515625,down
2015-09-07,3146.579345703125,3224.8768099818963,3141.6857541857016,3156.3665287379713,409,PATANJALI.NS,2015-09-07,2015-36,2015-09,-29.361083984375,down
