Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,,,,,,
Date,,,,,,,,,,,
2015-08-18,335.4480285644531,337.411811911016,327.92768360002515,327.92768360002515,173052,PERSISTENT.NS,2015-08-18,2015-33,2015-08,,no change
2015-08-19,336.00592041015625,339.19706155661424,332.5023827101021,336.72003583154833,77410,PERSISTENT.NS,2015-08-19,2015-33,2015-08,0.557891845703125,up
2015-08-20,324.290283203125,338.9739586684625,322.03641308671945,338.9739586684625,238674,PERSISTENT.NS,2015-08-20,2015-33,2015-08,-11.71563720703125,down
2015-08-21,312.9316101074219,322.72813484937603,310.6107827012125,321.34457880912373,147722,PERSISTENT.NS,2015-08-21,2015-33,2015-08,-11.358673095703125,down
2015-08-24,301.1935729980469,311.48108402343377,290.10273324637586,292.3342927328864,199784,PERSISTENT.NS,2015-08-24,2015-34,2015-08,-11.738037109375,down
2015-08-25,296.1502685546875,309.0486939166242,285.19331638581724,303.42514738993805,186626,PERSISTENT.NS,2015-08-25,2015-34,2015-08,-5.043304443359375,down
2015-08-26,301.416748046875,306.54933519109113,290.41517542566,294.6104911817188,132962,PERSISTENT.NS,2015-08-26,2015-34,2015-08,5.2664794921875,up
2015-08-27,304.9203186035156,309.00405645312964,303.04580303351514,304.3847388348414,49112,PERSISTENT.NS,2015-08-27,2015-34,2015-08,3.503570556640625,up
2015-08-28,312.6861267089844,315.5425339522225,305.7236715095791,305.7236715095791,90956,PERSISTENT.NS,2015-08-28,2015-34,2015-08,7.76580810546875,up
2015-08-31,312.8647155761719,318.8899276450425,310.2984215468381,316.88152362208564,53086,PERSISTENT.NS,2015-08-31,2015-35,2015-08,0.1785888671875,up
2015-09-01,312.5299377441406,315.5648535050795,301.26056119570853,315.09623141358554,71580,PERSISTENT.NS,2015-09-01,2015-35,2015-09,-0.33477783203125,down
2015-09-02,314.42669677734375,316.8367916517663,304.697103943377,312.5298714241802,70258,PERSISTENT.NS,2015-09-02,2015-35,2015-09,1.896759033203125,up
2015-09-03,314.5606384277344,319.91638151302175,310.9901430375428,314.64990626063275,68792,PERSISTENT.NS,2015-09-03,2015-35,2015-09,0.133941650390625,up
2015-09-04,309.137939453125,320.8312891009468,307.50889016915016,319.00142126037747,94146,PERSISTENT.NS,2015-09-04,2015-35,2015-09,-5.422698974609375,down
2015-09-07,306.0361022949219,310.7000675097987,302.197803271648,306.2146107262506,84274,PERSISTENT.NS,2015-09-07,2015-36,2015-09,-3.101837158203125,down
2015-09-08,316.41278076171875,318.68896022314476,302.2646901489802,303.9383595296501,123720,PERSISTENT.NS,2015-09-08,2015-36,2015-09,10.376678466796875,up
2015-09-09,313.5341491699219,321.3446084019128,310.6331214551824,317.3501109465506,84260,PERSISTENT.NS,2015-09-09,2015-36,2015-09,-2.878631591796875,down
2015-09-10,310.2537536621094,314.649915341875,305.72367660877217,310.63310791197875,79656,PERSISTENT.NS,2015-09-10,2015-36,2015-09,-3.2803955078125,down
2015-09-11,305.41119384765625,316.5243698213425,303.49205833865744,311.54798179200407,91096,PERSISTENT.NS,2015-09-11,2015-36,2015-09,-4.842559814453125,down
2015-09-14,303.24658203125,311.97197296576957,302.5994244217336,311.97197296576957,85390,PERSISTENT.NS,2015-09-14,2015-37,2015-09,-2.16461181640625,down
2015-09-15,302.1532287597656,307.9552848511644,299.0290447105509,307.9552848511644,76290,PERSISTENT.NS,2015-09-15,2015-37,2015-09,-1.093353271484375,down
2015-09-16,307.04034423828125,308.8479023806594,299.0290384321413,306.1700303946999,76594,PERSISTENT.NS,2015-09-16,2015-37,2015-09,4.887115478515625,up
2015-09-18,303.9383850097656,309.31643762236814,301.30513406713953,308.40150373237594,183922,PERSISTENT.NS,2015-09-18,2015-37,2015-09,-3.101959228515625,down
2015-09-21,306.1922912597656,307.9998491111877,301.2828600757601,303.4921095567062,62660,PERSISTENT.NS,2015-09-21,2015-38,2015-09,2.25390625,up
2015-09-22,305.1881103515625,310.1421894122518,303.4921303653121,305.8129579868379,298230,PERSISTENT.NS,2015-09-22,2015-38,2015-09,-1.004180908203125,down
2015-09-23,299.2075500488281,303.49213398527326,295.57009666433413,302.59951006178716,103318,PERSISTENT.NS,2015-09-23,2015-38,2015-09,-5.980560302734375,down
2015-09-24,296.66357421875,302.15320604438114,295.52548413452615,302.15320604438114,112360,PERSISTENT.NS,2015-09-24,2015-38,2015-09,-2.543975830078125,down
2015-09-28,303.40283203125,304.51861181015335,296.79742118828574,296.79742118828574,123966,PERSISTENT.NS,2015-09-28,2015-39,2015-09,6.7392578125,up
2015-09-29,293.4501037597656,312.1059376076799,290.1473844713528,300.3679389054331,227214,PERSISTENT.NS,2015-09-29,2015-39,2015-09,-9.952728271484375,down
2015-09-30,297.0875549316406,300.74729106153194,293.1376779025958,293.4501017099746,178208,PERSISTENT.NS,2015-09-30,2015-39,2015-09,3.637451171875,up
2015-10-01,288.2059326171875,298.1140630426469,286.398374724875,296.79743738355353,121546,PERSISTENT.NS,2015-10-01,2015-39,2015-10,-8.881622314453125,down
2015-10-05,288.47369384765625,292.24503495772643,288.04971932320876,291.3524111324183,116336,PERSISTENT.NS,2015-10-05,2015-40,2015-10,0.26776123046875,up
2015-10-06,288.7861633300781,295.904844911462,288.33985134680296,290.10278912888435,180878,PERSISTENT.NS,2015-10-06,2015-40,2015-10,0.312469482421875,up
2015-10-07,289.9465637207031,294.0303016414043,289.210138120867,292.289701413812,132762,PERSISTENT.NS,2015-10-07,2015-40,2015-10,1.160400390625,up
2015-10-08,288.3174743652344,293.22690504328017,286.532226845945,292.7359728717617,118554,PERSISTENT.NS,2015-10-08,2015-40,2015-10,-1.62908935546875,down
2015-10-09,297.2884216308594,299.07366968686983,290.1251192542619,291.39712483860353,229638,PERSISTENT.NS,2015-10-09,2015-40,2015-10,8.970947265625,up
2015-10-12,299.96630859375,307.7321489188849,298.13644014186383,303.49218457555,145570,PERSISTENT.NS,2015-10-12,2015-41,2015-10,2.677886962890625,up
2015-10-13,304.83111572265625,305.7237397804093,299.4753713761381,299.9216834050146,122878,PERSISTENT.NS,2015-10-13,2015-41,2015-10,4.86480712890625,up
2015-10-14,308.1337585449219,309.67351286675654,303.4921037095476,305.27735137842734,96004,PERSISTENT.NS,2015-10-14,2015-41,2015-10,3.302642822265625,up
2015-10-15,311.9497985839844,313.75735685599136,305.6791200153061,307.0849865643229,102188,PERSISTENT.NS,2015-10-15,2015-41,2015-10,3.8160400390625,up
2015-10-16,307.39739990234375,314.2482784267454,305.723729848429,312.08367605330506,48718,PERSISTENT.NS,2015-10-16,2015-41,2015-10,-4.552398681640625,down
