Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,POWERINDIA.NS,POWERINDIA.NS,POWERINDIA.NS,POWERINDIA.NS,POWERINDIA.NS,,,,,,
Date,,,,,,,,,,,
2020-03-30,711.5463256835938,711.5463256835938,677.6631673177084,677.6631673177084,29010,POWERINDIA.NS,2020-03-30,2020-13,2020-03,,no change
2020-03-31,747.1236572265625,747.1236572265625,747.1236572265625,747.1236572265625,15930,POWERINDIA.NS,2020-03-31,2020-13,2020-03,35.57733154296875,up
2020-04-01,784.4449462890625,784.4449462890625,784.4449462890625,784.4449462890625,25057,POWERINDIA.NS,2020-04-01,2020-13,2020-04,37.3212890625,up
2020-04-03,787.28515625,814.1923704509494,778.4157168684127,796.05490278745,141804,POWERINDIA.NS,2020-04-03,2020-13,2020-04,2.8402099609375,up
2020-04-07,787.9330444335938,815.1890349011619,778.415813275332,792.3677038482125,39744,POWERINDIA.NS,2020-04-07,2020-14,2020-04,0.64788818359375,up
2020-04-08,787.28515625,805.2232990506329,785.2920292721519,799.2439181170886,9633,POWERINDIA.NS,2020-04-08,2020-14,2020-04,-0.64788818359375,down
2020-04-09,797.2507934570312,804.2267378997803,787.3349745483278,804.2267378997803,14654,POWERINDIA.NS,2020-04-09,2020-14,2020-04,9.96563720703125,up
2020-04-13,796.8521118164062,802.2335787868782,787.3349430157549,797.2507615273323,25051,POWERINDIA.NS,2020-04-13,2020-15,2020-04,-0.398681640625,down
2020-04-15,790.3743896484375,802.1338861525961,788.3812628952447,797.2507012771132,29165,POWERINDIA.NS,2020-04-15,2020-15,2020-04,-6.47772216796875,down
2020-04-16,785.2919921875,796.1545580339613,783.2988653037753,788.779964234018,76614,POWERINDIA.NS,2020-04-16,2020-15,2020-04,-5.0823974609375,down
2020-04-17,789.2782592773438,797.2507669468118,784.5445828485971,785.2920054426097,214812,POWERINDIA.NS,2020-04-17,2020-15,2020-04,3.98626708984375,up
2020-04-20,790.3743896484375,805.1235762823852,787.2850675111492,790.2747576409384,30483,POWERINDIA.NS,2020-04-20,2020-16,2020-04,1.09613037109375,up
2020-04-21,785.3418579101562,801.1872419690127,783.3487309002578,801.1872419690127,74484,POWERINDIA.NS,2020-04-21,2020-16,2020-04,-5.03253173828125,down
2020-04-22,790.6235961914062,797.250767526634,781.4053841918795,781.4053841918795,21366,POWERINDIA.NS,2020-04-22,2020-16,2020-04,5.28173828125,up
2020-04-23,797.3005981445312,801.137404028804,789.3280903231739,789.3280903231739,18607,POWERINDIA.NS,2020-04-23,2020-16,2020-04,6.677001953125,up
2020-04-24,800.0909423828125,801.1373826667888,793.3641390879098,794.1115616762323,6562,POWERINDIA.NS,2020-04-24,2020-16,2020-04,2.79034423828125,up
2020-04-27,799.2937622070312,806.1202588412326,796.3040716352261,801.1374412215573,5578,POWERINDIA.NS,2020-04-27,2020-17,2020-04,-0.79718017578125,down
2020-04-28,802.8814086914062,804.226745087225,798.3469961027682,804.0274202219977,10418,POWERINDIA.NS,2020-04-28,2020-17,2020-04,3.587646484375,up
2020-04-29,806.3195190429688,809.1099455570168,797.3504473702976,800.2405059061001,6160,POWERINDIA.NS,2020-04-29,2020-17,2020-04,3.4381103515625,up
2020-04-30,798.6958618164062,812.2989176509874,797.2508325173862,811.1529060744905,36263,POWERINDIA.NS,2020-04-30,2020-17,2020-04,-7.6236572265625,down
2020-05-04,788.23193359375,805.2233295585861,787.2851860783206,803.1305704827193,255704,POWERINDIA.NS,2020-05-04,2020-18,2020-05,-10.46392822265625,down
2020-05-05,791.9690551757812,795.2577026834501,788.2319419112914,788.2319419112914,33019,POWERINDIA.NS,2020-05-05,2020-18,2020-05,3.73712158203125,up
2020-05-06,792.7662963867188,796.154636754237,786.3384493860685,786.3384493860685,21000,POWERINDIA.NS,2020-05-06,2020-18,2020-05,0.7972412109375,up
2020-05-07,792.4174194335938,796.2541642301987,787.5342343966389,789.6269932265319,202236,POWERINDIA.NS,2020-05-07,2020-18,2020-05,-0.348876953125,down
2020-05-08,795.4071044921875,803.2301028761426,790.8726923478869,792.218089437276,16353,POWERINDIA.NS,2020-05-08,2020-18,2020-05,2.98968505859375,up
2020-05-11,800.9879150390625,804.0772375662813,797.2508019051322,797.3006179151695,6922,POWERINDIA.NS,2020-05-11,2020-19,2020-05,5.580810546875,up
2020-05-12,803.280029296875,806.2199039051218,798.795493366624,803.2302132849544,22239,POWERINDIA.NS,2020-05-12,2020-19,2020-05,2.2921142578125,up
2020-05-13,808.3624877929688,810.1562898844774,801.5359914879231,807.2164154655399,24663,POWERINDIA.NS,2020-05-13,2020-19,2020-05,5.08245849609375,up
2020-05-14,814.2919921875,830.48614867803,802.8813890437295,805.2232888829662,8982,POWERINDIA.NS,2020-05-14,2020-19,2020-05,5.92950439453125,up
2020-05-15,815.5875854492188,826.001625270923,808.7112730304417,815.4380765953898,35587,POWERINDIA.NS,2020-05-15,2020-19,2020-05,1.29559326171875,up
2020-05-18,817.1322631835938,830.0875888293534,812.6975433936171,830.0875888293534,9141,POWERINDIA.NS,2020-05-18,2020-20,2020-05,1.544677734375,up
2020-05-19,815.9862060546875,827.0979137423877,802.7319232731124,827.0979137423877,7918,POWERINDIA.NS,2020-05-19,2020-20,2020-05,-1.14605712890625,down
2020-05-20,814.2919921875,817.2318666077854,811.4518106100932,816.135671113974,4878,POWERINDIA.NS,2020-05-20,2020-20,2020-05,-1.6942138671875,down
2020-05-21,809.8572998046875,817.1820167219724,808.9603683830014,815.2387058585892,3045,POWERINDIA.NS,2020-05-21,2020-20,2020-05,-4.4346923828125,down
2020-05-22,811.05322265625,813.19585862372,807.2662933228396,809.2096044147802,15265,POWERINDIA.NS,2020-05-22,2020-20,2020-05,1.1959228515625,up
2020-05-26,813.3952026367188,819.1752592105915,808.3126919054924,813.9931164519625,2436,POWERINDIA.NS,2020-05-26,2020-21,2020-05,2.34197998046875,up
2020-05-27,822.1648559570312,823.1614194187973,810.7541921547281,813.4449256665779,14221,POWERINDIA.NS,2020-05-27,2020-21,2020-05,8.7696533203125,up
