Price,Close,High,Low,Open,Volume,Symbol,Day,Week,Month,Change,Trend
Ticker,RAINBOW.NS,RAINBOW.NS,RAINBOW.NS,RAINBOW.NS,RAINBOW.NS,,,,,,
Date,,,,,,,,,,,
2022-05-10,445.2521667480469,512.2081336665638,417.0159224815282,504.39493310603996,17359525,RAINBOW.NS,2022-05-10,2022-19,2022-05,,no change
2022-05-11,477.9884033203125,485.5048835073557,438.7247340902687,448.12032677852704,5524324,RAINBOW.NS,2022-05-11,2022-19,2022-05,32.736236572265625,up
2022-05-12,457.0708312988281,472.74664123392046,448.36755792638985,467.8015926854485,1681626,RAINBOW.NS,2022-05-12,2022-19,2022-05,-20.917572021484375,down
2022-05-13,451.384033203125,469.53236772344815,445.1532839981509,463.84556179525475,631619,RAINBOW.NS,2022-05-13,2022-19,2022-05,-5.686798095703125,down
2022-05-16,431.752197265625,454.4005448424822,425.2741954313461,451.3840469748806,725695,RAINBOW.NS,2022-05-16,2022-20,2022-05,-19.6318359375,down
2022-05-17,415.82916259765625,437.34012471898825,405.4939986090169,431.7521954704595,911509,RAINBOW.NS,2022-05-17,2022-20,2022-05,-15.92303466796875,down
2022-05-18,436.5983581542969,466.8125933864134,415.13683490243017,415.28518032575647,2149029,RAINBOW.NS,2022-05-18,2022-20,2022-05,20.769195556640625,up
2022-05-19,446.53790283203125,453.75766194558986,422.30716391866525,422.30716391866525,924014,RAINBOW.NS,2022-05-19,2022-20,2022-05,9.939544677734375,up
2022-05-20,472.4499206542969,477.59275271167013,451.97740887944593,451.97740887944593,847932,RAINBOW.NS,2022-05-20,2022-20,2022-05,25.912017822265625,up
2022-05-23,458.7521667480469,477.6916969358799,454.94447327226663,477.6916969358799,253056,RAINBOW.NS,2022-05-23,2022-21,2022-05,-13.69775390625,down
2022-05-24,470.0763244628906,477.6917116490087,454.94448728477016,459.88953605960467,460881,RAINBOW.NS,2022-05-24,2022-21,2022-05,11.32415771484375,up
2022-05-25,471.1147766113281,474.7246559797379,462.21368931170804,471.8070652919901,474840,RAINBOW.NS,2022-05-25,2022-21,2022-05,1.0384521484375,up
2022-05-26,484.4169616699219,490.8949936175638,466.8620386729137,466.8620386729137,545714,RAINBOW.NS,2022-05-26,2022-21,2022-05,13.30218505859375,up
2022-05-27,488.47186279296875,491.38945334943384,479.66968289585185,489.2630886266407,193332,RAINBOW.NS,2022-05-27,2022-21,2022-05,4.054901123046875,up
2022-05-30,491.4883728027344,502.41691769950705,475.9114703346886,482.6367240892903,430299,RAINBOW.NS,2022-05-30,2022-22,2022-05,3.016510009765625,up
2022-05-31,491.73565673828125,496.48289143611225,482.63675502155934,487.5818037410425,257570,RAINBOW.NS,2022-05-31,2022-22,2022-05,0.247283935546875,up
2022-06-01,478.33453369140625,496.13670822898746,469.8785128589274,484.61475130082243,240264,RAINBOW.NS,2022-06-01,2022-22,2022-06,-13.401123046875,down
2022-06-02,468.39501953125,476.9005093431412,465.0323924471578,475.7136855806701,132345,RAINBOW.NS,2022-06-02,2022-22,2022-06,-9.93951416015625,down
2022-06-03,465.4774475097656,477.44447189935016,462.9554846404466,468.79063631339613,194026,RAINBOW.NS,2022-06-03,2022-22,2022-06,-2.917572021484375,down
2022-06-06,473.8345642089844,483.0323425577455,449.0104141313647,455.2906319073036,455271,RAINBOW.NS,2022-06-06,2022-23,2022-06,8.35711669921875,up
2022-06-07,466.3180847167969,481.00488514993395,464.8345701312715,469.7796187496893,154371,RAINBOW.NS,2022-06-07,2022-23,2022-06,-7.5164794921875,down
2022-06-08,461.8675842285156,470.66976555746163,460.8785744121805,469.68075574112646,137451,RAINBOW.NS,2022-06-08,2022-23,2022-06,-4.45050048828125,down
2022-06-09,464.9829406738281,469.7302057132864,458.0598722340284,458.0598722340284,57404,RAINBOW.NS,2022-06-09,2022-23,2022-06,3.1153564453125,up
2022-06-10,464.9334716796875,468.6916965126741,460.4334593804686,460.9774328314148,70401,RAINBOW.NS,2022-06-10,2022-23,2022-06,-0.049468994140625,down
2022-06-13,450.6917724609375,458.4060367344036,445.15331161174424,451.5324066349841,119369,RAINBOW.NS,2022-06-13,2022-24,2022-06,-14.24169921875,down
2022-06-14,433.4829406738281,458.8510636969465,427.35109862564286,447.0818240876249,90769,RAINBOW.NS,2022-06-14,2022-24,2022-06,-17.208831787109375,down
2022-06-15,434.6697692871094,441.7906513005215,430.21922557427206,436.15328385805515,46261,RAINBOW.NS,2022-06-15,2022-24,2022-06,1.18682861328125,up
2022-06-16,428.142333984375,442.631321436746,420.32916264459453,435.85662849045656,97888,RAINBOW.NS,2022-06-16,2022-24,2022-06,-6.527435302734375,down
2022-06-17,421.9115295410156,427.5983351203671,418.3510887070727,423.2961370369435,56353,RAINBOW.NS,2022-06-17,2022-24,2022-06,-6.230804443359375,down
2022-06-20,415.6807556152344,421.3181228530415,408.9060634662758,415.8785696237182,138900,RAINBOW.NS,2022-06-20,2022-25,2022-06,-6.23077392578125,down
2022-06-21,425.4720153808594,429.1808020205733,416.3731134185546,416.3731134185546,74094,RAINBOW.NS,2022-06-21,2022-25,2022-06,9.791259765625,up
2022-06-22,431.0599060058594,434.86759958361114,415.3840954162157,425.2741929261256,53177,RAINBOW.NS,2022-06-22,2022-25,2022-06,5.587890625,up
2022-06-23,448.2686462402344,453.1147877307197,428.7357046776428,428.7357046776428,81692,RAINBOW.NS,2022-06-23,2022-25,2022-06,17.208740234375,up
2022-06-24,454.4994201660156,460.7796381374253,445.05438909259027,447.526913476438,62280,RAINBOW.NS,2022-06-24,2022-25,2022-06,6.23077392578125,up
2022-06-27,466.4170227050781,469.77964995251205,454.9445031119064,459.6917380280268,75750,RAINBOW.NS,2022-06-27,2022-26,2022-06,11.9176025390625,up
2022-06-28,461.47198486328125,464.34010728504813,458.5049554237602,464.0434164139697,123999,RAINBOW.NS,2022-06-28,2022-26,2022-06,-4.945037841796875,down
2022-06-29,459.93896484375,463.59831293337686,456.5763377837096,460.8785361641677,24690,RAINBOW.NS,2022-06-29,2022-26,2022-06,-1.53302001953125,down
2022-06-30,460.8291320800781,466.07087198925876,456.18077390991107,456.18077390991107,34143,RAINBOW.NS,2022-06-30,2022-26,2022-06,0.890167236328125,up
2022-07-01,470.2741394042969,473.7356735534347,460.8291082988081,460.8291082988081,93920,RAINBOW.NS,2022-07-01,2022-26,2022-07,9.44500732421875,up
2022-07-04,465.971923828125,475.1697323390903,463.84555896525364,469.7301788757451,31750,RAINBOW.NS,2022-07-04,2022-27,2022-07,-4.302215576171875,down
2022-07-05,461.7686462402344,471.65874374027015,454.94448500164617,464.9334895131188,81672,RAINBOW.NS,2022-07-05,2022-27,2022-07,-4.203277587890625,down
2022-07-06,465.7741394042969,468.79060697546475,457.16974277301387,457.16974277301387,57896,RAINBOW.NS,2022-07-06,2022-27,2022-07,4.0054931640625,up
2022-07-07,467.15875244140625,480.8070746553729,461.9664513540217,464.93348054681286,84796,RAINBOW.NS,2022-07-07,2022-27,2022-07,1.384613037109375,up
2022-07-08,480.9554138183594,484.61476184804366,465.47741776719994,469.77961607718515,154320,RAINBOW.NS,2022-07-08,2022-27,2022-07,13.796661376953125,up
2022-07-11,472.1532287597656,479.0762967186542,469.8290499085597,475.81257675376486,43846,RAINBOW.NS,2022-07-11,2022-28,2022-07,-8.80218505859375,down
2022-07-12,463.9444885253906,474.67525055203214,460.58186134830675,469.77964012418073,189874,RAINBOW.NS,2022-07-12,2022-28,2022-07,-8.208740234375,down
2022-07-13,467.3565368652344,473.73566171061964,464.83457412106725,471.60929682288514,26174,RAINBOW.NS,2022-07-13,2022-28,2022-07,3.41204833984375,up
2022-07-14,467.5049133300781,478.6807112512956,464.8840133892584,464.9829203990938,40833,RAINBOW.NS,2022-07-14,2022-28,2022-07,0.14837646484375,up
2022-07-15,481.6971740722656,487.482886994954,464.93347735730583,464.93347735730583,107325,RAINBOW.NS,2022-07-15,2022-28,2022-07,14.1922607421875,up
2022-07-18,501.5762939453125,504.3949777988603,479.02688348129533,487.9279713248046,311768,RAINBOW.NS,2022-07-18,2022-29,2022-07,19.879119873046875,up
2022-07-19,492.3290100097656,506.2740526299004,489.80704738133056,501.32900419596467,106766,RAINBOW.NS,2022-07-19,2022-29,2022-07,-9.247283935546875,down
2022-07-20,482.1422424316406,501.03233427411664,476.9993797728305,492.82353542186894,91632,RAINBOW.NS,2022-07-20,2022-29,2022-07,-10.186767578125,down
2022-07-21,487.9279479980469,503.4059439717438,480.65872057027013,484.61475942270033,123136,RAINBOW.NS,2022-07-21,2022-29,2022-07,5.78570556640625,up
2022-07-22,482.83453369140625,491.7356207347631,479.66969066978515,489.5597873846261,50491,RAINBOW.NS,2022-07-22,2022-29,2022-07,-5.093414306640625,down
2022-07-25,487.82904052734375,498.41145652042417,479.2741125535184,479.7686174096029,80605,RAINBOW.NS,2022-07-25,2022-30,2022-07,4.9945068359375,up
2022-07-26,479.81805419921875,489.5598058675651,476.6037726455428,489.5598058675651,58026,RAINBOW.NS,2022-07-26,2022-30,2022-07,-8.010986328125,down
2022-07-27,485.1092834472656,488.96641544435477,464.8840219421876,479.81807523663366,115421,RAINBOW.NS,2022-07-27,2022-30,2022-07,5.291229248046875,up
2022-07-28,486.88946533203125,493.51584242341437,477.6916871553289,487.5817841978823,137299,RAINBOW.NS,2022-07-28,2022-30,2022-07,1.780181884765625,up
2022-07-29,483.625732421875,499.4498872659445,475.9609074192788,487.58177113289236,168227,RAINBOW.NS,2022-07-29,2022-30,2022-07,-3.26373291015625,down
2022-08-01,483.4774169921875,496.4828890248277,481.1037996548,484.61477215570835,69281,RAINBOW.NS,2022-08-01,2022-31,2022-08,-0.1483154296875,down
2022-08-02,484.3675231933594,486.8894859732544,479.818072324479,479.818072324479,38372,RAINBOW.NS,2022-08-02,2022-31,2022-08,0.890106201171875,up
2022-08-03,470.8180847167969,485.8510451589652,469.5818225153746,484.3675305172584,62900,RAINBOW.NS,2022-08-03,2022-31,2022-08,-13.5494384765625,down
2022-08-04,456.5268859863281,479.57080004610845,453.0653520179039,474.6257515197881,105453,RAINBOW.NS,2022-08-04,2022-31,2022-08,-14.29119873046875,down
2022-08-05,467.406005859375,470.76863291519004,452.12579341141895,463.5983123508305,96858,RAINBOW.NS,2022-08-05,2022-31,2022-08,10.879119873046875,up
2022-08-08,468.8895263671875,472.89500376349736,464.3895139159568,470.6202934217726,122219,RAINBOW.NS,2022-08-08,2022-32,2022-08,1.4835205078125,up
2022-08-10,527.5872802734375,532.0872627086017,468.889543676117,468.889543676117,1872105,RAINBOW.NS,2022-08-10,2022-32,2022-08,58.69775390625,up
2022-08-11,564.6256103515625,566.7025063862934,528.3783840085118,530.0102740103404,2333660,RAINBOW.NS,2022-08-11,2022-32,2022-08,37.038330078125,up
2022-08-12,588.0156860351562,591.3289046415642,566.6531013521499,568.6805590986733,1799935,RAINBOW.NS,2022-08-12,2022-32,2022-08,23.39007568359375,up
2022-08-16,595.1859741210938,601.3672842136698,551.8673650651918,583.5156727391814,889105,RAINBOW.NS,2022-08-16,2022-33,2022-08,7.1702880859375,up
2022-08-17,589.251953125,593.4058058387433,578.867351522822,588.4607574567538,314895,RAINBOW.NS,2022-08-17,2022-33,2022-08,-5.93402099609375,down
2022-08-18,574.1695556640625,588.3618807415625,568.7794408538443,583.5157091805897,241595,RAINBOW.NS,2022-08-18,2022-33,2022-08,-15.0823974609375,down
2022-08-19,557.8509521484375,583.3179538835652,536.0432986578326,573.0322884305217,544048,RAINBOW.NS,2022-08-19,2022-33,2022-08,-16.318603515625,down
2022-08-22,574.565185546875,592.5156750164474,549.8893819632424,551.8674013228224,338251,RAINBOW.NS,2022-08-22,2022-34,2022-08,16.7142333984375,up
2022-08-23,579.9058227539062,588.460780941916,567.0981952248958,574.5652065068324,160529,RAINBOW.NS,2022-08-23,2022-34,2022-08,5.34063720703125,up
2022-08-24,582.9718017578125,601.1695447065584,577.5816866163453,579.9058353533882,198033,RAINBOW.NS,2022-08-24,2022-34,2022-08,3.06597900390625,up
2022-08-25,593.4552612304688,603.2959198650747,583.6146025958628,584.208044637298,279756,RAINBOW.NS,2022-08-25,2022-34,2022-08,10.48345947265625,up
